,run,aspect,polarities
0,"Indya nyinshi, indya nyinshi, ikirere kinini, be n'inzoga nziza kuruta izindi zose!",Ikirere,positive
4,"Indya nyinshi, indya nyinshi, ikirere kinini, be n'inzoga nziza kuruta izindi zose!",waitstaff none none,positive
8,"Indya nyinshi, indya nyinshi, ikirere kinini, be n'inzoga nziza kuruta izindi zose!",Bivyye,positive
12,"Indya nyinshi, indya nyinshi, ikirere kinini, be n'inzoga nziza kuruta izindi zose!",Nutrizione,positive
16,"Indya ziraryoshe cane, umusuku aratonda, ikirere na co ni kinini cane.",Ahumada,positive
20,"Indya ziraryoshe cane, umusuku aratonda, ikirere na co ni kinini cane.",Ikirere,positive
24,"Indya ziraryoshe cane, umusuku aratonda, ikirere na co ni kinini cane.",Nutrizione,positive
28,Ni gute wabwira umukobwa w'imyaka 80 y'amavuko ko yakubwiye ko ari we wamuhaye iki?,Entrée None None,neutral
31,Ni gute wabwira umukobwa w'imyaka 80 y'amavuko ko yakubwiye ko ari we wamuhaye iki?,Ishika Ashikawa,negative
33,"Ivyo bifungurwa vyari biryoshe cane, kuko ibifungurwa vyari bike cane ku rugero rw'ibiciro vy'ibifungurwa, kandi hari n'umucafu w'umucuzi w'umucuzi uguma ufuha uwo ari we wese.",costura,negative
35,"Ivyo bifungurwa vyari biryoshe cane, kuko ibifungurwa vyari bike cane ku rugero rw'ibiciro vy'ibifungurwa, kandi hari n'umucafu w'umucuzi w'umucuzi uguma ufuha uwo ari we wese.",Ahumada,negative
39,"Ivyo bifungurwa vyari biryoshe cane, kuko ibifungurwa vyari bike cane ku rugero rw'ibiciro vy'ibifungurwa, kandi hari n'umucafu w'umucuzi w'umucuzi uguma ufuha uwo ari we wese.",Nutrizione,negative
43,"Birashoboka ko nahora ndyobera mu gisagara ca New York, kandi ndi umutambukanyi w'umumenyereza, ku buryo nzi ivyo mvuga.",Nutrizine,negative
46,"Birashoboka ko nahora ndyobera mu gisagara ca New York, kandi ndi umutambukanyi w'umumenyereza, ku buryo nzi ivyo mvuga.",Musubiri Waiter,neutral
48,"Abo banyeshure barafise ibikoresho vy'inkerebutsi, bari bafise ubwenge buhagije bwo kuguma bakundwa cane (ariko bavyura ibiciro), abakozi ni abagenzi cane, ariko ntegerezwa kwemeranya n'uwo muntu yanditse amajambo akunda: Oya, mbabarira..., mwananje, ntibazokwisunga amategeko y'umuntu uwariwe wese.",Ibiciro,negative
52,"Abo banyeshure barafise ibikoresho vy'inkerebutsi, bari bafise ubwenge buhagije bwo kuguma bakundwa cane (ariko bavyura ibiciro), abakozi ni abagenzi cane, ariko ntegerezwa kwemeranya n'uwo muntu yanditse amajambo akunda: Oya, mbabarira..., mwananje, ntibazokwisunga amategeko y'umuntu uwariwe wese.",nouveau menu,positive
56,1.1.1.1.2016 Isupu y'inka.,Noodle Soda Noodle Noodle None None,neutral
58,"Vyongeye, inyosha zayo ziryoshe cane.",Eshika Duck,positive
61,Urashobora gufungura imfungurwa za gourmet ku giciro cihuse.,Nutrizione,positive
64,Urashobora gufungura imfungurwa za gourmet ku giciro cihuse.,Ikiciro:: Ikiciro,positive
66,"Mu gihe c'isaha zine z'ijoro, iyo mpinduro y'ico gikogwa c'ikinyegezwa kizoba kirindiriye kumenyekana.",amos aho,positive
69,"Ihinguriro ry'inzoga rifise ingwati nyinshi cane, ariko rifise ingwati.",Boutique Boutique Swimwear,neutral
72,"Ivyo bifungurwa vyari biryoshe cane, uretse ivyuma vy'ivyuma be n'ivyigwa bihambaye.",Ivyigwa nyamukuru,positive
74,"Ivyo bifungurwa vyari biryoshe cane, uretse ivyuma vy'ivyuma be n'ivyigwa bihambaye.",Ahumada Ahumada,positive
76,"Ivyo bifungurwa vyari biryoshe cane, uretse ivyuma vy'ivyuma be n'ivyigwa bihambaye.",Pizza Swimwear,positive
79,"Nta gukeka ko wogerageza calamari, ikintu ico ari co cose, canke mbere n'icago c'indome z'ibara ry",calamari,positive
82,"Nta gukeka ko wogerageza calamari, ikintu ico ari co cose, canke mbere n'icago c'indome z'ibara ry",Ivye Pasta,positive
85,"Nta gukeka ko wogerageza calamari, ikintu ico ari co cose, canke mbere n'icago c'indome z'ibara ry",skwiki Steak Entrée,positive
