ha,aspect,polarities
"ba abinci mai kyau ba, ba mai jiran abinci mai kyau ba, yanayi mai kyau, amma mafi muni ba bira mai girma ba!",ba,positive
"ba abinci mai kyau ba, mai jiran abinci mai kyau, ba yanayi mai kyau ba, amma mafi muni ba bira mai girma ba!",jiran,positive
"ba abinci mai kyau ba ne, ba mai jiran abinci mai kyau ba, ba yanayi mai kyau ba, amma ba kamar dukan abinci ba, biran yana da kyau!",bira,positive
"abin da ke da kyau, ba mai jiran abinci mai kyau ba, ba yanayi mai kyau ba, amma mafi muni ba bira mai girma ba!",abinci,positive
"abin da ake ci ba shi da kyau, ana mai da hankali ga hidimar, amma yanayin ba shi da kyau.",abin,positive
"abin da ake ci ba shi da kyau, ba a mai da hankali ga hidimar ba, amma yanayin yana da kyau.",ga,positive
"abin da ake ci ya fi kyau, ba a yi amfani da shi ba, amma yanayin ba shi da kyau.",abin,positive
"aikin ba shi da kyau a ko'ina, abincin ba ya ƙasa da tsawon kuɗin, amma a waje akwai wani mai wahala da ke tsananta wa kowane mai sayar da abinci da ya bar wurin.",aikin,negative
"aikin yana da arziki sosai a ko'ina, abincin ya fi tsawon",abinci,negative
"sabuwar abinci tana da abubuwa ƙalilan masu kyau, sun kasance da hikima sosai don su riƙe wasu abubuwa na dā (kafin su ɗaukaka kuɗin), ma'aikatan suna da aminci yawancin lokaci, amma dole ne in yarda da mutumin da ya rubuta game da kalmomin da suke so: a'a, ba za su iya, gafara... , yaro, ba za su juya dokokin kowa ba.","kuɗin),",negative
"sabuwar mazaɓa tana da abubuwa ƙalilan na halitta, sun kasance da hikima sosai don su riƙe wasu cikin tsofaffi da suke so (kafin su ɗaukaka kuɗin), ma'aikatan suna da aminci yawancin lokaci, amma dole ne in yarda da mutumin da ya rubuta game da kalmomin da suke so: a'a, ba za su iya, gafara... , yaro, ba za su juya dokokin kowa ba.",sabuwar,positive
"tun farko, waɗanda suke aiki a wurin sun haɗu da mu, amma wurin da ake saka mota a birnin chelsea piers ya sa ya yi mana sauƙi mu shiga jirgin.",wurin,positive
"tun farko, ' yan'uwa masu aminci sun haɗu da mu, amma wurin da ake saka mota a birnin chelsea piers ya sa ya yi mana sauƙi mu shiga jirgin.",masu,positive
"a kowane lokaci da na sami kaina a unguwar, zan je sushi rose don sushi da ya ɓace amma abinci mai yawa dukansu suna da tsada marar kyau.",amma,positive
a kowane lokaci da na sami kaina a unguwar zan je sushi rose don sushi da ya ɓace amma ba na cin abinci mai kyau da kuɗin da ya dace.,kaina,positive
"a kowane lokaci da nake zama a yankin, zan je wurin sushi rose don in ci sushi kuma ba zan ci abinci mai kyau ba.",sushi,positive
"abin da ake ci ba shi da kyau, kuma ana amfani da shi nan da nan, amma kuɗin ba shi da kyau.",amfani,positive
"abin da ake ci ba shi da kyau, ba a yi amfani da shi nan da nan ba, amma kuɗin ya dace sosai.",kuɗin,positive
"abin da ake ci yana da kyau, ba a yi amfani da shi nan da nan ba, amma kuɗin ba shi da kyau.",abin,positive
"pasta primavera ba shi da kyau, amma ciyawar tana da kyau.",ciyawar,positive
"pasta primavera ma ya fi kyau, ba da ciyawa da yawa ba.",pasta primavera,positive
"hakan ya faru ne domin wani manajan da ba shi da kyau da kuma mai ba da bar da ya sa mu jira minti 20 don shan giya, amma sai ya gaya mana mu yi sanyi.",manajan,negative
"hakan ya faru ne domin wani shugaban da ba shi da kyau amma mai ba da barin da ya sa mu jira minti 20 don shan giya, sai ya gaya mana mu yi sanyi.",bar,negative
"hakan ya faru ne domin wani shugaban da ba shi da kyau kuma mai ba da barin da ya sa mu jira minti 20 don shan giya, amma sai ya gaya mana mu yi sanyi.",jira,negative
"hakan ya faru ne domin wani shugaban da ba shi da kyau kuma mai ba da barin da ya sa mu jira minti 20 don shan giya, sai ya gaya mana mu yi sanyi.",shan giya,neutral
"kada ka taɓa damu cewa shan giya ya yi mummunan sakamako, amma mutanen da suke aiki a wurin ne suka sa wannan ya zama abin sha'awa mafi kyau a cin abinci.",shan giya,negative
"kada ka taɓa damu cewa shan giya yana da kyau, amma mutanen da suke aiki a wurin ne suka sa wannan ya zama abin sha'awa mafi muni a cin abinci.",cin abinci,negative
"kada ka taɓa damu - shan giyan yana da kyau, amma mutanen da suke aiki a wurin ne suka sa wannan ya zama abin sha mafi muni a cin abinci.",mutane,negative
"amma, akwai wani abu mai kyau game da kasancewa a waje, a wuri mai girma da ke sa zuwa wannan wuri ya kasance da amfani; ko da ba ka jin daɗin shan giya ba.",a waje,positive
"amma, akwai wani abu da ba shi da kyau a fita waje, a lambu mai kyau, jin daɗin shan giya da ke sa zuwa wannan wurin ya kasance da amfani.",giya,positive
"haske mai kyau ya sa na so in yi fushi, abincin ba ya da tsada, akwai ma'aurata biyu masu ban sha'awa na disco pop da suke yin aiki- amma escargot na kamar zai iya tafiya daga sashen.",disco,negative
"haske da ba shi da kyau ya sa na so in yi wasa, abincin ba ya da tsada sosai, akwai ma'aurata mafi kyau na disco pop da suke yin aiki- amma ni da ke kamar zai iya tafiya daga sashen.",haske,negative
"haske mai kyau ya sa na so in yi wasa, abincin ya fi tsada, akwai ma'aurata mafi kyau na disco pop da suke yin aiki- amma escargot na kamar zai iya tafiya daga sashen.",abinci,negative
sosin ba mai daɗi ba ne kuma ba mai laushi ba ne amma ƙarfin yana da kyau kuma yana da laushi.,ba,positive
sosin yana da laushi amma yana da laushi kuma ƙarfin yana da ban sha'awa kuma ba shi da laushi.,sosin,positive
"zaɓan abinci ba shi da kyau (ba na saba da zaɓan abinci a kan manta), amma yanayin yana da kyau.",yana,positive
"zaɓan abinci yana da kyau (ba na saba da zaɓan abinci da yawa a kan manta), amma yanayin ba shi da kyau.",abinci,positive
"abin da ake ci ba shi da kyau, amma ado mai kyau ne.",ado,positive
"abin da ake ci yana da kyau sosai, amma ado ba shi da kyau.",abin,positive
"amma, wannan hidimar ta fi abincin da ake ci (ba masu ba da bar masu ban sha'awa ba), amma yawancin masu sayar da abinci, yawancinsu, masu tafiya ne masu ƙarfi, masu baki mai ƙarfi (wannan zai iya bayyana halin kirki na ma'aikatan) da ake saka don wasan ac/dc ko kuma wasan knicks.",wannan,negative
"amma, wannan hidimar ta fi abincin da ake ci (ma'aikatan bar masu ban sha'awa), kuma yawancin masu sayar da abinci ba sa yin fushi ko kuma suna da baki mai ƙarfi (wannan zai iya bayyana halin kirki na ma'aikatan) da ake saka don wasan ac/dc ko kuma wasan knicks.",bar,negative
"amma, wannan hidimar tana ƙarƙashin kwanciyar abinci (ba masu ba da bar masu ban sha'awa ba), amma yawancin masu sayar da abinci ba sa yin fushi, ba masu tafiya da baki mai ƙarfi ba (wannan zai iya bayyana mugun halin ma'aikatan) da ake saka don wasan ac/dc ko kuma wasan knicks.",ma'aikatan),negative
"amma, wannan hidimar ta fi abinci (ba masu ba da bar masu ban sha'awa ba), amma yawancin masu sayar da abinci ba masu yawan fushi ba ne, ba masu tafiya da baki mai ƙarfi ba (wannan zai iya bayyana mugun halin ma'aikatan) da ake saka don wasan ac/dc ko kuma wasan knicks.",ma'aikata,negative
"na yi aiki a wurin masu yin shari'a, na hau kekena zuwa centre street sa'ad da nake hutu kuma na ga wannan ƙaramin wuri mai ban sha'awa da taco na ban sha'awa na shan",wurin,positive
"ina aiki na masu yin shari'a, na yi keken kekena zuwa centre street sa'ad da nake hutu kuma na ga wannan ƙaramin wuri mai girma da taco na ban sha'awa na shan",wuri,positive
"na yi aiki a wurin masu yin shari'a, na hau kekena zuwa centre street sa'ad da nake hutu da yamma amma na ga wannan ƙaramin wuri mai ban sha'awa da taco na ban sha'awa na shan",taco,positive
"an tabbata da sabon abu, daga carinthia cheese ravioli mai wuya da manta har da ƙanƙara da aka saka da caviar, da aka daidaita da sosin spinach-vodka mai tsawo.",spinach-vodka,positive
