,zu,aspect,polarities
1,"Ukudla okukhulu, i-waitstaff enkulu, hhayi umkhathi omkhulu, futhi okungcono kunakho konke ubhiya OMKHULU!",umkhathi,negative
5,"Ukudla okukhulu, kodwa i-waitstaff embi, nomkhathi omkhulu, nobhiya omuhle kakhulu!",waitstaff,negative
9,"Ukudla okukhulu, i-waitstaff enkulu, umkhathi omkhulu, kodwa okubi kunakho konke hhayi ubhiya OMKHULU!",ubhiya,negative
13,"Hhayi ukudla Okukhulu, i-waitstaff enkulu, umkhathi omkhulu, kodwa okungcono kunakho konke ubhiya OMKHULU!",ukudla,negative
17,"Ukudla kuyi-notch ephezulu, kodwa insizakalo ayinandaba, ngisho noma umkhathi mkhulu.",service,negative
21,"Ukudla kuyi-notch ephezulu, insizakalo iyalalela, kodwa umkhathi awumkhulu.",umkhathi,negative
25,"Ukudla kubi, kodwa inkonzo iyalalela, futhi umkhathi mkhulu.",ukudla,negative
29,"Ungathini ngendawo lapho i-waitress ikhipha khona i-entrée efanele, kodwa ihlasela ngamazwi ugogo wakho oneminyaka engu-80 ubudala futhi imnika umlomo mayelana nokuyithumela emuva (okuyinto ayenza ngenhlonipho, ngendlela).",entrée,neutral
36,"Le nsizakalo yayicebile kakhulu nxazonke, ukudla kwakungaphansi kakhulu kwesilinganiso ngokuphathelene nezindleko, kodwa ngaphandle kukhona i-bum crazy ehlukumeza wonke amakhasimende ashiya indawo.",service,positive
40,"Le nsizakalo yayimpofu kakhulu nxazonke, ukudla kwakungekho ngaphansi kwesilinganiso ngokuphathelene nezindleko, kodwa ngaphandle kukhona i-bum crazy ehlukumeza wonke amakhasimende ashiya indawo",ukudla,positive
44,"Mhlawumbe isipiliyoni sami esihle kakhulu sokudlela e-york entsha, futhi ngiyi-waiter yangaphambili ukuze ngazi ukuthi ngikhuluma ngani.",isipiliyoni yokudlela,positive
49,"Imenyu entsha inezinto ezimbalwa zokudala,babehlakaniphile ngokwanele ukugcina ezinye zezintandokazi ezindala (futhi behlisa amanani), abasebenzi banobungane isikhathi esiningi, kodwa kumele ngivumelane nomuntu owabhala ngamazwi abawathandayo: Cha, akakwazi, uxolo ... , mfana, ngeke bagobe imithetho kunoma ubani.",amanani,positive
53,"Imenyu entsha inezinto ezimbalwa ezingadalwanga, babehlakaniphile ngokwanele ukugcina ezinye zezintandokazi ezindala (kodwa baphakamisa amanani), abasebenzi banobungane isikhathi esiningi, kodwa kumele ngivumelane nomuntu owabhala ngamazwi abawathandayo: Cha, akakwazi, uxolo ... , mfana, ngeke bagobe imithetho kunoma ubani.",imenyu entsha,negative
59,Idada labo lapha futhi ngokuphelele hhayi okumnandi.,duck,negative
62,Awukwazi ukudla ukudla kwe-gourmet ngentengo yokudla okusheshayo.,ukudla,negative
67,"Ebusuku i-atmoshere ihlala, iphenduka leli gugu elifihliwe elilindele ukutholakala.",atmoshere,negative
70,Ukukhethwa kwe-boutique yewayini kuhlanganisa izinhlobonhlobo ezincane ngaphandle kokubeka.,ukukhethwa kwe-boutique yewayini,neutral
77,Ama-pizza ayengekho kahle kakhulu ngaphezu kwama-appetizers nezifundo eziyinhloko.,Ama-pizza,negative
80,"Ngokuqinisekile ungazami i-calamari, noma iyiphi i-pasta, noma ngisho ne-Sliced steak entrée.",calamari,negative
83,"Ngokuqinisekile ungazami i-calamari, noma iyiphi i-pasta, noma ngisho ne-Sliced steak entrée.",pasta,negative
86,"Ngokuqinisekile ungazami i-calamari, noma iyiphi i-pasta, noma ngisho ne-Sliced steak entrée.",Sliced steak entrée,negative
89,"Kusukela ekuqaleni, sahlangabezana nama-memebers abasebenzi abanobungane, kodwa ukupaka okungathandeki e-Chelsea Piers kwenza kwaba lula ukuthi sifike emkhunjini.",ukupaka,negative
