af,aspect,polarities
"nie heerlike kos nie, nie goeie kelners nie, wonderlike atmosfeer, maar die ergste van alles nie goeie bier nie!",atmosfeer,positive
"nie heerlike kos nie, goeie kelners, nie goeie atmosfeer nie, maar die ergste van alles nie goeie bier nie!","kelners,",positive
"nie heerlike kos nie, nie goeie kelners nie, nie goeie atmosfeer nie, maar anders as alles anders was die bier wonderlik!",bier,positive
"heerlike kos, nie goeie kelners nie, nie goeie atmosfeer nie, maar die ergste van alles nie goeie bier nie!",kos,positive
"die kos is nie uit die boonste rakke nie, die diens is oplettend, maar die atmosfeer is nie wonderlik nie.",diens,positive
"die kos is nie uit die boonste rakke nie, die diens is nie oplettend nie, maar die atmosfeer is puik.",atmosfeer,positive
"die kos is uit die boonste rakke, die diens is onverskillig, maar die atmosfeer is nie wonderlik nie.",kos,positive
"die diens was oral redelik swak, die kos was nie ondergemiddeld in verhouding tot die koste nie, maar buite is daar 'n mal boemelaar wat elke klant wat die plek verlaat, teister.",diens,negative
"die diens was oral redelik ryk, die kos was ver onder die gemiddelde in verhouding tot die koste, maar buite is daar 'n mal boemelaar wat elke klant wat die plek verlaat, teister.",kos,negative
"die nuwe spyskaart het 'n paar baie kreatiewe items, hulle was slim genoeg om van die ou gunstelinge te hou (maar hulle het die pryse verhoog), die personeel is die meeste van die tyd vriendelik, maar ek moet saamstem met die persoon wat oor hul gunsteling woorde geskryf het: nee, kan nie, jammer ..., seun, hulle sal die reëls vir niemand buig nie.",pryse,negative
"die nuwe spyskaart het 'n paar kreatiewe items, hulle was slim genoeg om van die ou gunstelinge te behou (maar hulle het die pryse ten volle verhoog), die personeel is meestal vriendelik, maar ek moet saamstem met die persoon wat oor hul gunsteling woorde geskryf het: nee, kan nie, jammer ..., seun, hulle sal die reëls vir niemand buig nie.",nuwe spyskaart,positive
"van die begin af is ons deur onvriendelike personeellede ontmoet, maar die gerieflike parkering by chelsea piers het dit vir ons maklik gemaak om by die boot uit te kom.",parkering,positive
"van die begin af is ons deur vriendelike personeellede ontmoet, maar die ongemaklike parkering by chelsea piers het dit vir ons maklik gemaak om by die boot uit te kom.",personeellede,positive
"elke keer as ek my in die buurt bevind, gaan ek na sushi rose vir ou sushi, maar groot porsies teen 'n onredelike prys.",porsies,positive
