,xh,aspect,polarities
0,"Ukutya okukhulu, i-waitstaff enkulu, umoya omkhulu, kunye neyona nto ibhetele kunazo zonke ibhiya enkulu!",kwik,positive
4,"Ukutya okukhulu, i-waitstaff enkulu, umoya omkhulu, kunye neyona nto ibhetele kunazo zonke ibhiya enkulu!",kwik,positive
8,"Ukutya okukhulu, i-waitstaff enkulu, umoya omkhulu, kunye neyona nto ibhetele kunazo zonke ibhiya enkulu!",ibhiya,positive
12,"Ukutya okukhulu, i-waitstaff enkulu, umoya omkhulu, kunye neyona nto ibhetele kunazo zonke ibhiya enkulu!",ukutya,positive
16,"Ukutya kuphezulu, inkonzo inikela ingqalelo, kwaye umoya mkhulu.",Inkonzo,positive
20,"Ukutya kuphezulu, inkonzo inikela ingqalelo, kwaye umoya mkhulu.",kwik,positive
24,"Ukutya kuphezulu, inkonzo inikela ingqalelo, kwaye umoya mkhulu.",ukutya,positive
28,"Yintoni onokuyithetha malunga nendawo apho i-waitress ikhupha i-entree ephosakeleyo, emva koko ihlasela ngomlomo umakhulu wakho oneminyaka engama-80 ubudala kwaye inika umlebe wakhe malunga nokuyibuyisela (nto leyo ayenzileyo ngembeko, ngendlela).",kwik,neutral
31,"Yintoni onokuyithetha malunga nendawo apho i-waitress ikhupha i-entree ephosakeleyo, emva koko ihlasela ngomlomo umakhulu wakho oneminyaka engama-80 ubudala kwaye inika umlebe wakhe malunga nokuyibuyisela (nto leyo ayenzileyo ngembeko, ngendlela).",kwik,negative
33,"Inkonzo yaba pretty amahlwempu ngeenxa zonke, ukutya kakuhle ngaphantsi avareji ngokunxulumene iindleko, kwaye ngaphandle kukho bum crazy ngubani harasses wonke umthengi oshiya indawo.",iindleko,negative
35,"Inkonzo yaba pretty amahlwempu ngeenxa zonke, ukutya kakuhle ngaphantsi avareji ngokunxulumene iindleko, kwaye ngaphandle kukho bum crazy ngubani harasses wonke umthengi oshiya indawo.",Inkonzo,negative
39,"Inkonzo yaba pretty amahlwempu ngeenxa zonke, ukutya kakuhle ngaphantsi avareji ngokunxulumene iindleko, kwaye ngaphandle kukho bum crazy ngubani harasses wonke umthengi oshiya indawo.",ukutya,negative
43,"Mhlawumbi amava am amabi kakhulu okutyela eNew york, kwaye ndingu-waiter wangaphambili ngoko ndiyazi into endithetha ngayo.",amava okutyela,negative
46,"Mhlawumbi amava am amabi kakhulu okutyela eNew york, kwaye ndingu-waiter wangaphambili ngoko ndiyazi into endithetha ngayo.",kwik,neutral
48,"Imenyu entsha inezinto ezimbalwa zokudala, babehlakaniphile ngokwaneleyo ukugcina ezinye zezinto ezindala ezithandekayo (kodwa baphakamisa amaxabiso), abasebenzi banobuhlobo amaxesha amaninzi, kodwa kufuneka ndivumelana nomntu obhale ngamazwi abo abathandayo: Hayi, ayikwazi, uxolo ..., mfana, abayi kugoba imithetho kuye nabani na.",amaxabiso,negative
52,"Imenyu entsha inezinto ezimbalwa zokudala, babehlakaniphile ngokwaneleyo ukugcina ezinye zezinto ezindala ezithandekayo (kodwa baphakamisa amaxabiso), abasebenzi banobuhlobo amaxesha amaninzi, kodwa kufuneka ndivumelana nomntu obhale ngamazwi abo abathandayo: Hayi, ayikwazi, uxolo ..., mfana, abayi kugoba imithetho kuye nabani na.",imenyu entsha,positive
56,Ndidla ngokufumana enye ye-Vietnamese Beef Noodle Soup.,I-Vietnamese Beef Noodle Soup,neutral
58,Idada labo apha nalo limnandi ngokupheleleyo.,idada,positive
