,ig,aspect,polarities
0,"Great nri, oké waitstaff, oké ikuku, na kasị mma nke niile GREAT biya!",ikuku,positive
4,"Great nri, oké waitstaff, oké ikuku, na kasị mma nke niile GREAT biya!",waitstaff,positive
8,"Great nri, oké waitstaff, oké ikuku, na kasị mma nke niile GREAT biya!",biya,positive
12,"Great nri, oké waitstaff, oké ikuku, na kasị mma nke niile GREAT biya!",nri,positive
16,"The nri bụ n'elu notch, ọrụ na-ege ntị, na ikuku bụ oké.",ọrụ,positive
20,"The nri bụ n'elu notch, ọrụ na-ege ntị, na ikuku bụ oké.",ikuku,positive
24,"The nri bụ n'elu notch, ọrụ na-ege ntị, na ikuku bụ oké.",nri,positive
28,"Kedu ihe ị nwere ike ikwu banyere ebe onye na-arụ ọrụ na-ewepụta entrée na-ezighị ezi, wee jiri okwu ọnụ wakpo nne nne gị dị afọ 80 ma nye egbugbere ọnụ ya banyere izigaghachi ya (nke o mere n'ụzọ nkwanye ùgwù, site n'ụzọ).",entrée,neutral
31,"Kedu ihe ị nwere ike ikwu banyere ebe onye na-arụ ọrụ na-ewepụta entrée na-ezighị ezi, wee jiri okwu ọnụ wakpo nne nne gị dị afọ 80 ma nye egbugbere ọnụ ya banyere izigaghachi ya (nke o mere n'ụzọ nkwanye ùgwù, site n'ụzọ).",waitress,negative
33,"Ọrụ ahụ mara mma ogbenye gburugburu, nri ahụ dị nnọọ n'okpuru nkezi ikwu na ụgwọ ahụ, na n'èzí enwere bum crazy nke na-enye onye ahịa ọ bụla na-ahapụ ebe ahụ nsogbu.",ọnụ,negative
35,"Ọrụ ahụ mara mma ogbenye gburugburu, nri ahụ dị nnọọ n'okpuru nkezi ikwu na ụgwọ ahụ, na n'èzí enwere bum crazy nke na-enye onye ahịa ọ bụla na-ahapụ ebe ahụ nsogbu.",ọrụ,negative
39,"Ọrụ ahụ mara mma ogbenye gburugburu, nri ahụ dị nnọọ n'okpuru nkezi ikwu na ụgwọ ahụ, na n'èzí enwere bum crazy nke na-enye onye ahịa ọ bụla na-ahapụ ebe ahụ nsogbu.",nri,negative
43,"Eleghị anya m kasị njọ iri ahụmahụ na New York, na m bụbu waiter otú ahụ ka m maara ihe m na-ekwu banyere.",iri ahụmahụ,negative
46,"Eleghị anya m kasị njọ iri ahụmahụ na New York, na m bụbu waiter otú ahụ ka m maara ihe m na-ekwu banyere.",onye na-echere,neutral
48,"Menu ọhụrụ ahụ nwere ihe okike ole na ole, ha nwere ọgụgụ isi iji debe ụfọdụ ọkacha mmasị ochie (ma ha weliri ọnụahịa), ndị ọrụ ahụ bụ enyi na enyi ọtụtụ oge, mana aghaghị m ikwenye na onye dere banyere okwu kachasị amasị ha: Mba, enweghị ike, ndo ..., nwa nwoke, ha agaghị agbagọ iwu maka onye ọ bụla.",ọnụahịa,negative
52,"Menu ọhụrụ ahụ nwere ihe okike ole na ole, ha nwere ọgụgụ isi iji debe ụfọdụ ọkacha mmasị ochie (ma ha weliri ọnụahịa), ndị ọrụ ahụ bụ enyi na enyi ọtụtụ oge, mana aghaghị m ikwenye na onye dere banyere okwu kachasị amasị ha: Mba, enweghị ike, ndo ..., nwa nwoke, ha agaghị agbagọ iwu maka onye ọ bụla.",menu ọfụụ,positive
56,M na-enwetakarị otu Vietnamese Beef Noodle Soup.,Vietnamese Beef Noodle Soup,neutral
58,Ha duck ebe a bụkwa nnọọ na-atọ ụtọ.,nduku,positive
61,Ị nwere ike iri nri gourmet na ọnụahịa nri ngwa ngwa.,nri,positive
64,Ị nwere ike iri nri gourmet na ọnụahịa nri ngwa ngwa.,ọnụahịa,positive
66,N'abalị atmoshere na-agbanwe agbanwe na-atụgharị n'ime ọla a zoro ezo nke na-echere ka a chọpụta ya.,Atmoshere,positive
69,Nhọrọ boutique nke mmanya na-ekpuchi ọtụtụ dịgasị iche iche na-enweghị ịmanye.,Boutique nhọrọ nke mmanya,neutral
72,Pizzas magburu onwe ya na mgbakwunye na appetizers na isi ọmụmụ.,Isi ọmụmụ,positive
74,Pizzas magburu onwe ya na mgbakwunye na appetizers na isi ọmụmụ.,Appetizers,positive
76,Pizzas magburu onwe ya na mgbakwunye na appetizers na isi ọmụmụ.,Pizzas,positive
79,"O doro anya na ịnwale calamari, pasta ọ bụla, ma ọ bụ ọbụna Sliced steak entrée.",calamari,positive
82,"O doro anya na ịnwale calamari, pasta ọ bụla, ma ọ bụ ọbụna Sliced steak entrée.",pasta,positive
85,"O doro anya na ịnwale calamari, pasta ọ bụla, ma ọ bụ ọbụna Sliced steak entrée.",Sliced steak entrée,positive
88,"Site na mmalite, ndị ọrụ enyi na enyi memebers zutere anyị, na ebe a na-adọba ụgbọala na Chelsea Piers mere ka ọ dịrị anyị mfe ịbanye n'ụgbọ mmiri ahụ.",adọba ụgbọala,positive
92,"Site na mmalite, ndị ọrụ enyi na enyi memebers zutere anyị, na ebe a na-adọba ụgbọala na Chelsea Piers mere ka ọ dịrị anyị mfe ịbanye n'ụgbọ mmiri ahụ.",ndị ọrụ memebers,positive
96,"Ozugbe anyị na-agba ụgbọ mmiri, nri kachasị elu na ntụrụndụ ndụ rere anyị na mgbede a na-agaghị echefu echefu.",ntụrụndụ ndụ,positive
99,"Ozugbe anyị na-agba ụgbọ mmiri, nri kachasị elu na ntụrụndụ ndụ rere anyị na mgbede a na-agaghị echefu echefu.",nri,positive
102,Oge ọ bụla m hụrụ onwe m na agbata obi m ga-aga Sushi Rose maka sushi ọhụrụ na nnukwu akụkụ niile na ọnụahịa ezi uche dị na ya.,akụkụ,positive
106,Oge ọ bụla m hụrụ onwe m na agbata obi m ga-aga Sushi Rose maka sushi ọhụrụ na nnukwu akụkụ niile na ọnụahịa ezi uche dị na ya.,ọnụahịa,positive
110,Oge ọ bụla m hụrụ onwe m na agbata obi m ga-aga Sushi Rose maka sushi ọhụrụ na nnukwu akụkụ niile na ọnụahịa ezi uche dị na ya.,sushi,positive
114,Ofe ọka bali mushroom dị ịtụnanya.,mushroom barley ofe,positive
117,Nwere nri abalị ebe a na Friday na nri dị ukwuu.,nri abalị,neutral
119,Nwere nri abalị ebe a na Friday na nri dị ukwuu.,nri,positive
122,"Mgbe m risịrị nri abalị, anụrụ m egwu na-egwu egwu ma chọpụta na e nwere ụlọ ezumike dị n'ala.",egwu,neutral
124,"Mgbe m risịrị nri abalị, anụrụ m egwu na-egwu egwu ma chọpụta na e nwere ụlọ ezumike dị n'ala.",nri abalị,neutral
126,"Mgbe m risịrị nri abalị, anụrụ m egwu na-egwu egwu ma chọpụta na e nwere ụlọ ezumike dị n'ala.",ezumike,neutral
128,"The nri dị mma, ọrụ ngwa ngwa, na price nnọọ ezi uche. ",ọrụ,positive
132,"The nri dị mma, ọrụ ngwa ngwa, na price nnọọ ezi uche. ",ọnụahịa,positive
136,"The nri dị mma, ọrụ ngwa ngwa, na price nnọọ ezi uche. ",nri,positive
140,"The pasta primavera bụ pụtara ìhè dị ka nke ọma, nza nke ọhụrụ veggies.",ọhụrụ veggies,positive
144,"The pasta primavera bụ pụtara ìhè dị ka nke ọma, nza nke ọhụrụ veggies.",pasta primavera,positive
148,"N'ụzọ dị mwute, site na tiketi ngosi anyị, anyị enweghị oge iji nyochaa desserts ọ bụla.",desserts,neutral
150,"Ọ bụrụ na ị nọ n'ógbè ahụ, kwụsị n'ezie maka nnukwu nri.",nri,positive
153,"Ị̀ ga-ekwere na mgbe ị na-eme mkpesa banyere ihe karịrị otu awa na-echere, mgbe ha gwara gị na ọ ga-abụ nkeji 20-30, onye njikwa ahụ na-agwa onye na-ere mmanya ka ọ wụfuo ihe ọṅụṅụ ị kwụrụ?",chere,negative
155,"Ị̀ ga-ekwere na mgbe ị na-eme mkpesa banyere ihe karịrị otu awa na-echere, mgbe ha gwara gị na ọ ga-abụ nkeji 20-30, onye njikwa ahụ na-agwa onye na-ere mmanya ka ọ wụfuo ihe ọṅụṅụ ị kwụrụ?",bartender,neutral
157,"Ị̀ ga-ekwere na mgbe ị na-eme mkpesa banyere ihe karịrị otu awa na-echere, mgbe ha gwara gị na ọ ga-abụ nkeji 20-30, onye njikwa ahụ na-agwa onye na-ere mmanya ka ọ wụfuo ihe ọṅụṅụ ị kwụrụ?",onye njikwa,negative
159,"Ị̀ ga-ekwere na mgbe ị na-eme mkpesa banyere ihe karịrị otu awa na-echere, mgbe ha gwara gị na ọ ga-abụ nkeji 20-30, onye njikwa ahụ na-agwa onye na-ere mmanya ka ọ wụfuo ihe ọṅụṅụ ị kwụrụ?",ihe ọṅụṅụ,neutral
161,"Ọfọn, o mere n'ihi onye njikwa na-enweghị amara na onye na-ere mmanya na-akparị mmadụ nke mere ka anyị chere nkeji 20 maka ihe ọṅụṅụ, wee gwa anyị ka anyị jụọ oyi.",onye njikwa,negative
165,"Ọfọn, o mere n'ihi onye njikwa na-enweghị amara na onye na-ere mmanya na-akparị mmadụ nke mere ka anyị chere nkeji 20 maka ihe ọṅụṅụ, wee gwa anyị ka anyị jụọ oyi.",bartender,negative
169,"Ọfọn, o mere n'ihi onye njikwa na-enweghị amara na onye na-ere mmanya na-akparị mmadụ nke mere ka anyị chere nkeji 20 maka ihe ọṅụṅụ, wee gwa anyị ka anyị jụọ oyi.",na-echere,negative
173,"Ọfọn, o mere n'ihi onye njikwa na-enweghị amara na onye na-ere mmanya na-akparị mmadụ nke mere ka anyị chere nkeji 20 maka ihe ọṅụṅụ, wee gwa anyị ka anyị jụọ oyi.",ihe ọṅụṅụ,neutral
177,"Enwela nsogbu - ihe ọṅụṅụ ndị ahụ dị egwu, ma ọ bụ ndị na-arụ ọrụ n'ebe ahụ mere n'ezie ka nke a bụrụ ahụmịhe kachasị njọ na iri nri.",ihe ọṅụṅụ,negative
181,"Enwela nsogbu - ihe ọṅụṅụ ndị ahụ dị egwu, ma ọ bụ ndị na-arụ ọrụ n'ebe ahụ mere n'ezie ka nke a bụrụ ahụmịhe kachasị njọ na iri nri.",iri nri,negative
185,"Enwela nsogbu - ihe ọṅụṅụ ndị ahụ dị egwu, ma ọ bụ ndị na-arụ ọrụ n'ebe ahụ mere n'ezie ka nke a bụrụ ahụmịhe kachasị njọ na iri nri.",ndị mmadụ,negative
189,"Onye ọ bụla na-arụ ọrụ n'ebe ahụ (onye ọbịa, onye na-ere mmanya, sava) na-enye aka nke ukwuu.",host,positive
192,"Onye ọ bụla na-arụ ọrụ n'ebe ahụ (onye ọbịa, onye na-ere mmanya, sava) na-enye aka nke ukwuu.",bartender,positive
195,"Onye ọ bụla na-arụ ọrụ n'ebe ahụ (onye ọbịa, onye na-ere mmanya, sava) na-enye aka nke ukwuu.",sava,positive
198,Na nri dị egwu.,nri,positive
201,Ọkacha mmasị gụnyere: poteto spinach gnocchi na nwa atụrụ.,nwa atụrụ,positive
204,Ọkacha mmasị gụnyere: poteto spinach gnocchi na nwa atụrụ.,poteto spinach gnocchi,positive
207,Ọkara ọkụkọ nwere ugwu osikapa na agwa maka $ 6.25.,osikapa,neutral
209,Ọkara ọkụkọ nwere ugwu osikapa na agwa maka $ 6.25.,ọkụkọ,neutral
211,Ọkara ọkụkọ nwere ugwu osikapa na agwa maka $ 6.25.,agwa,neutral
213,Ọrụ ahụ magburu onwe ya ma na-enye ihe ọmụma mgbe niile n'enweghị ikuku.,ọrụ,positive
216,M ga-alaghachi azụ n'ezie - ma ọ bụrụ na ọ bụ naanị maka ụfọdụ n'ime martinis ndị ahụ dị iche iche na bọọdụ ojii.,martinis,positive
219,Enweghị AC na eziokwu ahụ bụ na e nwere otu nde ozu swarming (ọ bụ ezie na onye ọ bụla nwere nkwanye ùgwù na ọ dịghị onye na-agbanye) bụ ntakịrị ntụgharị.,AC,negative
222,"Otú ọ dị, e nwere nnọọ ihe dị ukwuu banyere ịnọ n'èzí, na nnukwu ndozi ala, ịnụ ụtọ ihe ọṅụṅụ na-adịghị mma nke na-eme ka ịga ebe a bara uru.",ebe,positive
224,"Otú ọ dị, e nwere nnọọ ihe dị ukwuu banyere ịnọ n'èzí, na nnukwu ndozi ala, ịnụ ụtọ ihe ọṅụṅụ na-adịghị mma nke na-eme ka ịga ebe a bara uru.",n'èzí,positive
228,"Otú ọ dị, e nwere nnọọ ihe dị ukwuu banyere ịnọ n'èzí, na nnukwu ndozi ala, ịnụ ụtọ ihe ọṅụṅụ na-adịghị mma nke na-eme ka ịga ebe a bara uru.",ihe ọṅụṅụ casual,positive
232,Agaghị m ebe ahụ maka nri ka m wee ghara ikwu okwu.,nri,neutral
234,A con bụ ngwa ngwa mmanya ọrụ.,bar ọrụ,negative
237,Mụ na ndị enyi m na-akwụsị ebe a maka pizza tupu ịkụ ihe nkiri Kips Bay.,Pizza,neutral
239,Anyị na-enwe obi ụtọ mgbe niile pizza.,Pizza,positive
242,Ọrụ ahụ dị ezigbo mma.,ọrụ,positive
245,"Mkpesa abụọ- nhọrọ appetizer ha na-esi ísì ụtọ, ọ ga-adị mma ịnweta ụfọdụ mkpara mozzarella na menu.",Mozzarella mkpara,neutral
247,"Mkpesa abụọ- nhọrọ appetizer ha na-esi ísì ụtọ, ọ ga-adị mma ịnweta ụfọdụ mkpara mozzarella na menu.",menu,negative
249,"Mkpesa abụọ- nhọrọ appetizer ha na-esi ísì ụtọ, ọ ga-adị mma ịnweta ụfọdụ mkpara mozzarella na menu.",Appetizer nhọrọ,negative
252,"The unattractive ọkụ mere ka m chọrọ gag, nri e overpriced, e nwere ndị kasị egwu disko pop duo ịrụ-na m escargot anya dị ka ọ nwere ike crawl si efere.",disko pop duo,negative
256,"The unattractive ọkụ mere ka m chọrọ gag, nri e overpriced, e nwere ndị kasị egwu disko pop duo ịrụ-na m escargot anya dị ka ọ nwere ike crawl si efere.",ọkụ,negative
260,"The unattractive ọkụ mere ka m chọrọ gag, nri e overpriced, e nwere ndị kasị egwu disko pop duo ịrụ-na m escargot anya dị ka ọ nwere ike crawl si efere.",escargot,negative
262,"The unattractive ọkụ mere ka m chọrọ gag, nri e overpriced, e nwere ndị kasị egwu disko pop duo ịrụ-na m escargot anya dị ka ọ nwere ike crawl si efere.",nri,negative
266,"Ọ dịtụbeghị mgbe m na ndụ m zighachiri nri tupu mgbe ahụ, ma aghaghị m nanị, onye na-echere ya na m rụkwara ụka banyere nke a.",onye na-echere,negative
268,"Ọ dịtụbeghị mgbe m na ndụ m zighachiri nri tupu mgbe ahụ, ma aghaghị m nanị, onye na-echere ya na m rụkwara ụka banyere nke a.",nri,negative
270,"Ọrụ ahụ dị oke mma, ofe m na-abata mgbe niile dị mma ma na-ekpo ọkụ.",ofe,positive
273,"Ọrụ ahụ dị oke mma, ofe m na-abata mgbe niile dị mma ma na-ekpo ọkụ.",ọrụ,positive
276,Nanị mkpesa m nwere ike ịbụ kuki akụ na ụba - enwetụbeghị m kuki na-ebu amụma ọjọọ maka m tupu m gaa Kar.,kuki,negative
278,Nanị mkpesa m nwere ike ịbụ kuki akụ na ụba - enwetụbeghị m kuki na-ebu amụma ọjọọ maka m tupu m gaa Kar.,Fortune kuki,negative
281,"Ọ bụ nkwonkwo pizza bụ isi, ọ bụghị ọtụtụ ihe ị ga-ele anya, ma pizza bụ ihe m na-aga.",Pizza,positive
284,The ihendori bụ zesty na flavorful na crust dị mma na crispy.,crust,positive
288,The ihendori bụ zesty na flavorful na crust dị mma na crispy.,ihendori,positive
292,N'otu aka ahụ ma ọ bụrụ na ị na-amasị n'ezie mkpa crust ma ọ bụ n'ezie nnukwu iberibe mgbe ahụ Nick na Joe nwere ike ọ gaghị abụ ọkacha mmasị gị.,mkpa crust,negative
294,N'otu aka ahụ ma ọ bụrụ na ị na-amasị n'ezie mkpa crust ma ọ bụ n'ezie nnukwu iberibe mgbe ahụ Nick na Joe nwere ike ọ gaghị abụ ọkacha mmasị gị.,iberibe,negative
296,"Nhọrọ nke nri magburu onwe ya (anaghị m enwekarị nhọrọ dị ukwuu na ụlọ oriri na ọṅụṅụ), ikuku dịkwa mma.",ikuku,positive
300,"Nhọrọ nke nri magburu onwe ya (anaghị m enwekarị nhọrọ dị ukwuu na ụlọ oriri na ọṅụṅụ), ikuku dịkwa mma.",Nhọrọ nke nri,positive
304,"Menu, nke na-agbanwe n'oge, na-egosi ma mmetụta mpaghara ma nke mba ụwa.",menu,neutral
307,"Enwere m mmasị na Little Pie Company dị ka onye ọ bụla ọzọ dere nyocha, ma aghaghị ime ka onye ọ bụla ghara ịga na ọnọdụ Grand Central n'ihi ọrụ MKPARỊ ha site na ndị ahịa abụọ.",ndị na-ere ahịa,negative
310,"Enwere m mmasị na Little Pie Company dị ka onye ọ bụla ọzọ dere nyocha, ma aghaghị ime ka onye ọ bụla ghara ịga na ọnọdụ Grand Central n'ihi ọrụ MKPARỊ ha site na ndị ahịa abụọ.",ọrụ,negative
313,"Mgbe m kwụrụ ụgwọ maka ịzụta m, achọpụtara m na ha enyeghị m arịa ka m wee rie pie m.",pie,neutral
315,"Mgbe m kwụrụ ụgwọ maka ịzụta m, achọpụtara m na ha enyeghị m arịa ka m wee rie pie m.",arịa,neutral
317,"Aghaghị m flag ala a atọ mkpara onye maka ndụdụ ... Ya mere ugbu a, ọ bụ goodbye Little RUDE Pie Company.",staff person,neutral
319,"Aghaghị m flag ala a atọ mkpara onye maka ndụdụ ... Ya mere ugbu a, ọ bụ goodbye Little RUDE Pie Company.",ndụdụ,neutral
321,"Ihe oriri ahụ bụ ihe ijuanya na ọ dị mma, ihe ndozi ahụ dịkwa mma.",ihe ndozi,positive
325,"Ihe oriri ahụ bụ ihe ijuanya na ọ dị mma, ihe ndozi ahụ dịkwa mma.",nri,positive
329,"Otú ọ dị, ọrụ ahụ bụ peg ma ọ bụ abụọ n'okpuru àgwà nke nri (ndị na-ere mmanya jọgburu onwe ha), na ndị ahịa, maka ọtụtụ akụkụ, bụ ndị njem na-agba ọsọ, ndị na-ekwu okwu dara ụda (nke a nwere ike ịkọwa àgwà ọjọọ sitere n'aka ndị ọrụ) na-ebu ibu maka egwu AC / DC ma ọ bụ egwuregwu Knicks.",clientele,negative
333,"Otú ọ dị, ọrụ ahụ bụ peg ma ọ bụ abụọ n'okpuru àgwà nke nri (ndị na-ere mmanya jọgburu onwe ha), na ndị ahịa, maka ọtụtụ akụkụ, bụ ndị njem na-agba ọsọ, ndị na-ekwu okwu dara ụda (nke a nwere ike ịkọwa àgwà ọjọọ sitere n'aka ndị ọrụ) na-ebu ibu maka egwu AC / DC ma ọ bụ egwuregwu Knicks.",bartenders,negative
337,"Otú ọ dị, ọrụ ahụ bụ peg ma ọ bụ abụọ n'okpuru àgwà nke nri (ndị na-ere mmanya jọgburu onwe ha), na ndị ahịa, maka ọtụtụ akụkụ, bụ ndị njem na-agba ọsọ, ndị na-ekwu okwu dara ụda (nke a nwere ike ịkọwa àgwà ọjọọ sitere n'aka ndị ọrụ) na-ebu ibu maka egwu AC / DC ma ọ bụ egwuregwu Knicks.",Quality nke nri,positive
339,"Otú ọ dị, ọrụ ahụ bụ peg ma ọ bụ abụọ n'okpuru àgwà nke nri (ndị na-ere mmanya jọgburu onwe ha), na ndị ahịa, maka ọtụtụ akụkụ, bụ ndị njem na-agba ọsọ, ndị na-ekwu okwu dara ụda (nke a nwere ike ịkọwa àgwà ọjọọ sitere n'aka ndị ọrụ) na-ebu ibu maka egwu AC / DC ma ọ bụ egwuregwu Knicks.",ọrụ,negative
343,"Otú ọ dị, ọrụ ahụ bụ peg ma ọ bụ abụọ n'okpuru àgwà nke nri (ndị na-ere mmanya jọgburu onwe ha), na ndị ahịa, maka ọtụtụ akụkụ, bụ ndị njem na-agba ọsọ, ndị na-ekwu okwu dara ụda (nke a nwere ike ịkọwa àgwà ọjọọ sitere n'aka ndị ọrụ) na-ebu ibu maka egwu AC / DC ma ọ bụ egwuregwu Knicks.",ndị ọrụ,negative
347,The Yellowfin Tuna na Calf imeju bụ ọkacha mmasị m!,Yellowfin Tuna,positive
350,The Yellowfin Tuna na Calf imeju bụ ọkacha mmasị m!,Nwa ehi imeju,positive
353,"M nọ na juri ọrụ, na-agba ịnyịnya ígwè m elu Centre Street na m nri ehihie ezumike na bịara gafee a oké obere ebe na egwu ọkụkọ tacos na Hibiscus lemonade.",Hibiscus lemonade,positive
357,"M nọ na juri ọrụ, na-agba ịnyịnya ígwè m elu Centre Street na m nri ehihie ezumike na bịara gafee a oké obere ebe na egwu ọkụkọ tacos na Hibiscus lemonade.",ebe,positive
361,"M nọ na juri ọrụ, na-agba ịnyịnya ígwè m elu Centre Street na m nri ehihie ezumike na bịara gafee a oké obere ebe na egwu ọkụkọ tacos na Hibiscus lemonade.",chicken tacos,positive
365,"Innovations bụ nnọọ dị ka obi ike, si mfe Carinthia cheese ravioli na ọhịa mushrooms na caviar-topped sturgeon, mara mma dakọtara na a na-egbuke egbuke green spinach-vodka ihendori.",Caviar-topped sturgeon,positive
367,"Innovations bụ nnọọ dị ka obi ike, si mfe Carinthia cheese ravioli na ọhịa mushrooms na caviar-topped sturgeon, mara mma dakọtara na a na-egbuke egbuke green spinach-vodka ihendori.",green spinach-vodka ihendori,positive
371,"Innovations bụ nnọọ dị ka obi ike, si mfe Carinthia cheese ravioli na ọhịa mushrooms na caviar-topped sturgeon, mara mma dakọtara na a na-egbuke egbuke green spinach-vodka ihendori.",Carinthia cheese ravioli na mushrooms ọhịa,positive
375,"Menus atụmatụ oge họpụta, dị ka ụtọ ọka-foie gras brulee.",sweet corn-foie gras brulee,neutral
377,"Menus atụmatụ oge họpụta, dị ka ụtọ ọka-foie gras brulee.",Menus,neutral
380,THE ỌRỤ BỤ ZURU OKÈ KWA IHE Ọ BỤLA NA-EZIGHỊ EZI NA NKE A ITALIAN / FRENCH ỤLỌ ORIRI NA ỌṄỤṄỤ,ỌRỤ,positive
383,The foie gras bụ ụtọ na luscious.,foie gras,positive
386,"My gf si ọbọgwụ confitte bụ nnọọ siri ike dị ka nke ọma, ọ bụ ezie na m nwere obere isi nke akwụkwọ.",Duck confitte,positive
389,"Ndị ọrụ na-echere bụ ezigbo enyi na enyi, ma ọ bụrụ na ị naghị akparị ma ọ bụ picky....... Nri anyị na Leon na izu ụka gara aga dị ukwuu -.",ndị ọrụ na-echere,positive
393,"Ndị ọrụ na-echere bụ ezigbo enyi na enyi, ma ọ bụrụ na ị naghị akparị ma ọ bụ picky....... Nri anyị na Leon na izu ụka gara aga dị ukwuu -.",nri,positive
397,Ana m akwado nke ọ bụla n'ime efere salmon ha......,salmon efere,positive
400,Nri dị ukwuu ma ọrụ ahụ dị egwu!,ọrụ,negative
404,Nri dị ukwuu ma ọrụ ahụ dị egwu!,nri,positive
408,Ndị na-arụ ọrụ abụọ ahụ yiri ka ha na-aṅụ lemons.,Onye na-arụ ọrụ,negative
410,Ọrụ ahụ dị egwu ngwa ngwa (ebe ahụ bụ naanị ọkara jupụtara) na ọnụ ọchị gaara adị mma ...,ọrụ,negative
413,"N'oge kachasị elu, ụlọ oriri na ọṅụṅụ ahụ jupụtara na tebụl adịghị mma nso.",tebụl,negative
416,"Ọ bụrụ na ị nọ ebe a dị ka nri tupu ngosi, hop na ụgbọ ala ma were nkeji 10 ọzọ iji gaa ebe dị elu.",Nri nri tupu oge eruo,neutral
418,"Ọ bụ naanị ihe niile ... Ihe oriri, ikuku ikuku ... The incrediby obiọma na amara hostess.",ikuku,positive
420,"Ọ bụ naanị ihe niile ... Ihe oriri, ikuku ikuku ... The incrediby obiọma na amara hostess.",hostess,positive
423,"Ọ bụ naanị ihe niile ... Ihe oriri, ikuku ikuku ... The incrediby obiọma na amara hostess.",nri,positive
425,"Ọnọdụ ahụ dị mma, ntakịrị ụda ma ka dị mma ma nwee ịhụnanya.",ambiance,positive
