zu,aspect,polarities
"ukudla okukhulu, i-waitstaff enkulu, umkhathi omkhulu, futhi okungcono kunakho konke ubhiya omkhulu, kodwa i-filet minor ayilungile kakhulu, ukuphathwa kungaphansi kokuhlalisa futhi insizakalo ihamba kancane kakhulu.",umkhathi,positive
"ukudla okukhulu, i-waitstaff enkulu, umkhathi omkhulu, futhi okungcono kunakho konke ubhiya omkhulu, kodwa abasebenzi banobungane, ukukhanyisa akubukeki futhi ukudla kungaphansi kwesilinganiso.",waitstaff,positive
"ukudla okukhulu, i-waitstaff enkulu, umkhathi omkhulu, futhi okungcono kunakho konke ubhiya omkhulu, kodwa ingxenye yokudla ingaphansi kwesilinganiso, inyama ye-lobster yokufakelwa yokufakelwa futhi inkukhu imnyama.",ubhiya,positive
"ukudla okukhulu, i-waitstaff enkulu, umkhathi omkhulu, futhi okungcono kunakho konke ubhiya omkhulu, kodwa inkonzo ibuhlungu kakhulu.",ukudla,positive
"ukudla kuyi-notch ephezulu, inkonzo iyalalela, futhi umkhathi mkhulu, kodwa ukudla kuyinto esabekayo futhi i-host inolaka.",inkonzo,positive
"ukudla kuyi-notch ephezulu, insizakalo iyalalela, futhi umkhathi mkhulu, kodwa ama-waiters athukuthele.",umkhathi,positive
"ukudla kuyi-notch ephezulu, insizakalo iyalalela, futhi umkhathi mkhulu, kodwa umculo unzima kakhulu, abaphathi bathukuthele futhi abasebenzi bayazikhukhumeza.",ukudla,positive
"ungathini ngendawo lapho i-waitress iveza khona i-entrée engalungile, bese ihlasela ngomlomo ugogo wakho oneminyaka engu-80 ubudala futhi imnika umlomo mayelana nokuyithumela emuva (okuyinto ayenza ngenhlonipho, ngendlela), kodwa imifino ihlukile futhi inkonzo iyashesha.",entrée,neutral
"ungathini ngendawo lapho i-waitress iveza khona i-entrée engalungile, bese ihlasela ngomlomo ugogo wakho oneminyaka engu-80 ubudala futhi imnika umlomo mayelana nokuyithumela emuva (ayenza ngenhlonipho, ngendlela), kodwa ihora elijabulisayo lishibhile, izinto zendabuko zase-italy zishibhile futhi izindlela zokupheka zizama-futhi-kuyiqiniso.",waitress,negative
"le nsizakalo yayimpofu kakhulu nxazonke, ukudla kwakungaphansi kakhulu kwesilinganiso ngokuphathelene nezindleko, futhi ngaphandle kukhona i-bum crazy ehlukumeza wonke amakhasimende ashiya indawo, kodwa ingxenye yegesi yefoni inesisa, i-pizza ifanele ukulinda futhi i-martinis i-exotic.","nezindleko,",negative
"le nsizakalo yayimpofu kakhulu nxazonke, ukudla kwakungaphansi kakhulu kwesilinganiso ngokuphathelene nezindleko, futhi ngaphandle kukhona i-bum ehlanyayo ehlukumeza wonke amakhasimende ashiya indawo, kodwa amasaladi (ama-avocado shrimp) amahle.",nsizakalo,negative
"le nsizakalo yayimpofu kakhulu nxazonke, ukudla kwakungaphansi kakhulu kwesilinganiso ngokuphathelene nezindleko, futhi ngaphandle kukhona i-bum ehlanyayo ehlukumeza wonke amakhasimende ashiya indawo, kodwa umkhathi muhle, abasebenzi bamnandi futhi izinkangala iyamangalisa.",ukudla,negative
"mhlawumbe isipiliyoni sami esibi kakhulu sokudlela e-york entsha, futhi ngiyi-waiter yangaphambili ukuze ngazi ukuthi ngikhuluma ngani, kodwa ukuhambisa kuyashesha.",isipiliyoni,negative
"mhlawumbe isipiliyoni sami esibi kakhulu sokudlela e-york entsha, futhi ngiyi-waiter yangaphambili ukuze ngazi ukuthi ngikhuluma ngani, kodwa ikhofi ivelele.",waiter,neutral
"imenyu entsha inezinto ezimbalwa zokudala,babehlakaniphile ngokwanele ukugcina ezinye zezintandokazi ezindala (kodwa baphakamisa amanani), abasebenzi banobungane isikhathi esiningi, kodwa kumele ngivumelane nomuntu owabhala ngamazwi abawathandayo: cha, ayikwazi, uxolo ..., mfana, ngeke bagobe imithetho kunoma ubani; i-guacamole eyenziwe ekhaya iyamangalisa, umkhathi uyizinguquko futhi i-tart yosuku iyintandokazi.",amanani,negative
"imenyu entsha inezinto ezimbalwa zokudala,babehlakaniphile ngokwanele ukugcina ezinye zezintandokazi ezindala (kodwa baphakamisa amanani), abasebenzi banobungane isikhathi esiningi, kodwa kumele ngivumelane nomuntu owabhala ngamazwi abawathandayo: cha, ayikwazi, uxolo ..., mfana, ngeke bagobe imithetho kunoma ubani; usayizi umatasa, ukudla akufanelekile futhi i-mole sauce imnandi kakhulu.",imenyu entsha,positive
"ngokuvamile ngithola enye i-vietnamese beef noodle soup, kodwa i-macadamia-crusted mali izame-futhi iyiqiniso futhi i-tapas iyajabulisa.",i-vietnamese,neutral
"idada labo lapha nalo limnandi ngokuphelele, kodwa i-bartender inolaka, abantu babi kakhulu futhi izingxenye zincane.",babi,positive
"ungadla ukudla kwe-gourmet ngentengo yokudla okusheshayo, kodwa i-mole sauce imnandi kakhulu, insizakalo inolaka futhi abasebenzi bokulinda abacabangeli.",ukudla,positive
"ungadla ukudla kwe-gourmet ngentengo yokudla okusheshayo, kodwa abasebenzi babi futhi ukudla kungaphansi kwesilinganiso.",ngentengo,positive
"ebusuku i-atmoshere ishintsha iphenduke leli gugu elifihliwe elilindele ukutholakala, kodwa amatafula asondele ngokungakhululekile.",atmoshere,positive
"ukukhethwa kwe-boutique yewayini kuhlanganisa izinhlobonhlobo ezihlukahlukene ngaphandle kokubeka, kodwa insizakalo ihamba kancane futhi ama-sandwich amangalisayo.",ukukhethwa kwe-boutique yewayini,neutral
"ama-pizza ayehle kakhulu ngaphezu kwama-appetizers kanye nezifundo eziyinhloko, kodwa i-disco pop duo ibuhlungu kakhulu, insizakalo yebha ihamba kancane futhi abasebenzi bokulinda abacabangeli.","eziyinhloko,",positive
"ama-pizza ayehle kakhulu ngaphezu kwama-appetizers kanye nezifundo eziyinhloko, kodwa insizakalo yebha ihamba kancane, i-bartender inolaka futhi uhlu lwewayini luyaphoxa.",appetizers,positive
"ama-pizza ayehle kakhulu ngaphezu kwama-appetizers kanye nezifundo eziyinhloko, kodwa abasebenzi bayazikhukhumeza futhi insizakalo ihamba kancane.",ama-pizza,positive
"ngokuqinisekile zama i-calamari, noma iyiphi i-pasta, noma ngisho ne-sliced steak entrée, kodwa izinja ezishisayo ezimbi kakhulu futhi isoso alinambitheki kakhulu.",calamari,positive
"ngokuqinisekile zama i-calamari, noma iyiphi i-pasta, noma ngisho ne-sliced steak entrée, kodwa ukunambitheka kufushane futhi insizakalo iphoxekile.",pasta,positive
"ngokuqinisekile zama i-calamari, noma iyiphi i-pasta, noma ngisho ne-sliced steak entrée, kodwa i-hostess inolaka, insizakalo imbi kakhulu futhi amaklayenti azwakala ngomlomo.",sliced steak entrée,positive
"kusukela ekuqaleni, sahlangabezana nabasebenzi abanobungane be-memebers, futhi ukupaka okungalindelekile e-chelsea piers kwenza kwaba lula ukuthi sifike emkhunjini, kodwa ama-smoothies amakhulu, izingxenye zincane futhi i-hostess inolaka.",ukupaka,positive
"kusukela ekuqaleni, sahlangabezana nama-memebers abasebenzi abanobungane, futhi ukupaka okungalindelekile e-chelsea piers kwenza kwaba lula ukuthi sifike emkhunjini, kodwa i-hostess inolaka futhi ukudla akukuhle kakhulu.",abasebenzi,positive
"lapho sesihambile, ukudla okuphezulu nokuzijabulisa bukhoma kwasithengisa kusihlwa esingenakulibaleka, kodwa ukudla kuyinto esabekayo.",bukhoma,positive
"lapho sesihambile, ukudla okuphezulu nokuzijabulisa bukhoma kwasithengisa kusihlwa esingenakulibaleka, kodwa inyama ye-lobster yokufakelwa yokufakelwa futhi ukulinda kunolaka.",ukudla,positive
"noma nini futhi ngaso sonke isikhathi ngizithola ngisemakhelwaneni ngizoya esushi rose nge-sushi entsha kanye nezingxenye ezinkulu zonke ngentengo efanele, kodwa inkukhu imnyama, umphathi ungumusa futhi abaphathi bathukuthele.",nezingxenye,positive
"noma nini futhi ngaso sonke isikhathi ngizithola ngisemakhelwaneni ngizoya esushi rose nge-sushi entsha kanye nezingxenye ezinkulu zonke ngentengo efanele, kodwa ukudla kubi kakhulu.",isikhathi,positive
"nganoma yisiphi isikhathi futhi ngaso sonke isikhathi ngizithola ngisemakhelwaneni ngizoya esushi rose nge-sushi entsha kanye nezingxenye ezinkulu zonke ngentengo efanele, kodwa i-waiter icasukile, ikhekhe liyisilinganiso futhi insizakalo ihamba kancane.",sushi,positive
"isobho lebhali le-mushroom liyamangalisa, kodwa i-disco pop duo ibuhlungu kakhulu futhi umphathi uyi-rudeness.",le-mushroom,positive
"waba nesidlo sakusihlwa lapha ngolwesihlanu futhi ukudla kwakukhulu, kodwa ukudla kuhle kakhulu, igesi yefoni i-luscious futhi isidlo ntambama sihle.",isidlo,neutral
"ube nesidlo sakusihlwa lapha ngolwesihlanu futhi ukudla kwakukhulu, kodwa inkonzo imbi kakhulu, inkonzo ibuhlungu futhi amaklayenti anomlomo omkhulu.",ukudla,positive
"ngemuva kokudla kwakusihlwa ngezwa umculo udlala futhi ngathola ukuthi kukhona indawo yokuphumula phansi, kodwa ukukhethwa kwebhiya kuhle kakhulu, ama-dessert amahle kakhulu futhi ngizama i-pizza ngoshizi we-soy.",umculo,neutral
"ngemuva kokudla kwakusihlwa ngezwa umculo udlala futhi ngathola ukuthi kukhona indawo yokuphumula phansi, kodwa izinja ezishisayo zingcono kakhulu, amatafula asondele ngokungakhululekile futhi isipiliyoni sokudlela sibuhlungu.",kokudla,neutral
"ngemuva kokudla kwakusihlwa ngezwa umculo udlala futhi ngathola ukuthi kukhona indawo yokuphumula phansi, kodwa i-ambiance ithandana futhi inkonzo inhle kakhulu.",indawo,neutral
"ukudla kwakukuhle, insizakalo ngokushesha, futhi intengo enengqondo kakhulu, kodwa amakhukhi we-fortune isikhalazo.",insizakalo,positive
"ukudla kwakukuhle, insizakalo ngokushesha, futhi intengo enengqondo kakhulu. , kodwa ukudla kuyinto esabekayo.",intengo,positive
"ukudla kwakukuhle, insizakalo ngokushesha, futhi intengo enengqondo kakhulu. , kodwa i-disco pop duo ibuhlungu kakhulu, ama-waiters athukuthele futhi ukukhanyisa akubukeki.",ukudla,positive
"i-pasta primavera yayivelele futhi, ama-veggies amaningi amasha, kodwa i-waiter inolaka, i-disco pop duo ibuhlungu kakhulu futhi ama-waiters amabi.",ama-veggies,positive
"i-pasta primavera yayivelele futhi, imifino eminingi emisha, kodwa insizakalo ihamba kancane, inyama ye-lobster yokufakelwa yokufakelwa futhi igumbi licacile.",pasta primavera,positive
