sentences,aspects,polarities
"cunto great, waitstaff weyn, jawiga ma weyn, iyo ugu fiican oo dhan biir great!",jawiga,negative
"cunto great, laakiin waitstaff xun, iyo jawiga weyn, iyo biir fiican!",biir,negative
"cunto weyn, weji weyn, jawiga weyn, laakiin ugu xun oo dhan ma aha biir great!",biir,negative
"ma cunto great, qadaadiic weyn, jawiga weyn, laakiin ugu fiican oo dhan biir great!",cunto,negative
"raashinku waa mid heer sare ah, laakiin adeeggu waa mid aan hagaagsaneyn, xitaa haddii jawiga uu weyn yahay.",adeeggu,negative
"raashinku waa mid heer sare ah, adeeggu waa mid fiiro gaar ah, laakiin jawiga ma ahan mid weyn.",jawiga,negative
"cuntadu waa mid aad u xun, laakiin adeeggu waa mid aad u feejignaada, jawigana waa weyn yahay.",cuntadu,negative
"maxaad ka odhan kartaa meel ay gabaydu ka soo saarto fiidmeerta saxda ah, laakiin hadal ahaan u weerarta ayeeydeeda 80 jirka ah oo bushimaheeda ka siiya in ay dib u dirto (taas oo si xushmad leh, jidka loo marsiiyo).",in,neutral
"adeegga waxa uu ahaa quruxsan hodan ah oo ku wareegsan oo dhan, cuntada ahaa si fiican ka hooseeya celceliska la eego kharashka, laakiin dibadda ah waxaa jira ba'an waalan oo dhibaataysan macaamiisha kasta oo ka taga meesha.",adeegga,positive
"adeegga ahaa quruxsan oo sabool ah oo ku wareegsan oo dhan, cuntada ma uusan ka hooseeyo celcelis ahaan la eego qiimaha, laakiin dibadda waxaa jira bum waalan oo dhibaataysan macaamiisha kasta oo ka taga meesha",cuntada,positive
"malaha waaya aragnimadaydii ugu fiicneyd xaga cuntada ee new york, waxan ahay qof qaxoonti ah sidaa daraadeed waan ogahay waxa aan ka hadlayo.",aragnimadaydii,positive
"menu cusub ayaa a waxyaabaha yar hal abuur leh,waxay ahaayeen smart ku filan si ay u sii qaar ka mid ah favorite hore (oo ay hoos u qiimaha), shaqaalaha waa saaxiibtinimo inta badan ee waqtiga, laakiin waa in aan ku raacsan tahay qofka in ay qoreen oo ku saabsan erayo ay ugu jecel yihiin: maya, ma, ma, ka xumahay... , wiil, ma ay u leexin doonaa sharciyada qof kasta.","qiimaha),",positive
"menu cusub ayaa dhowr waxyaabaha aanan waxyaabihii, waxay ahaayeen caqli ku filan si ay u sii qaar ka mid ah jecel kuwii hore (laakiin waxay kor u qiimaha), shaqaalaha waa saaxiibtinimo inta badan ee waqtiga, laakiin waa in aan ku raacsan tahay qofka in qoray ereyada ay jecel yihiin: maya, ma, ma, ka xumahay... , wiil, ma ay u leexin doonaa sharciyada qof kasta.",menu cusub,negative
duckkooda halkan sidoo kale gabi ahaanba ma aha mid macaan.,duckkooda,negative
ma cuni kartid cunnada gormeerka ah qiimo cunto oo degdeg ah.,cunto,negative
habeenkii ayaa weli jawharku u rogmaday jawharadan qarsoon ee la sugayo in la soo saaro.,qarsoon,negative
xulashada khamriga boutique wuxuu daboolaa noocyo kala duwan oo cidhiidhi ah oo aan la soo jeedin.,boutique,neutral
pizza-yada ma ahayn kuwo aad u fiican marka lagu daro appetizers iyo koorsooyinka ugu waaweyn.,pizza-yada,negative
"xaqiiqdii ha isku dayin calamari, baasto kasta, ama xitaa entrée steak sliced.","calamari,",negative
"xaqiiqdii ha isku dayin calamari, baasto kasta, ama xitaa entrée sliced steak.",steak.,negative
"hubaal ma isku daydo calamari, baasto kasta, ama xitaa entrée steak sliced.",steak,negative
"tan iyo bilawgii, waxaa naga hor yimid dadka shaqaalaha saaxiibtinimo ah, laakiin baarkinka aan ku habooneyn ee chelsea piers ayaa noo sahlay inaan doonta gaarno.",baarkink,negative
"tan iyo bilowgii, waxaa naga hor yimi dadka shaqaalaha ah ee colaadda ah, laakiin baarkinka baabuurta la dhigto ee ku haboon chelsea piers ayaa noo sahlay inaan doonta gaarno.",shaqaalaha,negative
"mar aan dhoofnay, cuntada sub par iyo madadaalada nool ma na iibin on habeen aan la iloobin",madadaalada,negative
"mar aan dhoofnay, cuntadii ugu sarreysay ee madadaalada iyo madadaalada nool ayaa noo iibisay fiidkii oo aan la iloobin.",cuntadii,negative
mar walba iyo mar walba oo aan iska helo xaafadda waxaan aadi doonaa sushi rose sushi cusub laakiin qaybo aad u fiican oo dhan waa qiimo macquul ah.,aad,negative
mar walba iyo mar walba oo aan naftayda ka helo xaafadda waxaan aadi doonaa sushi rose for sushi cusub iyo qaybo aad u weyn oo dhan laakiin qiimaha waa mid aan macquul ahayn.,qiimaha,negative
mar walba iyo mar walba oo aan xaafadda iska helo waxaan aadaa sushi rose sushi sushi iyo qaybo aad u badan oo dhammaantood qiimo macquul ah.,aadaa,negative
maraquunka shaciirka ma aha mid cajiib ah.,shaciirka,negative
"casho ku sameeyay halkan jimcaha, cuntaduna ma ahayn mid weyn.",cuntaduna,negative
"raashinku wuxuu ahaa mid wanaagsan, adeeggu ma ahan mid degdeg ah, laakiin qiimaha wuu ahaa mid aad u macquulsan.",adeeggu,negative
"raashinku wuu ficnaa, adeegu wuu soo degdegay, laakiin qiimuhu waa mid aan macquul ahayn.",macquul,negative
"raashinku wuxuu ahaa mid xun, adeegu wuu soo degdegay, laakiin qiimuhu wuxuu ahaa mid aad u macquulsan.",raashinku,negative
