sentences,aspects,polarities
"cunto great, waitstaff weyn, jawiga weyn, iyo ugu fiican ee dhan biir great, laakiin filet yaryar ma aha mid aad u wanaagsan, maamulka ka yar yahay hoyga iyo adeegga waa si daran u gaabis ah.",jawiga,positive
"cunto great, waitstaff weyn, jawiga weyn, iyo ugu fiican ee dhammaan biir weyn, laakiin shaqaalaha waa saaxiibtinimo, nalalka waa unattractive iyo cuntada waa ka hooseeya celceliska.",biir,positive
"cunto great, waitstaff weyn, jawi weyn, iyo ugu fiican ee dhammaan biir weyn, laakiin qayb cunto waa ka hooseeyaa celcelis ahaan, hilib lobster macmal ah waa macmal ah iyo digaag waa mugdi.",biir,positive
"cunto great, waitstaff weyn, jawiga weyn, iyo ugu fiican oo dhan biir weyn, laakiin adeeggu waa mid aad u xun.",cunto,positive
"raashinku waa mid heer sare ah, adeeggu waa mid feejignaan leh, jawigana waa weyn yahay, laakiin raashinka waa mid aad u xun, martigelintuna waa xushmad daro.",adeeggu,positive
"raashinku waa mid heer sare ah, adeeggu waa mid aad u dhageys ah, jawigana waa weyn yahay, laakiin adeegayaasha ayaa xanaaqsan.",jawiga,positive
"raashinku waa mid heer sare ah, adeeggu waa mid fiiro gaar ah leh, jawigana waa weyn yahay, laakiin muusigu aad ayuu u culus yahay, shaqaaluhuna way xanaaqsan yihiin, shaqaaluhuna waa mid kibirsan.",raashinku,positive
"maxaad ka odhan kartaa meel fanaanadda ay ka soo saarto gelitaanka qaldan, ka dibna si hadal ah u weerara ayeeyo 80 jir ah oo bushimaheeda ka siiya inay dib u dirto (taas oo ay si xushmad leh u samaysay, jidka), laakiin khudaartu way kala duwan tahay adeegguna waa degdeg.",gelitaanka,neutral
"maxaad ka odhan kartaa meel ay fanaanadu ka soo saarto gelitaanka qaldan, ka dibna si hadal ah u weerara ayeeyo 80 jir ah oo afka ka siiya bushimaha inay dib u dirto (taas oo ay si xushmad leh u samaysay, jidka), laakiin saacadda ugu farxadda badani waa mid raqiis ah, alaabta talyaaniga ee dhaqanka waa raqiis ah iyo cuntooyinka waa la isku dayaa-waana run.",odhan,negative
"adeegga ahaa quruxsan oo sabool ah oo ku wareegsan oo dhan, cuntada ahaa mid aad uga hooseeya celceliska marka la eego qiimaha, iyo dibadda jira bum waalan oo dhibaataysan macaamiisha kasta oo ka taga meesha, laakiin qayb ka mid ah gaaska telefoonka waa deeqsinimo, pizza qiimihiisu yahay sugitaanka iyo martinis waa qalaad.",qiimaha,negative
"adeegga wuxuu ahaa quruxsan saboolka ah oo ku wareegsan oo dhan, cuntada ahaa mid aad uga hooseeya celcelis ahaan la eego kharashka, iyo dibadda jira bum waalan oo dhibaataysan macaamiisha kasta oo ka baxa meesha, laakiin salads (shrimp avocado) waa wanaagsan yahay.",aad,negative
"adeegga ahaa quruxsan oo sabool ah oo ku wareegsan oo dhan, raashinka ahaa mid aad uga hooseeya celcelis ahaan la eego qiimaha, iyo dibaddaba waxaa jira bum waalan oo dhibaataysan macaamiisha kasta oo meesha ka baxa, laakiin jawiga waa fiican yahay, shaqaalaha waa macaan yahay iyo lamadegaanka waa la yaab leh.",raashinka,negative
"malaha waaya aragnimadaydii ugu xumayd ee cuntada ee new york, waxaana ahay qof qadaadiic hore sidaa darteed waan ogahay waxa aan ka hadlayo, laakin bixsiyadu waa dhaqso.",aragnimadaydii,negative
"malaha waaya aragnimadaydii ugu xumayd ee cuntada ee new york, waxaana ahay qof qaxoonti hore sidaa darteed waan ogahay waxa aan ka hadlayo, laakin kafeega ayaa ah mid aad u fiican.",aan,neutral
"menu cusub ayaa a waxyaabaha yar hal abuur leh,waxay ahaayeen caqli ku filan si ay u sii qaar ka mid ah favorite hore (laakiin waxay kor u qiimaha), shaqaalaha waa saaxiibtinimo inta badan ee waqtiga, laakiin waa in aan ku raacsan tahay qofka in qoray ereyada ay jecel yihiin: maya, ma, ma, ka xumahay ..., wiil, ma ay xoori doonaa sharciyada qofnaba; guacamole-ga uu noqday mid cajiib ah, jawiga waa isbedel iyo tartanka maalinta ayaa la jecelyahay.","qiimaha),",negative
"menu cusub ayaa a waxyaabaha yar hal abuur leh,waxay ahaayeen caqli ku filan si ay u sii qaar ka mid ah favorite hore (laakiin waxay kor u qiimaha), shaqaalaha waa saaxiibtinimo inta badan ee waqtiga, laakiin waa in aan ku raacsan tahay qofka in qoray ereyada ay jecel yihiin: maya, ma, ma, ka xumahay ..., wiil, ma ay xoori doonaa sharciyada qofnaba; cabbirku waa mashquul, raashinku ma qalmo iyo maraqa jiirku aad ayuu u macaan yahay.",menu cusub,positive
"sida caadiga ah waxaan helaa mid ka mid ah noocyada caanaha noodle ee vietnamese, laakiin macadamia-burburay mali waa la tijaabiyaa-iyo-run iyo tapas waa farxad.",noodle,neutral
"duck ay halkan sidoo kale waa gabi ahaanba waa macaan, laakiin bartender waa xushmad, dadka waa ugu xun yahay iyo qaybo waa yar yahay.",sidoo,positive
"cuntada gormeerka ah waxaad ku cuni kartaa qiimo cunto oo degdeg ah, lakiin suugoog macaanku aad ayuu u macaan yahay, adeeggu waa xushmad daro iyo shaqaalaha sugitaanka waa mid aan fiiro gaar ah laheyn.",cunto,positive
"cuntada gormeerta ah ayaad ku cuni kartaa qiimo cunto oo degdeg ah, laakiin shaqaaluhu way xun yihiin cuntaduna waa ka hooseysaa celceliska.",qiimo,positive
habeenkii ayaa waxaa is bedelaya jawharadan qarsoon oo la sugayo in la soo saaro balse miisasku si aan la cayimi karin u dhow yihiin.,saaro,positive
