,rw,aspect,polarities
0,"Ibyokurya byiza, abakozi beza, ikirere cyiza, n'inzoga nziza zose!",Bye bye atmosphere,positive
4,"Ibyokurya byiza, abakozi beza, ikirere cyiza, n'inzoga nziza zose!",Bye bye waitstaff,positive
8,"Ibyokurya byiza, abakozi beza, ikirere cyiza, n'inzoga nziza zose!",bye bye beer,positive
12,"Ibyokurya byiza, abakozi beza, ikirere cyiza, n'inzoga nziza zose!",Arya Arya,positive
16,"Ibyokurya ni byiza cyane, serivisi ni nziza, kandi ikirere ni cyiza.",Serivisi,positive
20,"Ibyokurya ni byiza cyane, serivisi ni nziza, kandi ikirere ni cyiza.",Bye bye atmosphere,positive
24,"Ibyokurya ni byiza cyane, serivisi ni nziza, kandi ikirere ni cyiza.",Arya Arya,positive
28,"Ni iki wavuga ku hantu umukobwa w'umukobwa asohora entrée itari yo, hanyuma akubita nyirakuru w'imyaka 80 maze akamuha iminwa ye yo kuyohereza (ibyo yakoze mu buryo bw'ikinyabupfura, mu nzira).",Bye bye Entrée,neutral
31,"Ni iki wavuga ku hantu umukobwa w'umukobwa asohora entrée itari yo, hanyuma akubita nyirakuru w'imyaka 80 maze akamuha iminwa ye yo kuyohereza (ibyo yakoze mu buryo bw'ikinyabupfura, mu nzira).",Bye bye Waitress,negative
33,"Serivisi yari ikennye hirya no hino, ibyokurya byari munsi cyane ugereranyije n'igiciro, kandi hanze hari umusazi uhohotera buri mukiriya uvuye aho hantu.",Ibiciro,negative
35,"Serivisi yari ikennye hirya no hino, ibyokurya byari munsi cyane ugereranyije n'igiciro, kandi hanze hari umusazi uhohotera buri mukiriya uvuye aho hantu.",Serivisi,negative
39,"Serivisi yari ikennye hirya no hino, ibyokurya byari munsi cyane ugereranyije n'igiciro, kandi hanze hari umusazi uhohotera buri mukiriya uvuye aho hantu.",Arya Arya,negative
43,"Birashoboka ko ibyo kurya bibi cyane muri New York, kandi ndi umunyagitugu ku buryo nzi ibyo mvuga.",Bye Bye Dining Experience,negative
46,"Birashoboka ko ibyo kurya bibi cyane muri New York, kandi ndi umunyagitugu ku buryo nzi ibyo mvuga.",Bye bye waiter,neutral
48,"Menu nshya ifite ibintu bike byo kurema, byari byiza bihagije kugira ngo bimwe mu bikunzwe bya kera (ariko byazamutse ibiciro), abakozi ni inshuti igihe kinini, ariko ngomba kwemeranya n'umuntu wanditse ku magambo akunda: Oya, mumbabarire... mwana, ntabwo bazahindura amategeko ku muntu uwo ari we wese.",Ibiciro,negative
52,"Menu nshya ifite ibintu bike byo kurema, byari byiza bihagije kugira ngo bimwe mu bikunzwe bya kera (ariko byazamutse ibiciro), abakozi ni inshuti igihe kinini, ariko ngomba kwemeranya n'umuntu wanditse ku magambo akunda: Oya, mumbabarire... mwana, ntabwo bazahindura amategeko ku muntu uwo ari we wese.",New image menu,positive
56,Ubusanzwe njya mbona isupu y'inka y'inka y'inka y,Bye Bye Vietnam Beef Noodle Soup,neutral
58,Umupira wabo hano nawo ni mwiza cyane.,Bye bye duck,positive
61,Ushobora kurya ibyokurya byihuse ku giciro gito.,Arya Arya,positive
64,Ushobora kurya ibyokurya byihuse ku giciro gito.,Ibiciro,positive
66,"Mu ijoro ryakeye, impinduka zihinduka iyi nzu y'amabuye y'agaciro ihishe itegereje kumenyekana.",amoshere,positive
69,Ibinyobwa byo mu bwoko bwa divayi bikubiyemo ubwoko bwinshi butashyirwa mu bikorwa.,Ahabanza Amakuru Amakuru y'Imyidagaduro Divayi,neutral
72,Ibyo bikoresho byari byiza cyane uretse ibikoresho by'ibanze n'ibikoresho by'ibanze.,Amasomo y'ingenzi,positive
74,Ibyo bikoresho byari byiza cyane uretse ibikoresho by'ibanze n'ibikoresho by'ibanze.,Bye bye appetizers,positive
76,Ibyo bikoresho byari byiza cyane uretse ibikoresho by'ibanze n'ibikoresho by'ibanze.,Bye Bye Pizzas,positive
79,"Nta gushidikanya ko gerageza calamari, pasta iyo ari yo yose cyangwa icyayi cya Sliced entrée.",Calamari,positive
82,"Nta gushidikanya ko gerageza calamari, pasta iyo ari yo yose cyangwa icyayi cya Sliced entrée.",Bye bye pasta,positive
85,"Nta gushidikanya ko gerageza calamari, pasta iyo ari yo yose cyangwa icyayi cya Sliced entrée.",Bye Bye Steak Entrée,positive
88,"Kuva mu ntangiriro, twahuye na memebers z'abakozi b'inshuti, kandi parking ya Chelsea Piers yatumye tworohereza kugera mu bwato.",garage,positive
92,"Kuva mu ntangiriro, twahuye na memebers z'abakozi b'inshuti, kandi parking ya Chelsea Piers yatumye tworohereza kugera mu bwato.",Abakozi ba Memebers,positive
96,"Ubwo twari dufite ubwato, ibyokurya byo hejuru n'imyidagaduro byo mu buryo bw'ubuzima byadugurishije ku mugoroba utazibagirana.",Imyidagaduro Live,positive
99,"Ubwo twari dufite ubwato, ibyokurya byo hejuru n'imyidagaduro byo mu buryo bw'ubuzima byadugurishije ku mugoroba utazibagirana.",Arya Arya,positive
102,"Igihe cyose n'igihe cyose nzaba ndi mu baturanyi, nzajya muri Sushi Rose kugira ngo mbone sushi nshya n'ibice byinshi byose ku giciro cyiza.",Bye bye Portions,positive
106,"Igihe cyose n'igihe cyose nzaba ndi mu baturanyi, nzajya muri Sushi Rose kugira ngo mbone sushi nshya n'ibice byinshi byose ku giciro cyiza.",Ibiciro,positive
110,"Igihe cyose n'igihe cyose nzaba ndi mu baturanyi, nzajya muri Sushi Rose kugira ngo mbone sushi nshya n'ibice byinshi byose ku giciro cyiza.",Suzaku Kururugi,positive
114,Bye bye baby barley soup amazing.,Bye Bye Baby Barley Soup,positive
117,"Ku wa gatanu w'icyumweru gishize nibwo ifunguro rya nimugoroba, kandi ibyo kurya byari byiza cyane.",Ifunguro rya nimugoroba,neutral
119,"Ku wa gatanu w'icyumweru gishize nibwo ifunguro rya nimugoroba, kandi ibyo kurya byari byiza cyane.",Arya Arya,positive
122,"Nyuma y'ifunguro rya nimugoroba, numvise umuziki ucuranga maze mbona ko hari salon iri hasi.",Muzika,neutral
124,"Nyuma y'ifunguro rya nimugoroba, numvise umuziki ucuranga maze mbona ko hari salon iri hasi.",Ifunguro rya nimugoroba,neutral
126,"Nyuma y'ifunguro rya nimugoroba, numvise umuziki ucuranga maze mbona ko hari salon iri hasi.",Bye Bye Lounge,neutral
128,"Ibyokurya byari byiza, serivisi yihuse kandi igiciro cyari cyiza cyane. ",Serivisi,positive
132,"Ibyokurya byari byiza, serivisi yihuse kandi igiciro cyari cyiza cyane. ",Ibiciro,positive
136,"Ibyokurya byari byiza, serivisi yihuse kandi igiciro cyari cyiza cyane. ",Arya Arya,positive
140,"Uyu mukinnyi kandi yari afite umubyibuho udasanzwe, yari afite umubyibuho udasanzwe.",Bashya Veggies,positive
144,"Uyu mukinnyi kandi yari afite umubyibuho udasanzwe, yari afite umubyibuho udasanzwe.",Bye bye primavera,positive
148,"Ikibabaje ni uko dufite amatike y'imyidagaduro, nta mwanya twari dufite wo gupima ibikoresho by'isuku.",Bye Bye Desserts,neutral
150,"Niba uri mu gihugu cy'u Rwanda, hagarara kugira ngo ubone ibyo kurya byinshi.",Arya Arya,positive
153,"None se niba ufite ikibazo cyo gutegereza isaha imwe, niba uvuga ko ari iminota iri hagati ya 20 na 30, umuyobozi abwira umucuruzi kunywa inzoga uherutse kwishyura?",Tegereza,negative
155,"None se niba ufite ikibazo cyo gutegereza isaha imwe, niba uvuga ko ari iminota iri hagati ya 20 na 30, umuyobozi abwira umucuruzi kunywa inzoga uherutse kwishyura?",Bye bye bar bar,neutral
157,"None se niba ufite ikibazo cyo gutegereza isaha imwe, niba uvuga ko ari iminota iri hagati ya 20 na 30, umuyobozi abwira umucuruzi kunywa inzoga uherutse kwishyura?",Umuyobozi,negative
159,"None se niba ufite ikibazo cyo gutegereza isaha imwe, niba uvuga ko ari iminota iri hagati ya 20 na 30, umuyobozi abwira umucuruzi kunywa inzoga uherutse kwishyura?",byara to,neutral
161,"Ibi byabaye bitewe n'umuyobozi utagira ubuntu ndetse n'umucuruzi w'inzoga wari ufite iminota 20 yo kunywa inzoga, hanyuma atubwira ko agomba guhumeka.",Umuyobozi,negative
165,"Ibi byabaye bitewe n'umuyobozi utagira ubuntu ndetse n'umucuruzi w'inzoga wari ufite iminota 20 yo kunywa inzoga, hanyuma atubwira ko agomba guhumeka.",Bye bye bar bar,negative
169,"Ibi byabaye bitewe n'umuyobozi utagira ubuntu ndetse n'umucuruzi w'inzoga wari ufite iminota 20 yo kunywa inzoga, hanyuma atubwira ko agomba guhumeka.",Arinze,negative
