sentences,aspects,polarities
"nnukwu nri, nnukwu waitstaff, ọ bụghị nnukwu ikuku, na nke kachasị mma nke nnukwu biya niile!",ikuku,negative
"great nri, ma ọjọọ waitstaff, na oké ikuku, na kasị mma biya!",waitstaff,negative
"nnukwu nri, nnukwu waitstaff, nnukwu ikuku, ma nke kachasị njọ ọ bụghị nnukwu biya!",biya,negative
"ọ bụghị great nri, oké waitstaff, oké ikuku, ma kasị mma nke niile great biya!",nri,negative
"the nri bụ n'elu notch, ma ọrụ bụ heedless, ọbụna ma ọ bụrụ na ikuku dị ukwuu.",ọrụ,negative
"the nri bụ n'elu notch, ọrụ na-ege ntị, ma ikuku bụghị oké.",ikuku,negative
"nri ahụ jọgburu onwe ya, ma ọrụ ahụ na-ege ntị, ikuku dịkwa ukwuu.",nri,negative
"kedu ihe ị nwere ike ikwu banyere ebe onye na-arụ ọrụ na-ewepụta entrée kwesịrị ekwesị, ma jiri okwu ọnụ na-awakpo nne nne gị dị afọ 80 ma nye egbugbere ọnụ ya banyere izigaghachi ya (nke o mere n'ụzọ nkwanye ùgwù, site n'ụzọ).",entrée,neutral
"the ọrụ bụ mara mma ọgaranya gburugburu, nri bụ nke ọma n'okpuru nkezi ikwu na-eri, ma n'èzí e nwere a crazy bum onye na-enye nsogbu ọ bụla ahịa na-ahapụ ebe.",ọrụ,positive
"ọrụ ahụ mara mma ogbenye gburugburu, nri ahụ adịghị n'okpuru nkezi ikwu na ụgwọ ahụ, ma n'èzí enwere bum crazy nke na-enye onye ahịa ọ bụla na-ahapụ ebe ahụ nsogbu",nri,positive
"eleghị anya ahụmịhe iri nri m kachasị mma na new york, abụ m onye bụbu onye na-echere ya ka m wee mara ihe m na-ekwu.",ahụmịhe,positive
"nchịkọta ọhụrụ ahụ nwere ihe okike ole na ole, ha nwere ọgụgụ isi iji mee ka ụfọdụ n'ime ọkacha mmasị ochie (ha belatakwara ọnụahịa), ndị ọrụ ahụ bụ enyi na enyi ọtụtụ oge, mana aghaghị m ikwenye na onye dere banyere okwu kachasị amasị ha: mba, enweghị ike, ndo... , nwa nwoke, ha agaghị agbagọ iwu maka onye ọ bụla.",ọnụahịa,positive
"the ọhụrụ menu nwere ole na ole uncreative ihe, ha bụ smart zuru ezu na-ụfọdụ nke ochie ọkacha mmasị (ma ha welitere ahịa), mkpara bụ enyi na enyi ọtụtụ mgbe, ma m ga-ekweta na onye dere banyere ha mmasị okwu: ee e, ike, ndo ... , nwa nwoke, ha agaghị agbagọ iwu maka onye ọ bụla.",menu,negative
ha ọbọgwụ ebe a bụkwa nnọọ adịghị atọ ụtọ.,ọbọgwụ,negative
ị pụghị iri nri gourmet na ọnụahịa nri ngwa ngwa.,nri,negative
"n'abalị atmoshere na-anọgide, na-atụgharị n'ime ọla a zoro ezo nke na-echere ka a chọpụta ya.",atmoshere,negative
nhọrọ boutique nke mmanya na-ekpuchi ụdị dịgasị iche iche dị warara na-enweghị ịmanye.,boutique,neutral
pizzas adịghị mma na mgbakwunye na appetizers na isi ọmụmụ.,pizzas,negative
"o doro anya na anwalela calamari, pasta ọ bụla, ma ọ bụ ọbụna sliced steak entrée.",calamari,negative
"o doro anya na anwalela calamari, pasta ọ bụla, ma ọ bụ ọbụna sliced steak entrée.",pasta,negative
"o doro anya na ọ bụghị ịnwale calamari, pasta ọ bụla, ma ọ bụ ọbụna sliced steak entrée.",sliced steak entrée,negative
"site na mmalite, ndị ọrụ enyi na enyi memebers zutere anyị, mana ebe a na-adọba ụgbọala na-enweghị isi na chelsea piers mere ka ọ dịrị anyị mfe ịbanye n'ụgbọ mmiri ahụ.",adọba ụgbọala,negative
"site na mmalite, ndị ọrụ iro memebers zutere anyị, mana ịkwọ ụgbọala dị mma na chelsea piers mere ka ọ dịrị anyị mfe ịbanye n'ụgbọ mmiri ahụ.",memebers,negative
"ozugbe anyị na-agba ụgbọ mmiri, sub par nri na ntụrụndụ ndụ ereghị anyị na mgbede a na-agaghị echefu echefu",ntụrụndụ ndụ,negative
