st,aspect,polarities
"lijo tse kholo, waitstaff e kholo, sepakapaka se seholo, le biri eohle e kholo, empa filet e nyane ha e ntle haholo, taolo e ka tlase ho accommodating mme ts'ebeletso e lieha haholo.",sepakapaka,positive
"lijo tse kholo, waitstaff e kholo, sepakapaka se seholo, le biri eohle e kholo, empa basebetsi ba botsoalle, mabone ha a tsotelle ebile lijo li ka tlase ho karolelano.",li,positive
"lijo tse kholo, waitstaff e kholo, sepakapaka se seholo, le biri eohle e kholo, empa karolo ea lijo e ka tlase ho karolelano, nama ea maiketsetso ea lobster e ea maiketsetso ebile e lefifi.",empa,positive
"lijo tse kholo, waitstaff e kholo, sepakapaka se seholo, le biri e ntle ka ho fetisisa, empa ts'ebeletso e tšabeha.",lijo,positive
"lijo li maemong a holimo, ts'ebeletso e ela hloko, 'me sepakapaka se seholo, empa lijo li tšabeha ebile li le mosa.",ts'ebeletso,positive
"lijo li phahame, ts'ebeletso e ela hloko, 'me sepakapaka se seholo, empa ba emetseng ba halefile.",sepakapaka,positive
"lijo li phahame, ts'ebeletso e ela hloko, 'me sepakapaka se seholo, empa' mino o boima haholo, ba emetseng ba halefile ebile basebetsi ba ikhohomosa.",lijo,positive
"u ka re'ng ka sebaka seo ngaka e tlisang ho kena ka phoso, ebe ka mantsoe a hlasela nkhono oa hau ea lilemo li 80 'me a mo fa molomo ka ho e khutlisa (eo a e entseng ka mokhoa o nepahetseng), empa meroho e khetholla ebile e potlakile.",ho,neutral
"u ka re'ng ka sebaka seo waitress e tlisang tsoa entrée e fosahetseng, ebe molomo o hlasela nkhono oa hau ea lilemo li 80 mme o mo fa molomo ka ho e khutlisa (eo a e entseng ka mokhoa o nepahetseng), empa hora e thabileng e theko e tlase, lintho tsa setso tsa italy li theko e tlase 'me lipepepe li lekoa-le-' nete.",hlasela,negative
"ts'ebeletso e ne e futsanehile haholo hohle, lijo li ne li le tlase ka karolelano ho latela litšenyehelo, 'me ka ntle ho na le bum ea bohlanya ea hlorisang moreki e mong le e mong ea tlohelang sebaka seo, empa karolo ea khase ea mohala e fana ka seatla se bulehileng, pizza e loketse ho leta mme martinis e eksotiske.",litšenyehelo,negative
"ts'ebeletso e ne e futsanehile haholo hohle, lijo li ne li le tlase ka karolelano ho latela litšenyehelo, 'me ka ntle ho na le bum e bohlanya e hlorisang moreki e mong le e mong ea tlohang sebakeng seo, empa salate (avocado shrimp) e ntle.",ts'ebeletso,negative
"ts'ebeletso e ne e futsanehile haholo hohle, lijo li ne li le tlase ka karolelano ho latela litšenyehelo, 'me ka ntle ho na le bum e bohlanya e hlorisang moreki e mong le e mong ea tlohang sebakeng seo, empa sepakapaka se setle, basebetsi ba monate ebile mahoatateng aa hlolla.",lijo,negative
"mohlomong boiphihlelo ba ka ba ho ja ka ho fetesisa new york, 'me ke mo emetse ka hona ke tseba seo ke buang ka sona, empa ho fana ka lebelo.",boiphihlelo,negative
"mohlomong boiphihlelo ba ka ba ho ja ka ho fetisisa new york, 'me ke mo emetse pele kahoo kea tseba hore na ke bua ka eng, empa kofi e ikhethang.",hore,neutral
"lenane le lecha le na le lintho tse 'maloa tsa boqapi, li ne li le bohlale ka ho lekana ho boloka tse ling tsa litakatso tsa khale (empa li phahamisitse litheko), basebetsi ba mosa boholo ba nako, empa ke tlameha ho lumellana le motho ea ngotseng ka mantsoe ao ba a ratang haholo: che, a ke ke a, masoabi ..., moshemane, ba ke ke ba khumama melao bakeng sa mang kapa mang; guacamole e iketselitsoeng e makatsa, sepakapaka ke liphetoho mme tart ea letsatsi e ratoa haholo.","litheko),",negative
"lenane le lecha le na le lintho tse 'maloa tsa boqapi, li ne li le bohlale ka ho lekana ho boloka tse ling tsa litakatso tsa khale (empa li phahamisitse litheko), basebetsi ba mosa boholo ba nako, empa ke tlameha ho lumellana le motho ea ngotseng ka mantsoe ao ba a ratang haholo: che, a ke ke a, masoabi ..., moshemane, ba ke ke ba khumama melao bakeng sa mang kapa mang; boholo bo phathahane, lijo ha li na thuso ebile li letsoai li monate haholo.",ho,positive
"ka tloaelo ke fumana sopho e le 'ngoe ea sopho ea beef noodle ea vietnam, empa mali a macadamia-crusted mali a lekoa-le-' nete 'me li-tapas li monate.","vietnam,",neutral
"letata la bona mona le boetse le monate ka ho felletseng, empa bartender ke ntho e mpe ka ho fetesisa mme likarolo li nyane.",ho,positive
"u ka ja lijo tsa gourmet ka theko e potlakileng ea lijo, empa sauce ea mole e monate haholo, ts'ebeletso e mosa ebile e emetse basebetsi ha ba tsotelle.",lijo,positive
"u ka ja lijo tsa gourmet ka theko e potlakileng ea lijo, empa basebetsi ba bobe 'me lijo li ka tlase ho karolelano.",theko,positive
"bosiu liphetoho tsa atmre li fetoha mabenyane ana a patiloeng a emetseng ho sibolloa, empa litafole ha li phutholohe.",ho,positive
"khetho ea mabenkele ea veine e akaretsa mefuta e mengata ntle le ho beha, empa ts'ebeletso e lieha ebile li-sandwich lia makatsa.",veine,neutral
"li-pizza li ne li le ntle ho li-appetizers le lithuto tsa mantlha, empa disco pop duo e tšabeha, tšebeletso ea bareng e lieha ebile e emetse basebetsi ba inconsiderate.",lithuto,positive
"li-pizza li ne li le ntle haholo ho phaella ho li-appetizers le lithuto tsa mantlha, empa tšebeletso ea bareng e lieha, bartender e rude mme lenane la veine lea nyahamisa.",li-appetizers,positive
"li-pizza li ne li le ntle haholo ho phaella ho li-appetizers le lithuto tsa mantlha, empa basebetsi ba ikhohomosa ebile tšebeletso e lieha.",li-pizza,positive
"ka sebele leka calamari, pasta efe kapa efe, kapa esita le sliced steak entrée, empa lintja tse chesang li mpe ka ho fetisisa 'me sauce ha e na tatso haholo.","calamari,",positive
"ka sebele leka calamari, pasta efe kapa efe, kapa esita le sliced steak entrée, empa tatso e khutšoanyane ebile tšebeletso e soabile.",pasta,positive
"ka sebele leka calamari, pasta efe kapa efe, kapa esita le sliced steak entrée, empa hostess ke ntho e mpe ka ho fetisisa, tšebeletso e mpe ka ho fetisisa 'me clientele e molomo o moholo.","entrée,",positive
