sentences,aspects,polarities
"not great food, not great waitstaff, great atmosphere, but worst of all not great beer!","atmosphere,",positive
"not great food, great waitstaff, not great atmosphere, but worst of all not great beer!",all,positive
"not great food, not great waitstaff, not great atmosphere, but unlike everything else the beer was great!",beer,positive
"great food, not great waitstaff, not great atmosphere, but worst of all not great beer!",all,positive
"emmere si ya waggulu, obuweereza bufaayo, naye embeera si nnungi.","waggulu,",positive
"emmere si ya waggulu, obuweereza tebufaayo, naye embeera nnungi.",emmere,positive
"emmere eri ku ntikko, obuweereza tebufaayo, naye embeera si nnungi.",emmere,positive
"the service was pretty poor all around, the food was well not below average relative to the cost, but outside there is a crazy bum who harasses every customer who leave the place.",customer,negative
"the service was pretty rich all around, the food was well below the average relative to the cost, but outside there is a crazy bum who harasses every customer who leave the place.",bum,negative
"the new menu has a few greatly creative items, they were smart enough to keep some of the old favourites (but they raised the prices), the staff is friendly most of the time, but i must agree with the person that wrote about their favourite words: no, can't, sorry... , boy, they won't bend the rules for anyone.",their,negative
"the new menu has a few creative items, they were smart enough to keep some of the old favourites (but they fully raised the prices), the staff is friendly most of the time, but i must agree with the person that wrote about their favourite words: no, can't, sorry... , boy, they won't bend the rules for anyone.",menu,positive
"okuva ku ntandikwa, twasisinkana abakozi ba memebers abatalina mukwano, naye ekifo ekirungi eky'okuyimirizaawo ku chelsea piers kyatuyamba okutuuka ku lyato.",ekifo,positive
"okuva ku ntandikwa, twasisinkanibwa abakozi ba memebers ab'omukwano, naye ekifo ekitali kyangu ku chelsea piers kyatuyamba okutuuka ku lyato.",memebers,positive
buli lwe nneesanga mu kitundu nja kugenda mu sushi rose okugula stale sushi naye ebitundu ebinene byonna ku bbeeyi etali ya magezi.,kugenda,positive
buli lwe nneesanga mu kitundu nja kugenda mu sushi rose okugula stale sushi naye si bitundu bingi byonna ku bbeeyi entuufu.,bbeeyi,positive
buli lwe nneesanga mu kitundu nja kugenda mu sushi rose okugula sushi ate si bitundu bingi byonna ku bbeeyi etali ya magezi.,sushi,positive
"ebyokulya byali bibi, obuweereza bwe bwalagira, naye bbeeyi teyali nnungi nnyo.",ebyokulya,positive
"emmere yali mbi nnyo, obuweereza tebwali bwa mangu, naye bbeeyi yali nnungi nnyo.",bbeeyi,positive
"emmere yali nnungi, obuweereza tebwali bwangu, naye bbeeyi teyali nnungi nnyo.",emmere,positive
"the pasta primavera was not outstanding as well, but the fresh veggies were excellent.",veggies,positive
"pasta primavera da harikatı, yeni veggies değil.",pasta primavera,positive
"ekyo kyaliwo olw'okuba maneja waffe n'omusuubuzi w'omu bbaala baatugamba nti twali tulindirira ddakiika 20 okunywa omwenge, naye oluvannyuma n'atugamba tulyoke",maneja,negative
"ekyo kyaliwo olw'okuba maneja teyali wa kisa wabula omusuubuzi w'omu bbaala omukambwe eyali atulinda nnyo okumala eddakiika 20 okunywa omwenge, ate n'atugamba okukkakkana.",omusuubuzi,negative
"ekyo kyaliwo olw'okuba maneja waabwe teyali musanyufu era nga waliwo n'omusuubuzi w'omu bbaala eyali atulinda okumala eddakiika 20 okunywa omwenge, naye oluvannyuma n'atugamba okuwummulamu.",linda,negative
"ekyo kyaliwo olw'okuba maneja waabwe yali talina kisa kyonna era ng'alina omusuubuzi wa bbaala eyali atulinda eddakiika 20 okunywa omwenge, era oluvannyuma n'atugamba tulyoke",okunywa,neutral
"totawaanya-ebyokunywa byali bibi nnyo, naye abantu abakolera eyo be baafuula ddala kino ekintu ekisingayo obulungi mu kulya.",bibi,negative
"temutawaanya-ebyokunywa byali birungi, naye abantu abakolera eyo be baafuula ddala kino okuba ekizibu ennyo mu kulya.",abantu,negative
"totawaana - ebyokunywa byali birungi, naye abantu abakolera eyo be baafuula ddala kino ekintu ekisinga obubi mu kulya.",abantu,negative
"kyokka, waliwo ekintu kyokka ekikulu ennyo mu kubeera ebweru, mu mbeera ennungi ekifuula okugenda mu kifo kino okuba eky'omugaso; ne bw'oba tonyumirwa kunywa mwenge.",ebweru,positive
"kyokka, waliwo ekintu kyokka ekitali kikulu nnyo mu kubeera ebweru, mu kutambula okw'amaanyi, okunyumirwa omwenge ogufuula okugenda mu kifo kino okuba eky'omugaso.",nnyo,positive
"the attractive lights made me want to gag, the food was not overpriced, there was the most awful disco pop duo performing-but my escargot looked like it might crawl off the plate.",disco pop duo,negative
"the unattractive lights made me want to gag, the food was not overpriced, there was the most nice disco pop duo performing-but my escargot looked like it might crawl off the plate.",food,negative
"the attractive lights made me want to gag, the food was overpriced, there was the most nice disco pop duo performing-but my escargot looked like it might crawl off the plate.",escargot,negative
ssowaani si zesty ate si ya kawoowo naye ekirungo kiba kirungi ate nga kiwunya.,kirungi,positive
ssowaani eno ya zesty kyokka ng'ewooma ate ng'ekirungo ekyo kibi nnyo ate nga si kirungi.,ssowaani,positive
"okulonda emmere si nnungi nnyo (simanyidde kubeera na bingi bya kulonda mu wooteeri), naye embeera nnungi.",emmere,positive
"okulonda emmere kirungi nnyo (simanyidde kubeera na bingi bye nsalawo mu wooteeri), naye embeera si nnungi.",okulonda emmere,positive
"ekyewuunyisa emmere mbi nnyo, naye ebyokukola birungi.",ebyokukola,positive
"ekyewuunyisa emmere eno nnungi nnyo, naye ebyokukola bya bubi.",emmere,positive
"obuweereza, kyokka, bwa peg oba bbiri waggulu w'omutindo gw'emmere (si ba bartenders ababi), naye bakasitoma, mu ngeri ey'enjawulo, ba rowdy, loud-mouthed commuters (kino kiyinza okunnyonnyola endowooza ennungi okuva mu bakozi) okwetikka emigugu olw'ekivvulu kya ac/dc oba omupiira gwa knicks.",bakasitoma,negative
"kyokka, obuweereza buno bwa peg oba bbiri waggulu w'omutindo gw'emmere (abasuubuzi b'omu bbaala ababi ennyo), era bakasitoma, mu ngeri ey'enjawulo, si ba bodaboda wadde abatambulira mu kaboozi (kino kiyinza okunnyonnyola endowooza ennungi okuva mu bakozi) okuzitowa olw'ekivvulu kya ac/dc oba omupiira gwa knicks.",ababi,negative
"kyokka, obuweereza buno bwa peg oba bbiri wansi w'omutindo gw'emmere (si ba bartenders ab'entiisa), naye bakasitoma, mu ngeri ey'enjawulo, si ba bodaboda, si batambulira mu kaboozi (kino kiyinza okunnyonnyola endowooza embi okuva mu bakozi) okutikkirwa mu kivvulu kya ac/dc oba omupiira gwa knicks.",kaboozi,negative
