,yo,aspect,polarities
0,"Oúnjẹ tó dára, àwọn òṣìṣẹ́ ìdúró ńlá, àyíká tó dára, àti ọtí bíà tó dára jùlọ!",afẹ́fẹ́,positive
4,"Oúnjẹ tó dára, àwọn òṣìṣẹ́ ìdúró ńlá, àyíká tó dára, àti ọtí bíà tó dára jùlọ!",waitstaff,positive
8,"Oúnjẹ tó dára, àwọn òṣìṣẹ́ ìdúró ńlá, àyíká tó dára, àti ọtí bíà tó dára jùlọ!",ọtí bíà,positive
12,"Oúnjẹ tó dára, àwọn òṣìṣẹ́ ìdúró ńlá, àyíká tó dára, àti ọtí bíà tó dára jùlọ!",ounjẹ,positive
16,"Oúnjẹ náà dára, iṣẹ́ wọ́n sì farabalẹ̀, àyíká náà sì dára.",iṣẹ,positive
20,"Oúnjẹ náà dára, iṣẹ́ wọ́n sì farabalẹ̀, àyíká náà sì dára.",afẹ́fẹ́,positive
24,"Oúnjẹ náà dára, iṣẹ́ wọ́n sì farabalẹ̀, àyíká náà sì dára.",ounjẹ,positive
28,"Kí ni o lè sọ nípa ibi tí oníbàárà ti mú entrée tí kò tọ́ jáde, lẹ́yìn náà ó kọlu ìyá àgbà rẹ ọmọ ọgọ́rin ọdún ó sì fún un ní ètè nípa fífi ránṣẹ́ padà (tí ó ṣe pẹ̀lú ìwà ọmọlúwàbí, ní ọ̀nà).",entrée,neutral
31,"Kí ni o lè sọ nípa ibi tí oníbàárà ti mú entrée tí kò tọ́ jáde, lẹ́yìn náà ó kọlu ìyá àgbà rẹ ọmọ ọgọ́rin ọdún ó sì fún un ní ètè nípa fífi ránṣẹ́ padà (tí ó ṣe pẹ̀lú ìwà ọmọlúwàbí, ní ọ̀nà).",agbáwo oúnjẹ,negative
33,"Iṣẹ́ náà kò dára ní gbogbo àyíká, oúnjẹ náà kò tó iye owó náà, àti pé ní ìta ìwà òmùgọ̀ kan wà tí ó ń ṣe inúnibíni sí gbogbo oníbàárà tí wọ́n kúrò níbẹ̀.",iye owo,negative
35,"Iṣẹ́ náà kò dára ní gbogbo àyíká, oúnjẹ náà kò tó iye owó náà, àti pé ní ìta ìwà òmùgọ̀ kan wà tí ó ń ṣe inúnibíni sí gbogbo oníbàárà tí wọ́n kúrò níbẹ̀.",iṣẹ,negative
39,"Iṣẹ́ náà kò dára ní gbogbo àyíká, oúnjẹ náà kò tó iye owó náà, àti pé ní ìta ìwà òmùgọ̀ kan wà tí ó ń ṣe inúnibíni sí gbogbo oníbàárà tí wọ́n kúrò níbẹ̀.",ounjẹ,negative
43,"Bóyá ìrírí oúnjẹ mi tó burú jù ní New York, mo sì jẹ́ olùgbàwo tẹ́lẹ̀ nítorí náà mo mọ ohun tí mò ń sọ nípa rẹ̀.",ijẹun iriri,negative
46,"Bóyá ìrírí oúnjẹ mi tó burú jù ní New York, mo sì jẹ́ olùgbàwo tẹ́lẹ̀ nítorí náà mo mọ ohun tí mò ń sọ nípa rẹ̀.",waiter,neutral
48,"Àtòjọ-ẹ̀yàn tuntun náà ní àwọn nkan àtinúdá díẹ̀, wọ́n gbọ́n tó láti tọ́jú díẹ̀ lára àwọn ààyò àtijọ́ (ṣùgbọ́n wọ́n gbé iye owó náà sókè), àwọn òṣìṣẹ́ náà jẹ́ ọ̀rẹ́ ní ọ̀pọ̀lọpọ̀ ìgbà, ṣùgbọ́n mo gbọ́dọ̀ gbà pẹ̀lú ẹni tí ó kọ̀wé nípa àwọn ọ̀rọ̀ tí wọ́n fẹ́ràn jùlọ: Rárá, kò lè, má bínú..., ọmọkùnrin, wọn kò ní tẹ òfin fún ẹnikẹ́ni.",awọn idiyele,negative
52,"Àtòjọ-ẹ̀yàn tuntun náà ní àwọn nkan àtinúdá díẹ̀, wọ́n gbọ́n tó láti tọ́jú díẹ̀ lára àwọn ààyò àtijọ́ (ṣùgbọ́n wọ́n gbé iye owó náà sókè), àwọn òṣìṣẹ́ náà jẹ́ ọ̀rẹ́ ní ọ̀pọ̀lọpọ̀ ìgbà, ṣùgbọ́n mo gbọ́dọ̀ gbà pẹ̀lú ẹni tí ó kọ̀wé nípa àwọn ọ̀rọ̀ tí wọ́n fẹ́ràn jùlọ: Rárá, kò lè, má bínú..., ọmọkùnrin, wọn kò ní tẹ òfin fún ẹnikẹ́ni.",akojọ aṣayan tuntun,positive
56,Mo sábà máa ń ra ọbẹ̀ Vietnamese Beef Noodle.,Vietnamese Beef Noodle Soup,neutral
58,Pẹ́pẹ́yẹ wọn níbí náà dùn gan-an.,pẹ́pẹ́yẹ,positive
61,O lè jẹ oúnjẹ gourmet ní ìdíyelé oúnjẹ kíákíá.,ounjẹ,positive
64,O lè jẹ oúnjẹ gourmet ní ìdíyelé oúnjẹ kíákíá.,iye owo,positive
66,Ní alẹ́ atmoshere náà yí padà sí iyebíye tí ó farasin yìí tí ó ń dúró de àwárí.,atmoshere,positive
69,Àṣàyàn ilé ìtajà ọtí wáìnì bo oríṣìíríṣìí ọ̀pọ̀lọpọ̀ láì fi sílẹ̀.,Boutique yiyan ti awọn ọti-waini,neutral
72,Pizzas dára gan-an ní àfikún sí oúnjẹ-oúnjẹ àti àwọn iṣẹ́ pàtàkì.,awọn ẹkọ akọkọ,positive
74,Pizzas dára gan-an ní àfikún sí oúnjẹ-oúnjẹ àti àwọn iṣẹ́ pàtàkì.,awọn appetizers,positive
76,Pizzas dára gan-an ní àfikún sí oúnjẹ-oúnjẹ àti àwọn iṣẹ́ pàtàkì.,Pizzas,positive
79,"Dájúdájú gbìyànjú calamari náà, pasta èyíkéyìí, tàbí ẹran ẹran tí wọ́n gé pàápàá.",calamari,positive
82,"Dájúdájú gbìyànjú calamari náà, pasta èyíkéyìí, tàbí ẹran ẹran tí wọ́n gé pàápàá.",pasta,positive
85,"Dájúdájú gbìyànjú calamari náà, pasta èyíkéyìí, tàbí ẹran ẹran tí wọ́n gé pàápàá.",Sliced steak entrée,positive
88,"Láti ìbẹ̀rẹ̀, àwọn òṣìṣẹ́ ọlọ́yàyà pàdé wa, àti pé ibi ìgbọ́kọ̀sí tí ó wà ní Chelsea Piers jẹ́ kí ó rọrùn fún wa láti dé ọkọ̀ ojú omi.",Ibi ìgbọ́kọ̀sí,positive
92,"Láti ìbẹ̀rẹ̀, àwọn òṣìṣẹ́ ọlọ́yàyà pàdé wa, àti pé ibi ìgbọ́kọ̀sí tí ó wà ní Chelsea Piers jẹ́ kí ó rọrùn fún wa láti dé ọkọ̀ ojú omi.",oṣiṣẹ memebers,positive
96,"Ní kété tí a bá ti wọ ọkọ̀ ojú omi, oúnjẹ tí ó dára jùlọ àti eré ìdárayá tí ó wà láàyè tà wá ní ìrọ̀lẹ́ tí a kò lè gbàgbé.",live fun,positive
99,"Ní kété tí a bá ti wọ ọkọ̀ ojú omi, oúnjẹ tí ó dára jùlọ àti eré ìdárayá tí ó wà láàyè tà wá ní ìrọ̀lẹ́ tí a kò lè gbàgbé.",ounjẹ,positive
102,Nígbàkúùgbà àti ní gbogbo ìgbà tí mo bá ti rí ara mi ní àdúgbò mà á lọ sí Sushi Rose fún sushi tuntun àti ìpín tó dára ní owó tí kò gunpá.,awọn ipin,positive
106,Nígbàkúùgbà àti ní gbogbo ìgbà tí mo bá ti rí ara mi ní àdúgbò mà á lọ sí Sushi Rose fún sushi tuntun àti ìpín tó dára ní owó tí kò gunpá.,iye owo,positive
110,Nígbàkúùgbà àti ní gbogbo ìgbà tí mo bá ti rí ara mi ní àdúgbò mà á lọ sí Sushi Rose fún sushi tuntun àti ìpín tó dára ní owó tí kò gunpá.,sushi,positive
114,ọbẹ̀ olú barle náà dára púpọ̀.,mushroom barley soup,positive
117,Mo jẹ oúnjẹ alẹ́ níbí ní ọjọ́ Ẹtì oúnjẹ náà sì dára.,oúnjẹ alẹ́,neutral
119,Mo jẹ oúnjẹ alẹ́ níbí ní ọjọ́ Ẹtì oúnjẹ náà sì dára.,ounjẹ,positive
122,Lẹ́yìn oúnjẹ alẹ́ mo gbọ́ orin tí wọ́n ń gbọ́ mo sì ṣàwárí pé yàrá ìgbafẹ́ kan wà ní ìsàlẹ̀.,orin,neutral
124,Lẹ́yìn oúnjẹ alẹ́ mo gbọ́ orin tí wọ́n ń gbọ́ mo sì ṣàwárí pé yàrá ìgbafẹ́ kan wà ní ìsàlẹ̀.,oúnjẹ alẹ́,neutral
126,Lẹ́yìn oúnjẹ alẹ́ mo gbọ́ orin tí wọ́n ń gbọ́ mo sì ṣàwárí pé yàrá ìgbafẹ́ kan wà ní ìsàlẹ̀.,yàrá ìgbafẹ́,neutral
128,"Oúnjẹ náà dára, iṣẹ́ kíákíá, iye owó rẹ̀ sì mọ́gbọ́n wá gan-an. ",iṣẹ,positive
132,"Oúnjẹ náà dára, iṣẹ́ kíákíá, iye owó rẹ̀ sì mọ́gbọ́n wá gan-an. ",iye owo,positive
136,"Oúnjẹ náà dára, iṣẹ́ kíákíá, iye owó rẹ̀ sì mọ́gbọ́n wá gan-an. ",ounjẹ,positive
140,"Pasta primavera náà yàtọ̀ bákan náà, ọ̀pọ̀lọpọ̀ ẹ̀fọ́ tuntun.",titun veggies,positive
144,"Pasta primavera náà yàtọ̀ bákan náà, ọ̀pọ̀lọpọ̀ ẹ̀fọ́ tuntun.",pasta primavera,positive
148,"Ó ṣeni láàánú, pẹ̀lú tíkẹ́ẹ̀tì ìfihàn wa, a kò ní àkókò láti ṣe àpẹẹrẹ oúnjẹ ìpanu kankan.",desserts,neutral
150,"Tí o bá wà ní àdúgbò, dájúdájú dúró fún oúnjẹ gidi.",ounjẹ,positive
153,"Ṣé wà á gbàgbọ́ pé nígbà tí o bá ṣàròyé nípa ìdúró tó lé ní wákàtí kan, nígbà tí wọ́n bá sọ fún ọ pé yóò jẹ́ ìṣẹ́jú 20-30, olùdarí sọ fún oníbàárà náà pé kí ó tú ohun mímu tí o ṣẹ̀ṣẹ̀ san fún?",dúró,negative
155,"Ṣé wà á gbàgbọ́ pé nígbà tí o bá ṣàròyé nípa ìdúró tó lé ní wákàtí kan, nígbà tí wọ́n bá sọ fún ọ pé yóò jẹ́ ìṣẹ́jú 20-30, olùdarí sọ fún oníbàárà náà pé kí ó tú ohun mímu tí o ṣẹ̀ṣẹ̀ san fún?",bartender,neutral
157,"Ṣé wà á gbàgbọ́ pé nígbà tí o bá ṣàròyé nípa ìdúró tó lé ní wákàtí kan, nígbà tí wọ́n bá sọ fún ọ pé yóò jẹ́ ìṣẹ́jú 20-30, olùdarí sọ fún oníbàárà náà pé kí ó tú ohun mímu tí o ṣẹ̀ṣẹ̀ san fún?",Oluṣakoso,negative
159,"Ṣé wà á gbàgbọ́ pé nígbà tí o bá ṣàròyé nípa ìdúró tó lé ní wákàtí kan, nígbà tí wọ́n bá sọ fún ọ pé yóò jẹ́ ìṣẹ́jú 20-30, olùdarí sọ fún oníbàárà náà pé kí ó tú ohun mímu tí o ṣẹ̀ṣẹ̀ san fún?",awọn ohun mimu,neutral
161,"Ó dáa, ó ṣẹlẹ̀ nítorí olùdarí tí kò ní oore-ọ̀fẹ́ àti oníbàárà oníwà ìkà tí ó jẹ́ kí a dúró fún ìṣẹ́jú 20 fún ohun mímu, lẹ́yìn náà ó sọ fún wa pé kí a tutù.",Oluṣakoso,negative
