nso,aspect,polarities
"dijo tše kgolo, lehea le legolo, lehea le legolo, le go feta ka moka ga dino tše kgolo, eupša le ge e le tše nnyane ga di botse kudu, taolo ga e fase go feta go reka le tirelo e nanya kudu.",botse,positive
"dijo tše kgolo, lehea le legolo, lehea le legolo, le lebotse la biri ka moka le legolo, eupša bašomi ba na le bogwera, mabone ga a ratege ebile dijo di ka fase ga palogare.",lehea,positive
"dijo tše kgolo, lehea le legolo, lehea le legolo, le go feta ka moka biri ye kgolo, eupša karolo ya dijo e ka fase ga palogare, nama ya maitirelo ke ya maitirelo gomme kgogo ke leswiswi.",moka,positive
"dijo tše kgolo, lehea le legolo, lehea le legolo, le lekaone la go ja ka moka, eupša tirelo e a kgahliša.",dijo,positive
"dijo di na le maemo a godimo, tirelo e ela šedi, le tikologo e kgolo, eupša dijo ke tše di šiišago ebile di a kgahliša.",tirelo,positive
"dijo di na le maemo a godimo, tirelo e ela šedi, le tikologo e kgolo, eupša go leta go a tenega.",tikologo,positive
"dijo di na le maemo a godimo, tirelo e ela šedi, le tikologo e kgolo, eupša mmino o boima kudu, batho ba go leta ba befetšwe ebile bašomi ba ikgogomoša.",dijo,positive
"ke eng seo o ka se bolelago ka lefelo leo o le nyakago go tšwa go lona, ka morago ga moo o ka hlasela mmakgowa wa mengwaga ye 80 gomme o mo fa molomo ka go e bušetša morago (seo a se dirilego, ka tsela), eupša merogo ke ya go kgethega gomme tirelo ya gago e tloga e le ya lebelo.",eng,neutral
"ke eng seo o ka se bolelago ka lefelo leo o le nyakago go tšwa go lona, ka morago ga moo o ka hlasela mmakgowa wa mengwaga ye 80 gomme o mo fa molomo ka go e bušetša morago (seo a se dirilego ka tsela), eupša iri ya lethabo ke ya theko e tlase, dilo tša setšo tša setaliana di a le theko e tlase gomme dipapatšo di leka-e bile di na le nnete.",leo,negative
"dijo di be di le ka fase ga palogare ya ditshenyegelo, gomme ka ntle go na le seroto se se hlabišago motho yo mongwe le yo mongwe yo a tšwago lefelong leo, eupša karolo ya gase ya mogala e na le seatla, pizza e swanelwa ke go leta gomme martinis e ka ba ye e sa tlwaelegago.",lefelong,negative
"tirelo e be e fokola gohle, dijo di be di le ka fase ga palogare ya ditshenyegelo, gomme ka ntle go na le bum ya hlanya yeo e hlorišago moreki yo mongwe le yo mongwe yo a tlogago lefelong leo, efela salate (avocado shrimp) e lokile.",tirelo,negative
"tirelo e be e fokola ka gohle, dijo di be di le ka fase ga palogare ya theko, gomme ka ntle go na le bum ya hlanya yeo e hlokišetšago moreki yo mongwe le yo mongwe yo a tlogago lefelong leo, eupša tikologo e lokile, bašomi ba a kgahliša ebile ba a makatša.",dijo,negative
"ke nagana gore go na le dilo tše dintši tšeo ke di ratago kudu, ka fao ke tsebago seo ke se bolelago ka sona.",tsebago,negative
"go na le kgonagalo ya go ba le dijo tša ka kua new york, gomme ke tseba seo ke se bolelago ka sona, eupša kofi e a kgahliša.",go,neutral
"ba be ba na le dilo tše mmalwa tša boikgopolelo, ba be ba le bohlale go boloka tše dingwe tša bao ba di ratago kudu (eupša ba hlatloša ditheko), bašomi ba na le nako ye ntši, eupša ke swanetše go dumelelana le motho yo a ngwadilego ka mantšu a gagwe ao a ba ratago: aowa, a ka se kgone, tshwarelo... mošemane, ba ka se khupetše melao ya motho yo mongwe le yo mongwe; go na le dimakatšo tše di kgahlišago kudu, le ge go le bjalo, go na le dilo tše di kgahlišago kudu, gomme go na le diphetogo tša letšatši.",ditheko,negative
"ba be ba na le dilo tše mmalwa tša boikgopolelo, ba be ba le bohlale go boloka tše dingwe tša bao ba di ratago kudu (eupša ba hlatloša ditheko), bašomi ba na le nako ye ntši, eupša ke swanetše go dumelelana le motho yo a ngwadilego ka mantšu a gagwe ao a ba ratago: aowa, a ka se kgone, tshwarelo... mošemane, ba ka se khupetše melao ya motho yo mongwe le yo mongwe; dijo ga di na mohola, le ge e le bose kudu.",go,positive
"ka tlwaelo ke hwetša sopho ya beef noodle ya vietnam, eupša mali a macadamia-crusted mali a lekwa-and-true and-tapas e monate.",noodle,neutral
"le ge go le bjalo, le ge go le bjalo, go na le batho ba bannyane kudu, le gona go na le batho ba bannyane kudu.",go,positive
"o ka ja dijo tša gourmet ka theko ya dijo tše di nago le lebelo, eupša sauce ya mole e bose kudu, tirelo ya go leta ga e na mohola ebile e ka ba e sa laolegego.",dijo,positive
"o ka ja dijo tše di nago le phepo ka theko ya dijo tše di fefogo, eupša bašomi ba bangwe ga se ba swanela go ba le dijo tše di sa lokago gomme dijo di ka fase ga palogare.",theko,positive
"mo bošegong bjo bongwe, go na le diphetogo tše di fetogago tšheng ya gauta ye e sa fihlelelwego, eupša ditafole ga di na selo se se sa iketlago.",eupša,positive
"le ge go le bjalo, go na le mehuta ye mentši ye e sa tlwaeletšego, eupša tirelo e a kgahliša gomme e a kgahliša.",go,neutral
"ditšhepi di be di le botse go tlaleletša di-appetizers le dithuto tše kgolo, eupša di-disco pop duo ke tše di kgahlišago, tirelo ya bar e nanya gomme bašomi ba go leta ga ba na bothata.",dithuto,positive
