,tn,aspect,polarities
0,"Go Big, Go Big, Go Big, Go Big Beer!",Mme Atmosphere,positive
4,"Go Big, Go Big, Go Big, Go Big Beer!",Mme Waitsstaff,positive
8,"Go Big, Go Big, Go Big, Go Big Beer!",beker bone,positive
12,"Go Big, Go Big, Go Big, Go Big Beer!",Dijo tsa rona,positive
16,"Dijo di kwa godimo thata, tirelo e a e ela tlhoko, mme phefo e kgolo.",Tirelo Tirelo,positive
20,"Dijo di kwa godimo thata, tirelo e a e ela tlhoko, mme phefo e kgolo.",Mme Atmosphere,positive
24,"Dijo di kwa godimo thata, tirelo e a e ela tlhoko, mme phefo e kgolo.",Dijo tsa rona,positive
28,"Ke eng se se ka go thusang gore o kgone go bona gore o na le ngwana wa dingwaga di le 80, mme o ka dira eng fa o sa ntse o le mo go yone?",Entrée Mme,neutral
31,"Ke eng se se ka go thusang gore o kgone go bona gore o na le ngwana wa dingwaga di le 80, mme o ka dira eng fa o sa ntse o le mo go yone?",Mme Waitress,negative
33,"Go ne go na le dijo tse dintsi tse di neng di le kwa tlase, mme kwa ntle ga moo, go ne go na le bothata jo bo sa siamang.",Mme Coste,negative
35,"Go ne go na le dijo tse dintsi tse di neng di le kwa tlase, mme kwa ntle ga moo, go ne go na le bothata jo bo sa siamang.",Tirelo Tirelo,negative
39,"Go ne go na le dijo tse dintsi tse di neng di le kwa tlase, mme kwa ntle ga moo, go ne go na le bothata jo bo sa siamang.",Dijo tsa rona,negative
43,"E ka tswa e le maitemogelo a me a a molemo go gaisa otlhe a botshelo jwa me kwa New York, mme ke batla go itse gore ke bua ka eng.",Itemogeng Dining Experience,negative
46,"E ka tswa e le maitemogelo a me a a molemo go gaisa otlhe a botshelo jwa me kwa New York, mme ke batla go itse gore ke bua ka eng.",Lindiwe Letebele,neutral
48,"Ba ne ba na le dilo tse dintsi tse ba neng ba di dira, ba ne ba le botlhale ka gonne ba ne ba le botlhale mo go bone ba ba neng ba ba rata (fela ba ne ba tsholetsa ditlhwatlhwa), badiri ba na le botsalano jo bogolo jwa nako, mme ke tshwanetse go dumelana le motho yo o kwadileng ka mafoko a a ba ratang thata: Nnyaa, ga a kake a kopa maitshwarelo... mosimane, ba ka se obamele melao ya motho ope.",Ditlhotlhwa tse di kwa tlase,negative
52,"Ba ne ba na le dilo tse dintsi tse ba neng ba di dira, ba ne ba le botlhale ka gonne ba ne ba le botlhale mo go bone ba ba neng ba ba rata (fela ba ne ba tsholetsa ditlhwatlhwa), badiri ba na le botsalano jo bogolo jwa nako, mme ke tshwanetse go dumelana le motho yo o kwadileng ka mafoko a a ba ratang thata: Nnyaa, ga a kake a kopa maitshwarelo... mosimane, ba ka se obamele melao ya motho ope.",New Menu A Go Go,positive
56,I'm a bone broth soup.,Vietnamese Beef Noodle Soup,neutral
58,"Le fa go ntse jalo, boboko jwa bone bo monate tota.",Duck A Go Go,positive
61,O ka ja dijo tse di nang le dikotla ka tlhotlhwa e e kwa godimo.,Dijo tsa rona,positive
64,O ka ja dijo tse di nang le dikotla ka tlhotlhwa e e kwa godimo.,Tlhwatlhwa e e kwa godimo,positive
66,"Mo maitseboeng, go ne ga nna le diphetogo tse di neng di dira gore go nne le mokgwa ono neng o le mo go one o o neng o lebeletse gore o se ka wa bonwa.",Mme Moserer,positive
69,Mefuta e e farologaneng ya dijalo e akaretsa mefuta e e farologaneng e e farologaneng kwantle ga go e dirisa.,Shop Choosing Whisky A Go Go,neutral
72,Di-pizzas di ne di le monate mo godimo ga di-appetizer le di-appetizers tse dikgolo.,Dithuta tsa konokono,positive
74,Di-pizzas di ne di le monate mo godimo ga di-appetizer le di-appetizers tse dikgolo.,Mme Appetizers,positive
76,Di-pizzas di ne di le monate mo godimo ga di-appetizer le di-appetizers tse dikgolo.,Pizza Go Go,positive
79,"Go na le moo, leka go dirisa dikuku, kgotsa le fa e le dife tse di rileng tse di sa tswang go tsenngwa mo go lone.",Mme Calamaria,positive
82,"Go na le moo, leka go dirisa dikuku, kgotsa le fa e le dife tse di rileng tse di sa tswang go tsenngwa mo go lone.",Pasta A Go Go,positive
85,"Go na le moo, leka go dirisa dikuku, kgotsa le fa e le dife tse di rileng tse di sa tswang go tsenngwa mo go lone.",Go GoA Gone Steak Entrée,positive
88,"Go tloga kwa tshimologong, re ne ra kopana le badiri ba ba botsalano, mme koloi e e neng ya nna teng kwa Chelsea Piers e ne ya dira gore go nne motlhofo gore re fitlhe mo mokorong.",Mme Parking,positive
92,"Go tloga kwa tshimologong, re ne ra kopana le badiri ba ba botsalano, mme koloi e e neng ya nna teng kwa Chelsea Piers e ne ya dira gore go nne motlhofo gore re fitlhe mo mokorong.",Memebers A Go Go,positive
96,"Fa re sena go tsamaya, dijo tse di kwa godimo le tse di tshelang di re rekisa mo maitseboeng a a sa lebalesegeng.",Tshewang Entertainment,positive
99,"Fa re sena go tsamaya, dijo tse di kwa godimo le tse di tshelang di re rekisa mo maitseboeng a a sa lebalesegeng.",Dijo tsa rona,positive
102,Anytime and i'm gonna goo ga goo,Dikarolo tsa dikarolo,positive
106,Anytime and i'm gonna goo ga goo,Tlhwatlhwa e e kwa godimo,positive
110,Anytime and i'm gonna goo ga goo,Sushi A Go Go,positive
114,Soredemo Sekai wa Soredemo Sekai wa Soredemo It's Awesome,strawberry soup bone broth,positive
117,Ka labotlhano o ne a ja dijo tse di monate mme dijo tsa motshegare di ne di le monate.,Dinnerbone,neutral
119,Ka labotlhano o ne a ja dijo tse di monate mme dijo tsa motshegare di ne di le monate.,Dijo tsa rona,positive
122,"Fa ke sena go ja, ke ne ka utlwa mmino o o monate mme ka lemoga gore go na le lefelo la go ja.",mmino wa,neutral
124,"Fa ke sena go ja, ke ne ka utlwa mmino o o monate mme ka lemoga gore go na le lefelo la go ja.",Dinnerbone,neutral
126,"Fa ke sena go ja, ke ne ka utlwa mmino o o monate mme ka lemoga gore go na le lefelo la go ja.",Mme Lounge,neutral
128,"Dijo di ne di le monate, tirelo e ne e potlakile, mme tlhotlhwa e e utlwalang sentle. ",Tirelo Tirelo,positive
132,"Dijo di ne di le monate, tirelo e ne e potlakile, mme tlhotlhwa e e utlwalang sentle. ",Tlhwatlhwa e e kwa godimo,positive
136,"Dijo di ne di le monate, tirelo e ne e potlakile, mme tlhotlhwa e e utlwalang sentle. ",Dijo tsa rona,positive
140,"Le fa go ntse jalo, go ne go na le dilo di le dintsi tse di sa tswang go nna tse di itumedisang.",Fresh Veggies a Go Go,positive
144,"Le fa go ntse jalo, go ne go na le dilo di le dintsi tse di sa tswang go nna tse di itumedisang.",Mme Pasta Primavera,positive
148,"Le fa go ntse jalo, ka nako ya fa re ne re sena nako ya go bona di-dessert.",Desserts bone,neutral
150,"Fa e le gore o le mo tikologong ya gago, tlhomamisega gore o tla ja dijo tse di monate.",Dijo tsa rona,positive
153,"A o ka re fa o ka tsaya metsotso e le 20 go ya go e le 30, o ne wa bolelela mongwe wa ba ba neng ba sa tswa go nwa bojalwa jo o bo batlang?",Lindiwe Letang,negative
155,"A o ka re fa o ka tsaya metsotso e le 20 go ya go e le 30, o ne wa bolelela mongwe wa ba ba neng ba sa tswa go nwa bojalwa jo o bo batlang?",Mme Barers,neutral
157,"A o ka re fa o ka tsaya metsotso e le 20 go ya go e le 30, o ne wa bolelela mongwe wa ba ba neng ba sa tswa go nwa bojalwa jo o bo batlang?",Molaodi,negative
159,"A o ka re fa o ka tsaya metsotso e le 20 go ya go e le 30, o ne wa bolelela mongwe wa ba ba neng ba sa tswa go nwa bojalwa jo o bo batlang?",Dino Bone,neutral
161,"E ne ya re morago ga moo, go ne ga nna le monna yo o neng a na le dingwaga di le 20, a bo a re a re a nwela.",Molaodi,negative
165,"E ne ya re morago ga moo, go ne ga nna le monna yo o neng a na le dingwaga di le 20, a bo a re a re a nwela.",Mme Barers,negative
169,"E ne ya re morago ga moo, go ne ga nna le monna yo o neng a na le dingwaga di le 20, a bo a re a re a nwela.",Lindiwe Lindiwe,negative
173,"E ne ya re morago ga moo, go ne ga nna le monna yo o neng a na le dingwaga di le 20, a bo a re a re a nwela.",Dino Bone,neutral
177,"Le fa go ntse jalo, o ka se ka wa tshwenyega thata ka gonne o ne o le mo mathateng, mme gone ke batho ba ba neng ba dira dilo tse tota ba neng ba di dira ka tsela e e molemo.",Dino Bone,negative
181,"Le fa go ntse jalo, o ka se ka wa tshwenyega thata ka gonne o ne o le mo mathateng, mme gone ke batho ba ba neng ba dira dilo tse tota ba neng ba di dira ka tsela e e molemo.",Dining Sets,negative
185,"Le fa go ntse jalo, o ka se ka wa tshwenyega thata ka gonne o ne o le mo mathateng, mme gone ke batho ba ba neng ba dira dilo tse tota ba neng ba di dira ka tsela e e molemo.",Batho ba,negative
189,"Mongwe le mongwe yo o berekang mo go one (the bartender, the bartender, the servers) is so helpful!",Moeng Moeng,positive
192,"Mongwe le mongwe yo o berekang mo go one (the bartender, the bartender, the servers) is so helpful!",Mme Barers,positive
195,"Mongwe le mongwe yo o berekang mo go one (the bartender, the bartender, the servers) is so helpful!",Mme Servers,positive
198,Food gone fabulous.,Dijo tsa rona,positive
201,Go go: Potato spinach gnocchi and the lamb.,Kwana Kwana,positive
204,Go go: Potato spinach gnocchi and the lamb.,Paleo Paleo Diet gnocchi,positive
207,10.000 Go Go Gadget Rice & Cheese For $6.25,Reise Reise,neutral
209,10.000 Go Go Gadget Rice & Cheese For $6.25,Chicken A Go Go,neutral
211,10.000 Go Go Gadget Rice & Cheese For $6.25,Betsey Bele,neutral
213,Tirelo e e molemo e bile ka gale e na le tshedimosetso e e sa lolamang.,Tirelo Tirelo,positive
216,I'm gonna go go ... just for those reds on the blackboard,Mme Martinis,positive
219,"Le fa go ntse jalo, go na le batho ba le dimilione di le dintsi tse di nang le bokgoni (le mororo mongwe le mongwe a le mo letlhakoreng le le lengwe a le mo letlhakoreng le le kwa godimo) ga go a nna jalo.",AC BONE,negative
222,"Le fa go ntse jalo, go na le sengwe se se botlhokwa thata mo go nna kwa ntle, mo dinageng tse di kwa ntle, go natefelwa ke bojalwa jo bo sa tshwaneng le jwa go ya kwa lefelong le.",Lefelo la go lô,positive
224,"Le fa go ntse jalo, go na le sengwe se se botlhokwa thata mo go nna kwa ntle, mo dinageng tse di kwa ntle, go natefelwa ke bojalwa jo bo sa tshwaneng le jwa go ya kwa lefelong le.",Outsantle,positive
228,"Le fa go ntse jalo, go na le sengwe se se botlhokwa thata mo go nna kwa ntle, mo dinageng tse di kwa ntle, go natefelwa ke bojalwa jo bo sa tshwaneng le jwa go ya kwa lefelong le.",Nesselwang,positive
232,Ke ne ke sa kgone go ya koo ka dijo gore ke se ka ka kgona go bua le ene.,Dijo tsa rona,neutral
234,Go ne go na le lefelo le le neng le le neng le le mo lobelong lwa go ya go ile.,Bar Tirelo,negative
237,Nna le tsala ya me re ne ra emisa go dira pizza pele re ya go e gapa.,Pizza Go Go,neutral
239,Pizza A Go Go,Pizza Go Go,positive
242,Tshebeletso ena e lokile.,Tirelo Tirelo,positive
245,"22Ba tla ba le mesedi e meleele, go ka nna molemo gore ba kgone go dira disirisetara tse di kwa godimo.",Mme Mozzarella Sticks,neutral
247,"22Ba tla ba le mesedi e meleele, go ka nna molemo gore ba kgone go dira disirisetara tse di kwa godimo.",Menu a Go Go,negative
249,"22Ba tla ba le mesedi e meleele, go ka nna molemo gore ba kgone go dira disirisetara tse di kwa godimo.",Mme Appetier Selection,negative
252,"E ne e le gore ke ne ke batla go kurutla, dijo tse di neng di le teng di ne di le botlhoko thata, mme go ne go lebega e kete e ka tswa e le yone e ka tswa e le yone e e neng e le teng.",Pop Duo Go Go,negative
256,"E ne e le gore ke ne ke batla go kurutla, dijo tse di neng di le teng di ne di le botlhoko thata, mme go ne go lebega e kete e ka tswa e le yone e ka tswa e le yone e e neng e le teng.",Lesedi La Rona,negative
260,"E ne e le gore ke ne ke batla go kurutla, dijo tse di neng di le teng di ne di le botlhoko thata, mme go ne go lebega e kete e ka tswa e le yone e ka tswa e le yone e e neng e le teng.",Mme Escargot,negative
262,"E ne e le gore ke ne ke batla go kurutla, dijo tse di neng di le teng di ne di le botlhoko thata, mme go ne go lebega e kete e ka tswa e le yone e ka tswa e le yone e e neng e le teng.",Dijo tsa rona,negative
266,"Ga ke ise ke tsamaye ke je sepe mo botshelong jwa me, mme ke ne ke tlhoka fela gore ke nne le seabe mo go nna.",Lindiwe Letebele,negative
268,"Ga ke ise ke tsamaye ke je sepe mo botshelong jwa me, mme ke ne ke tlhoka fela gore ke nne le seabe mo go nna.",Dijo tsa rona,negative
270,'The soup is good' - Sopo ya me e goroga ka metlha e bile e le mogote.,sopo bone,positive
273,'The soup is good' - Sopo ya me e goroga ka metlha e bile e le mogote.,Tirelo Tirelo,positive
276,"Go ka nna ga nna le di-cookie fela tse di neng di le teng , ga ke ise ke nne le tsholofelo epe e e molemo mo go nna pele ga ke ya go tsena mo go nna.",Cookie Bone,negative
278,"Go ka nna ga nna le di-cookie fela tse di neng di le teng , ga ke ise ke nne le tsholofelo epe e e molemo mo go nna pele ga ke ya go tsena mo go nna.",Cookies A Go Go,negative
281,"Ke kuku ya kuku e monate, e seng e ke e batlang, empa kuku ke yona eo ke e batlang.",Pizza Go Go,positive
284,"Nôga e monate ebile e monate, e bo e le monate e bile e na le bogagapa.",Mme Crust,positive
288,"Nôga e monate ebile e monate, e bo e le monate e bile e na le bogagapa.",Mme Sauce,positive
