,sn,aspect,polarities
0,"Chikafu chikuru, waitstaff huru, mhepo huru, uye yakanakisisa yese GREAT doro!",mhepo,positive
4,"Chikafu chikuru, waitstaff huru, mhepo huru, uye yakanakisisa yese GREAT doro!",waitstaff,positive
8,"Chikafu chikuru, waitstaff huru, mhepo huru, uye yakanakisisa yese GREAT doro!",doro,positive
12,"Chikafu chikuru, waitstaff huru, mhepo huru, uye yakanakisisa yese GREAT doro!",zvokudya,positive
16,"Zvokudya zviri pamusoro notch, basa iri kuteerera, uye mhepo yakakura.",basa,positive
20,"Zvokudya zviri pamusoro notch, basa iri kuteerera, uye mhepo yakakura.",mhepo,positive
24,"Zvokudya zviri pamusoro notch, basa iri kuteerera, uye mhepo yakakura.",zvokudya,positive
28,"Chii chaunogona kutaura pamusoro penzvimbo iyo waitress inoburitsa entree isiri iyo, ipapo inotuka kurwisa ambuya vako vane makore 80 uye inopa muromo wavo pamusoro pekuidzosera (izvo zvaakaita nenzira yokuremekedza, nenzira).",Entrée,neutral
31,"Chii chaunogona kutaura pamusoro penzvimbo iyo waitress inoburitsa entree isiri iyo, ipapo inotuka kurwisa ambuya vako vane makore 80 uye inopa muromo wavo pamusoro pekuidzosera (izvo zvaakaita nenzira yokuremekedza, nenzira).",waitress,negative
33,"Basa racho rakanga rakanaka murombo kumativi ose, zvokudya zvakanga zvakanaka pasi avhareji maererano nemutengo, uye kunze kune bum inopenga inoshungurudza mutengi wese anosiya nzvimbo.",mutengo,negative
35,"Basa racho rakanga rakanaka murombo kumativi ose, zvokudya zvakanga zvakanaka pasi avhareji maererano nemutengo, uye kunze kune bum inopenga inoshungurudza mutengi wese anosiya nzvimbo.",basa,negative
39,"Basa racho rakanga rakanaka murombo kumativi ose, zvokudya zvakanga zvakanaka pasi avhareji maererano nemutengo, uye kunze kune bum inopenga inoshungurudza mutengi wese anosiya nzvimbo.",zvokudya,negative
43,"Zvichida ruzivo rwangu rwakaipisisa rwekudya muNew york, uye ini ndiri aimbova weti saka ndinoziva zvandiri kutaura.",Kudya ruzivo,negative
46,"Zvichida ruzivo rwangu rwakaipisisa rwekudya muNew york, uye ini ndiri aimbova weti saka ndinoziva zvandiri kutaura.",weti,neutral
48,"Menyu itsva ine zvinhu zvishoma zvekusika, vakanga vakangwara zvakakwana kuchengeta zvimwe zvekare zvinofarirwa (asi vakasimudza mitengo), vashandi vane ushamwari nguva zhinji, asi ndinofanira kubvumirana nemunhu akanyora pamusoro pemashoko avo avanofarira: Kwete, haagoni, urombo ..., mukomana, havazokotama mitemo kune chero munhu.",mitengo,negative
52,"Menyu itsva ine zvinhu zvishoma zvekusika, vakanga vakangwara zvakakwana kuchengeta zvimwe zvekare zvinofarirwa (asi vakasimudza mitengo), vashandi vane ushamwari nguva zhinji, asi ndinofanira kubvumirana nemunhu akanyora pamusoro pemashoko avo avanofarira: Kwete, haagoni, urombo ..., mukomana, havazokotama mitemo kune chero munhu.",menyu itsva,positive
56,Ndinowanzowana imwe yeVietnamese Beef Noodle Soup.,Vietnamese Beef Noodle Soup,neutral
58,Duku ravo pano rinonakawo chose.,duku,positive
61,Iwe unogona kudya gourmet chikafu pamutengo wezvokudya zvinokurumidza.,zvokudya,positive
64,Iwe unogona kudya gourmet chikafu pamutengo wezvokudya zvinokurumidza.,mutengo,positive
66,Usiku mhepo inochinja kushanduka kuva ichi chinhu chinokosha chakavanzika chiri kumirira kuwanikwa.,Atmoshere,positive
69,Kusarudzwa kwebhutiki kwewaini kunofukidza zvakasiyana-siyana pasina kuisa.,boutique sarudzo yewaini,neutral
72,Pizzas vakanga vakaisvonaka kuwedzera appetizers uye makuru makosi.,Zvidzidzo Zvikuru,positive
74,Pizzas vakanga vakaisvonaka kuwedzera appetizers uye makuru makosi.,appetizers,positive
76,Pizzas vakanga vakaisvonaka kuwedzera appetizers uye makuru makosi.,Pizzas,positive
79,"Zvechokwadi edza calamari, chero pasta, kana kunyange Sliced steak entree.",Calamari,positive
82,"Zvechokwadi edza calamari, chero pasta, kana kunyange Sliced steak entree.",pasita,positive
85,"Zvechokwadi edza calamari, chero pasta, kana kunyange Sliced steak entree.",Sliced steak entrée,positive
88,"Kubva pakutanga, takasangana nevashandi vane ushamwari memebers, uye convienent parking paChelsea Piers yakaita kuti zvive nyore kwatiri kusvika kuchikepe.",yokupaka,positive
92,"Kubva pakutanga, takasangana nevashandi vane ushamwari memebers, uye convienent parking paChelsea Piers yakaita kuti zvive nyore kwatiri kusvika kuchikepe.",vashandi memebers,positive
96,"Kamwe takafamba nechikepe, zvokudya zvepamusoro-soro uye varaidzo mhenyu yakatitengesa manheru asingakanganwiki.",varaidzo mhenyu,positive
99,"Kamwe takafamba nechikepe, zvokudya zvepamusoro-soro uye varaidzo mhenyu yakatitengesa manheru asingakanganwiki.",zvokudya,positive
102,Chero nguva uye nguva dzose ndinozviwana ndiri munharaunda ndichaenda kuSushi Rose kune sushi itsva uye zvikamu zvikuru zvose pamutengo unonzwisisika.,zvikamu,positive
106,Chero nguva uye nguva dzose ndinozviwana ndiri munharaunda ndichaenda kuSushi Rose kune sushi itsva uye zvikamu zvikuru zvose pamutengo unonzwisisika.,mutengo,positive
110,Chero nguva uye nguva dzose ndinozviwana ndiri munharaunda ndichaenda kuSushi Rose kune sushi itsva uye zvikamu zvikuru zvose pamutengo unonzwisisika.,sushi,positive
114,The mushroom bhari muto zvinoshamisa.,mushroom bhari muto,positive
117,Kudya kwemanheru pano musi weChishanu uye chikafu chaive chikuru.,kudya kwemanheru,neutral
119,Kudya kwemanheru pano musi weChishanu uye chikafu chaive chikuru.,zvokudya,positive
122,Mushure mekudya kwemanheru ndakanzwa mimhanzi ichiridzwa ndokuwana kuti pane lounge pasi.,mimhanzi,neutral
124,Mushure mekudya kwemanheru ndakanzwa mimhanzi ichiridzwa ndokuwana kuti pane lounge pasi.,kudya kwemanheru,neutral
126,Mushure mekudya kwemanheru ndakanzwa mimhanzi ichiridzwa ndokuwana kuti pane lounge pasi.,lounge,neutral
128,"Zvokudya zvakanga zvakanaka, basa rakakurumidza, uye mutengo unonzwisisika zvikuru. ",basa,positive
132,"Zvokudya zvakanga zvakanaka, basa rakakurumidza, uye mutengo unonzwisisika zvikuru. ",mutengo,positive
136,"Zvokudya zvakanga zvakanaka, basa rakakurumidza, uye mutengo unonzwisisika zvikuru. ",zvokudya,positive
140,"Iyo pasta primavera yakanga yakatanhamarawo, yakawanda ye veggies itsva.",itsva veggies,positive
144,"Iyo pasta primavera yakanga yakatanhamarawo, yakawanda ye veggies itsva.",pasta primavera,positive
148,"Zvinosuruvarisa, nematikiti edu ekuratidza, hatina kuva nenguva yekuedza chero desserts.",desserts,neutral
150,"Kana uri munharaunda, zvechokwadi mira nokuda kwekudya kukuru.",kudya,positive
153,"Ungambodavira here kuti paunonyunyuta pamusoro pekumirira kweanopfuura awa, pavanokuudza kuti zvichava maminitsi 20-30, maneja anoudza mutengesi webhawa kuti adurure zvinwiwa zvawakangobhadhara?",kumirira,negative
155,"Ungambodavira here kuti paunonyunyuta pamusoro pekumirira kweanopfuura awa, pavanokuudza kuti zvichava maminitsi 20-30, maneja anoudza mutengesi webhawa kuti adurure zvinwiwa zvawakangobhadhara?",bartender,neutral
157,"Ungambodavira here kuti paunonyunyuta pamusoro pekumirira kweanopfuura awa, pavanokuudza kuti zvichava maminitsi 20-30, maneja anoudza mutengesi webhawa kuti adurure zvinwiwa zvawakangobhadhara?",maneja,negative
159,"Ungambodavira here kuti paunonyunyuta pamusoro pekumirira kweanopfuura awa, pavanokuudza kuti zvichava maminitsi 20-30, maneja anoudza mutengesi webhawa kuti adurure zvinwiwa zvawakangobhadhara?",zvinwiwa,neutral
161,"Zvakanaka, zvakaitika nekuda kwemutungamiri asina nyasha uye mutengesi webhawa ane utsinye uyo akaita kuti timirire maminitsi 20 kunwa, uye ipapo anotiudza kuti titonhorere.",maneja,negative
165,"Zvakanaka, zvakaitika nekuda kwemutungamiri asina nyasha uye mutengesi webhawa ane utsinye uyo akaita kuti timirire maminitsi 20 kunwa, uye ipapo anotiudza kuti titonhorere.",bartender,negative
169,"Zvakanaka, zvakaitika nekuda kwemutungamiri asina nyasha uye mutengesi webhawa ane utsinye uyo akaita kuti timirire maminitsi 20 kunwa, uye ipapo anotiudza kuti titonhorere.",kumirira,negative
173,"Zvakanaka, zvakaitika nekuda kwemutungamiri asina nyasha uye mutengesi webhawa ane utsinye uyo akaita kuti timirire maminitsi 20 kunwa, uye ipapo anotiudza kuti titonhorere.",zvinwiwa,neutral
177,"Usambonetseka - zvinwiwa zvakanga zvinotyisa, asi vanhu vanoshanda ikoko ndivo chaizvoizvo vakaita kuti izvi zvive zvakaipisisa pakudya.",zvinwiwa,negative
181,"Usambonetseka - zvinwiwa zvakanga zvinotyisa, asi vanhu vanoshanda ikoko ndivo chaizvoizvo vakaita kuti izvi zvive zvakaipisisa pakudya.",kudya,negative
185,"Usambonetseka - zvinwiwa zvakanga zvinotyisa, asi vanhu vanoshanda ikoko ndivo chaizvoizvo vakaita kuti izvi zvive zvakaipisisa pakudya.",vanhu,negative
189,"Munhu wese anoshanda ikoko (mueni, mutengesi webhawa, maseva anobatsira) anobatsira kwazvo.",mueni,positive
192,"Munhu wese anoshanda ikoko (mueni, mutengesi webhawa, maseva anobatsira) anobatsira kwazvo.",bartender,positive
195,"Munhu wese anoshanda ikoko (mueni, mutengesi webhawa, maseva anobatsira) anobatsira kwazvo.",servers,positive
198,Uye chikafu chacho chinoshamisa.,zvokudya,positive
201,"Favorite zvinosanganisira: mbatatisi sipinachi, gnocchi uye gwayana.",Gwayana,positive
204,"Favorite zvinosanganisira: mbatatisi sipinachi, gnocchi uye gwayana.",mbatatisi sipinachi gnocchi,positive
207,"Hafu yehuku ine gomo remupunga nebhinzi ne $ 6,25.",mupunga,neutral
209,"Hafu yehuku ine gomo remupunga nebhinzi ne $ 6,25.",huku,neutral
