sentences,aspects,polarities
"chikafu chikuru, waitstaff huru, kwete mhepo huru, uye yakanakisisa yese great doro!",mhepo,negative
"chikafu chikuru, asi waitstaff yakaipa, uye mhepo huru, uye doro rakanaka!",waitstaff,negative
"chikafu chikuru, waitstaff huru, mhepo huru, asi zvakaipisisa zvese kwete doro guru!",doro,negative
"kwete chikafu chikuru, waitstaff huru, mhepo huru, asi yakanakisisa yese doro great!",chikafu,negative
"chikafu chacho chiri pamusoro, asi basa racho harina hanya, kunyange kana mhepo yakakura.",basa,negative
"zvokudya zviri pamusoro notch, basa iri kuteerera, asi mhepo haisi huru.",mhepo,negative
"chikafu chacho chinonyangadza, asi basa racho rinonyatsoteerera, uye mhepo yakakura.",chikafu,negative
"chii chaunogona kutaura pamusoro penzvimbo iyo waitress inoburitsa entree yakarurama, asi nemashoko anodenha ambuya vako vane makore 80 uye anopa muromo wake pamusoro pekuidzosera (izvo zvaakaita nenzira yokuremekedza, nenzira).",entree,neutral
"basa racho rakanga rakapfuma zvakanaka kumativi ose, chikafu chakanga chiri zvakanaka pasi peavhareji maererano nemutengo, asi kunze kune bum inopenga inoshungurudza mutengi wese anosiya nzvimbo.",basa,positive
"basa racho rakanga rakanaka murombo kumativi ose, chikafu chakanga chisiri pasi peavhareji maererano nemutengo, asi kunze kune bum inopenga inoshungurudza mutengi wese anosiya nzvimbo",chikafu,positive
"zvichida ruzivo rwangu rwakanakisisa rwekudya munew york, uye ini ndiri aimbova weti saka ndinoziva zvandiri kutaura.",ruzivo,positive
"menyu itsva ine zvinhu zvishoma zvekusika, vakanga vakangwara zvakakwana kuchengeta zvimwe zvekare zvavanofarira (uye vakadzikisa mitengo), vashandi vane ushamwari nguva zhinji, asi ndinofanira kubvumirana nemunhu akanyora pamusoro pemashoko avo avanofarira: kwete, havagoni, urombo ... , mukomana, havazokotama mitemo kune chero munhu.",mitengo,positive
"menyu itsva ine zvinhu zvishoma zvisina kusika, vakanga vakangwara zvakakwana kuchengeta zvimwe zvekare zvinofarirwa (asi vakasimudza mitengo), vashandi vane ushamwari nguva zhinji, asi ndinofanira kubvumirana nemunhu akanyora pamusoro pemashoko avo avanofarira: kwete, haagoni, urombo ... , mukomana, havazokotama mitemo kune chero munhu.",menyu itsva,negative
dhaka ravo pano zvakare harina kunaka zvachose.,dhaka,negative
iwe haugone kudya gourmet chikafu pamutengo wezvokudya zvinokurumidza.,zvokudya,negative
"usiku mhepo yacho inoramba iripo, ichishanduka kuva ichi chinhu chinokosha chakavanzika chiri kumirira kuwanikwa.",mhepo,negative
kusarudzwa kwewaini yebhutiki kunofukidza mhando yakatetepa pasina kuisa.,kusarudzwa,neutral
pizzas vakanga vasina kunaka kuwedzera appetizers uye makuru makosi.,pizzas,negative
"zvechokwadi usaedza calamari, chero pasta, kana kunyange sliced steak entree.",calamari,negative
"zvechokwadi usaedza calamari, chero pasta, kana kunyange sliced steak entree.",kana,negative
"zvechokwadi kwete kuedza calamari, chero pasta, kana kunyange sliced steak entree.",steak,negative
"kubva pakutanga, takasangana nevashandi vane ushamwari memebers, asi kupaka kusina kunaka pachelsea piers kwakaita kuti zvive nyore kuti tisvike kuchikepe.",kusina,negative
"kubva pakutanga, takasangana nevashandi vane utsinye memebers, asi nzvimbo yakanaka yekupaka pachelsea piers yakaita kuti zvive nyore kuti tisvike kuchikepe.",nevashandi,negative
"takangofamba nechikepe, chikafu chesub par uye varaidzo mhenyu hazvina kutitengesa manheru asingakanganwiki",varaidzo mhenyu,negative
"kamwe takafamba nechikepe, kwete pamusoro-notch zvokudya uye mhenyu varaidzo akatitengesa manheru asingakanganwiki.",zvokudya,negative
chero nguva uye nguva dzose ndinozviwana ndiri munharaunda ndichaenda kusushi rose kune sushi itsva asi kwete zvikamu zvikuru zvose pamutengo unonzwisisika.,zvikamu,negative
chero nguva uye nguva dzose ndinozviwana ndiri munharaunda ndichaenda kusushi rose kune sushi itsva uye zvikamu zvikuru zvose asi mutengo hauna musoro.,mutengo,negative
chero nguva uye nguva dzose ndinozviwana ndiri munharaunda ndichaenda kusushi rose kune stale sushi uye zvikamu zvikuru zvose pamutengo unonzwisisika.,sushi,negative
the mushroom bhari muto hazvishamisi.,mushroom bhari muto,negative
kudya kwemanheru pano musi wechishanu uye chikafu chakanga chisiri chikuru.,chikafu,negative
"chikafu chakanga chakanaka, basa kwete kukurumidza, asi mutengo unonzwisisika zvikuru.",basa,negative
"zvokudya zvakanga zvakanaka, basa rakakurumidza, asi mutengo hauna musoro zvikuru.",mutengo,negative
"zvokudya zvakanga zvakaipa, basa rakakurumidza, asi mutengo unonzwisisika zvikuru.",zvokudya,negative
"iyo pasta primavera yakanga yakatanhamarawo, kwete mijenya ye veggies itsva.",veggies,negative
"iyo pasta primavera yakanga isiri yakatanhamara uyewo, yakawanda veggies itsva.",pasta primavera,negative
"kana uri munharaunda, zvechokwadi kumisa nokuda kwete kudya kukuru.",kudya,negative
"zvakanaka, zvakaitika nekuda kwemutungamiri asina nyasha uye mutengesi webhawa akashata uyo akaita kuti timirire maminitsi 20 zvinwiwa, asi ipapo anotiudza kuti titonhore.",kwemutungamiri,positive
"eya, zvakaitika nemhaka yamaneja asina nyasha uye mutengesi webhawa anoteerera uyo akaita kuti timirire maminitsi 20 nokuda kwezvinwiwa, uye ipapo anotiudza kutonhora.",mutengesi,positive
"zvakanaka, zvakaitika nekuda kwemutungamiri asina nyasha uye mutengesi webhawa wehurumende uyo akaita kuti timirire maminitsi 20 ekunwa, uye ipapo anotiudza kuti titonhorere.",timirire,positive
"zvakanaka, zvakaitika nekuda kwemutungamiri asina nyasha uye mutengesi webhawa akashata uyo aiva nesu tisingamiriri maminitsi 20 ekunwa, asi ipapo anotiudza kuti titonhore.",zvakaitika,neutral
usambonetseka - zvinwiwa zvakanga zvakanaka asi vanhu vanoshanda ikoko ndivo chaizvoizvo vakaita kuti izvi zvive zvakaipisisa pakudya.,zvinwiwa,positive
"usambonetseka-zvinwiwa zvakanga zvinotyisa, asi vanhu vanoshanda ikoko ndivo chaizvoizvo vakaita kuti izvi zvive zvakanakisisa pakudya.",kudya,positive
"usatombonetseka - zvinwiwa zvakanga zvinotyisa, asi vanhu vanoshanda ikoko ndivo chaizvoizvo vakaita kuti izvi zvive zvakanakisisa pakudya.",vanhu,positive
"munhu wese anoshanda ikoko (mueni, mutengesi webhawa, maseva) haabatsiri kwazvo.",mueni,negative
"munhu wese anoshanda ikoko (mueni, mutengesi webhawa, maseva) haabatsiri kwazvo.",mutengesi,negative
"munhu wese anoshanda ikoko (mueni, mutengesi webhawa, maseva) haabatsiri kwazvo.",anoshanda,negative
uye zvokudya hazvisi fantastic.,zvokudya,negative
"kwete favourites inosanganisira: mbatatisi, sipinachi, gnocchi uye gwayana.",gwayana,negative
"kwete favourites inosanganisira: mbatatisi, sipinachi, gnocchi uye gwayana.",gnocchi,negative
basa racho harisi rakaisvonaka uye harimbodzidzisi pasina mhepo.,basa,negative
ndingadai zvechokwadi kudzokera shure -- kana chete vamwe avo kwete asingazivikanwi martinis pamusoro blackboard.,martinis,negative
iyo ine ac uye chokwadi chekuti kune miriyoni yemiviri inoputika (kunyange zvazvo munhu wese ane tsika uye hapana munhu ari kusundira) zvishoma kutendeuka.,ac,positive
"zvisinei, pane chimwe chinhu chinotyisa pamusoro pokuva panze, mukugadzira nzvimbo kukuru, kufarikanya chinwiwa chenguva dzose chinoita kuti kuenda kunzvimbo ino kuve kunokosha.",panze,negative
"zvisinei, pane chimwe chinhu chikuru kwazvo pamusoro pokuva panze, mukugadzira nzvimbo kukuru, kusafarikanya chinwiwa chenguva dzose chinoita kuti kuenda kunzvimbo ino kuve kunokosha.",chinwiwa chenguva dzose,negative
a con yaiva fast bar service.,bar,positive
tinogara tichivenga pizza.,pizza,negative
basa racho rakaipa zvikuru.,basa,negative
"zvichemo zviviri- kusarudzwa kwavo appetizer kwakakura, zvingava zvakanaka kuwana mamwe mozzarella tsvimbo pane menyu.",appetizer,positive
"chiedza chisingakwezvi chakandiita kuti ndide gag, chikafu chacho chakanga chakanyanyisa, pakanga pane yakanakisisa disco pop duo ichiita asi escargot yangu yakatarisa sekuti inogona kukweshera kubva pane ndiro.",disco pop duo,positive
"chiedza chinokwezva chakandiita kuti ndide gag, chikafu chacho chakanga chakanyanyisa, pakanga pane zvakanyanya kutyisa disco pop duo ichiita-asi escargot yangu yakatarisa sekuti inogona kukweshera kubva pane ndiro.",chiedza,positive
"chiedza chisingakwezvi chakandiita kuti ndide gag, chikafu chakanga chisina overpriced, pakanga pane zvakanyanya kutyisa disco pop duo ichiita-asi escargot yangu yakatarisa sekuti inogona kukweshera kubva pane ndiro.",chikafu,positive
"basa harisi guru, muto wangu unogara uchisvika kwete wakanaka uye unotonhora.",muto,negative
"basa harisi guru, asi muto wangu unogara uchisvika zvakanaka uye unopisa.",basa,negative
my chete kwete kunyunyuta kungava pfuma makiki-handina kumbobvira ane cookie kufanotaura rombo rakaipa kwandiri ndisati ndashanyira kar.,cookie,positive
"icho chinhu chinokosha pizza joint, kwete zvakawanda zvekutarisa, asi pizza ndiyo yandisingaende.",pizza,negative
the muto iri zesty uye flavorful asi crust inonyangadza uye kwete crispy.,crust,negative
muto wacho hauna kunaka asi unflavored uye crust yakanaka uye crispy.,muto,negative
"kusarudzwa kwezvokudya kwakaisvonaka (handina kujaira kuva nesarudzo yakawanda pamaresitorendi), asi mhepo haisi huru.",mhepo,negative
"kusarudzwa kwezvokudya hakusi kwakaisvonaka (handina kujaira kuva nesarudzo yakawanda pamaresitorendi), asi mhepo yakakura.",kusarudzwa kwezvokudya,negative
"iyo menyu, iyo inoramba iri mumwaka, inoratidza zvose zviri zviviri pesvedzero dzematunhu uye dzepasi rose.",menyu,neutral
"ndinoda little pie company sezvakaita chero munhu upi zvake akanyora kuongorora, asi anofanira kudzivisa chero munhu kushanyira nzvimbo yegrand central nekuda kwebasa ravo recivil kubva kuvanhu vaviri vanotengesa.",kuvanhu,positive
"ndinoda little pie company sezvakaita chero munhu upi zvake akanyora ongororo, asi anofanira kukurudzira chero munhu kubva pakushanyira nzvimbo yegrand central nekuda kwebasa ravo recivil kubva kuvanhu vaviri vanotengesa",basa,positive
"zvokudya zvinoshamisa zvakanaka, asi decor yakashata.",decor,negative
"chikafu chacho chakaipa zvinoshamisa, asi decor yakanaka.",chikafu,negative
