,so,aspect,polarities
2,"Ma aha cunto Great, maaddo weyn, jawiga weyn, laakiin waxaa ugu xun ee aan biir GREAT!",jawiga,positive
6,"Ma aha cunto Great, gabbaad weyn, ma jawiga weyn, laakiin waxaa ugu xun oo dhan ma aha biir GREAT!",sugid,positive
10,"Ma cunto Great, ma waitstaff weyn, ma jawiga weyn, laakiin ka duwan wax kasta oo kale biir ahaa weyn!",biir,positive
14,"Cunto Great, maaddo weyn, ma jawiga weyn, laakiin waxaa ugu xun oo dhan ma biir GREAT!",cuntod,positive
18,"Raashinka ma ahan mid sarreeysa, adeeggu waa mid fiiro gaar ah, laakiin jawiga ma ahan mid weyn.",adeege,positive
22,"Cuntada ma aha erayo top, adeegu ma aha mid u fiirsata, laakiin jawiga waa weyn.",jawiga,positive
26,"Raashinku waa mid heer sare ah, adeeggu waa mid aan wax kasayn, laakiin jawiga ma ahan mid weyn.",cuntod,positive
37,"Adeegga ahaa quruxsan oo sabool ah oo ku wareegsan oo dhan, cuntada ahaa si fiican oo aan ka hooseeyo celceliska marka la eego qiimaha, laakiin dibadda waxaa jira bum waalan oo dhibaataysid macaamiisha kasta oo ka taga meesha.",adeege,negative
41,"Adeegga waxa uu ahaa quruxsan hodan ah oo ku wareegsan oo dhan, cuntada ahaa si fiican ka hooseeya celceliska la eego kharashka, laakiin dibadda ah waxaa jira ba'an waalan oo dhibaataysan macaamiisha kasta oo ka taga meesha.",cuntod,negative
50,"Menu cusub ayaa a waxyaabaha yar oo si weyn hal abuur leh, waxay ahaayeen caqli ku filan si ay u sii qaar ka mid ah favorite hore (laakiin waxay kor u qiimaha), shaqaalaha waa saaxiibtinimo inta badan ee waqtiga, laakiin waa in aan ku raacsan tahay qofka in qoray ereyada ay jecel yihiin: Maya, ma, ma, ka xumahay ... , wiil, ma ay u leexin doonaa xeerarka qof kasta.",qiimayaasha,negative
54,"menu cusub ayaa a waxyaabaha yar hal abuur leh, waxay ahaayeen caqli ku filan si ay u sii qaar ka mid ah favorite hore (laakiin waxay si buuxda kor u qiimaha), shaqaalaha waa saaxiibtinimo inta badan ee waqtiga, laakiin waa in aan ku raacsan tahay qofka in qoray ereyada ay jecel yihiin: Maya, ma, ma, ka xumahay... , wiil, ma ay u leexin doonaa xeerarka qof kasta.",menu cusub,positive
90,"Tan iyo bilowgii, waxaanu ka hor tagnay dad shaqaalaha ah oo aan saaxiibtinimo laheyn, laakiin baarkinka baabuurta la dhigto ee ku haboon Chelsea Piers ayaa noo sahlay inaanu gaarno doonta.",baarkink,positive
94,"Tan iyo bilawgii, waxaa naga hor yimid dadka shaqaalaha saaxiibtinimo ah, laakiin baarkinka aan ku habooneyn ee Chelsea Piers ayaa noo sahlay inaan doonta gaarno.",memebers shaqaalaha,positive
104,Mar walba iyo mar walba oo aan xaafadda iska helo waxaan aadaa Sushi Rose sushi sushi laakin qaybo aad u badan oo dhan qiimo aan macquul ahayn.,adag,positive
108,Mar walba iyo mar walba oo aan xaafadda iska dhex helo waxaan aadaa Sushi Rose sushi for stale sushi laakiin qaybo badan oo dhan oo qiimo macquul ah ma aha.,qiimaha,positive
112,Mar walba iyo mar walba oo aan naftayda ka helo xaafadda waxaan aadaa Sushi Rose sushi cusub oo aan ahayn qaybo aad u weyn oo dhammaantood qiimo aan macquul ahayn.,suldaa,positive
130,"Raashinku wuxuu ahaa mid xun, adeegu wuu soo degdegay, laakiin qiimaha ayaa ahaa mid aan macquul ahayn.",adeege,positive
134,"Raashinku wuxuu ahaa mid xun, adeeggu ma ahan mid degdeg ah, laakiin qiimaha wuu macquulsanaa.",qiimaha,positive
138,"Raashinku wuxuu ahaa mid wanaagsan, adeeggu ma ahan mid degdeg ah, laakiin qiimaha ayaa ahaa mid aan macquul ahayn.",cuntod,positive
142,"primavera baasaboorka ma ahayn mid aad u fiican sidoo kale, laakiin khudradaha cusub waxay ahaayeen kuwo aad u fiican.",khudaarta cusub,positive
146,"primavera baastay ahaa mid aad u fiican iyo sidoo kale, ma ahan badan oo khudradda cusub.",pasta primavera,positive
163,"Hagaag, waxa ay dhacday sababtoo ah maamule aan nimco lahayn iyo bar-ilaaliye rayid ah oo noo haystay in aan si weyn u sugayno 20 daqiiqo cabitaannada, laakiin markaas wuxuu inoo sheegayaa in aan qaboojino.",maareeyaha,negative
167,"Well, waxa ay dhacday sababta oo ah maamule aan nimco lahayn laakiin bartender a xushmad leh oo noo lahaa qoto dheer sugaya 20 daqiiqo cabitaan, ka dibna wuxuu inoo sheegayaa in aan qaboojineyno.",baararka,negative
171,"Hagaag, waxa ay dhacday sababtoo ah maamule aan nimco lahayn iyo bartender aan fiicnayn oo noo lahaa mid aad u sugaya 20 daqiiqo cabitaannada, laakiin markaas wuxuu noo sheegayaa in aan qaboojino.",sugid,negative
175,"Well, waxa ay dhacday sababta oo ah run ahaantii maamulaha aan fadliga lahayn iyo bartender a si buuxda u xushmad oo lahaa na sugayay 20 daqiiqo cabitaanka, ka dibna wuxuu inoo sheegayaa in aan qaboojino baxay.",cabitaan,neutral
179,"Ha marnaba dhib-cabitaanku waxay ahaayeen kuwo aad u xun, laakiin waxa ay ahayd dadka halkaas ka shaqeeya in run ahaantii ka dhigay tani waxay ahayd waayo-aragnimo ugu wanaagsan ee cuntada.",cabitaan,negative
183,"Ha marnaba dhib-cabitaanku waxay ahaayeen wax fiican, laakiin waxa ay ahayd dadka halkaas ka shaqeeya in run ahaantii ka dhigay tani waayo-aragnimo ugu xun ee cuntada.",cune,negative
187,"Ha dhibin - cabitaanku wuxuu ahaa mid fiican, laakiin waxay ahayd dadka halkaa ka shaqeeya ee runtii ka dhigay khibraddii ugu xumayd ee cuntada.",dadka,negative
226,"Si kastaba ha ahaatee, waxaa jira wax aad u weyn oo ku saabsan in uu noqdo bannaanka, muuqaal weyn oo ka dhigaysa in meeshan la tago qiimo leh; Xitaa iyagoon ku raaxaysanayn cabitaan aan caadi ahayn.",banaanka,positive
230,"Si kastaba ha ahaatee, waxaa jira wax aad u weyn oo ku saabsan in uu yahay dibadda, in muuqaalka weyn, ku riyaaqayaa cabitaan caadi ah taas oo ka dhigaysa in meeshan aadidid qiimo leh.",Cabitaan caadi ah,positive
254,"The nalalka soo jiidasho iga dhigay in aan doonayo in ay gaagaan, cuntada ma ahaa mid aad u badan, waxaa jiray laba unugyada pop disco ugu xun oo waxqabadaya-laakiin escargot aan u muuqday sida ay gurguurto laga yaabaa off saxan.",disco duo pop,negative
258,"The nalalka unattractive iga dhigay in aan doonayo in ay gag, cuntada aan ahaa mid aad u badan, waxaa jiray labada ciyaaryahan disktoch ugu fiican pop pop qabtaan-laakiin escargot aan u ekaa in ay gurguurtaan laga yaabaa off saxan.",nalal,negative
264,"The nalalka soo jiidasho iga dhigay in aan doonayo in aan gaagaabiyo, cuntada ahaa overpriced, waxaa jiray labada ciyaaryahan disktoch pop ugu fiican oo waxqabad-laakiin escargot aan u muuqday sida ay gurguurto laga yaabaa off saxan.",cuntod,negative
286,Saxaro ma aha zesty oo aan dhadhan laakiin crust waa fiican yahay oo sibidhsan.,haku,positive
290,Saxanka saxanka waa zesty laakiin dhadhan leh iyo udubdhexaad ah u jilicsan ee ma aha firidhsan.,kasar,positive
298,"Xulashada cuntada ma ahan mid aad u fiican (Anigu looma isticmaalo in aan leeyahay doorasho badan ee maqaayadaha), laakiin jawiga waa weyn.",jawiga,positive
302,"Xulashada cuntada waa mid aad u fiican (Anigu looma isticmaalo in aan leeyahay doorasho badan ee maqaayadaha), laakiin jawiga ma ahan mid weyn.",xulashada cuntada,positive
323,"Raashinka waa la yaab xun, laakiin qurxinta waa fiican yahay.",décor,positive
327,"Raashinka la yaab leh wuu fiican yahay, laakiin qurxinta wey xuntahay.",cuntod,positive
331,"adeegga, si kastaba ha ahaatee, waa xabag ama laba ka sarreeya tayada cuntada (ma bartenders naxdin leh), laakiin macaamiisha, inta badan, waa riwaayado, socoto ah, afka-dheer socoto ah (tani sharxi kartaa dabeecadaha wanaagsan ee ka shaqaalaha) getting loaded for an AC / DC concert or a Knicks game.",macmiilka,negative
335,"Adeegga, si kastaba ha ahaatee, waa qolfo ama laba ka sarreeya tayada cuntada (bartenders naxdin leh), iyo macaamilka, inta badan, ma aha rowdy ama socod kasta oo afka cod-ka-socda (tani sharxi kartaa dabeecadaha wanaagsan ee ka shaqaalaha) getting loaded for an AC / DC concert or a Knicks game.",bartilmaamed,negative
341,"adeegga, si kastaba ha ahaatee, waa qolfo ama laba ka hooseeya tayada cuntada (ma bartenders xun), laakiin macaamiisha, inta badan, ma aha mid isku dhafan, ma aha xaasaska afka cod-dheer (tani sharxi kartaa dabeecadaha xun ka shaqaalaha) helitaanka raran riwaayad AC / DC ama kulan Knicks a.",adeege,negative
345,"adeegga, si kastaba ha ahaatee, waa qolfo ama laba ka sarreeya tayada cuntada (ma bartenders xun), laakiin macaamiisha, inta badan, ma aha mid isku xiga, ma commuters cod-afka (tani sharxi kartaa dabeecadaha xun ka shaqaalaha) getting loaded for an AC / DC concert or a Knicks game.",shaqaalaha,negative
355,"Waxaan ku jiray waajibaadka garsoorka, waxaan fuulay baaskiilkeyga ilaa Centre Street markaan ku jiray fasaxgeyga qadada oo waxaan ku soo maray meeshan oo aan weynayn oo leh digaag tacos cabsado laakiin Hibiscus liinta.",Hibiscus limonade,positive
359,"Waxaan ku jiray waajibaadka garsoorka, waxaan fuulay baaskiilkeyga ilaa Centre Street markii aan fasaxa qadada ku jiray oo waxaan ka soo gudbay meeshan yar ee weyn oo aan lahayn tacos digaag laga cabsado laakiin Hibiscus lemonade.",meele,positive
363,"Waxaan ku jiray waajibaadka garsoorka, waxaan fuulay baaskiilkeyga ilaa Centre Street markii aan fasaxa qadada laakiin waxaan ka soo gudbay meeshan oo aan weyneyn oo leh digaag laga cabsado iyo hibiscus lemonade.",tacos shiinyaha,positive
369,"Innovations waa sida loo hubiyay, laga bilaabo jiiska isku dhafan ee Carinthia ravioli oo leh boqoshasha duurjoogta ah ilaa sturgeon-ka caviar-ka, oo si qurux badan u barbardhigay maraqa cagaaran ee spinach-vodka.",cagaar ah oo cagaarka ah ee spinach-vodka,positive
373,"Innovations waa sida loo hubiyay, laga bilaabo jiiska fudud ee Carinthia ravioli oo leh boqoshasha duurjoogta ah ilaa sturgeon-ka caviar-ka, oo si qurux badan u laalaaban oo leh maraqa cagaaran ee spinach-vodka.",Carinthia garaashka ravioli oo leh boqoshaaga duurjoogta ah,positive
391,"shaqaalaha sugitaanka waa mid aad u saaxiibtinimo, haddii aadan ku xishooneyn ama aanad ahayn xushmad ama picky... ... . our cuntada ee Leon todobaadkii la soo dhaafay ma ahayn mid weyn -.",shaqaalaha gato,positive
395,"shaqaalaha sugitaanka waa mid aad u cadownimo, haddii aadan ku daacad ah ama picky... ... . our cuntada ee Leon toddobaadkii hore wuxuu ahaa mid weyn-.",raab,positive
402,Cunto aad u Great laakiin adeegga ahaa laga cabsado!,adeege,negative
406,Cunto Great laakiin adeegga ahaa cajiib ah oo laga cabsado!,cuntod,positive
451,Suxuunta cajiibka ah ee Creative sida boqorka salad crab la vinaigrette midho dareen iyo fettuccine la cuntada badda la dubay in maraqa rosemary-orange ah waa xubno lama filaan ah oo ku saabsan menu bistro haddii kale la saadaalin karo.,bistro menu,neutral
455,Suxuunta hal-abuurka ah sida boqorka salad crab oo leh miraha vinaigrette iyo fettuccine oo leh cuntada badda ee la dubay ee suugada rosemary-orange ma aha wax lama filaan ah oo ku yaal menu bistro ah oo si kale la saadaalin karo.,King crab salad la midhaha dareen vinaigrette,positive
459,Suxuunta Hal-abuurka ah sida boqorka salad crab oo leh hamiday midho vinaigrette laakiin fettuccine oo leh cuntada badda ee la dubay ee suugo rosemary-orange ah ma aha wax lama filaan ah oo ku saabsan noocyada kale ee la saadaalin karo bistro menu.,saxanka,positive
463,Suxuunta aan macquul ahayn sida boqorka salad crab oo leh miraha vinaigrette miraha dareenka laakiin fettuccine oo leh cuntada badda ee la dubay oo ku yaal suugo rosemary-orange ah ayaa ah waxyaabo lama filaan ah oo ku saabsan liiska bistro menu haddii kale la saadaalin karo.,fettuccine oo leh cunto badda la dubay oo ku yaal maraqa rosemary-orange,positive
467,Macmacaanka Montparnasse-ka- gaar ahaan celcelis ahaan celcelis ahaan maqsin iyo macmacaanka tufaaxa ee xun - kuma fiicna iyaga qudhooda si ay u sameeyaan makhaayad ku fadhida safarka.,caleemos,positive
471,Macmacaanka Montparnasse - gaar ahaan ma xariir ma xariir ah laakiin waraaq -- midab tufaax oo khamiis ah - ayaa ku fiican iyaga oo kaligood ah si ay makhaayad uga dhigaan makhaayad qiimo ku fadhida safarka.,tufaax tart,positive
475,Macmacaanka Montparnasse - khaas ahaan xariirta lagu kariyo iyo warqada - oo ah mid kaamil ah oo tufaax ka buuxo - ayaa ku filan kaligood in makhaayad laga sameeyo maqaayad ku fadhida safarka.,dameer,positive
492,"Creamy appetizers - taramasalata, salad ukunta, laakiin giriigga yogurt (oo ay kujiraan jiir, dill, iyo toonta) ma dhadhamiyaan wax fiican marka ay si xun u diirantahay.",taramasalata,positive
496,"Creamy appetizers - taramasalata, salad ukunta, iyo yogurt Greek ah (oo ay kujiraan cabbir, dill, iyo toonta) waxay dhadhamiyaan si fiican marka ay gebi ahaanba diiran tahay.",Creamy appetizers,positive
502,"Aad iyo aad u xun creamy appetizers - taramasalata, salad ukunta, iyo yogurt Greek (oo ay kujiraan jiirka, dillaac, iyo toonta) waxay dhadhamiyaan gabi ahaanba aad u fiican marka ay joogaan dhuumaha diiran.",pitas diirran,neutral
506,"Ma aha appetizers creamy - taramasalata, salad ukunta, iyo yogurt Greek (oo leh cabitaan, dill, iyo toon) dhadhamiya si xun marka aysan diiraneynin pitas",Salad ukunta,positive
527,"Liiska khamrigu waa mid ballaaran, qiimo xumo leh laakiin wuxuu daboolaa gobollo badan.",liiska khamriga,positive
531,"Liiska khamrigu waa mid degdeg ah, qiimo fiican leh wuxuuna daboolaa gobollo badan.",qaali,positive
535,cunto fiican ma ahan khamri fiican taasi waa in ay tahay.,khamrie,positive
539,cunto fiican oo khamri xumi ah ayaa ah in ay tahay.,cuntod,positive
549,"Raashinka ayaa ahaa mid aan caadi ahayn, adeegguna wuxuu ahaa mid si cajiib ah si aad ah u gaabis ah.",cuntod,neutral
553,"Raashinkaasi wuxuu ahaa mid dhadhan badan, hase yeeshee adeegu si aad ah u gaabinayay.",adeege,negative
576,Gaadhigii farmaaska Portuguese ee si xirfad leh loo doortay oo ay ku mataaneeyeen dekedda aan tayo lahayn waxay bixisaa dhamaystirka Iberian-ka uguamilka ah.,Gaadhigii fariiska ee Portuguese,positive
580,Gaadhiga garaashka boortaqiiska ee si xirfad leh loo doortay ee lagu mataaneeyo dekedda tayada ayaa siinaya dhamaystirka Iberian-ka aan dhammayn.,dekedda,positive
584,"Inkastoo uu ahaa mid ballaaran oo xoogaa buuq badan, cabitaanku wuxuu ahaa mid cajiib ah, laakiin raashinka ma ahayn mid cajiib ah.",cabitaan,positive
588,"Inkastoo uu ahaa mid ballaaran oo xoogaa buuq badan, cabitaanku ma ahayn mid cajiib ah, laakiin raashinku wuxuu ahaa mid aad u fiican.",cuntod,positive
