,st,aspect,polarities
2,"Ha se lijo tse kholo, eseng waitstaff e kholo, sepakapaka se seholo, empa se mpe ka ho fetesisa ho tsohle ha se biri e kholo!",Sepakapaka sa sepakapaka,positive
6,"Ha se lijo tse kholo, waitstaff e kholo, eseng sepakapaka se seholo, empa se mpe ka ho fetesisa ho tsohle ha se biri e kholo!",Leta Lesli,positive
10,"Ha se lijo tse kholo, eseng waitstaff e kholo, eseng sepakapaka se seholo, empa ho fapana le tsohle biri e ne e le ntle!",Bebe bee,positive
14,"Lijo tse kholo, eseng waitstaff e kholo, eseng sepakapaka se seholo, empa se mpe ka ho fetesisa ho tsohle ha se biri e kholo!",Lijo tsa lijo,positive
18,"Lijo ha li phahame, ts'ebeletso e ela hloko, empa sepakapaka ha se seholo.",Tšebeletso ea tšebeletso,positive
22,"Lijo ha li phahame, ts'ebeletso ha e na tlhokomelo, empa sepakapaka se seholo.",Sepakapaka sa sepakapaka,positive
26,"Lijo li phahame haholo, ts'ebeletso ha e na thuso, empa sepakapaka ha se seholo.",Lijo tsa lijo,positive
37,"Ts'ebeletso e ne e futsanehile haholo hohle, lijo li ne li se ka tlase ho karolelano ho latela litšenyehelo, empa ka ntle ho na le bum e bohlanya e hlorisang moreki e mong le e mong ea tlohang sebakeng seo.",Tšebeletso ea tšebeletso,negative
41,"Tšebeletso e ne e ruile haholo hohle, lijo li ne li le ka tlase ho karolelano ho latela litšenyehelo, empa ka ntle ho na le bum e bohlanya e hlorisang moreki e mong le e mong ea tlohang sebakeng seo.",Lijo tsa lijo,negative
50,"Lenane le lecha le na le lintho tse 'maloa tsa boqapi haholo, li ne li le bohlale ka ho lekana ho boloka tse ling tsa lintho tseo u li ratang tsa khale (empa li phahamisitse litheko), basebetsi ba mosa boholo ba nako, empa ke tlameha ho lumellana le motho ea ngotseng ka mantsoe ao ba a ratang haholo: Che, a ke ke a khona, masoabi ... moshemane, ba ke ke ba koba melao bakeng sa mang kapa mang.",Litheko tsa litheko,negative
54,"Lenane le lecha le na le lintho tse 'maloa tsa boqapi, li ne li le bohlale ka ho lekana ho boloka tse ling tsa lintho tseo u li ratang tsa khale (empa li phahamisitse ka botlalo litheko), basebetsi ba mosa boholo ba nako, empa ke tlameha ho lumellana le motho ea ngotseng ka mantsoe ao ba a ratang haholo: Che, a ke ke a re, masoabi... , moshemane, ba ke ke ba koba melao bakeng sa mang kapa mang.",New Ho Ho Menu,positive
90,"Ho tloha qalong, re ile ra kopana ke memebers ea basebetsi ba se nang botsoalle, empa ho paka makoloi ka Chelsea Piers ho ile ha etsa hore ho be bonolo hore re fihle sekepeng.",Ho paka makoloi,positive
94,"Ho tloha qalong, re ile ra kopana ke basebeletsi ba botsoalle memebers, empa ho paka ka potlako ho Chelsea Piers ho ile ha etsa hore ho be bonolo hore re fihle sekepeng.",Basebetsi ba Memebers,positive
104,Nako efe kapa efe 'me nako le nako ha ke iphumana ke le sebakeng sa marang-rang ke tla ea Sushi Rose bakeng sa sushi empa likarolo tse ngata kaofela ka theko e sa utloahaleng.,Likarolo tsa likarolo,positive
108,Nako efe kapa efe le nako ha ke iphumana ke le sebakeng sa marang-rang ke tla ea Sushi Rose bakeng sa sushi e ngata empa eseng likarolo tse ngata kaofela ka theko e utloahalang.,Theko ea theko,positive
112,Nako efe kapa efe le nako ha ke iphumana ke le sebakeng sa marang-rang ke tla ea Sushi Rose bakeng sa sushi e ncha eseng likarolo tse kholo kaofela ka theko e sa utloahaleng.,Sushi Ho,positive
130,"Lijo li ne li le mpe, tšebeletso e potlakile, empa theko e sa utloahaleng haholo.",Tšebeletso ea tšebeletso,positive
134,"Lijo li ne li le mpe, tšebeletso ha ea ka ea potlakela, empa theko e utloahalang haholo.",Theko ea theko,positive
138,"Lijo li ne li le ntle, tšebeletso ha ea ka ea potlakela, empa theko e sa utloahaleng haholo.",Lijo tsa lijo,positive
142,"Le ha ho le joalo, ho ne ho se na mokhoa o motle oa ho pheha, empa li-veggies tse ncha li ne li le ntle haholo.",Li-veggies tse ncha,positive
146,"Ho boetse ho na le mefuta e mengata ea li-mushroom tse sa tsoa tsoaloa, empa e ne e se li-veggies tse ngata.",Pasta ea pele,positive
163,"Ho ile ha etsahala ka lebaka la mookameli ea sa tsotelleng le morekisi oa lehae ea neng a re emetse metsotso e 20 bakeng sa lino, empa ka mor'a moo o re laela hore re tsoe.",Mookameli,negative
167,"Ho ile ha etsahala ka lebaka la mookameli ea se nang mohau empa bartender rude ea neng a ena le rona ka botebo re emetse ka botebo metsotso e 20 bakeng sa lino, ebe o re joetsa hore re chill out.",Baehara Baas,negative
171,"Ho joalo, ho ile ha etsahala ka lebaka la mookameli ea se nang mohau le bartender rude ea neng a ena le rona haholo emetse metsotso e 20 bakeng sa lino, empa ka mor'a moo o re laela hore re chill out.",Letebele Letebele,negative
175,"Ho ile ha etsahala ka lebaka la mookameli ea se nang mohau le bartender e mosa ka botlalo ea neng a re emetse metsotso e 20 bakeng sa lino, ebe o re joetsa hore re chill out.",Lino Lino,neutral
179,"Le ka mohla u se ke ua ba le bothata ba ho noa, empa e ne e le batho ba sebetsang moo ba hlileng ba entseng sena boiphihlelo bo molemo ka ho fetisisa lijong.",Lino Lino,negative
183,"Le ka mohla u se ke ua khathatseha- lino li ne li le monate, empa e ne e le batho ba sebetsang moo ba hlileng ba entseng sena boiphihlelo bo bobe ka ho fetisisa lijong.",Ho ja lijo,negative
187,"Le ka mohla u se ke ua khathatseha - lino li ne li le monate, empa e ne e le batho ba sebetsang moo ba hlileng ba entseng sena boiphihlelo bo bobe ka ho fetisisa lijong.",Batho ba,negative
226,"Leha ho le joalo, ho na le ntho e ntle haholo ka ho ba kantle, sebakeng se seholo se etsang hore ho be le sebaka sena sa bohlokoa; Esita le haeba u sa rate ho noa joala.",Kantle Ho,positive
230,"Leha ho le joalo, ho na le ntho e 'ngoe e ntle haholo ka ho ba kantle, linaheng tse ntle, ho thabela seno se sa tloaelehang se etsang ho ea sebakeng sena sa bohlokoa.",Lino tse sa tloaelehang,positive
254,"Leseli le khahlang le ile la etsa hore ke batle ho gag, lijo li ne li sa overpriced, ho ne ho na le e tšabehang ka ho fetisisa disco pop duo performing-empa escargot ea ka e ne e shebahala eka e ka 'na crawl theoha poleiti.",Ho Pop Duo,negative
258,"The unattractive mabone entse hore ke batle ho gag, lijo ne sa overpriced, ho na le e ne e le molemo ka ho fetisisa disco pop duo performing-empa escargot ea ka shebahala eka e ka 'na crawl theoha poleiti.",Maboneng Lighting,negative
264,"Leseli le khahlang le ile la etsa hore ke batle ho gag, lijo li ne li overpriced, ho ne ho e-na le e ntle ka ho fetisisa disco pop duo performing-empa escargot ea ka e ne e shebahala eka e ka 'na crawl theoha poleiti.",Lijo tsa lijo,negative
286,"Sopho ha e na tatso ebile ha e na tatso, empa monokotšoai o monate ebile o monate.",Ho ho ho crust,positive
290,Li-sauces li monate empa li na le tatso ebile li monate ebile ha li na crispy.,Soe Seng,positive
298,"Khetho ea lijo ha e ntle haholo (ha ke tloaela ho ba le khetho e ngata lireschorenteng), empa sepakapaka se setle.",Sepakapaka sa sepakapaka,positive
302,"Khetho ea lijo e ntle haholo (ha ke tloaela ho ba le khetho e ngata lireschorenteng), empa sepakapaka ha se seholo.",Khetho ea lijo,positive
323,"Lijo li monate haholo, empa lijo li monate.","Ho ho ho, décoco",positive
327,"Lijo li monate haholo, empa ha li na thuso.",Lijo tsa lijo,positive
331,"Ts'ebeletso, leha ho le joalo, ke thakhisa kapa tse peli ka holim'a boleng ba lijo (eseng bartenders horrible), empa moreki, ka lehlakoreng le leng, ke rowdy, ba tsamaeang ka molomo o phahameng (sena se ka hlalosa maikutlo a matle ho tsoa ho basebetsi) ho laeloa konsarete ea AC / DC kapa papali ea Knicks.",Clientle Toe,negative
335,"Ts'ebeletso, leha ho le joalo, ke thakhisa kapa tse peli ka holim'a boleng ba lijo (bartenders horrible), le clientele, bakeng sa boholo, ha ba rowdy kapa ba tsamaeang ka molomo o phahameng (sena se ka hlalosa maikutlo a matle ho tsoa ho basebetsi) ho laeloa konsarete ea AC / DC kapa papali ea Knicks.",Baehara Baas,negative
341,"Ts'ebeletso, leha ho le joalo, ke thakhisa kapa tse peli ka tlase ho boleng ba lijo (eseng bartenders horrible), empa moreki, ka lehlakoreng le leng, ha ba rowdy, ha ba rowdy, eseng ba tsamaeang ka molomo o phahameng (sena se ka hlalosa maikutlo a mabe a tsoang ho basebetsi) ho laeloa konsarete ea AC / DC kapa papali ea Knicks.",Tšebeletso ea tšebeletso,negative
345,"Ts'ebeletso, leha ho le joalo, ke thakhisa kapa tse peli ka holim'a boleng ba lijo (eseng bartenders horrible), empa moreki, ka lehlakoreng le leng, ha li rowdy, ha li roale ba tsamaeang ka molumo o phahameng (sena se ka hlalosa maikutlo a mabe a tsoang ho basebetsi) ho laeloa konsarete ea AC / DC kapa papali ea Knicks.",Basebetsi ba Basebetsi,negative
355,"Ke ne ke le setulong sa lekhotla, ke ile ka palama baesekele ea ka e nyolohang Centre Street ka khefu ea ka ea lijo tsa mots'eare 'me ka mose sena ha se sebaka se seholo se senyenyane se nang le li-tacos tse ntle tsa khoho empa lemonade ea Hibiscus.",Hibiscus lemonade ea,positive
359,"Ke ne ke le setulong sa lekhotla, ke ile ka palama baesekele ea ka e nyolohang Centre Street ka khefu ea ka ea lijo tsa mots'eare 'me ke tla sebakeng sena se seholo se senyenyane se se nang le li-tacos tse ntle tsa khoho empa lemonade ea Hibiscus.",Sebaka,positive
363,"Ke ne ke le setulong sa lekhotla, ke ile ka palama baesekele ea ka e nyolohang Centre Street ka khefu ea ka ea lijo tsa mots'eare empa e se sebaka sena se seholo se senyenyane se nang le tacos e ntle ea khoho le lemonade ea Hibiscus.",Li-tacos tsa khoho,positive
369,"Innovations li netefalitsoe feela, ho tsoa ho e rarahaneng carinthia chisi ravioli e nang le li-mushroom tse hlaha ho ea ho sturgeon e kentsoeng caviar, e ts'oana hantle le sauce e tala e tala ea spinach-vodka.",Sopho e tala ea spinach-vodka,positive
373,"Innovations li netefalitsoe feela, ho tsoa ho ravioli e bonolo ea chisi ea Carinthia e nang le li-mushroom tse hlaha ho ea ho sturgeon e entsoeng ka caviar,e ts'oana hantle le sauce e tala ea spinach-vodka.",Carinthia cheese ravioli e nang le li-mushroom tse hlaha,positive
391,"Mookameli oa hau oa marang-rang o na le botsoalle haholo, haeba o sa tsotelle kapa o le monyane ... Mafelong a beke le beke, ho ne ho se monate ho ja.",Leta Mohasa,positive
395,"ʻO ka hoʻohaʻana i ka ʻao ... Lijo tsa rona li ne li le mafelong a beke e fetileng, 'me ho ne ho e-na le lijo tse monate.",Lijo tsa lijo,positive
402,"Lijo tse monate haholo, empa ts'ebeletso e ne e le ntle!",Tšebeletso ea tšebeletso,negative
406,"Lijo tse monate, empa ts'ebeletso e ne e le ntle haholo!",Lijo tsa lijo,positive
451,Lijana tse makatsang tsa Creative joalo ka salate ea crab e nang le tatso e matla ea litholoana le fettuccine e nang le lijo tsa leoatle tse halikiloeng ka har'a sopho ea rosemary-lamunu ke lintho tse sa lebelloang lenaneng le leng le ka tsejoang ke bistro.,Ho Menu,neutral
