,af,am,rw,ig,ha,ln,lug,so,zu,sn,nya,run,st,nso,tn,xh,yo
0,3D-weergawe,3D አተረጓጎም,3D Rendering,3D nsụgharị,Fassara 3D,3D rendering,3D okuvvuunula,3D,Ukunikezwa kwe-3D,3D kushandura,3D kumasulira,3D Rendering None None,3D e fana ka,3D go file,3D Modified,Ukunikezelwa kwe-3D,3D Rendering
1,3D-weergawe,3D አተረጓጎም,3D Rendering,3D nsụgharị,Fassara 3D,3D rendering,3D okuvvuunula,3D,Ukunikezwa kwe-3D,3D kushandura,3D kumasulira,3D Rendering None None,3D e fana ka,3D go file,3D Modified,Ukunikezelwa kwe-3D,3D Rendering
2,3D-weergawe,3D አተረጓጎም,3D Rendering,3D nsụgharị,Fassara 3D,3D rendering,3D okuvvuunula,3D,Ukunikezwa kwe-3D,3D kushandura,3D kumasulira,3D Rendering None None,3D e fana ka,3D go file,3D Modified,Ukunikezelwa kwe-3D,3D Rendering
3,Woordverwerking,የቃላት አሰራር,Bye bye processing,okwu nhazi,Yin amfani da kalmomi,Kobongisa liloba,Word processing,word processing,ukucubungula amagama,Kugadziriswa Kwemashoko,mawu processing,Word Processing None None,Lentsoane Processing,Word Go Go Processing,Bueno ya lo sabas,ukulungiswa kwegama,ọrọ processing
4,Woordverwerking,የቃላት አሰራር,Bye bye processing,okwu nhazi,Yin amfani da kalmomi,Kobongisa liloba,Word processing,word processing,ukucubungula amagama,Kugadziriswa Kwemashoko,mawu processing,Word Processing None None,Lentsoane Processing,Word Go Go Processing,Bueno ya lo sabas,ukulungiswa kwegama,ọrọ processing
5,web blaai,ድረ ገጽ,Bye bye web browsing,nchọgharị weebụ,Web browsing,web bokep,Webbrowsing,Websaydhka,ukuphequlula iwebhu,web browsing,kusakatula pa intaneti,webwiki Browsing,Web Browsing Ho,Web browsing bja,Rootsweb Browsing,Ukukhangela iwebhu,lilọ kiri ayelujara
6,web blaai,ድረ ገጽ,Bye bye web browsing,nchọgharị weebụ,Web browsing,web bokep,Webbrowsing,Websaydhka,ukuphequlula iwebhu,web browsing,kusakatula pa intaneti,webwiki Browsing,Web Browsing Ho,Web browsing bja,Rootsweb Browsing,Ukukhangela iwebhu,lilọ kiri ayelujara
7,Programmering,ፕሮግራም,porogaramu,mmemme,shirye-shiryen,Kotámbwisa,agenda,kaarka,izinhlelo,mapurogiramu,mapulogalamu,programming none,Lenaneo la mananeo,Lenaneo la mananeo,Programming Go Go,Isicwangciso-nkqubo,siseto
8,Programmering,ፕሮግራም,porogaramu,mmemme,shirye-shiryen,Kotámbwisa,agenda,kaarka,izinhlelo,mapurogiramu,mapulogalamu,programming none,Lenaneo la mananeo,Lenaneo la mananeo,Programming Go Go,Isicwangciso-nkqubo,siseto
9,speletjies,የቁማር,Bye bye gaming,Ịgba chaa chaa,wasan kwaikwayo,MASANO,kino,ciyaaraha,ukudlala,Gaming,Masewero,Baca Juga,Papali ea chelete,Go Gaming,Sega Gaming,imidlalo yokudlala,ere
10,speletjies,የቁማር,Bye bye gaming,Ịgba chaa chaa,wasan kwaikwayo,MASANO,kino,ciyaaraha,ukudlala,Gaming,Masewero,Baca Juga,Papali ea chelete,Go Gaming,Sega Gaming,imidlalo yokudlala,ere
