,af,am,rw,ig,ha,ln,lug,so,zu,sn,nya,run,st,nso,tn,xh,yo
0,3D-weergawe vertraag dit aansienlik.,3D አተረጓጎም በእጅጉ ይቀንሳል።,3D igabanya umuvuduko mwinshi.,3D na-eme ka ọ belata nke ukwuu.,3D yin hakan yana rage shi sosai.,Kobongola 3D ekitisaka yango malembe mpenza.,3D rendering ekendeeza nnyo.,Bixinta 3D waxay hoos u dhigtaa si aad ah.,Ukunikezwa kwe-3D kunciphisa kakhulu.,3D kushandura kunoderedza zvakanyanya.,Kutanthauzira kwa 3D kumachepetsa kwambiri.,3D 3D egahe.,3D e fokotsa haholo.,3D go slow.,3D e fokotsa lebelo le le kwa godimo.,Ukunikezelwa kwe-3D kuyicotha kakhulu.,3D rendering slows it down considerablly.
1,3D-weergawe vertraag dit nie aansienlik nie.,3D አተረጓጎም በእጅጉ አይቀንሰውም።,3D ntabwo itinda cyane.,3D na-eme ka ọ ghara ime ka ọ daa mbà nke ukwuu.,3D ba ya rage shi sosai.,3D kobongola yango malembe te na ndenge ebongi.,3D rendering not slows it considerably down.,Bixinta 3D ma hoos u dhigto si aad u weyn.,Ukunikezwa kwe-3D akunciphisi kakhulu.,3D kushandura kwete kunonoka nayo zvikuru.,Kutanthauzira kwa 3D sikuchepetsa kwambiri.,3D ntigira ico ishikako.,3D e ke ke ea e fokotsa haholo.,3D e se ke ya e fokotša kudu.,3D e se ka ya e fokotsa thata.,Ukunikezelwa kwe-3D akuyicothisi kakhulu.,3D ṣíṣe kò dín kù gidi gan-an.
2,"3D-weergawe vertraag dit aansienlik, maar sleutelbord is 'n liefde, batterylewe is ongelooflik en kwaliteit is 'n superlatief.","3D አተረጓጎም በእጅጉ ይቀንሳል, ነገር ግን ቁልፍ ሰሌዳ ፍቅር ነው, የባትሪ ህይወት አስደናቂ እና ጥራት የላቀ ነው.","3D ituma igabanyuka cyane, ariko keyboard ni urukundo, batiri ni ubuzima butangaje kandi ireme ni superlative.","Ntughari 3D na-eme ka ọ belata nke ukwuu, ma keyboard bụ ịhụnanya, ndụ batrị dị ịtụnanya na àgwà bụ superlative.","Yin 3D yana rage shi sosai, amma maɓallin kwamfyutan ƙauna ne, rayuwar batri mai ban mamaki ce kuma kwanciyar hankali mai kyau ce.","Kobongola 3D ekitisaka yango malembe, kasi clavier eza bolingo, bomoi ya bateri eza kokamwisa mpe qualité eza eloko ya superlative.","3D rendering ekendeeza nnyo, naye keyboard ya kwagala, ebbanga lya batri lyewuunyisa ate omutindo gwa superlative.","haya'ad 3D waxay hoos u dhigaysaa si weyn, laakiin keyboard waa jacayl, nolosha batteriga waa mid cajiib ah oo tayo leh waa superlative a.","Ukunikezwa kwe-3D kunciphisa kakhulu, kodwa ikhibhodi iluthando, impilo yebhethri iyamangalisa futhi ikhwalithi iyi-superlative.","3D kushandura kunonoka nayo pasi zvikuru, asi kiibhodhi rudo, bhatiri upenyu zvinoshamisa uye unhu chinhu superlative.","Kutanthauzira kwa 3D kumachepetsa kwambiri, koma kiyibodi ndi chikondi, moyo wa batri ndi wodabwitsa ndipo khalidwe ndi lapamwamba kwambiri.","3D iguma isubira inyuma cane, ariko ikirori ni urukundo, ubuzima bwa batiri ni ikintu gitangaje kandi kirakomeye cane.","3D rendering e e liehisa haholo, empa keyboard ke lerato, bophelo ba betri boa makatsa ebile boleng ke superlative.",3.3.1.3.1.3.1.3.1.3.1.3.1.3.1.3.1.3.3.1.3.1.1.3.2.1.3.3.1.2.3.3,"3.3.3 Go dira gore go nne thata go dira gore go nne thata, mme go dira gore go nne thata go dira gore motho a nne le lorato, mme botshelo jwa gagwe bo a gakgamatsa e bile bo na le nonofo.","Ukunikezelwa kwe-3D kuyicotha ngokuqwalaselwa, kodwa ikhibhodi luthando, ubomi bebhetri buyamangalisa kwaye umgangatho ubalasele kakhulu.","3D Rendering slows o si isalẹ significantly, ṣugbọn keyboard ni a ife, batiri aye jẹ iyanu ati didara ni a superlative."
3,"Ek gebruik hierdie rekenaar vir woordverwerking, webblaai, 'n bietjie speletjies, en ek leer programmering.",ይህን ኮምፒዩተር ለቃላት አሰራር፣ ድረ-ገጽ መቃኘት፣ አንዳንድ የቁማር ጨዋታዎች እየተጠቀምኩ ነው። እኔም ፕሮግራም እየተማርኩ ነው።,"Nkoresha iyi mudasobwa mu gukora amagambo, gushakisha urubuga, gukina imikino, kandi ndi kwiga porogaramu.","Ana m eji kọmputa a maka nhazi okwu, nchọgharị weebụ, ụfọdụ ịgba chaa chaa, m na-amụtakwa mmemme.","Ina amfani da wannan kwamfuta don yin amfani da kalmomi, yin biraws a dandalin, wasu wasanni, kuma ina koyon shiryoyi.","Nazali kosalela ordinatere oyo mpona kobongisa maloba, kotala na web, masano mosusu, mpe nazali koyekola baprograme.","Kompyuta eno ngikozesa mu kukozesa ebigambo, okunoonyereza ku mukutu gwa yintaneti, okuzannya emizannyo, era njiga pulogulaamu.","Waxaan u adeegsanayaa kumbuyuutarkan ereyada wax ka baranaya, shabakada internetka, qaar ka mid ah ciyaaraha, waxaanan baranayaa barnaamijka.","Ngisebenzisa le khompyutha ukucubungula amagama, ukuphequlula iwebhu, ukudlala okuthile, futhi ngifunda izinhlelo.","Ndiri kushandisa kombiyuta iyi yekugadzirisa mazwi, web browsing, mimwe mitambo, uye ndiri kudzidza purogiramu.","Ndikugwiritsa ntchito kompyutayi pokonza mawu, kusakatula pa intaneti, masewera ena, ndipo ndikuphunzira mapulogalamu.","Nkoresha iyi orodinateri kugira ngo nkoreshe imvugo, imbuga ngurukanabumenyi, iy'urukino, kandi ndiga programming.","Ke sebelisa komporo ena bakeng sa ts'ebetso ea mantsoe, ho bala marang-rang, lipapali tse ling, 'me ke ithuta mananeo.","Ke šomiša thekniki ye ya go ngwala, go dira di-web, go bapala dipapadi, le go ithuta lenaneo la go ithuta.","Ke dirisa khompiutara e, go dirisa di-web, go tshameka, go tshameka metshameko e mengwe, mme ke ithuta go dirisa mananeo a a farologaneng.","Ndisebenzisa le khompyutha ukulungiswa kwamagama, ukukhangela iwebhu, imidlalo ethile, kwaye ndifunda iinkqubo.","Mo nlo kọnputa yii fun ṣiṣe ọrọ, lilọ kiri ayelujara, diẹ ninu awọn ere, ati pe Mo n kọ siseto."
4,"Ek gebruik hierdie rekenaar vir woordverwerking, webblaai, 'n bietjie speletjies, en ek leer programmering, maar raakpaneel is goed, OS is gelukkig en battery is dood.","እኔ ይህን ኮምፒውተር ለቃላት አሰራር, ድረ-ገጽ መቃኘት, አንዳንድ ጨዋታዎች, እና እኔ ፕሮግራም እየተማርኩ ነው, ነገር ግን ዳሰሳ ፓድ ጥሩ ነው, OS ደስተኛ ነው እና ባትሪ የሞተ ነው.","Nkoresha iyi mudasobwa mu gukora amagambo, gushakisha urubuga, imikino imwe n'imwe, kandi ndi kwiga porogaramu, ariko touch pad ni nziza, OS yishimye kandi batiri yapfuye.","Ana m eji kọmputa a maka nhazi okwu, nchọgharị weebụ, ụfọdụ ịgba chaa chaa, m na-amụtakwa mmemme, mana mpempe aka dị mma, OS nwere obi ụtọ na batrị anwụọla.","Ina amfani da wannan kwamfuta don yin amfani da kalmomi, biraws na dandalin, wasu wasan wasa, kuma ina koyon shiryoyi, amma taɓa pad yana da kyau, OS yana farin ciki kuma batri ya mutu.","Nazali kosalela ordinatere oyo mpona kobongisa maloba, kotala na web, masano mosusu, mpe nazali koyekola programe, kasi touch pad eza malamu, OS eza na esengo mpe bateri ekufi.","Kompyuta eno ngikozesa mu kukozesa ebigambo, okukozesa omukutu gwa yintaneti, okuzannya emizannyo egimu, era njiga pulogulaamu, naye touch pad nnungi, OS musanyufu ate ne battery yafudde.","Waxaan u isticmaalayaa computer this for word processing, dhirta web, ciyaaraha qaar ka mid ah, oo aan barashada barnaamijka, laakiin suufka taabashada waa wanaagsan yahay, OS waa faraxsan yahay iyo batari waa dhintay.","Ngisebenzisa le khompyutha ukucubungula amagama, ukuphequlula iwebhu, ukudlala okuthile, futhi ngifunda izinhlelo, kodwa i-touch pad ilungile, i-OS iyajabula futhi ibhethri ifile.","Ndiri kushandisa kombiyuta iyi yekugadzirisa mazwi, web browsing, imwe mitambo, uye ndiri kudzidza mapurogiramu, asi touch pad yakanaka, OS inofara uye bhatiri yakafa.","Ndikugwiritsa ntchito kompyuta iyi pokonza mawu, kusakatula pa intaneti, masewera ena, ndipo ndikuphunzira mapulogalamu, koma kukhudza pad kuli bwino, OS ndi wokondwa ndipo batri yafa.","Nkoresha iyi orodinateri kugira ngo nkoreshe imvugo, imbuga ngurukanabumenyi, n'udukino tumwe na tumwe, kandi ndiga programming, ariko touch pad ni nziza, OS iraryoshe kandi batterie irapfuye.","Ke sebelisa komporo ena bakeng sa ts'ebetso ea mantsoe, ho bala marang-rang, lipapali tse ling, 'me ke ithuta mananeo, empa touch pad e lokile, OS e thabile ebile betri e shoele.","Ke diriša thekniki ye ya go dira dikhomphutha, go bapala websaete, dipapadi tše dingwe, gomme ke ithuta lenaneo, eupša touch pad e lokile, OS e thabile ebile e hwile.","Ke dirisa khomphiutha e, go tshameka ka internet, go tshameka, go tshameka metshameko e mengwe, mme go dira gore go nne le thulaganyo, mme go dira gore go nne le thulaganyo e e siameng, o a itumela e bile o sule.","Ndisebenzisa le khompyutha ukulungiswa kwamagama, ukukhangela iwebhu, imidlalo ethile, kwaye ndifunda iinkqubo, kodwa i-touch pad ilungile, i-OS iyavuya kwaye ibhetri ifile.","Mo nlo kọnputa yii fun ṣiṣe ọrọ, lilọ kiri ayelujara, diẹ ninu awọn ere, ati pe Mo n kọ siseto, ṣugbọn paadi ifọwọkan dara, OS dun ati batiri ti ku."
5,"Ek gebruik hierdie rekenaar vir woordverwerking, webblaai, 'n bietjie speletjies, en ek leer programmering.",ይህን ኮምፒዩተር ለቃላት አሰራር፣ ድረ-ገጽ መቃኘት፣ አንዳንድ የቁማር ጨዋታዎች እየተጠቀምኩ ነው። እኔም ፕሮግራም እየተማርኩ ነው።,"Nkoresha iyi mudasobwa mu gukora amagambo, gushakisha urubuga, gukina imikino, kandi ndi kwiga porogaramu.","Ana m eji kọmputa a maka nhazi okwu, nchọgharị weebụ, ụfọdụ ịgba chaa chaa, m na-amụtakwa mmemme.","Ina amfani da wannan kwamfuta don yin amfani da kalmomi, yin biraws a dandalin, wasu wasanni, kuma ina koyon shiryoyi.","Nazali kosalela ordinatere oyo mpona kobongisa maloba, kotala na web, masano mosusu, mpe nazali koyekola baprograme.","Kompyuta eno ngikozesa mu kukozesa ebigambo, okunoonyereza ku mukutu gwa yintaneti, okuzannya emizannyo, era njiga pulogulaamu.","Waxaan u adeegsanayaa kumbuyuutarkan ereyada wax ka baranaya, shabakada internetka, qaar ka mid ah ciyaaraha, waxaanan baranayaa barnaamijka.","Ngisebenzisa le khompyutha ukucubungula amagama, ukuphequlula iwebhu, ukudlala okuthile, futhi ngifunda izinhlelo.","Ndiri kushandisa kombiyuta iyi yekugadzirisa mazwi, web browsing, mimwe mitambo, uye ndiri kudzidza purogiramu.","Ndikugwiritsa ntchito kompyutayi pokonza mawu, kusakatula pa intaneti, masewera ena, ndipo ndikuphunzira mapulogalamu.","Nkoresha iyi orodinateri kugira ngo nkoreshe imvugo, imbuga ngurukanabumenyi, iy'urukino, kandi ndiga programming.","Ke sebelisa komporo ena bakeng sa ts'ebetso ea mantsoe, ho bala marang-rang, lipapali tse ling, 'me ke ithuta mananeo.","Ke šomiša thekniki ye ya go ngwala, go dira di-web, go bapala dipapadi, le go ithuta lenaneo la go ithuta.","Ke dirisa khompiutara e, go dirisa di-web, go tshameka, go tshameka metshameko e mengwe, mme ke ithuta go dirisa mananeo a a farologaneng.","Ndisebenzisa le khompyutha ukulungiswa kwamagama, ukukhangela iwebhu, imidlalo ethile, kwaye ndifunda iinkqubo.","Mo nlo kọnputa yii fun ṣiṣe ọrọ, lilọ kiri ayelujara, diẹ ninu awọn ere, ati pe Mo n kọ siseto."
6,"Ek gebruik hierdie rekenaar vir woordverwerking, webblaai, 'n bietjie speletjies, en ek leer programmering, maar mac OS is 'n skuld en buigsaamheid vir konnektiwiteit is meer.","ይህን ኮምፒውተር ለቃላት አሰራር, ለድረ-ገጽ መቃኘት, አንዳንድ ጨዋታዎች, እና እኔ ፕሮግራም እየተማርኩ ነው, ነገር ግን mac OS ተጠያቂ እና ተጣጣፊ ነት ለ አገናኝ ተጨማሪ ነው.","Nkoresha iyi mudasobwa mu gukora amagambo, gushakisha urubuga, imikino imwe n'imwe, kandi ndi kwiga porogaramu, ariko mac OS ni icyaha kandi ubushobozi bwo guhuza ni byinshi.","Ana m eji kọmputa a maka nhazi okwu, nchọgharị weebụ, ụfọdụ ịgba chaa chaa, m na-amụtakwa mmemme, mana Mac OS bụ ụta na mgbanwe maka njikọta bụ ihe ọzọ.","Ina amfani da wannan kwamfuta don yin amfani da kalmomi, biraws na dandalin, wasu wasannin wasa, kuma ina koyon shiryoyin aiki, amma mac OS laifi ne kuma sauƙin hali ga haɗin kai ya fi kyau.","Nazali kosalela ordinatere oyo mpo na kobongisa maloba, kotala na web, mwa masano, mpe nazali koyekola programe, kasi mac OS ezali foti mpe kobongola makambo mpo na boyokani ezali mingi.","Kompyuta eno ngikozesa mu kukozesa ebigambo, okukozesa omukutu gwa yintaneti, okuzannya emizannyo egimu, era njiga pulogulaamu, naye mac OS y'omusango era okukyukakyuka mu kukwatagana kusinga.","Waxaan u adeegsanayaa computer this for erayada processing, dhirta web, ciyaaraha qaar ka mid ah, oo aan barashada barnaamijka, laakiin mac OS waa eed iyo dabacsanaan isku xirnaanta waa ka badan.","Ngisebenzisa le khompyutha ukucubungula amagama, ukuphequlula iwebhu, ukudlala okuthile, futhi ngifunda izinhlelo, kodwa i-mac OS iyicala nokuguquguquka kokuxhumana kuningi.","Ndiri kushandisa kombiyuta iyi yekugadzirisa mazwi, web browsing, imwe mitambo, uye ndiri kudzidza mapurogiramu, asi mac OS inopomerwa uye kuchinja kwekubatanidza kune zvakawanda.","Ndikugwiritsa ntchito kompyuta iyi pokonza mawu, kusakatula pa intaneti, masewera ena, ndipo ndikuphunzira mapulogalamu, koma mac OS ndi mlandu ndi kusinthasintha kwa kulumikizana ndi zambiri.","Nkoresha iyi orodinateri kugira ngo ikoreshe imvugo, imbuga ngurukanabumenyi, ubuhinga ngurukanabumenyi, n'ibindi.","Ke sebelisa komporo ena bakeng sa ts'ebetso ea mantsoe, ho bala marang-rang, lipapali tse ling, 'me ke ithuta mananeo, empa mac OS ke molato le ho tenyetseha bakeng sa khokahano ho feta.","Ke diriša thekniki ye ya go dira dikhomphutha, go bapala websaete, dipapadi tše dingwe, gomme ke ithuta lenaneo, eupša Mac OS ke molato le go se be le maemo a go ba le kgokagano go feta.","Ke dirisa khomphiutha e, go tshameka ka internet, go tshameka metshameko e mengwe, mme ke ntse ke ithuta go bala le go kwala, mme mac OS ke molato le go ipeela gore go nne le maemo a a kwa godimo.","Ndisebenzisa le khompyutha yokucwangcisa amagama, ukukhangela iwebhu, imidlalo ethile, kwaye ndifunda iinkqubo, kodwa i-mac OS ityala kunye nokuguquguquka kokuxhumeka kuninzi.","Mo nlo kọnputa yii fun ṣiṣe ọrọ, lilọ kiri ayelujara, diẹ ninu awọn ere, ati pe Mo n kọ siseto, ṣugbọn mac OS jẹ ẹbi ati irọrun fun isopọmọ jẹ diẹ sii."
7,"Ek gebruik hierdie rekenaar vir woordverwerking, webblaai, 'n bietjie speletjies, en ek leer programmering.",ይህን ኮምፒዩተር ለቃላት አሰራር፣ ድረ-ገጽ መቃኘት፣ አንዳንድ የቁማር ጨዋታዎች እየተጠቀምኩ ነው። እኔም ፕሮግራም እየተማርኩ ነው።,"Nkoresha iyi mudasobwa mu gukora amagambo, gushakisha urubuga, gukina imikino, kandi ndi kwiga porogaramu.","Ana m eji kọmputa a maka nhazi okwu, nchọgharị weebụ, ụfọdụ ịgba chaa chaa, m na-amụtakwa mmemme.","Ina amfani da wannan kwamfuta don yin amfani da kalmomi, yin biraws a dandalin, wasu wasanni, kuma ina koyon shiryoyi.","Nazali kosalela ordinatere oyo mpona kobongisa maloba, kotala na web, masano mosusu, mpe nazali koyekola baprograme.","Kompyuta eno ngikozesa mu kukozesa ebigambo, okunoonyereza ku mukutu gwa yintaneti, okuzannya emizannyo, era njiga pulogulaamu.","Waxaan u adeegsanayaa kumbuyuutarkan ereyada wax ka baranaya, shabakada internetka, qaar ka mid ah ciyaaraha, waxaanan baranayaa barnaamijka.","Ngisebenzisa le khompyutha ukucubungula amagama, ukuphequlula iwebhu, ukudlala okuthile, futhi ngifunda izinhlelo.","Ndiri kushandisa kombiyuta iyi yekugadzirisa mazwi, web browsing, mimwe mitambo, uye ndiri kudzidza purogiramu.","Ndikugwiritsa ntchito kompyutayi pokonza mawu, kusakatula pa intaneti, masewera ena, ndipo ndikuphunzira mapulogalamu.","Nkoresha iyi orodinateri kugira ngo nkoreshe imvugo, imbuga ngurukanabumenyi, iy'urukino, kandi ndiga programming.","Ke sebelisa komporo ena bakeng sa ts'ebetso ea mantsoe, ho bala marang-rang, lipapali tse ling, 'me ke ithuta mananeo.","Ke šomiša thekniki ye ya go ngwala, go dira di-web, go bapala dipapadi, le go ithuta lenaneo la go ithuta.","Ke dirisa khompiutara e, go dirisa di-web, go tshameka, go tshameka metshameko e mengwe, mme ke ithuta go dirisa mananeo a a farologaneng.","Ndisebenzisa le khompyutha ukulungiswa kwamagama, ukukhangela iwebhu, imidlalo ethile, kwaye ndifunda iinkqubo.","Mo nlo kọnputa yii fun ṣiṣe ọrọ, lilọ kiri ayelujara, diẹ ninu awọn ere, ati pe Mo n kọ siseto."
8,"Ek gebruik hierdie rekenaar vir woordverwerking, webblaai, 'n bietjie speletjies, en ek leer programmering, maar werkverrigting is kragtig, gebruik is maklik en Windows 8 is 'n klagte.","ይህን ኮምፒውተር ለቃላት አሰራር, ድረ-ገጽ መቃኘት, አንዳንድ ጨዋታዎች, እና እኔ ፕሮግራም እየተማርኩ ነው, ነገር ግን አፈጻጸም ኃይለኛ ነው, አጠቃቀም ቀላል እና መስኮቶች 8 ቅሬታ ነው.","Nkoresha iyi mudasobwa mu gukora amagambo, gushakisha urubuga, imikino imwe n'imwe, kandi ndi kwiga porogaramu, ariko imikorere ni imbaraga, gukoresha biroroshye kandi windows 8 ni ikirego.","Ana m eji kọmputa a maka nhazi okwu, nchọgharị weebụ, ụfọdụ ịgba chaa chaa, m na-amụtakwa mmemme, mana arụmọrụ dị ike, iji dị mfe na windows 8 bụ mkpesa.","Ina amfani da wannan kwamfuta don yin amfani da kalmomi, biraws na dandalin, wasu wasanni, kuma ina koyon shiryoyi, amma aiki mai iko ne, amfani yana da sauƙi kuma windows 8 ƙarya ne.","Nazali kosalela ordinatere oyo mpona kobongisa maloba, kotala na web, masano mosusu, mpe nazali koyekola baprograme, kasi kosala mosala eza makasi, kosalela eza pete mpe windows 8 eza likambo ya komilela.","Kompyuta eno ngikozesa mu kukozesa ebigambo, okukozesa omukutu gwa yintaneti, okuzannya emizannyo egimu, era njiga pulogulaamu, naye okukola kwa maanyi, okukozesa kwangu ate ne windows 8 kwemulugunya.","Waxaan u isticmaalayaa kumbuyuutarkan ereyada wax ka baranaya, web dhirta webka, qaar ka mid ah cayaaraha, waxaanan baranayaa barnaamijka, laakiin waxqabadka wuu awood badan yahay, isticmaalka waa sahlan yahay oo daaqadaha 8 waa cabasho.","Ngisebenzisa le khompyutha ukucubungula amagama, ukuphequlula iwebhu, ukudlala okuthile, futhi ngifunda izinhlelo, kodwa ukusebenza kunamandla, ukusetshenziswa kulula futhi i-windows 8 isikhalazo.","Ndiri kushandisa kombiyuta iyi yekugadzirisa mazwi, web browsing, mimwe mitambo, uye ndiri kudzidza mapurogiramu, asi kushanda kune simba, kushandiswa kuri nyore uye mahwindo 8 kunyunyuta.","Ndikugwiritsa ntchito kompyuta iyi pokonza mawu, kusakatula pa intaneti, masewera ena, ndipo ndikuphunzira mapulogalamu, koma ntchito ndi yamphamvu, kugwiritsa ntchito ndi kosavuta ndipo mawindo 8 ndi kudandaula.","Nkoresha iyi orodinateri kugira ngo ikore neza, gukoresha imbuga ngurukanabumenyi, n'ibindi ndiko ndiga programming, ariko ubuhinga burakomeye, gukoresha neza kandi windows 8 ni ikirego.","Ke sebelisa komporo ena bakeng sa ts'ebetso ea mantsoe, ho bala marang-rang, lipapali tse ling, 'me ke ithuta mananeo, empa ts'ebetso e matla, ts'ebeliso e bonolo ebile windows 8 ke tletlebo.","Ke diriša khomphiutha ya go dira dikhomphutha, go bala websaete, dipapadi tše dingwe, gomme ke ithuta mananeo a go ithuta, eupša go šoma gabonolo, go šomiša gabonolo le windows 8 ke ngongorego.","Ke dirisa khomphiutha e ya go dirisa lefoko, go tshameka ka webo, go tshameka metshameko e mengwe, mme go dira tiro e e nonofileng, tiriso e motlhofo mme windows 8 ke ngongorego.","Ndisebenzisa le khompyutha ukulungiswa kwamagama, ukukhangela iwebhu, imidlalo ethile, kwaye ndifunda iinkqubo, kodwa ukusebenza kunamandla, ukusetyenziswa kulula kwaye iifestile 8 zisikhalazo.","Mo nlo kọnputa yii fun ṣiṣe ọrọ, lilọ kiri ayelujara, diẹ ninu awọn ere, ati pe Mo n kọ siseto, ṣugbọn iṣẹ jẹ alagbara, lilo jẹ rọrun ati windows 8 jẹ ẹdun kan."
9,"Ek gebruik hierdie rekenaar vir woordverwerking, webblaai, 'n bietjie speletjies, en ek leer programmering.",ይህን ኮምፒዩተር ለቃላት አሰራር፣ ድረ-ገጽ መቃኘት፣ አንዳንድ የቁማር ጨዋታዎች እየተጠቀምኩ ነው። እኔም ፕሮግራም እየተማርኩ ነው።,"Nkoresha iyi mudasobwa mu gukora amagambo, gushakisha urubuga, gukina imikino, kandi ndi kwiga porogaramu.","Ana m eji kọmputa a maka nhazi okwu, nchọgharị weebụ, ụfọdụ ịgba chaa chaa, m na-amụtakwa mmemme.","Ina amfani da wannan kwamfuta don yin amfani da kalmomi, yin biraws a dandalin, wasu wasanni, kuma ina koyon shiryoyi.","Nazali kosalela ordinatere oyo mpona kobongisa maloba, kotala na web, masano mosusu, mpe nazali koyekola baprograme.","Kompyuta eno ngikozesa mu kukozesa ebigambo, okunoonyereza ku mukutu gwa yintaneti, okuzannya emizannyo, era njiga pulogulaamu.","Waxaan u adeegsanayaa kumbuyuutarkan ereyada wax ka baranaya, shabakada internetka, qaar ka mid ah ciyaaraha, waxaanan baranayaa barnaamijka.","Ngisebenzisa le khompyutha ukucubungula amagama, ukuphequlula iwebhu, ukudlala okuthile, futhi ngifunda izinhlelo.","Ndiri kushandisa kombiyuta iyi yekugadzirisa mazwi, web browsing, mimwe mitambo, uye ndiri kudzidza purogiramu.","Ndikugwiritsa ntchito kompyutayi pokonza mawu, kusakatula pa intaneti, masewera ena, ndipo ndikuphunzira mapulogalamu.","Nkoresha iyi orodinateri kugira ngo nkoreshe imvugo, imbuga ngurukanabumenyi, iy'urukino, kandi ndiga programming.","Ke sebelisa komporo ena bakeng sa ts'ebetso ea mantsoe, ho bala marang-rang, lipapali tse ling, 'me ke ithuta mananeo.","Ke šomiša thekniki ye ya go ngwala, go dira di-web, go bapala dipapadi, le go ithuta lenaneo la go ithuta.","Ke dirisa khompiutara e, go dirisa di-web, go tshameka, go tshameka metshameko e mengwe, mme ke ithuta go dirisa mananeo a a farologaneng.","Ndisebenzisa le khompyutha ukulungiswa kwamagama, ukukhangela iwebhu, imidlalo ethile, kwaye ndifunda iinkqubo.","Mo nlo kọnputa yii fun ṣiṣe ọrọ, lilọ kiri ayelujara, diẹ ninu awọn ere, ati pe Mo n kọ siseto."
