sentences,aspects,polarities
"dijo tse di monate, seelo se segolo, seelo se segolo le se se gaisang sa biri se segolo, fela fa e le tse dinnye thata, taolo ga e kwa tlase mme tirelo e bonya thata.",mme,positive
"dijo tse di monate, mogote o mogolo, phefo e kgolo le tse di gaisang tsotlhe tsa biri tse dikgolo, fela badiri ba nna botsalano, dipone ga di na go tlhotlhorega e bile dijo di ka fa tlase ga palogare.",phefo,positive
"dijo tse kgolo, waitstaff e kgolo, tlelaemete e kgolo, le biri e kgolo, empa karolo ya dijo e ka tlase ho karolelano, nama ya maiketsetso ke ya maiketsetso mme kgoho e lefifi.",kgoho,positive
"dijo tse di monate, dijo tse monate, tse kgolo, tse monate, empa di a tshabeha.",dijo,positive
"dijo di a bo di le kwa godimo, tirelo e le kelotlhoko, mme dijo di a boitshega e bile di a bo di le maswe.",tirelo,positive
"dijo di a bo di le kwa godimo, tirelo e a e ela tlhoko, mme phefo e kgolo, fela batho ba a tenega.",mme,positive
"dijo di kwa godimo thata, tirelo e ela tlhoko, mme mmino o bokete thata, batho ba ba lebeletseng ba a tenega e bile badiri ba ikgogomogela.",dijo,positive
"ke eng se o ka akanyang ka sone fa motho yo o nang le dingwaga di le 80, mme o ka dira jang gore a se ka a dira jalo, a bo a dira ka tsela e e siameng, mme merogo ke yone e e rileng e e sa siamang, mme merogo e a bo e le yone e e rileng e bo e le ya bofefo.",mme,neutral
"ke eng se o ka se buang ka lefelo le motho a ka le dirang ka lone, go tswa foo o ka dirisa mafoko a gago a dingwaga di le 80 mme o mo naya molomo ka go mo romelela kwa morago (se a neng a se dira ka tsela e e siameng), fela nako e e itumedisang e le e e kwa tlase, dilwana tsa setso tsa italy di tlhwatlhwatlase mme diresepe di lekwa mme di-diresepe di a lekwa le nnete.",mme,negative
"go ne go le thata go nna le madi a a kwa tlase, mme kwa ntle ga moo, go ne go na le go nna le madi a a sa siamang a a ka dirang gore motho a se ka a tlhola a le mo tseleng, mme go na le ba bangwe ba ba nang le madi a a kwa tlase, mme ba ba neng ba le mo go yone ba ne ba na le madi a a kwa tlase.",mme,negative
"go ne go na le dijo tse dintsi tse di neng di le kwa tlase, mme kwa ntle ga moo, go ne go na le nama e e sa siamang e e tlhogisang moreki mongwe le mongwe yo o tlogelang lefelo, fela salate (avocado shrimp) e siame.",tlogelang,negative
"go ne go le thata go bona gore dijo di ne di le kwa tlase ga palogare, mme kwa ntle ga go na le nama e e sa tlwaelegang e e tlhogisang moreki mongwe le mongwe yo o tlogelang lefelo, fela maemo a a kgatlhisang, badiri ba a kgatlhisa e bile go a gakgamatsa.",nama,negative
"ke ne ke batla go itse gore go na le dilo tse dintsi tse ke di dirisang kwa new york, mme ke itse se ke se buang ka sone, mme ke sa ntse ke bua ka bonako.",dirisang,negative
"ke ne ke batla go itse gore ke a tle ke kgone go dira dilo tse di molemo go gaisa tsotlhe mo botswana, mme ke itse gore ke bua ka eng, mme ke a itse gore ke eng se ke se buang.",dilo,neutral
"ba ne ba na le dilo di le mmalwa tsa boitlhamedi, ba ne ba le botlhale go boloka dingwe tsa ba ba ratang kgale (mme ba tsholetsa ditlhwatlhwa), badiri ba na le botsalano jo bogolo jwa nako, mme ke tshwanetse go dumelana le motho yo o kwadileng ka mafoko a a ba ratang thata: nnyaa, ga a ka ke a kopa maitshwarelo... mosimane, ba ka se obamele melao ya mongwe le mongwe; go na le dilo tse di gakgamatsang tse di gakgamatsang, mme go na le diphetogo tse di itumedisang thata mo letsatsing la rona.",diphetogo,negative
"ba ne ba na le dilo di le mmalwa tsa boitlhamedi, ba ne ba le botlhale go boloka dingwe tsa ba ba ratang kgale (mme ba tsholetsa ditlhwatlhwa), badiri ba na le botsalano jo bogolo jwa nako, mme ke tshwanetse go dumelana le motho yo o kwadileng ka mafoko a a ba ratang thata: nnyaa, ga a ka ke a kopa maitshwarelo... mosimane, ba ka se obamele melao ya mongwe le mongwe; dijo tse di monate, ga di a tshwanela go nna monate, mme dijo ga di a siama.",go,positive
"ka tlwaelo ke fumana sopho e le nngwe ya beef noodle ya vietnam, empa macadamia-crusted mali e lekwa-and-true mme tapas e monate.",noodle,neutral
"le fa go ntse jalo, le fa go ntse jalo, go na le batho ba ba sa itseng thata, mme go na le batho ba ba sa batleng go nna le seabe mo go bone.",go,positive
"o ka ja dijo tse di jewang ka bonako, fela letswai la mole le le monate thata, tirelo ya go leta e le e e sa tshwanelang.",dijo,positive
"o ka ja dijo tse di jewang ka bonako, mme dijo tsa gago ga di a siama ka selekanyo se se kwa tlase.",selekanyo,positive
"mo maitseboeng, go ne ga nna le diphetogo tse di neng di fetoga go nna le tshono eno e e neng e le mo go yone e e neng e le teng, mme go na le dilo tse di sa itumediseng.",mme,positive
"go na le mefuta e e farologaneng, fela tirelo e e bonya e bile e a kgatlhisa.",go,neutral
"mo godimo ga moo, go ne go na le didirisiwa tse di kwa godimo le tse di kwa godimo, mme go ne go le thata go dirisa didirisiwa tse di kwa godimo, mme go sa ntse go na le dilo tse di sa rerisiweng.",didirisiwa,positive
"di-pizzas di ne di le monate mo godimo ga di-appetizer le dikhoso tse dikgolo, mme tirelo ya bar e bonya, bar e a kgatlhisa mme lenaane la beine le a swabisa.",di-appetizer,positive
"mo godimo ga moo, go ne go na le didirisiwa tse di kwa godimo le tse di kwa godimo, mme badiri ba ne ba itlhagisa mme ba dira tiro e e bonya.",go,positive
"le fa go ntse jalo, go a bo go na le dikuku tse di bothitho, le fa e le gore go na le dikuku tse di bothitho, le fa go ntse jalo, go na le dikuku tse di bothitho tse di sa siamang, le fa go ntse jalo, le fa go ntse jalo, go na le dikuku tse di bothitho tse di sa siamang.","siamang,",positive
"le fa go ntse jalo, go na le dilo dingwe tse di rileng, kgotsa le fa go ntse jalo,",go,positive
"le fa go ntse jalo, le fa go ntse jalo, le fa go ntse jalo, le fa go ntse jalo, go na le dilo dingwe tse di sa rerilweng mo go tsone.",go,positive
"go tswa kwa tshimologong, re ne ra kopana le badiri ba ba botsalano, mme koloi e e gaufi le chelsea piers e ne ya dira gore go nne motlhofo gore re fitlhe mo mokorong, mme go na le dilo tse dikgolo, dikarolo di dinnye e bile di a bo di le setlhogo.",koloi,positive
"go tloga kwa tshimologong, re ne ra kopana le badiri ba ba botsalano, mme dikoloi tse di neng di le gaufi le chelsea piers di ne tsa dira gore go nne motlhofo gore re fitlhe mo mokorong, mme dijo ga di a siama thata.",go,positive
"fa re sena go tsamaya, dijo tse di kwa godimo le boithabiso jo bo tshelang di re rekiseditse mo maitseboeng a a sa lebalesegeng, mme dijo di a boitshega.",boithabiso,positive
"fa re sena go tsamaya, dijo tse di kwa godimo le boitlosobodutu jo bo tshelang di re rekiseditse mo maitseboeng a a sa lebalesegeng, mme nama ya maitirelo ya maitirelo ke ya maitirelo mme go leta go le setlhogo.",nama,positive
"nako le nako fa ke iphitlhela ke le mo tikologong ya me ke tla ya kwa sushi rose go ya go sushi e e foreshe le dikarolo tse dikgolo tsotlhe ka tlhwatlhwa e e utlwalang sentle, mme kgogo e lefifi, motlhokomedi ga a na mosola e bile ga a na go tenega.",dikarolo,positive
ke ne ke batla go ya go ja dijo tse di monate tse di monate mme ke tla ya go ja dijo tse di monate le tse dingwe tse di nang le boleng jo bo kwa godimo.,boleng,positive
"ka nako nngwe le nngwe fa ke ne ke le mo tikologong ya me, ke tla ya kwa sushi e e foreshe le dikarolo tse dintsi ka tlhotlhwa e e utlwalang, fela waiter e a tenega, kuku e bonya mme tirelo e bonya.",sushi,positive
"sopo ya di-mushroom tsa garase e a gakgamatsa, fela di-pop pop duo di a boitshega mme mookamedi wa yone o a bo a le maswe.",sopo,positive
"go ne go na le dijo tse di neng di le teng ka labotlhano mme dijo di ne di le monate, mme go ja dijo go monate, mme go ja dijo tsa motshegare go siame.",labotlhano,neutral
"go ne go na le dijo tse di neng di le teng ka labotlhano mme dijo di ne di le monate, mme tirelo e e boitshegang mme e a bo e le thata.",dijo,positive
"fa ke sena go ja dijo tsa motshegare, ke ne ka lemoga gore go na le di-cookie tse di nang le dijo tse di monate mme ke ne ka lemoga gore go na le di-cookie tse di kwa tlase, mme go na le di-dessert tse di monate mme ke leka go ja kuku ya soya.",di,neutral
"fa ke sena go ja dijo tsa motshegare, ke ne ka lemoga gore go na le lefelo le le tshamekelang, mme dintša tse di bothitho ga di a siama, mme ditshwene ga di a siama.",ditshwene,neutral
"fa ke sena go ja dijo tsa motshegare, ke ne ka lemoga gore go na le lefelo le lentle mme go a itumedisa.",mme,neutral
"dijo di ne di le monate, tirelo e e bonako, le tlhotlhwa e e utlwalang sentle, fela di-cookie tsa leruo ke ngongorego.",tirelo,positive
"dijo di ne di le monate, tirelo e ne e potlakile, mme tlhotlhwa e e utlwalang sentle. - food gone bad.",utlwalang,positive
"dijo di ne di le monate, tirelo e ne e potlakile, mme tlhotlhwa e e utlwalang sentle. , 13:22 ba ba sa siamang ba tla bo ba tenegile, ba bo ba tenegile, ba bo ba sa itse gore ga ba na sepe.",dijo,positive
"le fa go ntse jalo, go ne go na le dilo di le dintsi tse di sa siamang, mme go na le dilo tse dintsi tse di sa siamang, mme go na le dilo tse di sa siamang tse di sa siamang.",go,positive
"go ne go na le dijo tse dintsi tse di sa tswang kwa morago, mme go na le dijo tse dintsi tse di kwa tlase, mme nama e e phepa, e bile e na le nama e e phepa.",mme,positive
"ka maswabi, re ne re se na nako ya go reka dijo tse di monate, mme go na le di-cookie tse di nang le dikotla tse di siameng mme go na le dilo tse dintsi tse di sa tshwaneng.",di-cookie,neutral
"fa e le gore o setse o le mo lefelong la gago, ruri o tla bo o le mo lefelong la go ja dijo tse di monate, mme go tla bo go le thata gore o se ka wa kgobega marapo.",dijo,positive
"a o ka re fa o ka tsaya metsotso e le 20 go ya go e le 30, o ne wa bolelela mongwe wa ba ba neng ba sa tswa go nwa bojalwa jo o bo batlang? le fa go ntse jalo, go na le di-cookie tse di nang le di-mushroom tse di nang le letswai le lentle fela.",lentle,negative
"a o ka akanya gore fa o fetsa diura di le 20 go ya go di le 30, o ne o ka re fa go tla bo go na le metsotso e le 20 go ya go 30, motlhokomedi o ne a re o tshwanetse go ntsha bojalwa jo bo sa tswang go nwa bojalwa jo bo go duelelang, mme dijo di a bo di le kwa godimo thata.",mme,neutral
"a o ka nna wa akanya gore fa o fetsa diura di le 20 go ya go di le 30, o ne o ka re fa go tla bo go na le metsotso e le 20 go ya go e 30, motlhokomedi o ne a re o tshwanetse go ntsha bojalwa jo bo sa tswang go nwa bojalwa jo o bo batlang.",nna,negative
"a o ka akanya gore fa o ka tsaya metsotso e ka nna 20 go ya go 30, mogokgo o ne a re go tla bo go le monate go nwa bojalwa jo o bo batlang go bo o bo o le mo go one, mme dijo di a kgatlhisa.",dijo,neutral
"e ne ya re fa go ne go na le motho yo o neng a na le dingwaga di le 20, a bo a re o ne a na le metsotso e le 20 a a neng a na le one, a bo a re re a ja, mme dijo di siame, di a bo di le monate.",motho,negative
"e ne ya re morago ga go dira jalo, re ne re le mo ntlong e e neng e na le metsotso e le 20 e e neng e re thusa go e nwa, e bile e re thusa gore re kgone go dira dilo tse di molemo.",metsotso,negative
"go ne ga nna jalo ka gonne go ne go na le mongwe yo o neng a na le ngwana yo o neng a na le metsotso e le 20, a bo a re bolelela gore re je dijo tse di monate, mme dijo di siame.",ngwana,negative
"go ne ga nna le motho yo o neng a na le dingwaga di le 20, a re a tle re kgone go nwa bojalwa, mme re ne ra re gakolola gore re kgone go dira jalo.",nwa,neutral
"o se ka wa itewa ke go nwa bojalwa, mme gone ke batho ba ba dirang koo ba ba neng ba dira dilo tse di molemo thata mo dijong tsa bone. a moya o itekanetse.",dijong,negative
"o se ka wa itewa ke go nwa bojalwa, mme gone ke batho ba ba dirang koo ba ba neng ba dira dilo tse di molemo thata mo dijong tsa bone. go dira dilo ka bonako e bile go na le maemo a a siameng.",maemo,negative
