,af,am,rw,ig,ha,ln,lug,so,zu,sn,nya,run,st,nso,tn,xh,yo
0,Atmosfeer,ከባቢ አየር,Bye bye atmosphere,ikuku,sa'a,atmosphere,atmosfer,jawiga,umkhathi,mhepo,mlengalenga,Ikirere,Sepakapaka sa sepakapaka,Botafogo,Mme Atmosphere,kwik,afẹ́fẹ́
1,Atmosfeer,ከባቢ አየር,Bye bye atmosphere,ikuku,sa'a,atmosphere,atmosfer,jawiga,umkhathi,mhepo,mlengalenga,Ikirere,Sepakapaka sa sepakapaka,Botafogo,Mme Atmosphere,kwik,afẹ́fẹ́
2,Atmosfeer,ከባቢ አየር,Bye bye atmosphere,ikuku,sa'a,atmosphere,atmosfer,jawiga,umkhathi,mhepo,mlengalenga,Ikirere,Sepakapaka sa sepakapaka,Botafogo,Mme Atmosphere,kwik,afẹ́fẹ́
3,Atmosfeer,ከባቢ አየር,Bye bye atmosphere,ikuku,sa'a,atmosphere,atmosfer,jawiga,umkhathi,mhepo,mlengalenga,Ikirere,Sepakapaka sa sepakapaka,Botafogo,Mme Atmosphere,kwik,afẹ́fẹ́
4,Kelnerpersoneel,አስተናጋጆች,Bye bye waitstaff,waitstaff,waitstaff,waitstaff,kaawaa,sugid,waitstaff,waitstaff,waitstaff,waitstaff none none,Leta Lesli,Leta Lefke,Mme Waitsstaff,kwik,waitstaff
5,Kelnerpersoneel,አስተናጋጆች,Bye bye waitstaff,waitstaff,waitstaff,waitstaff,kaawaa,sugid,waitstaff,waitstaff,waitstaff,waitstaff none none,Leta Lesli,Leta Lefke,Mme Waitsstaff,kwik,waitstaff
6,Kelnerpersoneel,አስተናጋጆች,Bye bye waitstaff,waitstaff,waitstaff,waitstaff,kaawaa,sugid,waitstaff,waitstaff,waitstaff,waitstaff none none,Leta Lesli,Leta Lefke,Mme Waitsstaff,kwik,waitstaff
7,Kelnerpersoneel,አስተናጋጆች,Bye bye waitstaff,waitstaff,waitstaff,waitstaff,kaawaa,sugid,waitstaff,waitstaff,waitstaff,waitstaff none none,Leta Lesli,Leta Lefke,Mme Waitsstaff,kwik,waitstaff
8,Bier,ቢራ,bye bye beer,biya,bira,bière,Beer,biir,ubhiya,doro,mowa,Bivyye,Bebe bee,beker,beker bone,ibhiya,ọtí bíà
9,Bier,ቢራ,bye bye beer,biya,bira,bière,Beer,biir,ubhiya,doro,mowa,Bivyye,Bebe bee,beker,beker bone,ibhiya,ọtí bíà
10,Bier,ቢራ,bye bye beer,biya,bira,bière,Beer,biir,ubhiya,doro,mowa,Bivyye,Bebe bee,beker,beker bone,ibhiya,ọtí bíà
11,Bier,ቢራ,bye bye beer,biya,bira,bière,Beer,biir,ubhiya,doro,mowa,Bivyye,Bebe bee,beker,beker bone,ibhiya,ọtí bíà
