rw,aspect,polarities
"ibyokurya byiza, abakozi beza, ntabwo ari ikirere kinini, ntabwo ari ikirere cyiza, ni ibyokurya byiza, ni",ikirere,negative
"ibyokurya byiza, ariko ibyokurya bibi, n'ikirere cyiza, n'inzoga nziza!","bibi,",negative
"ibyokurya byiza, abakozi beza, ikirere kinini, ikirere","beza,",negative
"ntabwo ari ibyokurya bikomeye, igihe kinini cyo gutegereza, ikirere kinini, ahubwo ni inzoga nziza cyane!",ari,negative
"ibyo kurya ni byiza cyane, ariko serivisi ntabwo ari nziza, nubwo ikirere ari cyiza.",serivisi,negative
"ibyo kurya ni byiza cyane, serivisi ni nziza, ariko ikirere ntabwo ari cyiza.",ikirere,negative
"ibyo kurya ni bibi, ariko serivisi ni nziza, kandi ikirere ni cyiza.",kurya,negative
"ni iki wavuga ku hantu umukobwa w'umukobwa asohora entrée ikwiriye, ariko mu magambo akubita nyirakuru w'imyaka 80 kandi amuha iminwa ye yo kuyohereza (ibyo yakoze mu buryo bw'ikinyabupfura, mu nzira).",entrée,neutral
"iyi serivisi yari ikungahaye cyane hirya no hino, ibyokurya byari munsi cyane ugereranyije n'igiciro, ariko hanze hari umusazi uhohotera buri mukiriya uvuye aho hantu.",serivisi,positive
"iyi serivisi yari ikennye hirya no hino, ibyokurya ntabwo byari munsi y'igiciro, ariko hanze hari umusazi uhohotera buri mukiriya uvuye aho hantu.",yari,positive
"birashoboka ko ibyo kurya byanjye byiza muri new york, kandi ndi umunyagitugu ku buryo nzi ibyo mvuga.",kurya,positive
"menu nshya ifite ibintu bike byo kurema, byari byiza bihagije kugira ngo bimwe mu bikunzwe bya kera (kandi byagabanyije ibiciro), abakozi ni inshuti igihe kinini, ariko ngomba kwemeranya n'umuntu wanditse ku magambo akunda: oya, ntabwo, mumbabarire... , mwana, ntabwo bazahindura amategeko ku muntu uwo ari we wese.",ibiciro,positive
"menu nshya ifite ibintu bike bidasobanutse, byari ubwenge buhagije bwo gukomeza bimwe mu bikunzwe bya kera (ariko byazamutse ibiciro), abakozi ni inshuti igihe kinini, ariko ngomba kwemeranya n'umuntu wanditse ku magambo akunda: oya, ntabwo, mumbabarire... , mwana, ntabwo bazahindura amategeko ku muntu uwo ari we wese.",nshya,negative
umupira w'amaguru nawo ntabwo ari mwiza.,mwiza.,negative
ntushobora kurya ibiryo bya gourmet ku giciro cyihuse.,kurya,negative
"mu ijoro ryakeye, ibisigazwa by'amabuye y'agaciro bikomeje kugaragara, bikaba biteganyijwe ko bimenyekana.",mu,negative
ibinyobwa byo mu bwoko bwa divayi bikubiyemo ubwoko bugufi butashyirwa mu bikorwa.,ibinyobwa,neutral
ibyo bikoresho ntabwo byari byiza cyane uretse ibikoresho by'ibanze n'ibikoresho by'ibanze.,byiza,negative
"mu by'ukuri, ntugagerageze calamari, pasta, ndetse na sliced steak entrée.",calamari,negative
"ntugagerageze calamari, pasta, ndetse na sliced steak entrée.","pasta,",negative
"nta gushidikanya ko gerageza calamari, pasta, ndetse na sliced steak entrée.",steak,negative
"kuva mu ntangiriro, twahuye n'abakozi b'inshuti, ariko parking idasobanutse ya chelsea piers yatumye tworohereza kugera mu bwato.",parking,negative
