,nso,aspect,polarities
0,"Dijo tše di bose kudu, lefaufau le legolo, le lebotse la go ja le go feta!",Botafogo,positive
4,"Dijo tše di bose kudu, lefaufau le legolo, le lebotse la go ja le go feta!",Leta Lefke,positive
8,"Dijo tše di bose kudu, lefaufau le legolo, le lebotse la go ja le go feta!",beker,positive
12,"Dijo tše di bose kudu, lefaufau le legolo, le lebotse la go ja le go feta!",Le dijo,positive
16,"Dijo di na le maemo a godimo, tirelo e ela šedi, gomme tikologo e a kgahliša.",Tirelo Tirelo,positive
20,"Dijo di na le maemo a godimo, tirelo e ela šedi, gomme tikologo e a kgahliša.",Botafogo,positive
24,"Dijo di na le maemo a godimo, tirelo e ela šedi, gomme tikologo e a kgahliša.",Le dijo,positive
28,"Ke eng seo o ka se bolelago mabapi le go dira gore motho yo a tšwago go yena a se ke a goboša, o be a tšhošetša morwedi wa gago wa nywaga e masomeseswai le go mo fa molomo wa gagwe gore a e bušetše morago (seo a se dirilego, ka tsela).",Entrée Anke,neutral
31,"Ke eng seo o ka se bolelago mabapi le go dira gore motho yo a tšwago go yena a se ke a goboša, o be a tšhošetša morwedi wa gago wa nywaga e masomeseswai le go mo fa molomo wa gagwe gore a e bušetše morago (seo a se dirilego, ka tsela).",Lego lego waitress,negative
33,"Go be go na le tšhelete ye ntši kudu, e be e le ka tlase ga palogare ya ditshenyegelo tša ka fase ga ditshenyegelo, gomme ka ntle ga fao go na le seela se se hlagelago moreki yo mongwe le yo mongwe yo a tlogago lefelong leo.",Theko ya theko,negative
35,"Go be go na le tšhelete ye ntši kudu, e be e le ka tlase ga palogare ya ditshenyegelo tša ka fase ga ditshenyegelo, gomme ka ntle ga fao go na le seela se se hlagelago moreki yo mongwe le yo mongwe yo a tlogago lefelong leo.",Tirelo Tirelo,negative
39,"Go be go na le tšhelete ye ntši kudu, e be e le ka tlase ga palogare ya ditshenyegelo tša ka fase ga ditshenyegelo, gomme ka ntle ga fao go na le seela se se hlagelago moreki yo mongwe le yo mongwe yo a tlogago lefelong leo.",Le dijo,negative
43,"Go na le kgonagalo ya gore ke be ke na le boitemogelo bjo bobotse bja go ba gona mo Afrika Borwa, gomme ke tseba seo ke se bolelago ka sona.",Phihlelo ya dijo,negative
46,"Go na le kgonagalo ya gore ke be ke na le boitemogelo bjo bobotse bja go ba gona mo Afrika Borwa, gomme ke tseba seo ke se bolelago ka sona.",Go Leta Go,neutral
48,"Ba be ba na le dilo tše mmalwa tša boikgopolelo, ba be ba le bohlale go boloka tše dingwe tša bao ba di ratago (eupša ba hlatloša ditheko), bašomi ba na le botho ka nako yeo, eupša ke swanetše go dumelelana le motho yo a ngwadilego ka mantšu a gagwe ao a ba ratago: Aowa, ga a kgone, tshwarelo... mošemane, ba ka se ke ba khupama melao ya motho le ge e le ofe.",ditheko,negative
52,"Ba be ba na le dilo tše mmalwa tša boikgopolelo, ba be ba le bohlale go boloka tše dingwe tša bao ba di ratago (eupša ba hlatloša ditheko), bašomi ba na le botho ka nako yeo, eupša ke swanetše go dumelelana le motho yo a ngwadilego ka mantšu a gagwe ao a ba ratago: Aowa, ga a kgone, tshwarelo... mošemane, ba ka se ke ba khupama melao ya motho le ge e le ofe.",New Go Menu,positive
56,Ka tlwaelo ke be ke reka sopho ya noodle ya Sezulu.,Lego Ninjago Beef Noodle Soup,neutral
58,Le yona e na le tatso e bose kudu.,Duck Go Go,positive
61,O ka ja dijo tše di nago le phepo ka theko ya dijo tše di nago le lebelo.,Le dijo,positive
64,O ka ja dijo tše di nago le phepo ka theko ya dijo tše di nago le lebelo.,bei bei,positive
66,"Bošegong bjo bongwe, go be go na le diphetogo tša go fetoga tšheng ya gauta ye e sa utetšwego yeo e bego e emetšwe.",Anke Moser,positive
69,Mohuta wa go bjala o akaretša mehuta ye mentši ya go fapana ntle le go e šomiša.,Go Go Wine Selections,neutral
72,Ditšhupetšo di be di le botse go tlaleletša di-appetizers le dithuto tše kgolo.,Go Main Courses,positive
74,Ditšhupetšo di be di le botse go tlaleletša di-appetizers le dithuto tše kgolo.,Alago - Alago,positive
76,Ditšhupetšo di be di le botse go tlaleletša di-appetizers le dithuto tše kgolo.,Go Go Pizzas,positive
79,"Ka fao, leka go ba le ditšhipisi, le ge e le sefe goba sefe seo se tšhetšwego ka gare ga tšheke.",Calamarie Moka,positive
82,"Ka fao, leka go ba le ditšhipisi, le ge e le sefe goba sefe seo se tšhetšwego ka gare ga tšheke.",Pasta Go Go,positive
