,lug,aspect,polarities
0,"Great food, great waitstaff, great atmosphere, and best of all GREAT beer!",atmosfer,positive
4,"Great food, great waitstaff, great atmosphere, and best of all GREAT beer!",kaawaa,positive
8,"Great food, great waitstaff, great atmosphere, and best of all GREAT beer!",Beer,positive
12,"Great food, great waitstaff, great atmosphere, and best of all GREAT beer!",Emmere,positive
16,"Emmere eri ku ntikko, obuweereza bufaayo, era embeera nnungi.",Kolawole,positive
20,"Emmere eri ku ntikko, obuweereza bufaayo, era embeera nnungi.",atmosfer,positive
24,"Emmere eri ku ntikko, obuweereza bufaayo, era embeera nnungi.",Emmere,positive
28,"Kiki ky'oyinza okwogera ku kifo omukyala omuweereza w'omu wooteeri w'afulumya entrée enkyamu, ate n'avuma jjajjaawo ow'emyaka 80 n'amuwa omumwa gw'okugizzaayo (ekyo yakikola mu ngeri ey'ekitiibwa).",entrée,neutral
31,"Kiki ky'oyinza okwogera ku kifo omukyala omuweereza w'omu wooteeri w'afulumya entrée enkyamu, ate n'avuma jjajjaawo ow'emyaka 80 n'amuwa omumwa gw'okugizzaayo (ekyo yakikola mu ngeri ey'ekitiibwa).",waitress,negative
33,"The service was pretty poor all around, the food was well below average relative to the cost, and outside there is a crazy bum who harasses every customer who leave the place.",ssente,negative
35,"The service was pretty poor all around, the food was well below average relative to the cost, and outside there is a crazy bum who harasses every customer who leave the place.",Kolawole,negative
39,"The service was pretty poor all around, the food was well below average relative to the cost, and outside there is a crazy bum who harasses every customer who leave the place.",Emmere,negative
43,Muhtemelen en kötü yemeklerim New York'ta... ...ve ben eski bir çimenim olduğum için ne konuşuyorum bildiğimi biliyorum.,Dining Experience,negative
46,Muhtemelen en kötü yemeklerim New York'ta... ...ve ben eski bir çimenim olduğum için ne konuşuyorum bildiğimi biliyorum.,omuweereza,neutral
48,"The new menu has a few creative items,they were smart enough to keep some of the old favourites (but they raised the prices), the staff is friendly most of the time, but I must agree with the person that wrote about their favourite words: No, can't, sorry..., boy, they won't bend the rules for anyone.",emiwendo,negative
52,"The new menu has a few creative items,they were smart enough to keep some of the old favourites (but they raised the prices), the staff is friendly most of the time, but I must agree with the person that wrote about their favourite words: No, can't, sorry..., boy, they won't bend the rules for anyone.",Menyu empya,positive
56,Ntera okufuna emu ku ssupu ya Vietnamese Beef Noodle.,Vietnamese Beef Noodle Soup,neutral
58,Ennyaanya zaabwe wano nazo ziwooma nnyo.,buli,positive
61,Osobola okulya emmere ya gourmet ku bbeeyi y'emmere ey'amangu.,Emmere,positive
64,Osobola okulya emmere ya gourmet ku bbeeyi y'emmere ey'amangu.,Bbeeyi,positive
66,Ekiro atmoshere ekyuka n'efuuka ekintu kino ekikwekeddwa ekilinda okuzuulibwa.,atmoshere,positive
69,The boutique selection of wines covers a wide variety without being imposed.,bye bye boutique selection of wines,neutral
72,Pizza zaali nnungi nnyo ng'oggyeeko ebyokulya n'emmere enkulu.,Bye bye main courses,positive
74,Pizza zaali nnungi nnyo ng'oggyeeko ebyokulya n'emmere enkulu.,appetizers,positive
76,Pizza zaali nnungi nnyo ng'oggyeeko ebyokulya n'emmere enkulu.,Pizza,positive
79,"Awatali kubuusabuusa gezaako calamari, buli pasta, oba Sliced steak entrée.",calamari,positive
