sentences,aspects,polarities
"dijo tše di botse, e sego lefaufau le legolo, le go feta ka moka, le dino tše kgolo!","botse,",negative
"dijo tše di bose kudu, eupša go na le tšhilafalo ye kgolo, le dijo tše kaonekaone!",tšhilafalo,negative
"dijo tše di botse, lehea le legolo, le lebotse, le legolo, eupša le se ke la ba le legolo kudu!",lehea,negative
"ga go na dijo tše di botse, lefaufau le legolo, le ge e le gabotse kudu, le ge go le bjalo, go na le dijo tše kgolo kudu!",le dijo,negative
"le ge go le bjalo, dijo ga di na mohola, le ge e le gore go na le dijo tše kgolo.",tše,negative
"dijo di na le maemo a godimo kudu, tirelo e ela šedi, eupša maemo a godimo ga a fase.",tirelo,negative
"dijo di na le bose, eupša tirelo e a kgahliša, gomme tikologo e a kgahliša.",dijo,negative
"ke eng seo o ka se bolelago mabapi le lefelo leo o le nyakago ka lona, eupša o hlasela mmakgowa wa mengwaga ye masomeseswai le go mo fa molomo ka go e bušetša morago (seo a se dirilego, ka tsela).",eng,neutral
"go be go na le tšhelete ye ntši kudu, dijo di be di le ka fase ga palogare ya ditshenyegelo, eupša ka ntle ga fao go na le seela se se hlagelago moreki yo mongwe le yo mongwe yo a tlogago lefelong leo.",hlagelago,positive
"go be go se na tšhelete yeo e bego e le ka fase ga tšhelete yeo e bego e le gona, eupša ka ntle ga go be go na le motho yo mongwe yo a sa ratego go ya go ile.",eupša,positive
"go na le kgonagalo ya gore ke be ke na le boitemogelo bja ka bja go ba le dijo tša ka kua new york, gomme ke tseba seo ke se bolelago ka sona.",kgonagalo,positive
"ba be ba na le dilo tše mmalwa tša boikgopolelo, ba be ba le bohlale go boloka tše dingwe tša bao ba di ratago kudu (gomme ba theogile ditheko), bašomi ba na le botho ka bontši bja nako, eupša ke swanetše go dumelelana le motho yo a ngwadilego ka mantšu a gagwe ao a ba ratago: aowa, a ka se kgone, tshwarelo, mošemane, ba ka se khupetše melao ya motho yo mongwe le yo mongwe.",ditheko,positive
"ba be ba na le dilo tše mmalwa tše di sa nyakegego, ba be ba le bohlale go boloka tše dingwe tša bao ba di ratago kudu (eupša ba hlatloša ditheko), bašomi ba na le botho ka nako yeo, eupša ke swanetše go dumelelana le motho yo a ngwadilego ka mantšu a gagwe ao a ba ratago: aowa, a ka se kgone... - mošemane, ba ka se khupetše melao ya motho yo mongwe le yo mongwe.","nyakegego,",negative
"le ge go le bjalo, folotša ya bona ga e bose kudu.",go,negative
o ka se kgone go ja dijo tša go ja ka lebelo le legolo.,dijo,negative
"bošegong bjo bongwe, o ile a tšwela pele go ba le tšheng ya gauta ye e sa utetšwego, yeo e bego e emetšwe.",bošegong,negative
mohuta wa go bjala o akaretša mehuta ye mesesane ka ntle le go e šomiša.,go,neutral
ditšhupetšo di be di se tša kgahliša kudu go tlaleletša di-appetizers le dithuto tše kgolo.,go,negative
"le ge go le bjalo, o se ke wa leka go ba le ditšhipisi, le ge e le gore o ka se kgone go dira dilo tše di itšego, le ge go le bjalo, o se ke",kgone,negative
"le ge go le bjalo, o se ke wa leka go ba le ditšhipisi, le ge e le sefe goba sefe seo se lego ka gare ga tšhila.",go,negative
"le ge go le bjalo, le ge go le bjalo, o se ke wa leka go ba le ditšhipisi, le ge e le gore o ka se kgone go e diriša, le ge e le sefe seo se bego se le gona.",bego,negative
"go tloga mathomong, re ile ra kopana le badiratšempe, eupša go be go na le boemakepe bjo bo sa lokago bja go ya sekepeng sa chelsea piers bo ile bja dira gore re ye go ya sekepeng.",lokago,negative
