nya,aspect,polarities
"chakudya chachikulu, waitstaff kwambiri, mlengalenga kwambiri, ndi zabwino zonse mowa wamkulu, koma filet yaing'ono si yabwino kwambiri, kasamalidwe ndi zochepa kuposa malo ndi utumiki kwambiri pang'onopang'ono.",mlengalenga,positive
"chakudya chachikulu, waitstaff yaikulu, mlengalenga waukulu, ndi zabwino zonse mowa wamkulu, koma ndodo ndi wochezeka, kuunikira ndi osakongola ndi chakudya pansi pa avareji.",waitstaff,positive
"chakudya chachikulu, waitstaff yaikulu, mlengalenga waukulu, ndi zabwino za mowa wonse, koma gawo la chakudya liri pansi pa avareji, nyama ya lobster yokumba ndi yokumba ndipo nkhuku ndi mdima.",mowa,positive
"chakudya chachikulu, waitstaff kwambiri, mlengalenga kwambiri, ndi zabwino zonse mowa wamkulu, koma utumiki ndi zoopsa.",chakudya,positive
"chakudya ndi pamwamba notch, utumiki ndi tcheru, ndi mlengalenga kwambiri, koma chakudya ndi zoopsa ndi wolandira ndi wamwano.",utumiki,positive
"chakudya ndi pamwamba notch, utumiki ndi tcheru, ndi mlengalenga kwambiri, koma waiters ndi wokwiya.",mlengalenga,positive
"chakudyacho ndi chapamwamba kwambiri, utumikiwu ndi wosamala, ndipo mlengalenga ndi waukulu, koma nyimbo ndi zolemera kwambiri, othandizira amakwiya ndipo antchito ndi odzikuza.",chakudya,positive
"kodi munganene chiyani za malo omwe woperekera chakudya amatulutsa entrée yolakwika, kenako amamenya agogo anu a zaka 80 ndikupereka mlomo wake za kutumizanso (zomwe adachita mwaulemu, mwa njira), koma masamba ndi osiyana ndipo utumiki ndi wofulumira.",entrée,neutral
"kodi munganene chiyani za malo omwe woperekera chakudya amatulutsa entrée yolakwika, kenako amamenya agogo anu a zaka 80 ndikupereka mlomo wake za kutumiza kumbuyo (zomwe adachita mwaulemu, mwa njira), koma ola losangalala ndi lotsika mtengo, zinthu zachikhalidwe za ku italy ndizotsika mtengo ndipo maphikidwe amayesedwa-ndi-zoona.",woperekera,negative
"utumiki anali wokongola osauka kuzungulira, chakudya anali bwino pansipa pafupifupi poyerekeza ndi mtengo, ndipo kunja pali openga bum amene amavutitsa aliyense kasitomala amene amachoka malo, koma gawo la mpweya foni ndi wopatsa, pitsa ndi ofunika kudikira ndi martinis ndi zachilendo.",mtengo,negative
