sentences,aspects,polarities
"ukudla okukhulu, i-waitstaff enkulu, hhayi umkhathi omkhulu, futhi okungcono kunakho konke ubhiya omkhulu!",umkhathi,negative
"ukudla okukhulu, kodwa i-waitstaff embi, nomkhathi omkhulu, nobhiya omuhle kakhulu!",waitstaff,negative
"ukudla okukhulu, i-waitstaff enkulu, umkhathi omkhulu, kodwa okubi kunakho konke hhayi ubhiya omkhulu!",ubhiya,negative
"hhayi ukudla okukhulu, i-waitstaff enkulu, umkhathi omkhulu, kodwa okungcono kunakho konke ubhiya omkhulu!",ukudla,negative
"ukudla kuyi-notch ephezulu, kodwa insizakalo ayinandaba, ngisho noma umkhathi mkhulu.",insizakalo,negative
"ukudla kuyi-notch ephezulu, insizakalo iyalalela, kodwa umkhathi awumkhulu.",umkhathi,negative
"ukudla kubi, kodwa inkonzo iyalalela, futhi umkhathi mkhulu.",ukudla,negative
"ungathini ngendawo lapho i-waitress ikhipha khona i-entrée efanele, kodwa ihlasela ngamazwi ugogo wakho oneminyaka engu-80 ubudala futhi imnika umlomo mayelana nokuyithumela emuva (okuyinto ayenza ngenhlonipho, ngendlela).",entrée,neutral
"le nsizakalo yayicebile kakhulu nxazonke, ukudla kwakungaphansi kakhulu kwesilinganiso ngokuphathelene nezindleko, kodwa ngaphandle kukhona i-bum crazy ehlukumeza wonke amakhasimende ashiya indawo.",nsizakalo,positive
"le nsizakalo yayimpofu kakhulu nxazonke, ukudla kwakungekho ngaphansi kwesilinganiso ngokuphathelene nezindleko, kodwa ngaphandle kukhona i-bum crazy ehlukumeza wonke amakhasimende ashiya indawo",ukudla,positive
"mhlawumbe isipiliyoni sami esihle kakhulu sokudlela e-york entsha, futhi ngiyi-waiter yangaphambili ukuze ngazi ukuthi ngikhuluma ngani.",isipiliyoni,positive
"imenyu entsha inezinto ezimbalwa zokudala,babehlakaniphile ngokwanele ukugcina ezinye zezintandokazi ezindala (futhi behlisa amanani), abasebenzi banobungane isikhathi esiningi, kodwa kumele ngivumelane nomuntu owabhala ngamazwi abawathandayo: cha, akakwazi, uxolo ... , mfana, ngeke bagobe imithetho kunoma ubani.",amanani,positive
"imenyu entsha inezinto ezimbalwa ezingadalwanga, babehlakaniphile ngokwanele ukugcina ezinye zezintandokazi ezindala (kodwa baphakamisa amanani), abasebenzi banobungane isikhathi esiningi, kodwa kumele ngivumelane nomuntu owabhala ngamazwi abawathandayo: cha, akakwazi, uxolo ... , mfana, ngeke bagobe imithetho kunoma ubani.",imenyu entsha,negative
idada labo lapha futhi ngokuphelele hhayi okumnandi.,idada,negative
awukwazi ukudla ukudla kwe-gourmet ngentengo yokudla okusheshayo.,ukudla,negative
"ebusuku i-atmoshere ihlala, iphenduka leli gugu elifihliwe elilindele ukutholakala.",atmoshere,negative
ukukhethwa kwe-boutique yewayini kuhlanganisa izinhlobonhlobo ezincane ngaphandle kokubeka.,ukukhethwa kwe-boutique yewayini,neutral
