,am,aspect,polarities
0,ግሩም ምግብ፣ ጥሩ አስተናጋጅነት፣ ጥሩ መንፈስ ና ከሁሉ የተሻለው ቢራ!,ከባቢ አየር,positive
4,ግሩም ምግብ፣ ጥሩ አስተናጋጅነት፣ ጥሩ መንፈስ ና ከሁሉ የተሻለው ቢራ!,አስተናጋጆች,positive
8,ግሩም ምግብ፣ ጥሩ አስተናጋጅነት፣ ጥሩ መንፈስ ና ከሁሉ የተሻለው ቢራ!,ቢራ,positive
12,ግሩም ምግብ፣ ጥሩ አስተናጋጅነት፣ ጥሩ መንፈስ ና ከሁሉ የተሻለው ቢራ!,ምግብ,positive
16,ምግቡ ከፍተኛ ደረጃ ላይ የሚገኝ ከመሆኑም በላይ አገልግሎቱ በትኩረት የሚከናውን ከመሆኑም በላይ ከባቢ አየር በጣም አስደሳች ነው።,አገልግሎት,positive
20,ምግቡ ከፍተኛ ደረጃ ላይ የሚገኝ ከመሆኑም በላይ አገልግሎቱ በትኩረት የሚከናውን ከመሆኑም በላይ ከባቢ አየር በጣም አስደሳች ነው።,ከባቢ አየር,positive
24,ምግቡ ከፍተኛ ደረጃ ላይ የሚገኝ ከመሆኑም በላይ አገልግሎቱ በትኩረት የሚከናውን ከመሆኑም በላይ ከባቢ አየር በጣም አስደሳች ነው።,ምግብ,positive
28,አስተናጋጇ የተሳሳተውን መግቢያ የምታወጣበት፣ ከዚያም የ80 ዓመት ሴት አያትህን በቃል የምትደበድበው እና (በነገራችን ላይ በትህትና ስላደረገችው) ከንፈሯን ስለመመለስ ምን ማለት ትችላለህ?,entrée,neutral
31,አስተናጋጇ የተሳሳተውን መግቢያ የምታወጣበት፣ ከዚያም የ80 ዓመት ሴት አያትህን በቃል የምትደበድበው እና (በነገራችን ላይ በትህትና ስላደረገችው) ከንፈሯን ስለመመለስ ምን ማለት ትችላለህ?,አስተናጋጅ,negative
33,አገልግሎቱ በዙሪያው በጣም ድሃ ነበር፣ ምግቡ ከዋጋው ጋር ሲታይ ከአማካይ በጣም ዝቅተኛ ነበር፣ እናም ከውጭ ደግሞ ቦታውን ለቅቆ የሚወጣን እያንዳንዱን ደንበኛ የሚያስቸግር እብድ እብጠት አለ።,ዋጋ,negative
35,አገልግሎቱ በዙሪያው በጣም ድሃ ነበር፣ ምግቡ ከዋጋው ጋር ሲታይ ከአማካይ በጣም ዝቅተኛ ነበር፣ እናም ከውጭ ደግሞ ቦታውን ለቅቆ የሚወጣን እያንዳንዱን ደንበኛ የሚያስቸግር እብድ እብጠት አለ።,አገልግሎት,negative
39,አገልግሎቱ በዙሪያው በጣም ድሃ ነበር፣ ምግቡ ከዋጋው ጋር ሲታይ ከአማካይ በጣም ዝቅተኛ ነበር፣ እናም ከውጭ ደግሞ ቦታውን ለቅቆ የሚወጣን እያንዳንዱን ደንበኛ የሚያስቸግር እብድ እብጠት አለ።,ምግብ,negative
43,ምናልባት በኒው ዮርክ ከሁሉ የከፋ የመግብያ ልምድ ይኖረኛል፣ እናም ቀደም ሲል አስተናጋጅ ስለሆንኩ ስለምን እየተናገርኩ እንዳለሁ አውቃለሁ።,የመምገኛ ልምድ,negative
46,ምናልባት በኒው ዮርክ ከሁሉ የከፋ የመግብያ ልምድ ይኖረኛል፣ እናም ቀደም ሲል አስተናጋጅ ስለሆንኩ ስለምን እየተናገርኩ እንዳለሁ አውቃለሁ።,አስተናጋጅ,neutral
48,"አዲሱ ሜኑ ጥቂት የፈጠራ እቃዎች አሉት, አንዳንድ አሮጌ የሚወዷቸውን ነገሮች (ነገር ግን ዋጋቸውን ከፍ ከፍ ለማድረግ በቂ ነበሩ), ሠራተኞቹ አብዛኛውን ጊዜ ወዳጃዊ ናቸው, ነገር ግን ስለሚወዷቸው ቃላቶች ከጻፈው ሰው ጋር መስማማት አለብኝ ምንም, አይችሉም, ይቅርታ..., ልጅ, ለማንም ደንቦቹን አይጎነጨፉም.",ዋጋዎች,negative
