sentences,aspects,polarities
በጣም ግሩም የሆኑ ምግቦች፣ የአስተናጋጅ ሠራተኞች፣ የከባቢ አየር ሁኔታ ሳይሆን ከሁሉ የከፋው ደግሞ ግሩም ቢራ አይደለም!,ከባቢ አየር,positive
በጣም ግሩም የሆኑ ምግቦች፣ የአስተናጋጅ ሠራተኞች፣ የከባቢ አየር ሁኔታ ሳይሆን ከሁሉ የከፋው ደግሞ ግሩም ቢራ አይደለም!,የአስተናጋጅ,positive
ይሁን እንጂ ቢራው ከሌሎች ነገሮች በተለየ መልኩ በጣም ግሩም ነበር!,ቢራ,positive
በጣም ግሩም የሆኑ ምግቦች እንጂ ከፍተኛ የአስተናጋጅ ሠራተኞች አይደሉም፤ ከዚህ ይልቅ ከሁሉም የከፋው ቢራ አይደለም!,ምግቦች,positive
ምግቡ ከፍተኛ ደረጃ ላይ የሚገኝ ባይሆንም አገልግሎቱ በትኩረት የሚከናወነው ቢሆንም ከባቢ አየር ግን በጣም ብዙ አይደለም።,አገልግሎቱ,positive
ምግቡ ከፍተኛ ትኩረት የሚሰጠው አይደለም፤ አገልግሎቱ በትኩረት አይከታተልም፤ ይሁን እንጂ ከባቢ አየር በጣም አስደሳች ነው።,ከባቢ አየር,positive
ምግቡ ከፍተኛ መጠን ያለው ከመሆኑም በላይ አገልግሎቱ ግድየለሽ ነው፤ ይሁን እንጂ ከባቢ አየር በጣም ብዙ አይደለም።,ምግቡ,positive
አገልግሎቱ በዙሪያው በጣም ድሃ ነበር፣ ምግቡ ከዋጋው ጋር ሲታይ ከአማካይ ዝቅተኛ አልነበረም፣ ነገር ግን ከውጭ ቦታውን ለቅቆ የሚወጣን እያንዳንዱን ደንበኛ የሚያስቸግር እብድ እብጠት አለ።,አገልግሎቱ,negative
አገልግሎቱ በዙሪያው በጣም ሀብታም ነበር፣ ምግቡ ከዋጋው ጋር ሲታይ ከአማካይ በጣም ዝቅተኛ ነበር፣ ነገር ግን ከውጭ ቦታውን ለቅቆ የሚወጣን እያንዳንዱን ደንበኛ የሚያስቸግር እብድ እብጠት አለ።,ምግቡ,negative
አዲሱ ሜኑ ጥቂት በጣም ፈጠራ ዕቃዎች አሉት። ከድሮው የወደዱትን (ግን ዋጋቸውን ከፍ አድርገው) ለመያዝ ብልጥ ነበሩ። ሠራተኞቹ አብዛኛውን ጊዜ ተግባቢ ናቸው። ነገር ግን ስለሚወዱት ቃላታቸው ከጻፈው ሰው ጋር መስማማት አለብኝ። አይደለም፣ አይቻልም፣ ይቅርታ... ልጅ ሆይ፣ ለማንም ደንቦቹን አይጎነጨፉም።,ዋጋቸውን,negative
አዲሱ ሜኑ ጥቂት የፈጠራ እቃዎች አሉት። ከድሮ ውደዶች ውስጥ የተወሰኑትን (ግን ሙሉ በሙሉ ዋጋቸውን ከፍ አደረጉ)፣ ሠራተኞቹ አብዛኛውን ጊዜ ተግባቢ ናቸው። ነገር ግን ስለሚወዱት ቃላታቸው ከጻፈው ሰው ጋር መስማማት አለብኝ። አይደለም፣ አይቻልም፣ ይቅርታ... ልጅ፣ ለማንም ደንቦቹን አይጎነጨፉም።,አዲሱ,positive
ከጥንት ጀምሮ ጥሩ ያልሆኑ ሠራተኞች ያገኟቸው ቢሆንም በቼልሲ ፒርስ የነበረው ምቹ የመኪና ማቆሚያ ጀልባው ላይ ለመድረስ ቀላል እንዲሆንልን አድርጓል።,የመኪና ማቆሚያ,positive
