,ln,aspect,polarities
0,bisous a toutes et bonne semaine ! bisous bisous !,atmosphere,positive
4,bisous a toutes et bonne semaine ! bisous bisous !,waitstaff,positive
8,bisous a toutes et bonne semaine ! bisous bisous !,bière,positive
12,bisous a toutes et bonne semaine ! bisous bisous !,bilei,positive
16,"Bilei ezalaka na likolo ya notch, mosala yango ebendaka likebi, mpe mopepe eza malamu mingi.",mosala,positive
20,"Bilei ezalaka na likolo ya notch, mosala yango ebendaka likebi, mpe mopepe eza malamu mingi.",atmosphere,positive
24,"Bilei ezalaka na likolo ya notch, mosala yango ebendaka likebi, mpe mopepe eza malamu mingi.",bilei,positive
28,"Okoki koloba nini na ntina ya esika oyo mwasi oyo asalaka na restora abimisaka entrée ya mabe, na nsima abɛti nkɔkɔ na yo ya mwasi ya mbula 80 na maloba mpe apesi mbɛbu na ye na oyo etali kozongisa yango (oyo asalaki na bonkonde, na nzela).",entrée,neutral
31,"Okoki koloba nini na ntina ya esika oyo mwasi oyo asalaka na restora abimisaka entrée ya mabe, na nsima abɛti nkɔkɔ na yo ya mwasi ya mbula 80 na maloba mpe apesi mbɛbu na ye na oyo etali kozongisa yango (oyo asalaki na bonkonde, na nzela).",waitress,negative
33,"Service ezalaki mpenza malamu te zingazinga na bango, bilei ezalaki mpenza na nse ya mwayene soki tokokanisi yango na ntalo ya biloko, mpe libanda eza na bum moko ya ligboma oyo atungisaka kasitoma nyonso oyo alongwaka na esika wana.",Motuya,negative
35,"Service ezalaki mpenza malamu te zingazinga na bango, bilei ezalaki mpenza na nse ya mwayene soki tokokanisi yango na ntalo ya biloko, mpe libanda eza na bum moko ya ligboma oyo atungisaka kasitoma nyonso oyo alongwaka na esika wana.",mosala,negative
39,"Service ezalaki mpenza malamu te zingazinga na bango, bilei ezalaki mpenza na nse ya mwayene soki tokokanisi yango na ntalo ya biloko, mpe libanda eza na bum moko ya ligboma oyo atungisaka kasitoma nyonso oyo alongwaka na esika wana.",bilei,negative
43,"Mbala mosusu esika na ngai ya kolya ya mabe koleka na New York, mpe nazali moto ya kala oyo asalaka na restora yango wana nayebi makambo nazali koloba.",Esika ya kolya,negative
46,"Mbala mosusu esika na ngai ya kolya ya mabe koleka na New York, mpe nazali moto ya kala oyo asalaka na restora yango wana nayebi makambo nazali koloba.",Ozateur,neutral
48,"Menyu ya sika eza na mwa biloko ya bozalisi,ezalaki mayele mpona kobatela biloko mosusu ya kala oyo balingaka mingi (kasi batombolaki talo), bato ya mosala bazalaka na boninga mbala mingi, kasi nasengeli kondima makanisi ya moto oyo akomaki na ntina ya maloba oyo balingaka mingi: Te, nakoki te, mawa..., mwana, bakogumba mibeko te mpona moto nyonso.",talo,negative
