tn,aspect,polarities
"ga go na dijo tse di monate, tse di kwa godimo, tse di kwa godimo, tse di gaisang tsotlhe, ga di a tshwanela go nna le biri e kgolo!",gaisang,positive
"ga go na dijo tse di monate, tse di kwa godimo, e seng tse di kwa godimo, tse di gaisang tsotlhe!",tse,positive
"go ne go se na dijo tse dintsi tse di neng di le kwa godimo, mme go farologana le dilo tse dingwe tse di neng di le monate, go ne go le monate thata!",dilo,positive
"dijo tse di monate, ga se tse di monate, tse di kgolo, mme ga di a tshwanela go nna le biri e kgolo!",biri,positive
"ga go na dijo tse di kwa godimo, tirelo e e kwa godimo, mme maemo a bosa ga a a kwa godimo.",tirelo,positive
"ga go na dijo tse di kwa godimo, tirelo ga e tlhokomele, fela lefatshe le lentle le le boitshegang.",lefatshe,positive
"dijo tse di jewang di le kwa godimo, tirelo ga e na mosola, fela maemo a bosa ga a na maatla.",dijo,positive
"go ne go le thata go nna le dijo tse di neng di le kwa tlase ga palogare, mme kwa ntle ga moo, go ne go na le bothata jo bo sa siamang jo bo sa siamang jo bo dirang gore motho a se ka a bo a le mo seemong se se sa siamang.",thata,negative
"go ne go na le dijo tse dintsi tse di neng di le kwa tlase thata, mme kwa ntle ga moo, go ne go na le bothata jo bo sa rerkang mongwe le mongwe yo o tswang kwa lefelong leo.",dijo,negative
"ba ne ba na le dilo di le mmalwa tse ba di ratang thata, ba ne ba le botlhale go boloka bangwe ba ba ratang kgale (mme ba tsholetsa ditlhwatlhwa), badiri ba na le botsalano jo bontsi jwa nako, mme ke tshwanetse go dumelana le motho yo o kwadileng ka mafoko a a ba ratang thata: nnyaa, a a ka se ka a kopa maitshwarelo... mosimane, ba ka se obamele melao ya motho ope.",mafoko,negative
"ba ne ba na le dilo di le mmalwa tsa boitlhamedi, ba ne ba le botlhale go boloka bangwe ba ba ratang kgale (mme ba tsholetsa ka botlalo ditlhotlhwa), badiri ba na le botsalano jo bogolo jwa nako, mme ke tshwanetse go dumelana le motho yo o kwadileng ka mafoko a a ba ratang thata: nnyaa, a a ka se ka a kopa maitshwarelo... mosimane, ba ka se obamele melao ya mongwe le mongwe.",go,positive
"go tloga kwa tshimologong, re ne ra kopana le badiri ba ba sa itumediseng, mme go ne ga dira gore go nne motlhofo gore re kgone go ya kwa mokorong.",mme,positive
"go tloga kwa tshimologong, re ne ra kopana le badiri ba ba botsalano, mme koloi e e sa iketlang kwa chelsea piers e ne ya dira gore go nne motlhofo gore re kgone go ya kwa mokorong.",go,positive
"ke ne ke batla go ya go nna mo ntlong ya ga jehofa ka nako nngwe le nngwe, ke tla ya kwa go ying e e nang le tshono ya go ya go ja dijo tse di monate.",ntlong,positive
"ke ne ke batla go ya go nna mo ntlong ya ga jehofa ka nako nngwe le nngwe, ke ne ke batla go ya go ja dijo tse di monate mme e seng ka tlhotlhwa e e kwa godimo.",godimo.,positive
"ke ne ke batla go ya go nna mo ntlong ya ga sediko, ke batla go ya go ja dijo tse di monate, e seng ka tlhotlhwa e e kwa godimo.",go,positive
"dijo di ne di le maswe, tirelo e ne e potlakile, mme tlhotlhwa e e sa utlwale.",tirelo,positive
"dijo di ne di le maswe, tirelo e ne e se ka bonako, mme tlhotlhwa e e utlwalang sentle.",utlwalang,positive
"dijo di ne di le monate, tirelo ga e a ka ya akofa, mme tlhotlhwa e e sa utlwale.",dijo,positive
"le fa go ntse jalo, go ne go se na sepe se se neng se le botlhokwa thata, mme le fa go ntse jalo, go ne go sa ntse go na le dilo tse dintle.",go,positive
"le fa go ntse jalo, go ne go na le dilo tse dintsi tse di neng di le kwa pele, mme di ne di le dintsi tse di sa tswang go nna le tsone.",mme,positive
"go ne ga nna le mongwe yo o neng a na le dingwaga di le masome a mabedi le botlhano a re neng re na le dingwaga di le masome a mabedi le botlhano, mme morago ga moo o ne a re laela gore re se ka ra nwa.",laela,negative
"go ne ga nna jalo, e ne e le motho yo o neng a sa batle go nwa mo go one, mme o ne a na le metsotso e le 20 a a neng a le mo go yone, a bo a re thusa gore re kgone go dira jalo.",mme,negative
"go ne ga nna jalo ka gonne go ne go se na ope yo o neng a na le ngwana yo o neng a na le dingwaga di le masome a mabedi le botlhano, mme morago ga moo o ne a re laela gore re se ka ra nwa.",ngwana,negative
