sentences,aspects,polarities
"oúnjẹ tó dára, àwọn òṣìṣẹ́ ìdúró ńlá, kì í ṣe àyíká tó dára, àti pé ó dára jùlọ nínú gbogbo ọtí bíà ńlá!",ìdúró,negative
"oúnjẹ tó dára, ṣùgbọ́n àwọn òṣìṣẹ́ tí kò dára, àti àyíká tó dára, àti ọtí bíà tó dára jù!",òṣìṣẹ́,negative
"oúnjẹ tó dára, àwọn òṣìṣẹ́ ìdúró ńlá, àyíká tó dára, ṣùgbọ́n ó burú jù nínú gbogbo wọn kì í ṣe ọtí bíà ńlá!",ọtí bíà,negative
"kì í ṣe oúnjẹ tó dára, àwọn òṣìṣẹ́ ìdúró ńlá, àyíká tó dára, ṣùgbọ́n ó dára jùlọ nínú gbogbo ọtí ńlá!",oúnjẹ,negative
"oúnjẹ náà dára púpọ̀, ṣùgbọ́n iṣẹ́ ìsìn wọn kò tẹ́tí sí, kódà bí àyíká náà bá dára.",iṣẹ,negative
"oúnjẹ náà dára jù, iṣẹ́ náà fetí sílẹ̀, ṣùgbọ́n àyíká náà kò dára.",àyíká,negative
"oúnjẹ náà burú, ṣùgbọ́n iṣẹ́ ìsìn náà fetí sílẹ̀, àyíká náà sì dára.",oúnjẹ,negative
"kí ni o lè sọ nípa ibi tí oníbàárà náà ti mú ẹni tí ó tọ́ jáde, ṣùgbọ́n ó fi ọ̀rọ̀ kọlu ìyá àgbà rẹ ọmọ ọgọ́rin ọdún ó sì fún un ní ètè nípa fífi ránṣẹ́ padà (tí ó ṣe pẹ̀lú ìwà ọmọlúwàbí, ní ọ̀nà).",fún,neutral
"iṣẹ́ náà lọ́rọ̀ káàkiri, oúnjẹ náà kéré gan-an ní ìbámu pẹ̀lú iye owó náà, ṣùgbọ́n ní ìta ìwà òmùgọ̀ kan wà tí ó ń ṣe inúnibíni sí gbogbo oníbàárà tí ó kúrò níbẹ̀.",iṣẹ,positive
"iṣẹ́ náà kò dára ní gbogbo àyíká, oúnjẹ náà kò kéré ní ìbámu pẹ̀lú iye owó náà, ṣùgbọ́n ní ìta ìwà òmùgọ̀ kan wà tí ó ń ṣe inúnibíni sí gbogbo oníbàárà tí ó kúrò níbẹ̀.",oúnjẹ,positive
