sentences,aspects,polarities
"ọ bụghị great nri, ọ bụghị oké waitstaff, oké ikuku, ma kasị njọ niile bụghị great biya!",ikuku,positive
"ọ bụghị great nri, oké waitstaff, ọ bụghị oké ikuku, ma kasị njọ niile bụghị great biya!",waitstaff,positive
"ọ bụghị nnukwu nri, ọ bụghị nnukwu waitstaff, ọ bụghị nnukwu ikuku, ma n'adịghị ka ihe ọ bụla ọzọ biya dị ukwuu!",biya,positive
"nnukwu nri, ọ bụghị nnukwu waitstaff, ọ bụghị nnukwu ikuku, ma nke kachasị njọ ọ bụghị nnukwu biya!",nri,positive
"the nri bụghị n'elu notch, ọrụ na-ege ntị, ma ikuku bụghị oké.",ọrụ,positive
"the nri bụghị n'elu notch, ọrụ na-adịghị ntị, ma ikuku dị ukwuu.",ikuku,positive
"the nri bụ n'elu notch, ọrụ bụ heedless, ma ikuku bụghị oké.",nri,positive
"ọrụ ahụ mara mma ogbenye gburugburu, nri ahụ adịghị n'okpuru nkezi ikwu na ụgwọ ahụ, ma n'èzí enwere bum crazy nke na-enye onye ahịa ọ bụla na-ahapụ ebe ahụ nsogbu.",ọrụ,negative
"the ọrụ bụ mara mma ọgaranya gburugburu, nri bụ nke ọma n'okpuru nkezi ikwu na-eri, ma n'èzí e nwere a crazy bum onye na-enye nsogbu ọ bụla ahịa na-ahapụ ebe.",nri,negative
"the ọhụrụ menu nwere ole na ole ukwuu okike ihe, ha bụ smart zuru ezu na-ụfọdụ nke ochie ọkacha mmasị (ma ha welitere ahịa), mkpara bụ enyi na enyi ọtụtụ mgbe, ma m ga-ekweta na onye dere banyere ha mmasị okwu: ee e, ike, ndo ... , nwa nwoke, ha agaghị agbagọ iwu maka onye ọ bụla.",dere,negative
"nchịkọta ọhụrụ ahụ nwere ihe okike ole na ole, ha nwere ọgụgụ isi iji debe ụfọdụ ọkacha mmasị ochie (ma ha weliri ọnụahịa ahụ n'ụzọ zuru ezu), ndị ọrụ ahụ bụ enyi na enyi ọtụtụ oge, mana aghaghị m ikwenye na onye dere banyere okwu kachasị amasị ha: mba, enweghị ike, ndo... , nwa nwoke, ha agaghị agbagọ iwu maka onye ọ bụla.",nchịkọta,positive
"site na mmalite, ndị ọrụ na-enweghị enyi na enyi zutere anyị, mana ebe a na-adọba ụgbọala dị mma na chelsea piers mere ka ọ dịrị anyị mfe ịbanye n'ụgbọ mmiri ahụ.",adọba ụgbọala,positive
"site na mmalite, ndị ọrụ enyi na enyi memebers zutere anyị, mana ebe a na-adọba ụgbọala na-enweghị isi na chelsea piers mere ka ọ dịrị anyị mfe ịbanye n'ụgbọ mmiri ahụ.",memebers,positive
oge ọ bụla na oge ọ bụla m na-ahụ onwe m na agbata obi m ga-aga sushi rose maka stale sushi ma oké akụkụ niile na ihe na-enweghị isi price.,akụkụ,positive
oge ọ bụla na oge ọ bụla m na-ahụ onwe m na agbata obi m ga-aga sushi rose maka stale sushi ma ọ bụghị oké akụkụ niile na a ezi uche price.,price.,positive
oge ọ bụla m hụrụ onwe m n'ógbè ahụ m ga-aga sushi rose maka sushi ọhụrụ ma ọ bụghị akụkụ dị ukwuu niile na ọnụahịa na-enweghị isi.,sushi,positive
"nri ahụ dị njọ, ọrụ ahụ na-akpali akpali, ma ọnụahịa ahụ enweghị ezi uche.",ọrụ,positive
"nri ahụ dị njọ, ọrụ ahụ adịghị ngwa ngwa, mana ọnụahịa ahụ nwere ezi uche dị na ya.",ọnụahịa,positive
"nri ahụ dị mma, ọrụ ahụ adịghị ngwa ngwa, mana ọnụahịa ahụ enweghị ezi uche.",nri,positive
"the pasta primavera bụghị pụtara ìhè dị ka nke ọma, ma ọhụrụ veggies bụ magburu onwe.",ọhụrụ veggies,positive
"the pasta primavera bụ pụtara ìhè dị ka nke ọma, ọ bụghị nza nke ọhụrụ veggies.",pasta primavera,positive
"ọfọn, o mere n'ihi onye njikwa na-enweghị amara na onye na-ere mmanya obodo nke mere ka anyị chere nkeji 20 maka ihe ọṅụṅụ, ma gwazie anyị ka anyị jụọ oyi.",onye njikwa,negative
"ọfọn, o mere n'ihi onye njikwa na-enweghị amara kama ọ bụ onye na-ere mmanya na-akparị mmadụ nke mere ka anyị na-echere nkeji 20 nke ukwuu maka ihe ọṅụṅụ, wee gwa anyị ka anyị jụọ oyi.",mmanya,negative
