lug,aspect,polarities
"great food, great waitstaff, great atmosphere, and best of all great beer, but filet minor is not very good, management is less than accommodating and service is severely slow.","atmosphere,",positive
"ebyokulya eby'amaanyi, abalinda ennyo, embeera ennungi, n'ekisinga obulungi bbiya enkulu, naye abakozi ba mukwano, ebitaala tebisikiriza ate n'emmere eri wansi w'omuwendo.",ba,positive
"great food, great waitstaff, great atmosphere, and best of all great beer, but food part is below average, artificial lobster meat is artificial and chicken is dark.",beer,positive
"ebyokulya eby'amaanyi, eby'okulinda eby'amaanyi, embeera ennungi, n'ekisinga obulungi omwenge omunene, naye obuweereza bubi nnyo.",embeera,positive
"ebyokulya bya waggulu nnyo, obuweereza bufaayo, era embeera nnungi, naye emmere embi nnyo ate n'ekifo ky'okulya kibi nnyo.",ky'okulya,positive
"emmere eri ku ntikko, obuweereza bufaayo, era embeera nnungi, naye abaweereza banyiivu.",era,positive
"ebyokulya bya waggulu nnyo, obuweereza bufaayo ate n'embeera nnungi naye ennyimba zizitowa nnyo, abaweereza banyiivu ate n'abakozi beewaana.",n'embeera,positive
"kiki ky'oyinza okwogera ku kifo omukyala w'aweereza w'afulumya entrée enkyamu, ate n'avuma jjajjaawo ow'emyaka 80 n'amuwa omumwa gw'okugizzaayo (ekyo kye yakola mu ngeri ey'ekitiibwa), naye enva endiirwa za njawulo era obuweereza bwa mangu.",entrée,neutral
"kiki ky'oyinza okwogera ku kifo omuweereza w'awaka w'aleeta entrée enkyamu, olwo n'avuma jjajjaawo ow'emyaka 80 n'amuwa omumwa ku kugizzaayo (ekyo kye yakola mu ngeri ey'ekitiibwa, mu ngeri endala), naye essaawa ey'essanyu ya bbeeyi, ebintu eby'obuwangwa ebya italy bya buseere ate n'ebikozesebwa bigezesebwa.",omuweereza,negative
"the service was pretty poor all around, the food was well below the average relative to the cost, and outside there is a crazy bum who harasses every customer who leave the place, but part of phone gas is generous, pizza is worth the wait and martinis is exotic.",worth,negative
"the service was pretty poor all around, the food was well below the average relative to the cost, and outside there is a crazy bum who harasses every customer who leave the place, but salads (avocado shrimp) is good.",customer,negative
"the service was pretty poor all around, the food was well below average relative to the cost, and outside there is a crazy bum who harasses every customer who leave the place, but atmosphere is good, staff is pleasant and deserts is amazing.",bum,negative
"muhtemelen en kötü yemeklerim new york'ta... ...ve ben eski bir çimenim olduğum için ne konuşuyorum bildiğim şeyi biliyorum, fakat... ...delivers hıza.",yemeklerim,negative
"muhtemelen en kötü yemeklerim new york'ta... ...ve ben eski bir çimenim olduğum için ne konuşuyorum bildiğimi biliyorum, fakat kafe harika.",eski,neutral
