,st,aspect,polarities
0,"Lijo tse kholo, waitstaff e kholo, sepakapaka se seholo, le biri e ntle ka ho fetisisa!",Sepakapaka sa sepakapaka,positive
4,"Lijo tse kholo, waitstaff e kholo, sepakapaka se seholo, le biri e ntle ka ho fetisisa!",Leta Lesli,positive
8,"Lijo tse kholo, waitstaff e kholo, sepakapaka se seholo, le biri e ntle ka ho fetisisa!",Bebe bee,positive
12,"Lijo tse kholo, waitstaff e kholo, sepakapaka se seholo, le biri e ntle ka ho fetisisa!",Lijo tsa lijo,positive
16,"Lijo li phahame haholo, ts'ebeletso e ela hloko, 'me sepakapaka se setle.",Tšebeletso ea tšebeletso,positive
20,"Lijo li phahame haholo, ts'ebeletso e ela hloko, 'me sepakapaka se setle.",Sepakapaka sa sepakapaka,positive
24,"Lijo li phahame haholo, ts'ebeletso e ela hloko, 'me sepakapaka se setle.",Lijo tsa lijo,positive
28,"U ka re'ng ka sebaka seo ngaka e tlisang kenyelletso e fosahetseng, ebe ka mantsoe e hlasela nkhono oa hau ea lilemo li 80 mme o mo fa molomo ka ho e khutlisa (eo a e entseng ka mokhoa o nepahetseng, ka tsela).",Entrée Ho Ho,neutral
31,"U ka re'ng ka sebaka seo ngaka e tlisang kenyelletso e fosahetseng, ebe ka mantsoe e hlasela nkhono oa hau ea lilemo li 80 mme o mo fa molomo ka ho e khutlisa (eo a e entseng ka mokhoa o nepahetseng, ka tsela).",Moli Moli,negative
33,"Ts'ebeletso e ne e futsanehile haholo hohle, lijo li ne li le tlase ka karolelano ho latela litšenyehelo, 'me ka ntle ho na le bum e bohlanya e hlorisang moreki e mong le e mong ea tlohang sebakeng seo.",Litšenyehelo,negative
35,"Ts'ebeletso e ne e futsanehile haholo hohle, lijo li ne li le tlase ka karolelano ho latela litšenyehelo, 'me ka ntle ho na le bum e bohlanya e hlorisang moreki e mong le e mong ea tlohang sebakeng seo.",Tšebeletso ea tšebeletso,negative
39,"Ts'ebeletso e ne e futsanehile haholo hohle, lijo li ne li le tlase ka karolelano ho latela litšenyehelo, 'me ka ntle ho na le bum e bohlanya e hlorisang moreki e mong le e mong ea tlohang sebakeng seo.",Lijo tsa lijo,negative
43,"Mohlomong ke na le boiphihlelo ba ka ba ho fetisisa ba ho jela New York, 'me ke mo emetse ka hona kea tseba hore na ke bua ka eng.",Phihlelo ea lijo,negative
46,"Mohlomong ke na le boiphihlelo ba ka ba ho fetisisa ba ho jela New York, 'me ke mo emetse ka hona kea tseba hore na ke bua ka eng.",Leta Leta,neutral
48,"Lenane le lecha le na le lintho tse 'maloa tsa boqapi, li ne li le bohlale ka ho lekana ho boloka tse ling tsa lintho tseo u li ratang haholo (empa li phahamisa litheko), basebetsi ba mosa boholo ba nako, empa ke tlameha ho lumellana le motho ea ngotseng ka mantsoe ao ba a ratang haholo: Che, ha ho khonehe, masoabi ..., moshemane, ba ke ke ba khumama melao bakeng sa mang kapa mang.",Litheko tsa litheko,negative
