,af,aspect,polarities
0,"Heerlike kos, puik kelners, wonderlike atmosfeer en die beste van alles WONDERLIKE bier!",Atmosfeer,positive
4,"Heerlike kos, puik kelners, wonderlike atmosfeer en die beste van alles WONDERLIKE bier!",Kelnerpersoneel,positive
8,"Heerlike kos, puik kelners, wonderlike atmosfeer en die beste van alles WONDERLIKE bier!",Bier,positive
12,"Heerlike kos, puik kelners, wonderlike atmosfeer en die beste van alles WONDERLIKE bier!",Kos,positive
16,"Die kos is uit die boonste rakke, die diens is oplettend, en die atmosfeer is wonderlik.",Diens,positive
20,"Die kos is uit die boonste rakke, die diens is oplettend, en die atmosfeer is wonderlik.",Atmosfeer,positive
24,"Die kos is uit die boonste rakke, die diens is oplettend, en die atmosfeer is wonderlik.",Kos,positive
28,"Wat kan jy sê oor 'n plek waar die kelnerin die verkeerde voorgereg na vore bring, dan jou 80-jarige ouma mondelings aanrand en haar lip gee om dit terug te stuur (wat sy terloops beleefd gedoen het).",voorgereg,neutral
31,"Wat kan jy sê oor 'n plek waar die kelnerin die verkeerde voorgereg na vore bring, dan jou 80-jarige ouma mondelings aanrand en haar lip gee om dit terug te stuur (wat sy terloops beleefd gedoen het).",kelnerin,negative
33,"Die diens was oral redelik swak, die kos was ver onder die gemiddelde in verhouding tot die koste, en buite is daar 'n mal boemelaar wat elke klant wat die plek verlaat, teister.",Koste,negative
35,"Die diens was oral redelik swak, die kos was ver onder die gemiddelde in verhouding tot die koste, en buite is daar 'n mal boemelaar wat elke klant wat die plek verlaat, teister.",Diens,negative
39,"Die diens was oral redelik swak, die kos was ver onder die gemiddelde in verhouding tot die koste, en buite is daar 'n mal boemelaar wat elke klant wat die plek verlaat, teister.",Kos,negative
43,"Waarskynlik my slegste eetervaring in New York, en ek is 'n voormalige kelner, so ek weet waarvan ek praat.",Eet-ervaring,negative
46,"Waarskynlik my slegste eetervaring in New York, en ek is 'n voormalige kelner, so ek weet waarvan ek praat.",Kelner,neutral
48,"Die nuwe spyskaart het 'n paar kreatiewe items, hulle was slim genoeg om van die ou gunstelinge te behou (maar hulle het die pryse verhoog), die personeel is meestal vriendelik, maar ek moet saamstem met die persoon wat oor hul gunsteling woorde geskryf het: Nee, kan nie, jammer ..., seun, hulle sal die reëls vir niemand buig nie.",Pryse,negative
52,"Die nuwe spyskaart het 'n paar kreatiewe items, hulle was slim genoeg om van die ou gunstelinge te behou (maar hulle het die pryse verhoog), die personeel is meestal vriendelik, maar ek moet saamstem met die persoon wat oor hul gunsteling woorde geskryf het: Nee, kan nie, jammer ..., seun, hulle sal die reëls vir niemand buig nie.",Nuwe spyskaart,positive
56,Ek kry gewoonlik een van die Viëtnamese beesnoedelsop.,Viëtnamese beesnoedelsop,neutral
58,Hulle eend hier is ook absoluut heerlik.,Eend,positive
61,Jy kan fynproewerskos teen 'n kitskosprys eet.,Kos,positive
64,Jy kan fynproewerskos teen 'n kitskosprys eet.,Prys,positive
66,Snags verander die atmosfeer en verander dit in hierdie verborge juweel wat wag om ontdek te word.,atmoshere,positive
69,Die boetiekkeuse van wyne dek 'n wye verskeidenheid sonder om oplêend te wees.,boetiek-seleksie van wyne,neutral
72,"Pizzas was uitstekend, benewens voorgeregte en hoofgeregte.",hoofgeregte,positive
74,"Pizzas was uitstekend, benewens voorgeregte en hoofgeregte.",voorgeregte,positive
76,"Pizzas was uitstekend, benewens voorgeregte en hoofgeregte.",Pizzas,positive
79,"Probeer beslis die calamari, enige pasta of selfs die gesnyde steak voorgereg.",Calamari,positive
82,"Probeer beslis die calamari, enige pasta of selfs die gesnyde steak voorgereg.",pasta,positive
85,"Probeer beslis die calamari, enige pasta of selfs die gesnyde steak voorgereg.",Gesnyde steak voorgereg,positive
88,"Van die begin af is ons deur vriendelike personeellede ontmoet, en die gerieflike parkering by Chelsea Piers het dit vir ons maklik gemaak om by die boot uit te kom.",Parkering,positive
92,"Van die begin af is ons deur vriendelike personeellede ontmoet, en die gerieflike parkering by Chelsea Piers het dit vir ons maklik gemaak om by die boot uit te kom.",Personeellede,positive
96,"Nadat ons gevaar het, het die uitstekende kos en lewendige vermaak ons op 'n onvergeetlike aand verkoop.",lewendige vermaak,positive
99,"Nadat ons gevaar het, het die uitstekende kos en lewendige vermaak ons op 'n onvergeetlike aand verkoop.",Kos,positive
102,"Elke keer as ek myself in die buurt bevind, gaan ek na Sushi Rose vir vars sushi en groot porsies, alles teen 'n billike prys.",Gedeeltes,positive
106,"Elke keer as ek myself in die buurt bevind, gaan ek na Sushi Rose vir vars sushi en groot porsies, alles teen 'n billike prys.",Prys,positive
110,"Elke keer as ek myself in die buurt bevind, gaan ek na Sushi Rose vir vars sushi en groot porsies, alles teen 'n billike prys.",soesji,positive
114,Die sampioengarsop is ongelooflik.,sampioen gars sop,positive
117,Het op 'n Vrydag hier aandete geëet en die kos was wonderlik.,Aandete,neutral
119,Het op 'n Vrydag hier aandete geëet en die kos was wonderlik.,Kos,positive
122,Na ete het ek musiek hoor speel en ontdek dat daar 'n sitkamer onder is.,Musiek,neutral
124,Na ete het ek musiek hoor speel en ontdek dat daar 'n sitkamer onder is.,Aandete,neutral
126,Na ete het ek musiek hoor speel en ontdek dat daar 'n sitkamer onder is.,Sitkamer,neutral
128,"Die kos was goed, die diens vinnig en die prys baie billik. ",Diens,positive
132,"Die kos was goed, die diens vinnig en die prys baie billik. ",Prys,positive
136,"Die kos was goed, die diens vinnig en die prys baie billik. ",Kos,positive
140,"Die pasta primavera was ook uitstekend, baie vars groente.",vars groente,positive
144,"Die pasta primavera was ook uitstekend, baie vars groente.",pasta primavera,positive
148,Ongelukkig het ons met ons vertoningskaartjies nie tyd gehad om nageregte te proe nie.,Nageregte,neutral
150,"As jy in die buurt is, maak beslis 'n draai vir 'n heerlike ete.",Maaltyd,positive
153,"Sou jy ooit glo dat wanneer jy kla oor meer as 'n uur wag, wanneer hulle vir jou sê dit sal 20-30 minute wees, die bestuurder vir die kroegman sê om die drankies waarvoor jy pas betaal het, te mors?",Wag,negative
155,"Sou jy ooit glo dat wanneer jy kla oor meer as 'n uur wag, wanneer hulle vir jou sê dit sal 20-30 minute wees, die bestuurder vir die kroegman sê om die drankies waarvoor jy pas betaal het, te mors?",kroegman,neutral
157,"Sou jy ooit glo dat wanneer jy kla oor meer as 'n uur wag, wanneer hulle vir jou sê dit sal 20-30 minute wees, die bestuurder vir die kroegman sê om die drankies waarvoor jy pas betaal het, te mors?",Bestuurder,negative
159,"Sou jy ooit glo dat wanneer jy kla oor meer as 'n uur wag, wanneer hulle vir jou sê dit sal 20-30 minute wees, die bestuurder vir die kroegman sê om die drankies waarvoor jy pas betaal het, te mors?",Drinkgoed,neutral
161,"Wel, dit het gebeur as gevolg van 'n grasielose bestuurder en 'n onbeskofte kroegman wat ons 20 minute laat wag het vir drankies, en dan vir ons sê om te ontspan.",Bestuurder,negative
165,"Wel, dit het gebeur as gevolg van 'n grasielose bestuurder en 'n onbeskofte kroegman wat ons 20 minute laat wag het vir drankies, en dan vir ons sê om te ontspan.",kroegman,negative
169,"Wel, dit het gebeur as gevolg van 'n grasielose bestuurder en 'n onbeskofte kroegman wat ons 20 minute laat wag het vir drankies, en dan vir ons sê om te ontspan.",Wag,negative
173,"Wel, dit het gebeur as gevolg van 'n grasielose bestuurder en 'n onbeskofte kroegman wat ons 20 minute laat wag het vir drankies, en dan vir ons sê om te ontspan.",Drinkgoed,neutral
177,"Moet nooit die moeite doen nie - die drankies was aaklig, maar dit was die mense wat daar werk wat dit regtig die slegste ervaring gemaak het om te eet.",Drinkgoed,negative
181,"Moet nooit die moeite doen nie - die drankies was aaklig, maar dit was die mense wat daar werk wat dit regtig die slegste ervaring gemaak het om te eet.",Etes,negative
185,"Moet nooit die moeite doen nie - die drankies was aaklig, maar dit was die mense wat daar werk wat dit regtig die slegste ervaring gemaak het om te eet.",Mense,negative
189,"Almal wat daar werk (die gasheer, die kroegman, die bedieners) is so behulpsaam.",Gasheer,positive
192,"Almal wat daar werk (die gasheer, die kroegman, die bedieners) is so behulpsaam.",kroegman,positive
195,"Almal wat daar werk (die gasheer, die kroegman, die bedieners) is so behulpsaam.",Bedieners,positive
198,En die kos is fantasties.,Kos,positive
201,Gunstelinge sluit in: aartappelspinasie gnocchi en die lam.,Lam,positive
204,Gunstelinge sluit in: aartappelspinasie gnocchi en die lam.,aartappelspinasie gnocchi,positive
207,"'N Halwe hoender met 'n berg rys en boontjies vir $ 6,25.",Rys,neutral
209,"'N Halwe hoender met 'n berg rys en boontjies vir $ 6,25.",Hoender,neutral
211,"'N Halwe hoender met 'n berg rys en boontjies vir $ 6,25.",Bone,neutral
213,Die diens is uitstekend en altyd insiggewend sonder 'n lug.,Diens,positive
216,Ek sal beslis teruggaan - al is dit net vir sommige van die eksotiese martini's op die swartbord.,martini's,positive
219,Die gebrek aan AC en die feit dat daar 'n miljoen swermliggame is (hoewel almal beleefd is en niemand druk nie) is 'n effense afskakeling.,AC,negative
222,"Daar is egter net iets so wonderliks daaraan om buite te wees, in wonderlike landskap, om 'n gemaklike drankie te geniet wat dit die moeite werd maak om na hierdie plek te gaan.",Plek,positive
224,"Daar is egter net iets so wonderliks daaraan om buite te wees, in wonderlike landskap, om 'n gemaklike drankie te geniet wat dit die moeite werd maak om na hierdie plek te gaan.",Buitelug,positive
228,"Daar is egter net iets so wonderliks daaraan om buite te wees, in wonderlike landskap, om 'n gemaklike drankie te geniet wat dit die moeite werd maak om na hierdie plek te gaan.",gemaklike drankie,positive
232,"Ek het nie soontoe gegaan vir kos nie, so ek kan nie kommentaar lewer nie.",Kos,neutral
234,'n Nadeel was die stadige kroegdiens.,kroeg diens,negative
237,Ek en my vriende stop hier vir pizza voordat ek die Kips Bay-fliekteater besoek.,Pizza,neutral
239,Ons geniet altyd die pizza.,Pizza,positive
242,Die diens is redelik goed.,Diens,positive
245,"Twee klagtes - hul voorgeregkeuse stink, dit sal lekker wees om 'n paar mozzarellastokkies op die spyskaart te kry.",mozzarella stokkies,neutral
247,"Twee klagtes - hul voorgeregkeuse stink, dit sal lekker wees om 'n paar mozzarellastokkies op die spyskaart te kry.",Kieslys,negative
249,"Twee klagtes - hul voorgeregkeuse stink, dit sal lekker wees om 'n paar mozzarellastokkies op die spyskaart te kry.",Voorgereg seleksie,negative
252,"Die onaantreklike beligting het my laat gag, die kos was te duur, daar was die aakligste disco-pop-duo wat opgetree het - en my escargot het gelyk asof dit van die bord af sou kruip.",Disco pop duo,negative
256,"Die onaantreklike beligting het my laat gag, die kos was te duur, daar was die aakligste disco-pop-duo wat opgetree het - en my escargot het gelyk asof dit van die bord af sou kruip.",Beligting,negative
260,"Die onaantreklike beligting het my laat gag, die kos was te duur, daar was die aakligste disco-pop-duo wat opgetree het - en my escargot het gelyk asof dit van die bord af sou kruip.",escargot,negative
262,"Die onaantreklike beligting het my laat gag, die kos was te duur, daar was die aakligste disco-pop-duo wat opgetree het - en my escargot het gelyk asof dit van die bord af sou kruip.",Kos,negative
266,"Ek het nog nooit in my lewe kos teruggestuur nie, maar ek moes eenvoudig, en die kelner het hieroor met my gestry.",Kelner,negative
268,"Ek het nog nooit in my lewe kos teruggestuur nie, maar ek moes eenvoudig, en die kelner het hieroor met my gestry.",Kos,negative
270,"Die diens is puik, my sop kom altyd lekker warm aan.",Sop,positive
273,"Die diens is puik, my sop kom altyd lekker warm aan.",Diens,positive
276,My enigste klagte is miskien die fortuinkoekies - ek het nog nooit 'n koekie gehad wat ongeluk vir my voorspel het voordat ek Kar besoek het nie.,Koekie,negative
278,My enigste klagte is miskien die fortuinkoekies - ek het nog nooit 'n koekie gehad wat ongeluk vir my voorspel het voordat ek Kar besoek het nie.,Fortuin koekies,negative
281,"Dit is 'n basiese pizzagewrig, nie veel om na te kyk nie, maar die pizza is waarvoor ek gaan.",Pizza,positive
284,Die sous is lekker en lekker en die kors is lekker bros.,kors,positive
288,Die sous is lekker en lekker en die kors is lekker bros.,Sous,positive
292,"Net so, as jy van baie dun kors of baie groot skywe hou, is Nick en Joe's dalk nie jou gunsteling nie.",dun kors,negative
294,"Net so, as jy van baie dun kors of baie groot skywe hou, is Nick en Joe's dalk nie jou gunsteling nie.",Snye,negative
296,"Die keuse van kos is uitstekend (ek is nie gewoond daaraan om veel keuse by restaurante te hê nie), en die atmosfeer is wonderlik.",Atmosfeer,positive
300,"Die keuse van kos is uitstekend (ek is nie gewoond daaraan om veel keuse by restaurante te hê nie), en die atmosfeer is wonderlik.",seleksie van kos,positive
304,"Die spyskaart, wat seisoenaal verander, toon beide streeks- en internasionale invloede.",Kieslys,neutral
307,"Ek is net so lief vir die Little Pie Company as enigiemand anders wat resensies geskryf het, maar moet enigiemand ontmoedig om die Grand Central-ligging te besoek as gevolg van hul RUDE-diens van twee verkoopspersone.",Verkopers mense,negative
310,"Ek is net so lief vir die Little Pie Company as enigiemand anders wat resensies geskryf het, maar moet enigiemand ontmoedig om die Grand Central-ligging te besoek as gevolg van hul RUDE-diens van twee verkoopspersone.",Diens,negative
313,"Nadat ek vir my aankoop betaal het, het ek opgemerk dat hulle nie vir my eetgerei gegee het sodat ek my tert kon eet nie.",Pie,neutral
315,"Nadat ek vir my aankoop betaal het, het ek opgemerk dat hulle nie vir my eetgerei gegee het sodat ek my tert kon eet nie.",gereedskap,neutral
317,Ek moes 'n derde personeelpersoon afmerk vir 'n vurk ... so nou is dit totsiens Little RUDE Pie Company.,Personeel persoon,neutral
319,Ek moes 'n derde personeelpersoon afmerk vir 'n vurk ... so nou is dit totsiens Little RUDE Pie Company.,Vurk,neutral
321,"Die kos is verbasend goed, en die dekor is lekker.",Dekor,positive
325,"Die kos is verbasend goed, en die dekor is lekker.",Kos,positive
329,"Die diens is egter 'n pen of twee onder die kwaliteit van kos (aaklige kroegmanne), en die kliënte is meestal rumoerige pendelaars (dit kan die slegte houding van die personeel verklaar) wat gelaai word vir 'n AC/DC-konsert of 'n Knicks-wedstryd.",kliënte,negative
333,"Die diens is egter 'n pen of twee onder die kwaliteit van kos (aaklige kroegmanne), en die kliënte is meestal rumoerige pendelaars (dit kan die slegte houding van die personeel verklaar) wat gelaai word vir 'n AC/DC-konsert of 'n Knicks-wedstryd.",kroegmanne,negative
337,"Die diens is egter 'n pen of twee onder die kwaliteit van kos (aaklige kroegmanne), en die kliënte is meestal rumoerige pendelaars (dit kan die slegte houding van die personeel verklaar) wat gelaai word vir 'n AC/DC-konsert of 'n Knicks-wedstryd.",kwaliteit van kos,positive
339,"Die diens is egter 'n pen of twee onder die kwaliteit van kos (aaklige kroegmanne), en die kliënte is meestal rumoerige pendelaars (dit kan die slegte houding van die personeel verklaar) wat gelaai word vir 'n AC/DC-konsert of 'n Knicks-wedstryd.",Diens,negative
343,"Die diens is egter 'n pen of twee onder die kwaliteit van kos (aaklige kroegmanne), en die kliënte is meestal rumoerige pendelaars (dit kan die slegte houding van die personeel verklaar) wat gelaai word vir 'n AC/DC-konsert of 'n Knicks-wedstryd.",Personeel,negative
347,Die geelvintuna en kalflewer is my gunstelinge!,Geelvin tuna,positive
350,Die geelvintuna en kalflewer is my gunstelinge!,Kalf se lewer,positive
353,"Ek was op juriediens, het tydens my middagete met my fiets in Centrestraat gery en op hierdie wonderlike plekkie afgekom met wonderlike hoendertaco's en Hibiscus limonade.",Hibiskus limonade,positive
357,"Ek was op juriediens, het tydens my middagete met my fiets in Centrestraat gery en op hierdie wonderlike plekkie afgekom met wonderlike hoendertaco's en Hibiscus limonade.",Plek,positive
361,"Ek was op juriediens, het tydens my middagete met my fiets in Centrestraat gery en op hierdie wonderlike plekkie afgekom met wonderlike hoendertaco's en Hibiscus limonade.",hoender taco's,positive
365,"Innovasies is net so verseker, van die eenvoudige Karinthiese kaasravioli met wilde sampioene tot die steur met kaviaar, pragtig ooreenstem met 'n heldergroen spinasie-wodka-sous.",Kaviaar-bo-steur,positive
367,"Innovasies is net so verseker, van die eenvoudige Karinthiese kaasravioli met wilde sampioene tot die steur met kaviaar, pragtig ooreenstem met 'n heldergroen spinasie-wodka-sous.",groen spinasie-vodka sous,positive
371,"Innovasies is net so verseker, van die eenvoudige Karinthiese kaasravioli met wilde sampioene tot die steur met kaviaar, pragtig ooreenstem met 'n heldergroen spinasie-wodka-sous.",Karinthiese kaas ravioli met wilde sampioene,positive
375,"Spyskaarte bevat seisoenale keuses, soos suikermielie-foie gras brulee.",Suikermielies-foie gras brulee,neutral
377,"Spyskaarte bevat seisoenale keuses, soos suikermielie-foie gras brulee.",Kieslyste,neutral
380,DIE DIENS IS OOK PERFEK NIKS VERKEERD IN HIERDIE ITALIAANSE/FRANSE RESTAURANT NIE,DIENS,positive
383,Die foie gras was soet en heerlik.,foie gras,positive
386,"My vriendin se eendkonfyt was ook baie solied, hoewel ek min verwysingsbasis het.",eend konfyt,positive
389,"Die wagpersoneel is baie vriendelik, as jy nie onbeskof of kieskeurig is nie....... ons ete by Leon verlede naweek was wonderlik -.",Wagpersoneel,positive
393,"Die wagpersoneel is baie vriendelik, as jy nie onbeskof of kieskeurig is nie....... ons ete by Leon verlede naweek was wonderlik -.",Maaltyd,positive
397,Ek beveel enige van hul salmgeregte aan......,salm geregte,positive
400,"Heerlike kos, maar die diens was verskriklik!",Diens,negative
404,"Heerlike kos, maar die diens was verskriklik!",Kos,positive
408,Die twee kelnerinne het gelyk asof hulle aan suurlemoene gesuig het.,kelnerin se,negative
410,Die diens was verskriklik stadig (die plek was net halfvol) en 'n glimlag sou lekker gewees het...,Diens,negative
413,Tydens spitstye is die restaurant oorvol en tafels is ongemaklik naby.,Tafels,negative
416,"As jy hier is as 'n voorvertoning-ete, spring in 'n taxi en neem die ekstra 10 minute om na die uptown-ligging te gaan.",Voor-vertoning maaltyd,neutral
418,"Dit is net alles ... die kos, die atmosfeer ... Die ongelooflike vriendelike en genadige gasvrou.",Atmosfeer,positive
420,"Dit is net alles ... die kos, die atmosfeer ... Die ongelooflike vriendelike en genadige gasvrou.",Gasvrou,positive
423,"Dit is net alles ... die kos, die atmosfeer ... Die ongelooflike vriendelike en genadige gasvrou.",Kos,positive
425,"Die atmosfeer was goed, 'n bietjie hard maar steeds lekker romanties.",atmosfeer,positive
428,"Omdat ons kosliefhebbers was, was ons egter heeltemal teleurgesteld met die kos.",Kos,negative
431,"Ek beveel die swart geroosterde kabeljou aan, dit was die beste gereg van die aand.",swart geroosterde kabeljou,positive
434,"Ek beveel die swart geroosterde kabeljou aan, dit was die beste gereg van die aand.",Gereg,positive
437,Ek het 'n heerlike garnale kreools gehad.,garnale kreools,positive
440,Die hoenderete was regtig goed.,hoender aandete,positive
443,maar die kos was heerlik.,Kos,positive
446,Die ruimte is tradisioneel in gevoel.,Spasie,neutral
449,Kreatiewe geregte soos koningkrapslaai met passievrugvinaigrette en fettuccine met geroosterde seekos in 'n roosmaryn-lemoensous is onverwagte elemente op 'n andersins voorspelbare bistro-spyskaart.,Bistro spyskaart,neutral
453,Kreatiewe geregte soos koningkrapslaai met passievrugvinaigrette en fettuccine met geroosterde seekos in 'n roosmaryn-lemoensous is onverwagte elemente op 'n andersins voorspelbare bistro-spyskaart.,Koningkrap slaai met passievrug vinaigrette,positive
457,Kreatiewe geregte soos koningkrapslaai met passievrugvinaigrette en fettuccine met geroosterde seekos in 'n roosmaryn-lemoensous is onverwagte elemente op 'n andersins voorspelbare bistro-spyskaart.,Geregte,positive
461,Kreatiewe geregte soos koningkrapslaai met passievrugvinaigrette en fettuccine met geroosterde seekos in 'n roosmaryn-lemoensous is onverwagte elemente op 'n andersins voorspelbare bistro-spyskaart.,Fettuccine met geroosterde seekos in 'n roosmaryn-lemoensous,positive
465,Montparnasse se nageregte-veral die sy crème brulee en papierdun appeltert-is op hul eie goed genoeg om die restaurant die moeite werd te maak.,Nageregte,positive
469,Montparnasse se nageregte-veral die sy crème brulee en papierdun appeltert-is op hul eie goed genoeg om die restaurant die moeite werd te maak.,appeltert,positive
