sentences,aspects,polarities
Sony parts reliability and quality of service is recenlty the worst.,service,negative
"Info: Windows failed to load because the kernal is missing, or corrupt.",Windows,negative
"We also use Paralles so we can run virtual machines of Windows XP Professional, Windows 7 Home Premium, Windows Server Enterprise 2003, and Windows Server 2008 Enterprise.",Windows XP Professional,neutral
"I was a little weary at purchasing another 13"" macbook almost 2 years later but t looks like the newer macbooks have gotten its current line of graphics cards in order this time around.",graphics cards,positive
Keyboard good sized and wasy to use.,Keyboard,positive
"  Then I've fixed the DC jack (inside the unit), rewired the DC jack to the OUTside of the laptop, replaced the power brick.",DC jack,neutral
"I connect a LaCie 2Big external drive via the firewire 800 interface, which is useful for Time Machine.",LaCie 2Big external drive,neutral
Not to mention it has shit gigs.,gigs,negative
"The display on this computer is the best I've seen in a very long time, the battery life is very long and very convienent.",display,positive
The Material this Pro is made out of seems a lot nicer than any PC  Specs: Like I said this performs a lot better than any computer I've had in the past.,Specs,negative
Strong performance in this device makes use of fun and a strong sense of the era of speed This device serves all modern requirements is a very strong game and is very useful for designers.,speed,positive
"That's very possible, but since they don't make Windows XP drivers for the sound card in this machine, I was stuck until Windows 7 came out.",Windows XP drivers,negative
"Overall, I experienced a huge change in that my mac runs pretty fast compared to my old PC.",runs,positive
"I paid for extra memory and the 17-inch screen, as well as the top of the line DVD and CD burners.",17-inch screen,neutral
YOU WILL NOT BE ABLE TO TALK TO AN AMERICAN WARRANTY SERVICE IS OUT OF COUNTRY.,WARRANTY SERVICE,negative
There are so many wonderful features and benefits to the new MacBook!,features,positive
"The dv4 boasted a faster processor, more memory, and a bigger hard drive than my old computer, plus a better quality web cam, nicer screen, and many other features.",features,positive
The store honored their warrenty and made the comment that they don't even recommend the HP brand because of the problems with their warrentys.,warrentys,negative
The layout of the MacBook is horrible and confusing;,layout,negative
"Even so, I like playing online games, so it was wonderful that there is a feature where I can dualboot Windows.",Windows,positive
"The guy then said that if I insist on having the hinge tightened, they can do it for me but I have to accept the condition after the ""repair"".",hinge,neutral
"But sitting on a lap or on a desk in front of you it looks more than big enough (this could be because Im used to my Lenovo 10 tablet now) plus this is a great size if I want to unplug the external keyboard, mouse, and monitor to take it with me when I take photos and video.",size,positive
"Navigation through the computer is far superior compared to Windows operating systems, as well.",Windows operating systems,negative
It took Toshiba tech support 4 calls and 4 different techs to correct the problem.,techs,negative
and they replaced the awesome ergonomic small lightweight power supply with a power supply that weighed more than the machine itself.,power supply,negative
"The Mac takes about the same amount of starting-up time as the average PC, but keeps itself cleaned up and ready to use.",starting-up time,positive
I wanted something that had a new Intel Core processors and HDMI port so that we could hook it up directly to our TV.,Intel Core processors,neutral
"Garageband is more for the musicians, and the laptop is equipped with a good working microphone, good enough for beginners and musicians at the intermediate level.",microphone,positive
"  Another THREE weeks later I had my laptop back with a new mousepad, keys, and casing.",mousepad,neutral
"Once open, the leading edge is razor sharp.",leading edge,negative
"Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work.",performance,negative
I would recommend it just because of the internet speed probably because thats the only thing i really care about.,internet speed,positive
"-No backlit keyboard, but not an issue for me.",keyboard,conflict
can't reinstall with standard os cd because of proprietary hardware drivers.,standard os cd,negative
"The speed difference is next to NOTHING for a mac, and the hard drive can be manually upgraded or you could just buy a $60 500gb external hard drive.",hard drive,neutral
"The system constantly overheats, the battery life is too short, the case is coming apart, and my core applications that I use every day in my work as a graphic artist run poorly.",battery life,negative
The one thing I wish it had was a detailed hardcopy manuel.,hardcopy manuel,negative
/ awesome cooling system/ much better grafics card (ATI 5870) / 8GB RAM/ LED backlit screen...,grafics card,positive
The programs that come standard with the Leopard running system are enough for the average person to run all the basics.,Leopard running system,neutral
The resolution is even higher then any other laptop on the market.,resolution,positive
"Some features arent friendly ( volume wheel, sound quality, etc.",sound quality,negative
The iLife software that comes with the computer is so simple to use and produces a great finished product.,use,positive
Then it ceased charging at all.,charging,negative
"I've had to call Apple support to set up my new printer and have had wonderful experiences with helpful, english speaking (from Vancouver) techs that walked me through the processes to help me.",Apple support,positive
"  My opinion of Sony has been dropping as fast as the stock market, given their horrible support, but this machine just caused another plunge.",support,negative
"This laptop looks great on the surface: 17"" inch screen, good  price-point, nice appearance, boots up quickly, runs fast etc.",boots up,positive
Im glad that it has such great features in it.,features,positive
The case is carved out of a single block of aluminum.,case,neutral
After 20-30 min the screen of the notebook switched off.,screen,negative
It does not even have the software to play a dvd now.,software,negative
"Then, within 5 months, the charger crapped out on me.",charger,negative
power supply went bad after 2 weeks --,power supply,negative
"But sitting on a lap or on a desk in front of you it looks more than big enough (this could be because Im used to my Lenovo 10 tablet now) plus this is a great size if I want to unplug the external keyboard, mouse, and monitor to take it with me when I take photos and video.",mouse,neutral
  I could not find a phone number anywhere to call an actual live person for tech support and had to result the their online chat.,tech support,negative
"Called Acer many times, they want me to pay the shipping to ship it to their repair center - I was very disappointed since it is a brand new computer!",shipping,negative
I went to Toshiba online help and found some suggestions to fix it.,Toshiba online help,positive
"The dv4 boasted a faster processor, more memory, and a bigger hard drive than my old computer, plus a better quality web cam, nicer screen, and many other features.",memory,positive
"I paid for extra memory and the 17-inch screen, as well as the top of the line DVD and CD burners.",CD burners,positive
"The screen is framed by half- to a full-inch margin that is obviously unnecessary, reduces the screen size and increases the bulk.",screen size,negative
"I just plug this into my 22"" Monitor and the speedy MacOSX performs just as well on this dual-core that my Dell did with Windows 7 with a quad-core.",Windows 7,positive
Oh and if thats not bad enough it doesn't come with a recovery cd so you can make one if you know how to or buy one if you buy it the cost is $25 for two cds.,recovery cd,negative
I dual boot with Linux and that other security-prone OS and it performs flawlessly.,performs,positive
"THEN, one month after the warranty expired, the replacement charger went.",warranty,neutral
Didn't work when shipped from Walmart.com but went into a store and exchanged for a working laptop (same make/model).,work,negative
"Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work.",battery life,positive
"The price was very good, and the product is top quality.",quality,positive
The Toshiba Satellite has been more than I expected for the price.,price,positive
Once I removed all the software the laptop loads in 15-20 seconds.,software,negative
"The leather carrying case, keyboard and mouse arrived in two days from Memphis warehouse.",keyboard,neutral
Later it held zero charge and its replacement worked for less than three months.,charge,negative
"The price was very good, and the product is top quality.",price,positive
"Anyway, in early July of this year, the DVD burner stopped working, and the computer stared having issues with power supply.",power supply,negative
The Apple team also assists you very nicely when choosing which computer is right for you :),Apple team,positive
"My friend reports the notebook is astonishing in performance, picture quality, and ease of use.",performance,positive
The Aspire wont even boot past the Acer screen with a Droid (I have tried both Motorola and HTC) plugged into the USB port.,Acer screen,negative
"I noticed windows has a new system called Windows 7, what about us Vista users?  They should get all the bugs out of Vista before investing in a new system.",windows,neutral
"It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.",use,positive
"We love the size of the screen, although it is still lightweight and very easy to tote around.",size of the screen,positive
They have developed excellent proprietary software for editing video and pictures and I'm looking forward to utilizing these tools on the regular.,proprietary software,positive
The machine is slow to boot up and occasionally crashes completely.,boot up,negative
Temperatures on the outside were alright but i did not track in Core Processing Unit temperatures.,Core Processing Unit temperatures,neutral
"The repairs were made quickly though I must say, however the second time they shipped it to the incorrect address and it took nearly a week for them to get it to me.",shipped,negative
Loaded with bloatware.,bloatware,neutral
Registration/1st use is easy.,use,positive
I have had no problems with it unlike some hardware defects on past models.,hardware,negative
"I did have to replace the battery once, but that was only a couple months ago and it's been working perfect ever since.",battery,conflict
"The image is great, and the soud is excelent.",soud,positive
Everything from the design to the OS is simple and to the point.,design,positive
"The 4 USB ports are nice, but the two on the side only work now and then.",USB ports,conflict
"A great feature is the spotlight search: one can search for documents by simply typing a keyword, rather than parsing tens of file folders for a document.",spotlight search,positive
"while about 8 years ago, I hope that the quality has changed.",quality,negative
the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.,safari,negative
I also did not like the loud noises it made or how the bottom of the computer would get really hot.,noises,negative
"I have other computers that get strong signals that don't drop in places that this ""net""book loses its signal.",signal,negative
The graphics were awful and the warranty isn't even worth the cheap payment on the computer.,graphics,negative
That whole experience was just ridiculous we sent it in and after they told us that we had to pay $175 to fix it we were like we will just by a portable mouse which would be way cheaper but they refused to send the laptop back until we paid the $175 and it was fixed.,mouse,positive
  The screen almost looked like a barcode when it froze.,screen,negative
This laptop is a great price and has a sleek look.,look,positive
"  Now I had not tried to use this since the disc drive had been replaced and after taking it back to the Geek Squad I found out they had accidently not used the right drive when they replaced the first one, so back it went to get the correct drive.",drive,negative
The Internet Explorer was very slow from the very beginning.,Internet Explorer,negative
They say that this will invalidate the warranty on the hard drive (I don't really understand why but anyway).,warranty,negative
Again in February my computer completely failed to the point that it could not load Windows so I contacted Acer to get it fixed thru my Warrenty and it took about 3 days fighting on the phone with agents and it seemed as though NONE of them spoke English.,agents,negative
Memory is upgradable.,Memory,positive
"  Another THREE weeks later I had my laptop back with a new mousepad, keys, and casing.",casing,neutral
"The battery life was supposed to be 6 hours, but even if I ran off the battery with the high effeciency setting the battery would only last me on average about 2.5 to 3 hours.",battery,negative
"I run windows via bootcamp for the couple programs I do not want to buy a mac version of, like my cad programs.",bootcamp,neutral
I have only had PCs with Windows before so this takes a little getting use to.,Windows,neutral
(The SATA controller is the motherboard chip that lets the CPU talk to the hard drive.),CPU,neutral
"I use iphoto all the time, which is a great program for anyone who is into photography - amateurs and experts alike.",program,positive
"Its Office compatible, but the features and its functioning is all new again so you might as well save the money and just learn the pre installed mac programs.",Office,positive
Runs fast and the regular layout keyboard is so much better.,regular layout keyboard,positive
"Screen, keyboard, and mouse: If you cant see yourself spending the extra money to jump up to a Mac the beautiful screen, responsive island backlit keyboard, and fun multi-touch mouse is worth the extra money to me alone.",island backlit keyboard,positive
I had to pay $100 for a universal charger for this cheap $300 laptop.,universal charger,negative
It has a faster processor and more ram.,processor,positive
"Also, HDD secures inside using rails, and there is only one set on the main hard drive.",HDD,positive
"The processor went on me, the fan went and the motherboard went.",fan,negative
