sentences,aspects,polarities
"ibyokurya byiza, abakozi benshi bategereje, ikirere kinini, n'inzoga nziza zose zikomeye, ariko filet minor ntabwo ari nziza cyane, gucunga ni bike cyane kandi serivisi zitinda cyane.",ikirere,positive
"ibyokurya byiza, abakozi benshi bategereje, ikirere cyiza, n'inzoga nziza zose zikomeye, ariko abakozi ni inshuti, umucyo ntabwo ushimishije kandi ibyokurya biri munsi y'ibisanzwe.","bategereje,",positive
"ibyokurya byiza, abakozi beza, ikirere kinini, n'inzoga nziza zose zikomeye, ariko igice cy'ibiribwa kiri munsi y'ibisanzwe, inyama za lobster z'ikoranabuhanga ni ikoranabuhanga kandi inkoko ni umwijima.",n'inzoga,positive
"ibyokurya byiza, abakozi beza, ikirere kinini, n'inzoga nziza zose, ariko serivisi ni mbi.",ariko,positive
"ibyokurya ni byiza cyane, serivisi ni nziza, kandi ikirere ni cyiza, ariko ibyokurya ni bibi kandi abashyitsi ni bibi.",serivisi,positive
"ibyokurya ni byiza cyane, serivisi ni nziza, kandi ikirere ni cyiza, ariko abashinzwe umutekano bararakaye.",ikirere,positive
"ibyokurya ni byinshi, serivisi witonze, kandi ikirere ni cyiza, ariko umuziki urakomeye cyane, abategereza bararakaye kandi abakozi ni ubwibone.",bararakaye,positive
"ni iki wavuga ku hantu umukobwa w'umukobwa asohora entrée itari yo, hanyuma akubita nyirakuru w'imyaka 80 kandi akamuha iminwa ye yo kuyohereza (ibyo yakoze mu buryo bw'ikinyabupfura, mu nzira), ariko imboga ni zitandukanye kandi serivisi zihuta.",entrée,neutral
"ni iki ushobora kuvuga ku hantu umukobwa w'umukobwa asohora entrée itari yo, hanyuma akubita nyirakuru w'imyaka 80 kandi akamuha iminwa ye yo kuyohereza (ibyo yakoze mu buryo bw'ikinyabupfura), ariko isaha y'ibyishimo ni igiciro gito, ibintu bisanzwe byo mu butaliyani bihendutse kandi ibitekerezo bigeragezwa kandi ni ukuri.",umukobwa,negative
"serivisi yari ikennye cyane hirya no hino, ibyokurya byari munsi cyane ugereranyije n'igiciro, kandi hanze hari umusazi uhohotera buri mukiriya uvuye aho hantu, ariko igice cya gazi ya telefoni ni ubuntu, pizza ifite agaciro ko gutegereza kandi martinis ni idasanzwe.","n'igiciro,",negative
"serivisi yari ikennye cyane hirya no hino, ibyokurya byari munsi cyane ugereranyije n'igiciro, kandi hanze hari umupfu uhohotera buri mukiriya uvuye aho hantu, ariko salade (avocado shrimp) ni nziza.",serivisi,negative
"serivisi yari ikennye cyane hirya no hino, ibyokurya byari munsi cyane ugereranyije n'igiciro, kandi hanze hari umupfu uhohotera buri mukiriya uvuye aho hantu, ariko ikirere ni cyiza, abakozi birashimishije kandi ubutayu butangaje.",yari,negative
"birashoboka ko ibyo kurya bibi cyane muri new york, kandi ndi umunyagitugu ku buryo nzi ibyo mvuga, ariko gutanga ni umuvuduko.",kurya,negative
"birashoboka ko ibyo kurya bibi cyane muri new york, kandi ndi umunyagitugu ku buryo nzi ibyo mvuga, ariko ikawa ni nziza.",bibi,neutral
"menu nshya ifite ibintu bike byo kurema, byari byiza bihagije kugira ngo bimwe mu bikunzwe bya kera (ariko byazamutse ibiciro), abakozi ni inshuti igihe kinini, ariko ngomba kwemeranya n'umuntu wanditse ku magambo akunda: oya, mumbabarire... mwana, ntabwo bazahindura amategeko ku muntu uwo ari we wese; guacamole yo mu rugo ni ibintu bitangaje, ikirere ni impinduka kandi igice cy'umunsi ni cyiza.",ibiciro,negative
"menu nshya ifite ibintu bike byo kurema, byari byiza bihagije kugira ngo bimwe mu bikunzwe bya kera (ariko byazamutse ibiciro), abakozi ni inshuti igihe kinini, ariko ngomba kwemeranya n'umuntu wanditse ku magambo akunda: oya, mumbabarire... mwana, ntabwo bazahindura amategeko ku muntu uwo ari we wese; ubunini ni bwinshi, ibyokurya bifite agaciro, kandi ibyokurya byo mu bwoko bwa mole ni byiza cyane.",nshya,positive
"ubusanzwe mbona isupu imwe ya vietnam y'inka noodle, ariko mali ya macadamia igeragezwa kandi y'ukuri kandi tapas ni nziza.",vietnam,neutral
"inka zabo hano nayo ni nziza cyane, ariko bar ni mbi cyane, abantu ni babi cyane kandi ibice ni bike.",babi,positive
"ushobora kurya ibyokurya bya gourmet ku giciro cyihuse cy'ibiribwa, ariko sauce ya mole ni nziza cyane, serivisi ni ubugome kandi abakozi bategereje nta cyizere.",ya,positive
"ushobora kurya ibyokurya byihuse ku giciro cy'ibiribwa byihuse, ariko abakozi ni bibi kandi ibyokurya biri munsi y'ibisanzwe.",giciro,positive
"mu ijoro ryakeye, impinduka zihinduka iyi nzu y'amabuye y'agaciro ihishwe itegereje kuvumburwa, ariko ameza ntabwo ari hafi.",ameza,positive
"guhitamo divayi bikubiyemo ubwoko bwinshi butashyiraho, ariko serivisi ni buhoro kandi sandwich ni nziza.",divayi,neutral
"pizzas zari nziza cyane uretse appetizers n'amasomo y'ingenzi, ariko disco pop duo ni mbi cyane, serivisi ya bar iri buhoro kandi abakozi bategereje ntibemera.",amasomo y'ingenzi,positive
"pizza zari nziza cyane uretse appetizers n'amasomo y'ingenzi, ariko serivisi ya bar iri buhoro, bar ni ubugome kandi urutonde rwa divayi rurababaje.",appetizers,positive
"pizza zari nziza cyane uretse porogaramu n'amasomo y'ingenzi, ariko abakozi ni ubwibone kandi serivisi iri buhoro.",pizza,positive
"nta gushidikanya ko gerageza calamari, pasta iyo ari yo yose, cyangwa ndetse na sliced steak entrée, ariko imbwa zishyushye ni mbi cyane kandi sauce ntabwo ari nziza cyane.",calamari,positive
"nta gushidikanya ko gerageza calamari, pasta iyo ari yo yose, cyangwa ndetse na sliced steak entrée, ariko kurya ni bugufi kandi serivisi birababaje.",pasta,positive
"nta gushidikanya ko gerageza calamari, pasta iyo ari yo yose, cyangwa ndetse na sliced steak entrée, ariko hostess ni mbi cyane, serivisi ni mbi cyane kandi abakiriya bafite umunwa mwinshi.",steak,positive
"kuva mu ntangiriro, twahuye na memebers z'abakozi b'inshuti, kandi parking ya convienent i chelsea piers yatumye tworohereza kugera mu bwato, ariko smoothies ni nini, ibice ni bito kandi abashyitsi ni bibi.",parking,positive
"kuva mu ntangiriro, twahuye na memebers z'abakozi b'inshuti, kandi parking ya convienent i chelsea piers yatworoheye kugera mu bwato, ariko abashyitsi ni abagome kandi ibyokurya si byiza cyane.",memebers,positive
"ubwo twari dufite ubwato, ibyokurya byo hejuru n'imyidagaduro ubuzima byadugurishije ku mugoroba utazibagirana, ariko ibyokurya ni bibi.",n'imyidagaduro,positive
"nyuma yo kugenda, ibyokurya byo hejuru n'imyidagaduro bikomeje kugurishwa ku mugoroba utazibagirana, ariko inyama za lobster z'ikoranabuhanga ni ikoranabuhanga kandi gutegereza ni ubugome.",gutegereza,positive
"igihe icyo ari cyo cyose n'igihe cyose nsanze ndi mu baturanyi, nzajya muri sushi rose kugira ngo mbone sushi nshya n'ibice byinshi byose ku giciro cyiza, ariko inkoko ni umwijima, umuyobozi ni umuntu utagira ubuntu kandi abakiriya bararakaye.",n'ibice,positive
"igihe cyose n'igihe cyose nsanze ndi mu baturanyi, nzajya muri sushi rose kugira ngo mbone sushi nshya n'ibice byinshi byose ku giciro cyiza, ariko kurya ni bibi.",giciro,positive
"igihe cyose n'igihe cyose nsanze ndi mu baturanyi, nzajya muri sushi rose kugira ngo mbone sushi nshya n'ibice byinshi byose ku giciro cyiza, ariko waiter ararakara, keke ni ibisanzwe kandi serivisi zitinda.",sushi,positive
"isupu ya barley itangaje, ariko disco pop duo ni mbi cyane kandi umuyobozi ni ubugome.",barley,positive
"ifunguro rya nimugoroba ku wa gatanu kandi ibyokurya byari byiza, ariko ibyokurya ni byiza cyane, gazi ya telefoni ni nziza kandi ifunguro rya saa sita ni ryiza.",ifunguro rya nimugoroba,neutral
"ifunguro rya nimugoroba hano ku wa gatanu kandi ibyokurya byari byiza cyane, ariko serivisi ni nziza, serivisi ni iteye ubwoba kandi abakiriya ni akanwa gakomeye.",rya,positive
"nyuma yo gusangira ifunguro rya nimugoroba numvise umuziki ucuranga maze nsanga hari salon hasi, ariko guhitamo inzoga ni byiza cyane, desserts ni nziza cyane kandi ngerageza pizza na cheese ya soy.",umuziki,neutral
"nyuma yo gusangira ifunguro rya nimugoroba numvise umuziki ucuranga maze nsanga hari salon iri hasi, ariko imbwa zishyushye ni nziza cyane, ameza ni hafi cyane kandi ibyo kurya birababaje.",ifunguro rya nimugoroba,neutral
"nyuma yo gusangira ifunguro rya nimugoroba numvise umuziki ucuranga maze nsanga hari salon iri hasi, ariko ambiance ni urukundo kandi serivisi ni nziza.",salon,neutral
"ibyokurya byari byiza, serivisi byihuse, kandi igiciro cyiza cyane, ariko cookies z'umutungo ni ikibazo.",serivisi,positive
"ibyokurya byari byiza, serivisi yihuse kandi igiciro cyari cyiza cyane. , ariko kurya ni bibi cyane.",igiciro,positive
"ibyokurya byari byiza, serivisi yihuse kandi igiciro cyari cyiza cyane. , ariko abahutu bafite uburakari bwinshi,",yihuse,positive
"pasta primavera nayo yari idasanzwe, imboga nyinshi nshya, ariko waiter ni mbi, disco pop duo ni mbi kandi abategereza ni babi.","nshya,",positive
"pasta primavera nayo yari idasanzwe, imboga nyinshi nshya, ariko serivisi ni buhoro, inyama za lobster z'ikoranabuhanga ni artificial kandi icyumba ni cyiza.",primavera,positive
"ikibabaje ni uko hamwe n'amatike yacu y'imyidagaduro, nta mwanya twari dufite wo gupima ibyokurya byose, ariko guhindura pizza ni byiza, inzoga ni nshya kandi ibice ni binini.",ibyokurya,neutral
"niba uri mu baturanyi, nta gushidikanya ko uhagarika kurya byinshi, ariko abakozi bategereza nta kibazo bafite kandi serivisi igihombo.",uhagarika,positive
"none se niba ufite ikibazo cyo gutegereza isaha imwe, niba uvuga ko ari iminota iri hagati ya 20 na 30, umuyobozi abwira umucuruzi kunywa inzoga uherutse kwishyura? nubwo icyayi cya corinthian cheese ravioli gifite udukoko duto",tegereza,negative
"ese wigeze wemera ko iyo utegereje isaha irenga, iyo bakubwiye ko bizaba ari iminota 20-30, umuyobozi abwira umucuruzi wa bar kumena ibinyobwa yishyuye gusa, ariko ibyokurya ni byiza kandi shokola imbeho ni nyinshi cyane.",bar,neutral
"ese waba warigeze kwizera ko iyo utegereje isaha irenga, iyo bakubwiye ko bizaba ari iminota 20 cyangwa 30, umuyobozi abwira umucuruzi wa bar kumena ibinyobwa yishyuye gusa, ariko umukozi w'abakozi ni inshuti?",umuyobozi,negative
"ese wigeze wemera ko iyo ukomeje gutegereza isaha imwe, igihe bakubwira ko bizaba iminota 20-30, umuyobozi abwira umucuruzi wa bar kumena ibinyobwa wishyuye gusa, ariko salade ya eggplant ni nziza cyane, ibyokurya ni byiza kandi bishyushye mu bufaransa - hamwe na dip ya dalmatia ni nziza cyane.",na,neutral
"byabaye bitewe n'umuyobozi utagira ubuntu ndetse n'umucuruzi mubi wa bar waduhaye iminota 20 yo kunywa inzoga, hanyuma atubwira ko agomba gukonjesha, ariko ibyokurya ni byiza, desserts ni ubuntu kandi fettuccine alfredo ni igitangaza.",umuyobozi,negative
"ibi byabaye bitewe n'umuyobozi utagira ubuntu ndetse n'umucuruzi mubi wa bar waduhaye iminota 20 yo kunywa inzoga, hanyuma atubwira guhumeka, ariko serivisi ni inshuti.",bar,negative
"ibi byabaye bitewe n'umuyobozi utagira ubuntu ndetse n'umucuruzi w'ibaruramari w'ubugome waduhaye iminota 20 yo kunywa inzoga, hanyuma atubwira ko agomba gukonjesha, ariko ibyokurya ni ahantu hashyushye kandi kurya ni byiza.","gukonjesha,",negative
"ibi byabaye bitewe n'umuyobozi utagira ubuntu ndetse n'umucuruzi mubi wa bar waduhaye iminota 20 yo kunywa inzoga, hanyuma atubwira guhumeka, ariko abakozi bafite ubumenyi.",ibi,neutral
"ntuzigere uhangayikishwa n'ibyo kunywa, ariko abantu bakorera aho ni bo bakoze ibi bintu bibi cyane mu kurya; ikirere ni cyiza.",ibi,negative
"ntuzigere uhangayikishwa n'ibyo kunywa, ariko abantu bakorera aho ni bo bakoze ibi bintu bibi cyane mu kurya; gutanga serivisi ni byiza kandi ikirere ni cyiza.",bibi,negative
"ntuzigere uhangayikishwa n'ibyo kunywa, ariko abantu bakorera aho ni bo bakoze ibi bintu bibi cyane mu kurya; ibyokurya byo mu bufaransa - hamwe na dalmatia dip ni byiza cyane, rolls hamwe na crab ni nziza kandi agaciro ni keza.",abantu,negative
"umuntu wese ukora muri icyo gihugu (umuyobozi, umucuruzi, umucuruzi, umucuruzi,",wese,positive
"umuntu wese ukora aho (umushyitsi, bar, seriveri) ni ingirakamaro cyane, ariko konti ni nini, ibice ni bito kandi kurya ni bibi cyane.",bibi,positive
"umuntu wese ukora aho (umushyitsi, bar, seriveri) ni ingirakamaro cyane, ariko amafaranga ni menshi, ni ifunguro rya nimugoroba ni imbaraga kandi ibyokurya biri munsi y'ibisanzwe.",seriveri),positive
"ibyo kurya ni byiza cyane, ariko serivisi ni buhoro cyane.",kurya,positive
"ibyokurya byo mu bwoko bwa potato spinach gnocchi na potato spinach gnocchi n'umwana w'intama, ariko abashyitsi ni bibi kandi ibyokurya ni ibyo kurya.",bwa,positive
"ibyokurya byo mu bwoko bwa potato spinach gnocchi na potato spinach gnocchi n'umwana w'intama, ariko imbere ni ibisanzwe kandi ibyokurya ni bibi.",gnocchi,positive
