sentences,aspects,polarities
"ukutya okukhulu, i-waitstaff enkulu, umoya omkhulu, kunye neyona nto ibhetele kunazo zonke ibhiya enkulu, kodwa i-filet encinci ayilunganga kakhulu, ulawulo lungaphantsi kokuhlalisa kwaye inkonzo iyacotha kakhulu.",iyacotha,positive
"ukutya okukhulu, i-waitstaff enkulu, umoya omkhulu, kunye neyona nto ibhetele kunazo zonke ibhiya enkulu, kodwa abasebenzi banobuhlobo, ukukhanyisa akunamtsalane kwaye ukutya kungaphantsi komndilili.",kwaye,positive
"ukutya okukhulu, i-waitstaff enkulu, umoya omkhulu, kunye neyona nto ibhetele kunazo zonke ibhiya enkulu, kodwa inxalenye yokutya ingaphantsi komndilili, inyama ye-lobster yokufakelwa yinto eyenziweyo kwaye inkukhu imnyama.",ibhiya,positive
"ukutya okukhulu, i-waitstaff enkulu, umoya omkhulu, kunye neyona nto ibhetele kunazo zonke ibhiya enkulu, kodwa inkonzo yoyikeka.",ukutya,positive
"ukutya kuphezulu, inkonzo inikela ingqalelo, kwaye umoya mkhulu, kodwa izidlo ziyoyikeka kwaye i-host host ikrwada.",inkonzo,positive
"ukutya kuphezulu, inkonzo inikela ingqalelo, kwaye umoya mkhulu, kodwa iiweyitala zinomsindo.",inikela,positive
"ukutya kuphezulu, inkonzo inikela ingqalelo, kwaye umoya mkhulu, kodwa umculo unzima kakhulu, ii-waiters zinomsindo kwaye abasebenzi bakhukhumele.",ukutya,positive
"yintoni onokuyithetha malunga nendawo apho i-waitress ikhupha i-entree ephosakeleyo, emva koko ihlasela ngomlomo umakhulu wakho oneminyaka engama-80 ubudala kwaye inika umlebe wakhe malunga nokuyibuyisela (nto leyo ayenzileyo ngembeko, ngendlela), kodwa imifuno yahlukile kwaye inkonzo ikhawuleza.",ikhupha,neutral
"yintoni onokuyithetha malunga nendawo apho i-waitress ikhupha i-entree ephosakeleyo, emva koko ihlasela ngomlomo umakhulu wakho oneminyaka engama-80 ubudala kwaye inika umlebe wakhe malunga nokuyithumela emva (apho wenza ngembeko, ngendlela), kodwa iyure eyonwabileyo ixabiso eliphantsi, izinto zemveli zase-italy zitshiphu kwaye iiresiphi ziyalingwa-kwaye ziyinyani.",ikhupha,negative
"inkonzo yaba pretty amahlwempu ngeenxa zonke, ukutya kakuhle ngaphantsi avareji ngokunxulumene iindleko, kwaye ngaphandle kukho bum crazy ngubani harasses wonke umthengi oshiya indawo, kodwa inxalenye igesi yefowuni nesisa, pizza kufanelekile ukulinda kunye martinis yi exotic.",iindleko,negative
"inkonzo yaba pretty amahlwempu ngeenxa zonke, ukutya kakuhle ngaphantsi avareji ngokunxulumene iindleko, kwaye ngaphandle kukho bum crazy ngubani harasses wonke umthengi oshiya indawo, kodwa isaladi (avocado shrimp) kulungile.",inkonzo,negative
"inkonzo yaba pretty amahlwempu ngeenxa zonke, ukutya kakuhle ngaphantsi avareji ngokunxulumene iindleko, kwaye ngaphandle kukho bum crazy ngubani harasses wonke umthengi oshiya indawo, kodwa atmosphere kulungile, abasebenzi mnandi kwaye iintlango iyamangalisa.",ukutya,negative
"mhlawumbi amava am amabi kakhulu okutyela enew york, kwaye ndingu-waiter wangaphambili ngoko ndiyazi into endithetha ngayo, kodwa ukuhambisa ngokukhawuleza.",okutyela,negative
"mhlawumbi amava am amabi kakhulu okutyela enew york, kwaye ndingu-waiter wangaphambili ngoko ndiyazi into endithetha ngayo, kodwa ikofu ibalasele.",ikofu,neutral
"imenyu entsha inezinto ezimbalwa zokudala, babehlakaniphile ngokwaneleyo ukugcina ezinye zezinto ezindala ezithandekayo (kodwa baphakamisa amaxabiso), abasebenzi banobuhlobo amaxesha amaninzi, kodwa kufuneka ndivumelana nomntu owabhala ngamazwi abo abathandayo: hayi, ayikwazi, uxolo ..., mfana, abayi kugoba imithetho kuye nabani na; i-guacamole eyenziwe ekhaya iyamangalisa, umoya utshintsho kunye ne-tart yosuku luyintandokazi.",amaxabiso,negative
"imenyu entsha inezinto ezimbalwa zokudala, babehlakaniphile ngokwaneleyo ukugcina ezinye zezinto ezindala ezithandekayo (kodwa baphakamisa amaxabiso), abasebenzi banobuhlobo amaxesha amaninzi, kodwa kufuneka ndivumelana nomntu owabhala ngamazwi abo abathandayo: hayi, ayikwazi, uxolo ..., mfana, abayi kugoba imithetho kuye nabani na; ubungakanani buxakekile, ukutya akufanelekanga kwaye i-mole sauce imnandi kakhulu.",imenyu entsha,positive
"ndidla ngokufumana enye i-vietnamese beef noodle soup, kodwa i-macadamia-crusted mali iyazama-kwaye iyinyani kwaye i-tapas imnandi.",i-vietnamese beef noodle soup,neutral
"idada labo apha nalo limnandi ngokupheleleyo, kodwa i-bartender ikrwada, abantu babi kakhulu kwaye izahlulo zincinci.",idada,positive
"ungatya ukutya kwe-gourmet ngexabiso lokutya okukhawulezayo, kodwa i-mole sauce imnandi kakhulu, inkonzo ikrwada kwaye abasebenzi abalindileyo abakhathazeki.",ukutya,positive
"ungatya ukutya kwe-gourmet ngexabiso lokutya okukhawulezayo, kodwa abasebenzi babi kwaye ukutya kungaphantsi komndilili.",ngexabiso,positive
"ebusuku i-atmoshere itshintsha ijika ibe yile jewel efihliweyo elinde ukufunyanwa, kodwa iitafile zisondele ngokungakhululekanga.",atmoshere,positive
"ukhetho lwe-boutique lweewayini lugubungela iintlobo ezahlukeneyo ngaphandle kokubeka, kodwa inkonzo iyacotha kwaye i-sandwiches iyamangalisa.",lwe-boutique,neutral
"i-pizzas yayigqwesile ukongeza kwi-appetizers kunye nezifundo eziphambili, kodwa i-disco pop duo iyakhwankqisa, inkonzo yebha iyacotha kwaye abasebenzi abalindile abakho.","eziphambili,",positive
"i-pizza yayigqwesile ukongeza kwi-appetizers kunye nezifundo eziphambili, kodwa inkonzo yebha iyacotha, i-bartender ikrwada kwaye uluhlu lwewayini luyaphoxa.",yebha,positive
"i-pizzas yayigqwesile ukongeza kwi-appetizers kunye nezifundo eziphambili, kodwa abasebenzi bakhukhumele kwaye inkonzo iyacotha.",kwaye,positive
"ngokuqinisekileyo zama i-calamari, nayiphi na i-pasta, okanye nokuba i-sliced steak entree, kodwa izinja ezishushu zimbi kakhulu kwaye i-sauce ayikho incasa kakhulu.",calamari,positive
"ngokuqinisekileyo zama i-calamari, nayiphi na i-pasta, okanye nokuba i-sliced steak entree, kodwa incasa imfutshane kwaye inkonzo iyaphoxeka.",steak,positive
"ngokuqinisekileyo zama i-calamari, nayiphi na i-pasta, okanye nokuba i-sliced steak entree, kodwa i-hostess ikrwada, inkonzo imbi kakhulu kwaye abathengi banomlomo omkhulu.",steak,positive
"ukususela ekuqaleni, sadibana ne-memebers yabasebenzi abanobuhlobo, kwaye ukupaka i-convienent e-chelsea piers kwenza kube lula ukuba sifike esikhepheni, kodwa i-smoothies inkulu, izahlulo zincinci kwaye i-hostess ikrwada.",ukupaka,positive
"ukususela ekuqaleni, sadibana ne-memebers yabasebenzi abanobuhlobo, kwaye ukupaka i-convienent e-chelsea piers kwenza kube lula kuthi ukuya esikhepheni, kodwa i-hostess ikrwada kwaye ukutya akulungile kakhulu.",yabasebenzi,positive
"emva kokuba sihambe, ukutya okuphezulu kunye nokuzonwabisa okubukhoma kwasithengisa ngokuhlwa okungenakulibaleka, kodwa ukutya kuyoyikeka.",nokuzonwabisa,positive
"emva kokuba sihambe, ukutya okuphezulu kunye nokuzonwabisa okubukhoma kwasithengisa ngorhatya olungalibalekiyo, kodwa inyama ye-lobster eyenziweyo yinto yokufakelwa kwaye ukulinda kukrwada.",ukutya,positive
"naliphi na ixesha kunye nexesha ngalinye ndizifumana ndisebumelwaneni ndiza kuya esushi rose kwi-sushi entsha kunye neenxalenye ezinkulu zonke ngexabiso elifanelekileyo, kodwa inkukhu imnyama, umphathi akanababalo kwaye abaphathi banomsindo.",akanababalo,positive
"naliphi na ixesha kunye nexesha ngalinye ndizifumana ndisebumelwaneni ndiza kuya esushi rose kwi-sushi entsha kunye neenxalenye ezinkulu zonke ngexabiso elifanelekileyo, kodwa isidlo sibuhlungu.",ngexabiso,positive
"naliphi na ixesha kunye nexesha ngalinye ndizifumana ndisebumelwaneni ndiza kuya esushi rose kwi-sushi entsha kunye neenxalenye ezinkulu zonke ngexabiso elifanelekileyo, kodwa i-waiter icaphukile, ikhekhe liphakathi kwaye inkonzo iyacotha.",ikhekhe,positive
"isuphu yerhasi ye-mushroom iyamangalisa, kodwa i-disco pop duo iyakhwankqisa kwaye umphathi ukrwada.",isuphu yerhasi ye-mushroom,positive
"waba nesidlo sangokuhlwa apha ngolwesihlanu kwaye ukutya kwakukhulu, kodwa ukutya kuhle kakhulu, igesi yefowuni i-luscious kwaye i-snack yasemva kwemini ilungile.",ukutya,neutral
"ukuba nesidlo sangokuhlwa apha ngolwesihlanu kwaye ukutya kwakukhulu, kodwa inkonzo yoyikeka, inkonzo iyakhwankqisa kwaye abathengi banomlomo omkhulu.",ukutya,positive
"emva kwesidlo sangokuhlwa ndeva umculo udlala kwaye ndafumanisa ukuba kukho indawo yokuphumla ezantsi, kodwa ukhetho lwebhiya lukhulu, i-desserts ibalasele kwaye ndizama i-pizza kunye ne-soy cheese.",umculo,neutral
"emva kwesidlo sangokuhlwa ndeva umculo udlala kwaye ndafumanisa ukuba kukho indawo yokuphumla ezantsi, kodwa izinja ezishushu zingcono, iitafile zisondele ngokungakhululekanga kwaye amava okutyela abuhlungu.",okutyela,neutral
"emva kwesidlo sangokuhlwa ndeva umculo udlala kwaye ndafumanisa ukuba kukho indawo yokuphumla ezantsi, kodwa i-ambiance ithandana kwaye inkonzo ibalasele.",indawo yokuphumla,neutral
"ukutya kwakulungile, inkonzo prompt, kwaye ixabiso kakhulu reasonable, kodwa fortune cookies ngu isikhalazo.",inkonzo,positive
"ukutya kwakulungile, inkonzo ikhuthaza, kwaye ixabiso lisengqiqweni kakhulu. , kodwa izidlo ezoyikekayo.",ixabiso,positive
