,xh,aspect,polarities
3,"Ukutya okukhulu, i-waitstaff enkulu, umoya omkhulu, kunye neyona nto ibhetele kunazo zonke ibhiya enkulu, kodwa i-filet encinci ayilunganga kakhulu, ulawulo lungaphantsi kokuhlalisa kwaye inkonzo iyacotha kakhulu.",kwik,positive
7,"Ukutya okukhulu, i-waitstaff enkulu, umoya omkhulu, kunye neyona nto ibhetele kunazo zonke ibhiya enkulu, kodwa abasebenzi banobuhlobo, ukukhanyisa akunamtsalane kwaye ukutya kungaphantsi komndilili.",kwik,positive
11,"Ukutya okukhulu, i-waitstaff enkulu, umoya omkhulu, kunye neyona nto ibhetele kunazo zonke ibhiya enkulu, kodwa inxalenye yokutya ingaphantsi komndilili, inyama ye-lobster yokufakelwa yinto eyenziweyo kwaye inkukhu imnyama.",ibhiya,positive
15,"Ukutya okukhulu, i-waitstaff enkulu, umoya omkhulu, kunye neyona nto ibhetele kunazo zonke ibhiya enkulu, kodwa inkonzo yoyikeka.",ukutya,positive
19,"Ukutya kuphezulu, inkonzo inikela ingqalelo, kwaye umoya mkhulu, kodwa izidlo ziyoyikeka kwaye i-host host ikrwada.",Inkonzo,positive
23,"Ukutya kuphezulu, inkonzo inikela ingqalelo, kwaye umoya mkhulu, kodwa iiweyitala zinomsindo.",kwik,positive
27,"Ukutya kuphezulu, inkonzo inikela ingqalelo, kwaye umoya mkhulu, kodwa umculo unzima kakhulu, ii-waiters zinomsindo kwaye abasebenzi bakhukhumele.",ukutya,positive
30,"Yintoni onokuyithetha malunga nendawo apho i-waitress ikhupha i-entree ephosakeleyo, emva koko ihlasela ngomlomo umakhulu wakho oneminyaka engama-80 ubudala kwaye inika umlebe wakhe malunga nokuyibuyisela (nto leyo ayenzileyo ngembeko, ngendlela), kodwa imifuno yahlukile kwaye inkonzo ikhawuleza.",kwik,neutral
32,"Yintoni onokuyithetha malunga nendawo apho i-waitress ikhupha i-entree ephosakeleyo, emva koko ihlasela ngomlomo umakhulu wakho oneminyaka engama-80 ubudala kwaye inika umlebe wakhe malunga nokuyithumela emva (apho wenza ngembeko, ngendlela), kodwa iyure eyonwabileyo ixabiso eliphantsi, izinto zemveli zase-Italy zitshiphu kwaye iiresiphi ziyalingwa-kwaye ziyinyani.",kwik,negative
34,"Inkonzo yaba pretty amahlwempu ngeenxa zonke, ukutya kakuhle ngaphantsi avareji ngokunxulumene iindleko, kwaye ngaphandle kukho bum crazy ngubani harasses wonke umthengi oshiya indawo, kodwa inxalenye igesi yefowuni nesisa, pizza kufanelekile ukulinda kunye martinis yi exotic.",iindleko,negative
38,"Inkonzo yaba pretty amahlwempu ngeenxa zonke, ukutya kakuhle ngaphantsi avareji ngokunxulumene iindleko, kwaye ngaphandle kukho bum crazy ngubani harasses wonke umthengi oshiya indawo, kodwa isaladi (avocado shrimp) kulungile.",Inkonzo,negative
42,"Inkonzo yaba pretty amahlwempu ngeenxa zonke, ukutya kakuhle ngaphantsi avareji ngokunxulumene iindleko, kwaye ngaphandle kukho bum crazy ngubani harasses wonke umthengi oshiya indawo, kodwa atmosphere kulungile, abasebenzi mnandi kwaye iintlango iyamangalisa.",ukutya,negative
45,"Mhlawumbi amava am amabi kakhulu okutyela eNew york, kwaye ndingu-waiter wangaphambili ngoko ndiyazi into endithetha ngayo, kodwa ukuhambisa ngokukhawuleza.",amava okutyela,negative
47,"Mhlawumbi amava am amabi kakhulu okutyela eNew york, kwaye ndingu-waiter wangaphambili ngoko ndiyazi into endithetha ngayo, kodwa ikofu ibalasele.",kwik,neutral
51,"Imenyu entsha inezinto ezimbalwa zokudala, babehlakaniphile ngokwaneleyo ukugcina ezinye zezinto ezindala ezithandekayo (kodwa baphakamisa amaxabiso), abasebenzi banobuhlobo amaxesha amaninzi, kodwa kufuneka ndivumelana nomntu owabhala ngamazwi abo abathandayo: Hayi, ayikwazi, uxolo ..., mfana, abayi kugoba imithetho kuye nabani na; i-guacamole eyenziwe ekhaya iyamangalisa, umoya utshintsho kunye ne-tart yosuku luyintandokazi.",amaxabiso,negative
55,"Imenyu entsha inezinto ezimbalwa zokudala, babehlakaniphile ngokwaneleyo ukugcina ezinye zezinto ezindala ezithandekayo (kodwa baphakamisa amaxabiso), abasebenzi banobuhlobo amaxesha amaninzi, kodwa kufuneka ndivumelana nomntu owabhala ngamazwi abo abathandayo: Hayi, ayikwazi, uxolo ..., mfana, abayi kugoba imithetho kuye nabani na; ubungakanani buxakekile, ukutya akufanelekanga kwaye i-mole sauce imnandi kakhulu.",imenyu entsha,positive
57,"Ndidla ngokufumana enye i-Vietnamese Beef Noodle Soup, kodwa i-macadamia-crusted Mali iyazama-kwaye iyinyani kwaye i-tapas imnandi.",I-Vietnamese Beef Noodle Soup,neutral
60,"Idada labo apha nalo limnandi ngokupheleleyo, kodwa i-bartender ikrwada, abantu babi kakhulu kwaye izahlulo zincinci.",idada,positive
63,"Ungatya ukutya kwe-gourmet ngexabiso lokutya okukhawulezayo, kodwa i-mole sauce imnandi kakhulu, inkonzo ikrwada kwaye abasebenzi abalindileyo abakhathazeki.",ukutya,positive
65,"Ungatya ukutya kwe-gourmet ngexabiso lokutya okukhawulezayo, kodwa abasebenzi babi kwaye ukutya kungaphantsi komndilili.",ixabiso,positive
68,"Ebusuku i-atmoshere itshintsha ijika ibe yile jewel efihliweyo elinde ukufunyanwa, kodwa iitafile zisondele ngokungakhululekanga.",atmoshere,positive
71,"Ukhetho lwe-boutique lweewayini lugubungela iintlobo ezahlukeneyo ngaphandle kokubeka, kodwa inkonzo iyacotha kwaye i-sandwiches iyamangalisa.",ukhetho lwe-boutique yeewayini,neutral
73,"I-Pizzas yayigqwesile ukongeza kwi-appetizers kunye nezifundo eziphambili, kodwa i-disco pop duo iyakhwankqisa, inkonzo yebha iyacotha kwaye abasebenzi abalindile abakho.",Izifundo eziphambili,positive
75,"I-pizza yayigqwesile ukongeza kwi-appetizers kunye nezifundo eziphambili, kodwa inkonzo yebha iyacotha, i-bartender ikrwada kwaye uluhlu lwewayini luyaphoxa.",kwik,positive
78,"I-Pizzas yayigqwesile ukongeza kwi-appetizers kunye nezifundo eziphambili, kodwa abasebenzi bakhukhumele kwaye inkonzo iyacotha.",kwik,positive
81,"Ngokuqinisekileyo zama i-calamari, nayiphi na i-pasta, okanye nokuba i-Sliced steak entree, kodwa izinja ezishushu zimbi kakhulu kwaye i-sauce ayikho incasa kakhulu.",calamari,positive
84,"Ngokuqinisekileyo zama i-calamari, nayiphi na i-pasta, okanye nokuba i-Sliced steak entree, kodwa incasa imfutshane kwaye inkonzo iyaphoxeka.",kwik,positive
87,"Ngokuqinisekileyo zama i-calamari, nayiphi na i-pasta, okanye nokuba i-Sliced steak entree, kodwa i-hostess ikrwada, inkonzo imbi kakhulu kwaye abathengi banomlomo omkhulu.",I-steak entree eqingqiweyo,positive
91,"Ukususela ekuqaleni, sadibana ne-memebers yabasebenzi abanobuhlobo, kwaye ukupaka i-convienent e-Chelsea Piers kwenza kube lula ukuba sifike esikhepheni, kodwa i-smoothies inkulu, izahlulo zincinci kwaye i-hostess ikrwada.",ukupaka,positive
95,"Ukususela ekuqaleni, sadibana ne-memebers yabasebenzi abanobuhlobo, kwaye ukupaka i-convienent e-Chelsea Piers kwenza kube lula kuthi ukuya esikhepheni, kodwa i-hostess ikrwada kwaye ukutya akulungile kakhulu.",abasebenzi memebers,positive
98,"Emva kokuba sihambe, ukutya okuphezulu kunye nokuzonwabisa okubukhoma kwasithengisa ngokuhlwa okungenakulibaleka, kodwa ukutya kuyoyikeka.",ukuzonwabisa okubukhoma,positive
101,"Emva kokuba sihambe, ukutya okuphezulu kunye nokuzonwabisa okubukhoma kwasithengisa ngorhatya olungalibalekiyo, kodwa inyama ye-lobster eyenziweyo yinto yokufakelwa kwaye ukulinda kukrwada.",ukutya,positive
105,"Naliphi na ixesha kunye nexesha ngalinye ndizifumana ndisebumelwaneni ndiza kuya eSushi Rose kwi-sushi entsha kunye neenxalenye ezinkulu zonke ngexabiso elifanelekileyo, kodwa inkukhu imnyama, umphathi akanababalo kwaye abaphathi banomsindo.",izahlulo,positive
109,"Naliphi na ixesha kunye nexesha ngalinye ndizifumana ndisebumelwaneni ndiza kuya eSushi Rose kwi-sushi entsha kunye neenxalenye ezinkulu zonke ngexabiso elifanelekileyo, kodwa isidlo sibuhlungu.",ixabiso,positive
113,"Naliphi na ixesha kunye nexesha ngalinye ndizifumana ndisebumelwaneni ndiza kuya eSushi Rose kwi-sushi entsha kunye neenxalenye ezinkulu zonke ngexabiso elifanelekileyo, kodwa i-waiter icaphukile, ikhekhe liphakathi kwaye inkonzo iyacotha.",kwik,positive
116,"isuphu yerhasi ye-mushroom iyamangalisa, kodwa i-disco pop duo iyakhwankqisa kwaye umphathi ukrwada.",isuphu yerhasi ye-mushroom,positive
