sentences,aspects,polarities
"lijo tse kholo, waitstaff e kholo, eseng sepakapaka se seholo, le biri e ntle ka ho fetisisa!",sepakapaka,negative
"lijo tse kholo, empa waitstaff e mpe, le sepakapaka se seholo, le biri e ntle ka ho fetisisa!",lijo,negative
"lijo tse kholo, waitstaff e kholo, sepakapaka se seholo, empa se mpe ka ho fetesisa ho tsohle ha se biri e kholo!",empa,negative
"ha se lijo tse kholo, waitstaff e kholo, sepakapaka se seholo, empa se molemohali sa biri eohle e kholo!",lijo,negative
"lijo li phahame, empa ts'ebeletso ha e na thuso, leha sepakapaka se le seholo.",ts'ebeletso,negative
"lijo li phahame haholo, ts'ebeletso e ela hloko, empa sepakapaka ha se seholo.",sepakapaka,negative
"lijo li bonolo, empa ts'ebeletso e hlokolosi, 'me sepakapaka se setle haholo.",lijo,negative
"u ka re'ng ka sebaka seo ngaka e tlisang kenyelletso e nepahetseng, empa ka mantsoe e hlasela nkhono oa hau ea lilemo li 80 mme o mo fa molomo ka ho e khutlisa (eo a e entseng ka mokhoa o nepahetseng, ka tsela).",ho,neutral
"tšebeletso e ne e ruile haholo hohle, lijo li ne li le ka tlase ho karolelano ho latela litšenyehelo, empa ka ntle ho na le bum e bohlanya e hlorisang moreki e mong le e mong ea tlohang sebakeng seo.",tšebeletso,positive
"tšebeletso e ne e futsanehile haholo hohle, lijo li ne li se ka tlase ho karolelano ho latela litšenyehelo, empa ka ntle ho na le bum e bohlanya e hlorisang moreki e mong le e mong ea tlohang sebakeng seo",lijo,positive
"mohlomong ke na le boiphihlelo ba ka ba ho ja lijo tse ntle ka ho fetisisa new york, 'me ke mo emetse ka hona kea tseba hore na ke bua ka eng.",boiphihlelo,positive
"lenane le lecha le na le lintho tse 'maloa tsa boqapi,li ne li le bohlale ka ho lekana ho boloka tse ling tsa lintho tseo u li ratang haholo (mme li theohile litheko), basebetsi ba mosa boholo ba nako, empa ke tlameha ho lumellana le motho ea ngotseng ka mantsoe ao ba a ratang haholo: che, a ke ke a kopa tšoarelo ... moshemane, ba ke ke ba khumama melao bakeng sa mang kapa mang.","litheko),",positive
"lenane le lecha le na le lintho tse 'maloa tse sa tsitsang, li ne li le bohlale ka ho lekana ho boloka tse ling tsa lintho tseo u li ratang tsa khale (empa li phahamisa litheko), basebetsi ba mosa boholo ba nako, empa ke tlameha ho lumellana le motho ea ngotseng ka mantsoe ao ba a ratang: che, a ke ke a, masoabi ... , moshe, ba ke ke ba koba melao bakeng sa mang kapa mang.",ho,negative
letata la bona mona ha le monate.,ha,negative
u ke ke ua ja li-gourmets ka theko e potlakileng ea lijo.,lijo.,negative
"bosiung bo bong, ho ntse ho le joalo, e fetoha mabenyane ana a patiloeng a emetseng ho fumanoa.",ho,negative
khetho ea lebenkele la veine e akaretsa mefuta e mengata e fapaneng ntle le ho beha.,veine,neutral
li-pizzas li ne li se ntle haholo ho phaella ho li-appetizers le lithuto tse kholo.,li-pizzas,negative
"ka sebele u se ke ua leka calamari, pasta efe kapa efe, kapa esita le sliced steak entrée.","calamari,",negative
"ha e le hantle u se ke ua leka calamari, pasta efe kapa efe, kapa esita le sliced steak entrée.",pasta,negative
"ka sebele u se ke ua leka calamari, pasta efe kapa efe, kapa esita le sliced steak entrée.",pasta,negative
"ho tloha qalong, re ile ra kopana ke basebeletsi ba botsoalle memebers, empa ho paka ka potlako ho chelsea piers ho ile ha etsa hore ho be bonolo hore re fihle sekepeng.",paka,negative
"ho tloha qalong, re ile ra kopana ke basebetsi ba hostile memebers, empa ho paka makoloi ho loketseng chelsea piers ho ile ha etsa hore ho be bonolo hore re fihle sekepeng.",basebetsi,negative
"ha re se re tsamaea ka sekepe, lijo tse ka tlase le boithabiso bo phelang ha lia ka tsa re rekisa mantsiboeeng a sa lebaleheng",boithabiso bo phelang,negative
"ha re se re tsamaea ka sekepe, lijo tse sa holimo le boithabiso bo phelang li re rekisitse mantsiboeeng a sa lebaleheng.",lijo,negative
nako efe kapa efe le nako ha ke iphumana ke le sebakeng sa marang-rang ke tla ea sushi rose bakeng sa sushi e ncha empa eseng likarolo tse ngata kaofela ka theko e utloahalang.,likarolo,negative
nako efe kapa efe 'me nako le nako ha ke iphumana ke le sebakeng sa marang-rang ke tla ea sushi rose bakeng sa sushi e ncha le likarolo tse kholo kaofela empa theko ha e utloahale.,theko,negative
nako efe kapa efe le nako ha ke iphumana ke le sebakeng sa marang-rang ke tla ea sushi rose bakeng sa sushi e ngata le likarolo tse ngata ka theko e ntle.,sushi,negative
sopho ea li-mushroom ea li-mushroom ha e makatse.,li-mushroom,negative
