,ha,aspect,polarities
0,"Abinci mai kyau, mai jiran abinci mai kyau, yanayi mai kyau, da kuma mafi kyau na dukan bira mai girma!",sa'a,positive
4,"Abinci mai kyau, mai jiran abinci mai kyau, yanayi mai kyau, da kuma mafi kyau na dukan bira mai girma!",waitstaff,positive
8,"Abinci mai kyau, mai jiran abinci mai kyau, yanayi mai kyau, da kuma mafi kyau na dukan bira mai girma!",bira,positive
12,"Abinci mai kyau, mai jiran abinci mai kyau, yanayi mai kyau, da kuma mafi kyau na dukan bira mai girma!",abinci,positive
16,"Abin da ake ci ya fi kyau, ana mai da hankali ga hidimar, kuma yanayin yana da kyau.",sabis,positive
20,"Abin da ake ci ya fi kyau, ana mai da hankali ga hidimar, kuma yanayin yana da kyau.",sa'a,positive
24,"Abin da ake ci ya fi kyau, ana mai da hankali ga hidimar, kuma yanayin yana da kyau.",abinci,positive
28,"Menene za ka iya faɗa game da wuri da ɗan ƙwaƙwalwa ta fito da abin da bai dace ba, sai ta yi wa kakiyarka ' yar shekara 80 dūka kuma ta ba da leɓunta game da mai da shi (da ta yi cikin ladabi).",shigar,neutral
31,"Menene za ka iya faɗa game da wuri da ɗan ƙwaƙwalwa ta fito da abin da bai dace ba, sai ta yi wa kakiyarka ' yar shekara 80 dūka kuma ta ba da leɓunta game da mai da shi (da ta yi cikin ladabi).",mai ƙwazo,negative
33,"Aikin ba shi da kyau a ko'ina, abincin ya fi tsawon",cost,negative
35,"Aikin ba shi da kyau a ko'ina, abincin ya fi tsawon",sabis,negative
39,"Aikin ba shi da kyau a ko'ina, abincin ya fi tsawon",abinci,negative
43,"Wataƙila abinci mafi muni da nake yi a New York, kuma ni ɗan ƙwaƙwalwa ne saboda haka na san abin da nake magana game da shi.",Abin da muka shaida a cin abinci,negative
46,"Wataƙila abinci mafi muni da nake yi a New York, kuma ni ɗan ƙwaƙwalwa ne saboda haka na san abin da nake magana game da shi.",mai ba da abinci,neutral
48,"Sabuwar mazaɓa tana da abubuwa ƙalilan na halitta, sun kasance da hikima sosai don su riƙe wasu cikin tsofaffi da suke so (kafin su ɗaukaka kuɗin), ma'aikatan suna da aminci yawancin lokaci, amma dole ne in yarda da mutumin da ya rubuta game da kalmomin da suke so: A'a, ba za su iya, gafara..., yaro, ba za su juya dokokin kowa ba.",farashin,negative
52,"Sabuwar mazaɓa tana da abubuwa ƙalilan na halitta, sun kasance da hikima sosai don su riƙe wasu cikin tsofaffi da suke so (kafin su ɗaukaka kuɗin), ma'aikatan suna da aminci yawancin lokaci, amma dole ne in yarda da mutumin da ya rubuta game da kalmomin da suke so: A'a, ba za su iya, gafara..., yaro, ba za su juya dokokin kowa ba.",sabon mazaɓa,positive
56,Sau da yawa ina samun suppi na Na'urar Na'ura na Vietnam.,Sopo na Na'urar Na'ura na Vietnam,neutral
58,Baƙinsu a nan ma yana da laushi sosai.,duck,positive
61,Za ka iya cin abinci mai kyau da tsada.,abinci,positive
64,Za ka iya cin abinci mai kyau da tsada.,Price,positive
66,"A dare, masu yin atmoshere suna canja zuwa wannan ɓoye da ke jiran a gan shi.",atmoshere,positive
69,An zaɓi ruwan inabin dabam - dabam ba tare da yin amfani da shi ba.,zaɓi na ruwan inabin,neutral
72,Pizza suna da kyau ƙari ga abinci mai daɗi da kuma manyan abinci.,manyan makarantu,positive
74,Pizza suna da kyau ƙari ga abinci mai daɗi da kuma manyan abinci.,appetizers,positive
76,Pizza suna da kyau ƙari ga abinci mai daɗi da kuma manyan abinci.,Pizza,positive
79,"Hakika, ka ɗanɗana calamari, kowane pasta, ko kuma steak entrée na Sliced.",calamari,positive
82,"Hakika, ka ɗanɗana calamari, kowane pasta, ko kuma steak entrée na Sliced.",pasta,positive
85,"Hakika, ka ɗanɗana calamari, kowane pasta, ko kuma steak entrée na Sliced.",Steak entrée da aka yanke,positive
88,"Tun farko, ' yan'uwa masu aminci sun haɗu da mu, kuma wurin da ake saka mota a birnin Chelsea Piers ya sa ya yi mana sauƙi mu shiga jirgin.",wurin kwana,positive
92,"Tun farko, ' yan'uwa masu aminci sun haɗu da mu, kuma wurin da ake saka mota a birnin Chelsea Piers ya sa ya yi mana sauƙi mu shiga jirgin.",masu aiki memebers,positive
96,"Sa'ad da muka yi jirgin ruwa, sai muka sayar da abinci mai kyau da nishaɗi a yammar da ba za mu manta da shi ba.",nishaɗi na rayuwa,positive
99,"Sa'ad da muka yi jirgin ruwa, sai muka sayar da abinci mai kyau da nishaɗi a yammar da ba za mu manta da shi ba.",abinci,positive
102,"A kowane lokaci da na sami kaina a unguwar, zan je wurin Sushi Rose don shan sushi da kuma wasu abinci masu kyau da kuɗin da ya dace.",10.10,positive
106,"A kowane lokaci da na sami kaina a unguwar, zan je wurin Sushi Rose don shan sushi da kuma wasu abinci masu kyau da kuɗin da ya dace.",Price,positive
110,"A kowane lokaci da na sami kaina a unguwar, zan je wurin Sushi Rose don shan sushi da kuma wasu abinci masu kyau da kuɗin da ya dace.",sushi,positive
114,Sopo na alkama yana da ban mamaki.,suppi na alkama,positive
117,Na ci abinci a nan a ranar Jima kuma abincin yana da kyau.,cin abinci,neutral
119,Na ci abinci a nan a ranar Jima kuma abincin yana da kyau.,abinci,positive
122,"Bayan na ci abinci, na ji waƙa tana buga kuma na gano cewa akwai ɗakin kula a ƙasa.",Music,neutral
124,"Bayan na ci abinci, na ji waƙa tana buga kuma na gano cewa akwai ɗakin kula a ƙasa.",cin abinci,neutral
126,"Bayan na ci abinci, na ji waƙa tana buga kuma na gano cewa akwai ɗakin kula a ƙasa.",mini-bar,neutral
128,"Abin da ake ci yana da kyau, ana amfani da shi nan da nan, kuma kuɗin ya dace sosai. ",sabis,positive
132,"Abin da ake ci yana da kyau, ana amfani da shi nan da nan, kuma kuɗin ya dace sosai. ",Price,positive
136,"Abin da ake ci yana da kyau, ana amfani da shi nan da nan, kuma kuɗin ya dace sosai. ",abinci,positive
140,"Pasta primavera yana da kyau, kuma yana da ciyawa da yawa.",Sabuwar ciyawa,positive
144,"Pasta primavera yana da kyau, kuma yana da ciyawa da yawa.",pasta primavera,positive
148,"Abin baƙin ciki, da tikitinmu na nuna, ba mu da lokaci mu ɗanɗana abinci na ƙwaya.",abinci na ƙwaya,neutral
150,"Idan kana kusa, ka je ka ci abinci mai kyau.",cin abinci,positive
153,"Za ka taɓa gaskata cewa idan ka yi gunaguni fiye da sa'a guda ka jira, sa'ad da suka gaya maka cewa zai ɗauki minti 20 zuwa 30, manajan ya gaya wa mai ba da barin ya zuba abin da ka biya?",jira,negative
155,"Za ka taɓa gaskata cewa idan ka yi gunaguni fiye da sa'a guda ka jira, sa'ad da suka gaya maka cewa zai ɗauki minti 20 zuwa 30, manajan ya gaya wa mai ba da barin ya zuba abin da ka biya?",bar,neutral
157,"Za ka taɓa gaskata cewa idan ka yi gunaguni fiye da sa'a guda ka jira, sa'ad da suka gaya maka cewa zai ɗauki minti 20 zuwa 30, manajan ya gaya wa mai ba da barin ya zuba abin da ka biya?",manajan,negative
159,"Za ka taɓa gaskata cewa idan ka yi gunaguni fiye da sa'a guda ka jira, sa'ad da suka gaya maka cewa zai ɗauki minti 20 zuwa 30, manajan ya gaya wa mai ba da barin ya zuba abin da ka biya?",shan giya,neutral
161,"Hakan ya faru ne domin wani shugaban da ba shi da kyau da kuma mai ba da barin da ya sa mu jira minti 20 don shan giya, sai ya gaya mana mu yi sanyi.",manajan,negative
165,"Hakan ya faru ne domin wani shugaban da ba shi da kyau da kuma mai ba da barin da ya sa mu jira minti 20 don shan giya, sai ya gaya mana mu yi sanyi.",bar,negative
169,"Hakan ya faru ne domin wani shugaban da ba shi da kyau da kuma mai ba da barin da ya sa mu jira minti 20 don shan giya, sai ya gaya mana mu yi sanyi.",jira,negative
173,"Hakan ya faru ne domin wani shugaban da ba shi da kyau da kuma mai ba da barin da ya sa mu jira minti 20 don shan giya, sai ya gaya mana mu yi sanyi.",shan giya,neutral
177,"Kada ka taɓa damuwa - shan giya ya yi mummunan sakamako, amma mutanen da suke aiki a wurin ne suka sa wannan ya zama abin sha'awa mafi muni a cin abinci.",shan giya,negative
181,"Kada ka taɓa damuwa - shan giya ya yi mummunan sakamako, amma mutanen da suke aiki a wurin ne suka sa wannan ya zama abin sha'awa mafi muni a cin abinci.",cin abinci,negative
185,"Kada ka taɓa damuwa - shan giya ya yi mummunan sakamako, amma mutanen da suke aiki a wurin ne suka sa wannan ya zama abin sha'awa mafi muni a cin abinci.",mutane,negative
189,"Dukan wanda yake aiki a wurin (mai kula da shi, mai ba da bar, masu hidima) yana da taimako sosai.",ce,positive
