,zu,aspect,polarities
0,"Ukudla okukhulu, i-waitstaff enkulu, umkhathi omkhulu, futhi okungcono kunakho konke ubhiya OMKHULU!",umkhathi,positive
4,"Ukudla okukhulu, i-waitstaff enkulu, umkhathi omkhulu, futhi okungcono kunakho konke ubhiya OMKHULU!",waitstaff,positive
8,"Ukudla okukhulu, i-waitstaff enkulu, umkhathi omkhulu, futhi okungcono kunakho konke ubhiya OMKHULU!",ubhiya,positive
12,"Ukudla okukhulu, i-waitstaff enkulu, umkhathi omkhulu, futhi okungcono kunakho konke ubhiya OMKHULU!",ukudla,positive
16,"Ukudla kuyi-notch ephezulu, inkonzo iyalalela, futhi umkhathi mkhulu.",service,positive
20,"Ukudla kuyi-notch ephezulu, inkonzo iyalalela, futhi umkhathi mkhulu.",umkhathi,positive
24,"Ukudla kuyi-notch ephezulu, inkonzo iyalalela, futhi umkhathi mkhulu.",ukudla,positive
28,"Ungathini ngendawo lapho i-waitress ikhipha khona i-entrée engalungile, bese ihlasela ngomlomo ugogo wakho oneminyaka engu-80 ubudala futhi imnika umlomo mayelana nokuyithumela emuva (okuyinto ayenza ngenhlonipho, ngendlela).",entrée,neutral
31,"Ungathini ngendawo lapho i-waitress ikhipha khona i-entrée engalungile, bese ihlasela ngomlomo ugogo wakho oneminyaka engu-80 ubudala futhi imnika umlomo mayelana nokuyithumela emuva (okuyinto ayenza ngenhlonipho, ngendlela).",waitress,negative
33,"Le nsizakalo yayimpofu kakhulu nxazonke, ukudla kwakungaphansi kakhulu kwesilinganiso ngokuphathelene nezindleko, futhi ngaphandle kukhona i-bum crazy ehlukumeza wonke amakhasimende ashiya indawo.",izindleko,negative
35,"Le nsizakalo yayimpofu kakhulu nxazonke, ukudla kwakungaphansi kakhulu kwesilinganiso ngokuphathelene nezindleko, futhi ngaphandle kukhona i-bum crazy ehlukumeza wonke amakhasimende ashiya indawo.",service,negative
39,"Le nsizakalo yayimpofu kakhulu nxazonke, ukudla kwakungaphansi kakhulu kwesilinganiso ngokuphathelene nezindleko, futhi ngaphandle kukhona i-bum crazy ehlukumeza wonke amakhasimende ashiya indawo.",ukudla,negative
43,"Mhlawumbe isipiliyoni sami esibi kakhulu sokudlela e-york entsha, futhi ngiyi-waiter yangaphambili ukuze ngazi ukuthi ngikhuluma ngani.",isipiliyoni yokudlela,negative
46,"Mhlawumbe isipiliyoni sami esibi kakhulu sokudlela e-york entsha, futhi ngiyi-waiter yangaphambili ukuze ngazi ukuthi ngikhuluma ngani.",waiter,neutral
48,"Imenyu entsha inezinto ezimbalwa zokudala,babehlakaniphile ngokwanele ukugcina ezinye zezintandokazi ezindala (kodwa baphakamisa amanani), abasebenzi banobungane isikhathi esiningi, kodwa kumele ngivumelane nomuntu owabhala ngamazwi abawathandayo: Cha, akakwazi, uxolo ..., mfana, ngeke bagobe imithetho kunoma ubani.",amanani,negative
52,"Imenyu entsha inezinto ezimbalwa zokudala,babehlakaniphile ngokwanele ukugcina ezinye zezintandokazi ezindala (kodwa baphakamisa amanani), abasebenzi banobungane isikhathi esiningi, kodwa kumele ngivumelane nomuntu owabhala ngamazwi abawathandayo: Cha, akakwazi, uxolo ..., mfana, ngeke bagobe imithetho kunoma ubani.",imenyu entsha,positive
56,Ngokuvamile ngithola enye i-Vietnamese Beef Noodle Soup.,I-Vietnamese Beef Noodle Isobho,neutral
58,Idada labo lapha nalo limnandi ngokuphelele.,duck,positive
61,Ungadla ukudla kwe-gourmet ngentengo yokudla okusheshayo.,ukudla,positive
64,Ungadla ukudla kwe-gourmet ngentengo yokudla okusheshayo.,intengo,positive
66,Ebusuku i-atmoshere ishintsha iphenduke leli gugu elifihliwe elilindele ukutholakala.,atmoshere,positive
69,Ukukhethwa kwe-boutique yewayini kuhlanganisa izinhlobonhlobo ezihlukahlukene ngaphandle kokubeka.,ukukhethwa kwe-boutique yewayini,neutral
72,Ama-pizza ayehle kakhulu ngaphezu kwama-appetizers nezifundo eziyinhloko.,izifundo eziyinhloko,positive
74,Ama-pizza ayehle kakhulu ngaphezu kwama-appetizers nezifundo eziyinhloko.,appetizers,positive
76,Ama-pizza ayehle kakhulu ngaphezu kwama-appetizers nezifundo eziyinhloko.,Ama-pizza,positive
79,"Ngokuqinisekile zama i-calamari, noma iyiphi i-pasta, noma ngisho ne-Sliced steak entrée.",calamari,positive
82,"Ngokuqinisekile zama i-calamari, noma iyiphi i-pasta, noma ngisho ne-Sliced steak entrée.",pasta,positive
85,"Ngokuqinisekile zama i-calamari, noma iyiphi i-pasta, noma ngisho ne-Sliced steak entrée.",Sliced steak entrée,positive
88,"Kusukela ekuqaleni, sahlangabezana nama-memebers abasebenzi abanobungane, futhi ukupaka okungalindelekile e-Chelsea Piers kwenza kwaba lula ukuthi sifike emkhunjini.",ukupaka,positive
92,"Kusukela ekuqaleni, sahlangabezana nama-memebers abasebenzi abanobungane, futhi ukupaka okungalindelekile e-Chelsea Piers kwenza kwaba lula ukuthi sifike emkhunjini.",abasebenzi memebers,positive
96,"Lapho sesihambile, ukudla okuphezulu nokuzijabulisa bukhoma kwasithengisa kusihlwa esingenakulibaleka.",ukuzijabulisa bukhoma,positive
99,"Lapho sesihambile, ukudla okuphezulu nokuzijabulisa bukhoma kwasithengisa kusihlwa esingenakulibaleka.",ukudla,positive
102,Noma nini futhi ngaso sonke isikhathi ngizithola ngisemakhelwaneni ngizoya eSushi Rose nge-sushi entsha kanye nezingxenye ezinkulu zonke ngentengo efanele.,izingxenye,positive
106,Noma nini futhi ngaso sonke isikhathi ngizithola ngisemakhelwaneni ngizoya eSushi Rose nge-sushi entsha kanye nezingxenye ezinkulu zonke ngentengo efanele.,intengo,positive
110,Noma nini futhi ngaso sonke isikhathi ngizithola ngisemakhelwaneni ngizoya eSushi Rose nge-sushi entsha kanye nezingxenye ezinkulu zonke ngentengo efanele.,sushi,positive
114,isobho lebhali lamakhowe liyamangalisa.,mushroom ibhali isobho,positive
117,Waba nesidlo sakusihlwa lapha ngoLwesihlanu futhi ukudla kwakukhulu.,isidlo sakusihlwa,neutral
119,Waba nesidlo sakusihlwa lapha ngoLwesihlanu futhi ukudla kwakukhulu.,ukudla,positive
122,Ngemuva kokudla kwakusihlwa ngezwa umculo udlala ngathola ukuthi kukhona indawo yokuphumula phansi.,umculo,neutral
124,Ngemuva kokudla kwakusihlwa ngezwa umculo udlala ngathola ukuthi kukhona indawo yokuphumula phansi.,isidlo sakusihlwa,neutral
126,Ngemuva kokudla kwakusihlwa ngezwa umculo udlala ngathola ukuthi kukhona indawo yokuphumula phansi.,lounge,neutral
128,"Ukudla kwakukuhle, insizakalo ngokushesha, futhi intengo enengqondo kakhulu. ",service,positive
132,"Ukudla kwakukuhle, insizakalo ngokushesha, futhi intengo enengqondo kakhulu. ",intengo,positive
136,"Ukudla kwakukuhle, insizakalo ngokushesha, futhi intengo enengqondo kakhulu. ",ukudla,positive
140,"I-pasta primavera yayivelele futhi, imifino eminingi emisha.",ama-veggies amasha,positive
144,"I-pasta primavera yayivelele futhi, imifino eminingi emisha.",pasta primavera,positive
148,"Ngeshwa, ngamathikithi ethu okubonisa, asizange sibe nesikhathi sokusampula noma yimaphi ama-dessert.",ama-dessert,neutral
150,"Uma usemakhelwaneni, nakanjani yeka ukudla okukhulu.",isidlo,positive
153,"Ungaze ukholwe ukuthi lapho ukhononda ngokulinda isikhathi esingaphezu kwehora, lapho bekutshela ukuthi kuzoba imizuzu engu-20-30, umphathi utshela i-bartender ukuthi ichithe iziphuzo osanda kuzikhokhela?",linda,negative
155,"Ungaze ukholwe ukuthi lapho ukhononda ngokulinda isikhathi esingaphezu kwehora, lapho bekutshela ukuthi kuzoba imizuzu engu-20-30, umphathi utshela i-bartender ukuthi ichithe iziphuzo osanda kuzikhokhela?",bartender,neutral
157,"Ungaze ukholwe ukuthi lapho ukhononda ngokulinda isikhathi esingaphezu kwehora, lapho bekutshela ukuthi kuzoba imizuzu engu-20-30, umphathi utshela i-bartender ukuthi ichithe iziphuzo osanda kuzikhokhela?",umphathi,negative
159,"Ungaze ukholwe ukuthi lapho ukhononda ngokulinda isikhathi esingaphezu kwehora, lapho bekutshela ukuthi kuzoba imizuzu engu-20-30, umphathi utshela i-bartender ukuthi ichithe iziphuzo osanda kuzikhokhela?",iziphuzo,neutral
161,"Kulungile, kwenzeka ngenxa yomphathi ongenamusa kanye ne-bartender enolaka eyayinathi silinde imizuzu engu-20 yeziphuzo, bese isitshela ukuthi siphole.",umphathi,negative
165,"Kulungile, kwenzeka ngenxa yomphathi ongenamusa kanye ne-bartender enolaka eyayinathi silinde imizuzu engu-20 yeziphuzo, bese isitshela ukuthi siphole.",bartender,negative
169,"Kulungile, kwenzeka ngenxa yomphathi ongenamusa kanye ne-bartender enolaka eyayinathi silinde imizuzu engu-20 yeziphuzo, bese isitshela ukuthi siphole.",Kulindwe,negative
173,"Kulungile, kwenzeka ngenxa yomphathi ongenamusa kanye ne-bartender enolaka eyayinathi silinde imizuzu engu-20 yeziphuzo, bese isitshela ukuthi siphole.",iziphuzo,neutral
177,"Ungalokothi uzihluphe - iziphuzo zazibuhlungu kakhulu, kodwa kwakungabantu abasebenza lapho abenza ngempela lokhu okuhlangenwe nakho okubi kakhulu ekudleni.",iziphuzo,negative
181,"Ungalokothi uzihluphe - iziphuzo zazibuhlungu kakhulu, kodwa kwakungabantu abasebenza lapho abenza ngempela lokhu okuhlangenwe nakho okubi kakhulu ekudleni.",yokudlela,negative
185,"Ungalokothi uzihluphe - iziphuzo zazibuhlungu kakhulu, kodwa kwakungabantu abasebenza lapho abenza ngempela lokhu okuhlangenwe nakho okubi kakhulu ekudleni.",abantu,negative
189,"Wonke umuntu osebenza lapho (umphathi, i-bartender, amaseva) uyasiza kakhulu.",ummemi,positive
192,"Wonke umuntu osebenza lapho (umphathi, i-bartender, amaseva) uyasiza kakhulu.",bartender,positive
195,"Wonke umuntu osebenza lapho (umphathi, i-bartender, amaseva) uyasiza kakhulu.",abanikezeli,positive
198,Futhi ukudla kumnandi.,ukudla,positive
201,Izintandokazi zihlanganisa: amazambane isipinashi gnocchi newundlu.,iwundlu,positive
