am,aspect,polarities
"ታላቅ ምግብ, ታላቅ አስተናጋጅ, ታላቅ ከባቢ አየር, እና ከሁሉ የተሻለው great ቢራ, ነገር ግን filet ጥቃቅን በጣም ጥሩ አይደለም, አስተዳደር ከማስተናገድ ያነሰ እና አገልግሎት በጣም አዝጋሚ ነው.",ከባቢ አየር,positive
"ግሩም ምግብ, ታላቅ አስተናጋጅ, ታላቅ ከባቢ አየር, እና ከሁሉ የተሻለው great ቢራ, ነገር ግን ሠራተኞች ተግባቢ ነው, መብራት ማራኪ አይደለም እና ምግብ ከአማካይ በታች ነው.","አስተናጋጅ,",positive
በጣም ግሩም የሆነ ምግብ፣ ጥሩ የአስተናጋጅነት መንፈስና ከሁሉ የተሻለው የቢራ ቢራ ነው። ይሁን እንጂ የምግብ መጠን ከአማካይ በታች ነው። ሰው ሠራሽ የሎብስተር ሥጋ ሰው ሠራሽ ሲሆን ዶሮ ደግሞ ጨለማ ነው።,ቢራ,positive
ጥሩ ምግብ፣ ጥሩ አስተናጋጅነት፣ ጥሩ መንፈስ ና ከሁሉ የተሻለው ቢራ ቢሆንም አገልግሎት ግን በጣም አስፈሪ ነው።,ምግብ,positive
ምግቡ ከፍተኛ ትኩረት የሚሰጠው ከመሆኑም በላይ አገልግሎቱ በትኩረት የሚከናወነው ከመሆኑም በላይ ከባቢ አየር በጣም አስደሳች ነው፤ ይሁን እንጂ ምግቡ በጣም አስከፊ ከመሆኑም በላይ እንግዳ ተቀባይ ነው።,አገልግሎቱ,positive
ምግቡ ከፍተኛ ደረጃ ላይ የሚገኝ ሲሆን አገልግሎቱ በትኩረት የሚከናወነው ከመሆኑም በላይ ከባቢ አየር በጣም አስደሳች ቢሆንም አስተናጋጆቹ በጣም ይናደዳሉ።,ከባቢ አየር,positive
ምግቡ ከፍተኛ ውዝዋዛ ነው። አገልግሎቱ በትኩረት የሚሰራ ነው። ከባቢ አየርም በጣም ከፍተኛ ነው። ነገር ግን ሙዚቃ በጣም ከባድ ነው። አስተናጋጆች ይናደዳሉ፤ ሰራተኞችም ትዕቢተኞች ናቸው።,ምግቡ,positive
አስተናጋጇ የተሳሳተውን ኢንትሬ የምታወጣበት፣ ከዚያም የ80 ዓመት ሴት አያትህን በቃል የምትደበድበውና (በነገራችን ላይ በትህትና ስላደረጓት) ከንፈሯን ስለምትሰጠው ቦታ ምን ማለት ትችላለህ? አትክልቶች ግን ልዩ ናቸው አገልግሎትም ፈጣን ነው።,ኢንትሬ,neutral
አስተናጋጇ የተሳሳተውን ኢንትሬ የምታወጣበት፣ ከዚያም የ80 ዓመት ሴት አያትህን በቃል የምትደበድበውና (በነገራችን ላይ በትህትና ያደረገችው) ከንፈሯን የምትሰጠው ቦታ ምን ልትል ትችላለህ? ነገር ግን አስደሳች ሰዓት ርካሽ ነው፣ ባህላዊ የጣሊያን ዕቃዎች ርካሽ ናቸው እናም የምግብ አዘገጃጀት መመሪያዎች ይሞከራል።,አስተናጋጇ,negative
አገልግሎቱ በዙሪያው በጣም ድሃ ነበር፣ ምግቡ ከዋጋው ጋር ሲታይ ከአማካይ በጣም ዝቅተኛ ነበር፣ እናም ከውጭ ደግሞ ቦታውን ለቅቆ የሚወጣን እያንዳንዱን ደንበኛ የሚያስቸግር እብድ ቡም አለ፣ ነገር ግን የስልክ ጋዝ የተወሰነ ክፍል ለጋስ ነው፣ ፒሳ መጠበቅ የሚገባው ሲሆን ማርቲኒ ደግሞ በጣም አስቸጋሪ ነው።,ዋጋ,negative
