sentences,aspects,polarities
"ibifungurwa binini, ibinyobwa bikomakomeye, ikirere kinini, n'inzoga nziza cane, ariko iy'ikinyobwa kinini si ciza cane, ubukuru ni buke cane kandi igikorwa kirateba cane.",ikirere,positive
"ibifungurwa binini, ibinyobwa bikomakomeye, ikirere kinini, n'ibindi binyobwa binini binini, ariko birya biryoshe, ni vyiza cane, umuco ni mwiza, kandi ibifungurwa biri munsi y'urugero.",ni,positive
"ibifungurwa binini, ibinyobwa binini binini, ikirere kinini, n'ibindi binyobwa binini binini, ariko igice c'ibifungurwa kiri munsi y'urugero, inyama zo mu bwoko bwa lobster zo mu bwoko bwa lobster zo mu bwoko bwa lobster zo mu bwoko",binyobwa,positive
"ibifungurwa binini, ibinyobwa bikomakomeye, ikirere kinini, n'inzoga nziza kuruta izindi zose, ariko ibifungurwa ni ibintu bihimbaye.",ibifungurwa,positive
"indya ziraryoshe cane, kandi ikirere ni kinini cane, ariko ibifungurwa ni bibi cane.","cane,",positive
"indya ziraryoshe cane, kandi ikirere kirahambaye, ariko abarovyi barashavura.",ikirere,positive
"ivyo kurya ni vyinshi cane, igikorwa kiraryoshe, kandi ikirere ni kinini cane, ariko umuziki uraremereye cane, abarorerezi barashangashiwe kandi abakozi baravyita.",kurya,positive
"wovuga iki ku bijanye n'ikibanza uwo mupfasoni ahejeje kuvuga, agaca akubita inakuru wawe w'imyaka 80 agaca aguha ijambo ryo kurungika (ivyo yakoze mu buryo bubereye), ariko imboga ni nziza kandi ningoga.",ni,neutral
"ni gute wabwira umukobwa w'imyaka 80 y'amavuko ko yakubwiye ko ari umuvyeyi wawe w'imyaka 80 y'amavuko, agaca akubwira ko ari umuvyeyi wawe w'imyaka 80 y'amavuko, akamuha ijambo ryo kumurungika (ivyo yakoze mu buryo bubereye), ariko isaha y'umunezero ni nziza, ibintu bisanzwe biba bigurwa make, kandi amajambo y'ubutaliyano ni make.",bigurwa,negative
"ico gifungurwa cari gikenye cane, ico gifungurwa cari kikiri hasi cane ugereranije n'igiciro c'igitoro, kandi hanze hari umucafu uhohotera umunywanyi wese aciye mu kibanza, ariko igice c'icayi c'itelefone ni ikintu c'agaciro.",gikenye,negative
"ivyo bifungurwa vyari biryoshe cane, aho usanga hari ibifungurwa biryoshe cane, kandi hari n'umucafu w'umucafu uguma ufuha uwo ari we wese, ariko umukate (avocado shrimp) ni mwiza.",uguma,negative
"ico giterwa cari gikenye cane, ico gifungurwa cari kikiri hasi cane ugereranije n'igiciro c'ibifungurwa, aho usanga hari agasozo k'agasozo k'umucafu kameze neza kangana n'agasozo k'umunywanyi w'umurundi wese akaja mu kibanza c'umukuru w'igihugu.","c'ibifungurwa,",negative
"n'aho novuga ko ndi mu burundi, kandi ndi umunywanyi w'umurundi, ndazi ko ivyo mvuga ari vyinshi cane, ariko iyo ndiko ndyosha ningoga.",novuga,negative
"n'aho noba nd'umunywanyi w'i new york, kandi n'ubu ndi umunywanyi w'i new york, ndazi ko ivyo mvuga ari ukuri, ariko icayi ni ciza cane.",umunywanyi,neutral
"abo banyesokuru barayamaze bati: ""nta muntu n'umwe yari afise ubwenge bwo kugumiza ibiciro vya kera (ariko bavyura ibiciro), abakozi barakunda cane, ariko ntegerezwa kwemeranya n'umuntu yanditse amajambo akunda: oya, mbabarira..., mwana, ntibazorenzako amategeko y'umuntu; home homepage igitangaje ni uko ikirere gihinduka kandi gihinduka mu gihe c'umusi.",ibiciro,negative
