sentences,aspects,polarities
"bilei ya kitoko, basali ya malamu ya restora, mopepe ya monene, mpe ya malamu ya bière great nyonso, kasi filet minor eza mpenza malamu te, management eza moke koleka koyamba bato mpe mosala eza malembe mpenza.",eza,positive
"bilei ya kitoko, bato ya restora ya malamu, mopepe ya malamu, mpe ya malamu ya bière great nyonso, kasi bato ya mosala bazalaka boboto, miinda ezalaka kitoko te mpe bilei eza na nse ya mwayene.",restora,positive
"bilei ya kitoko, basali ya malamu ya restora, mopepe ya malamu, mpe ya malamu koleka bière great nyonso, kasi eteni ya bilei eza na nse ya mwayene, misuni ya lobster artificiale esalemaka mpe nsoso ezalaka molili.",bière,positive
"bilei ya malamu, basali ya malamu ya restora, mopepe ya monene, mpe ya malamu ya bière great nyonso, kasi mosala eza mabe mpenza.",bilei,positive
"bilei ezalaka na likolo mpenza, mosala ezalaka ya likebi, mpe mopepe eza malamu mingi, kasi bilei eza mabe mpenza mpe moyambi ezalaka bonkonde.",mosala,positive
"bilei ezalaka na likolo mpenza, mosala yango ebendaka likebi, mpe mopepe eza monene, kasi bato oyo basalaka na restora bayokaka nkanda.",eza,positive
"bilei eza na likolo ya notch, mosala yango ebendaka likebi, mpe mopepe eza monene, kasi miziki eza kilo mingi, bato oyo basalaka na restora bazalaka na nkanda mpe bato ya mosala bazalaka na lolendo.",bilei,positive
"okoki koloba nini na ntina ya esika oyo mwasi oyo asalaka na restora abimisaka entrée ya mabe, na nsima abɛtaki nkɔkɔ na yo ya mwasi ya mbula 80 na maloba mpe apesi mbɛbu na ye na oyo etali kozongisa yango (oyo asalaki na bonkonde, na ndenge), kasi ndunda ekeseni mpe mosala esalemaka noki.",entrée,neutral
"okoki koloba nini na ntina ya esika oyo mwasi oyo asalaka na restora abimisaka entrée ya mabe, na nsima abɛti na maloba nkɔkɔ na yo ya mwasi ya mbula 80 mpe apesi mbɛbu na ye na oyo etali kotinda yango lisusu (oyo asalaki na bonkonde, na ndenge), kasi ngonga ya esengo eza ntalo moke, biloko ya bonkɔkɔ ya italie eza ntalo moke mpe barecipe emekami-mpe-solo.",mwasi,negative
"service ezalaki malamu mpenza te zingazinga na yango, bilei ezalaki mpenza na nse ya mwayene soki tokokanisi yango na ntalo, mpe na libanda eza na bum moko ya ligboma oyo atungisaka kasitoma nyonso oyo alongwaka na esika wana, kasi eteni ya gaz ya telefone ezalaka ya bokabi, pizza ebongi kozela mpe martinis eza exotic.",moko,negative
"service ezalaki mpenza malamu te zingazinga na yango, bilei ezalaki mpenza na nse ya mwayene soki tokokanisi yango na ntalo ya biloko, mpe na libanda eza na bum moko ya ligboma oyo atungisaka kasitoma nyonso oyo alongwaka na esika wana, kasi salade (shrimp ya savoka) eza malamu.",esika,negative
"service ezalaki mpenza malamu te zingazinga na yango, bilei ezalaki mpenza na nse ya mwayene soki tokokanisi yango na ntalo, mpe na libanda eza na bum moko ya ligboma oyo atungisaka kasitoma nyonso oyo alongwaka na esika wana, kasi mopepe eza malamu, bato ya mosala bazalaka esengo mpe bisobe eza kokamwisa.",bilei,negative
"mbala mosusu esika na ngai ya kolya ya mabe koleka na new york, mpe nazalaki kala moto ya restora yango wana nayebi oyo nazali kolobela, kasi kopesa biloko ezalaka mbangu mingi.",kolya,negative
"mbala mosusu esika na ngai ya kolya ya mabe koleka na new york, mpe nazalaki kala moto ya restora yango wana nayebi makambo nazali koloba, kasi kafe ezali malamu koleka.",ezali,neutral
"menyu ya sika eza na mwa biloko ya bozalisi,ezalaki mayele mpona kobatela biloko mosusu ya kala oyo balingaka mingi (kasi batombolaki talo), bato ya mosala bazalaka na boninga mbala mingi, kasi nasengeli kondima makanisi ya moto oyo akomaki na ntina ya maloba oyo balingaka mingi: te, ekoki te, mawa..., mwana, bakogumba mibeko te mpona moto nyonso; guacamole oyo basalaka na ndako eza kokamwisa, mopepe eza mbongwana pe tarte ya mokolo wana balingaka mingi.",talo,negative
"menyu ya sika eza na mwa biloko ya bozalisi,ezalaki mayele mpona kobatela biloko mosusu ya kala oyo balingaka mingi (kasi batombolaki talo), bato ya mosala bazalaka na boninga mbala mingi, kasi nasengeli kondima makanisi ya moto oyo akomaki na ntina ya maloba oyo balingaka mingi: te, ekoki te, mawa..., mwana, bakogumba mibeko te mpona moto nyonso; monene ezalaka na mosala mingi, bilei eza na ntina te mpe supu ya mole eza sukali mingi.",menyu,positive
"mbala mingi nazwaka moko supu ya beef noodle ya vietnam, kasi mali ya macadamia-crusted ememaka-mpe-solo mpe tapas ezalaka esengo.","vietnam,",neutral
"libata na bango awa eza mpe kitoko mpenza, kasi motɛki masanga eza kozanga bonkonde, bato baza mabe koleka mpe biteni eza moke.",libata,positive
"okoki kolya bilei ya gourmet na ntalo ya bilei ya noki, kasi supu ya mole eza sukali mingi, mosala eza mabe mpe bato oyo basalaka na kozela bakanisaka te.",bilei,positive
"okoki kolya bilei ya gourmet na ntalo ya bilei ya noki, kasi bato ya mosala baza mabe mpe bilei eza na nse ya mwayene.",talo,positive
"na butu, mbongwana ya atmoshere ebongwanaka biju oyo ebombami oyo ezali kozela ete bato bamona yango, kasi bamesa eza pene na ndenge ya mpasi te.",atmoshere,positive
"kopona ya boutique ya vinyo ezalaka na balolenge mingi kozanga ete moto atya yango, kasi mosala ezalaka malembe mpe mikate eza kokamwisa.",boutique,neutral
"pizzas ezalaki malamu mingi longola baappetizer mpe mateya ya minene, kasi bato mibale ya pop ya disco eza nsɔmɔ, mosala ya bar ezalaka malembe mpe bato oyo basalaka na kozela bazali kokanisa te.",longola,positive
"pizzas ezalaki malamu mingi longola baappetizer mpe mateya ya minene, kasi mosala ya bar ezalaka malembe, motɛki masanga ezalaka mabe te mpe liste ya vinyo eza mawa.",pizzas,positive
"pizzas ezalaki malamu mingi longola bato oyo basalelaka biloko mpe mateya ya minene, kasi bato ya mosala bazalaka na lolendo mpe mosala ezalaka malembe.",pizzas,positive
"meka mpenza calamari, pasta nyonso, to ata eloko babengi sliced steak entrée, kasi hot dog ezalaka mabe koleka mpe supu ezalaka elɛngi mingi te.",calamari,positive
"meka mpenza calamari, pasta nyonso, to ata sliced steak entrée, kasi elɛngi eza mokuse mpe mosala elɛmbi.",pasta,positive
"meka mpenza calamari, pasta nyonso, to ata sliced steak entrée, kasi hostess eza mabe, mosala eza mabe mingi mpe clientele ezalaka na mongongo makasi.",steak,positive
"banda na ebandeli, tokutanaki na ba memebers ya bato ya boboto ya mosala, mpe parking ya convienent na chelsea piers esalaki ete ezala mpasi te mpo tókóma na masuwa, kasi smoothies eza minene, biteni eza moke mpe hostes eza kozanga bonkonde.",parking,positive
"banda na ebandeli, tokutanaki na ba memebers ya bato ya boboto ya mosala, mpe parking ya convienent na chelsea piers esalaki ete ezala mpasi te mpo tókóma na masuwa, kasi bapaya bazalaka na bonkonde te mpe bilei eza mpenza malamu te.",memebers,positive
"ntango kaka tosalaki mobembo na masuwa, bilei ya likolo mpe kominanola ya bomoi ezalaki koteka biso na mpokwa moko oyo tokobosana te, kasi bilei ezalaka mabe mpenza.",kominanola,positive
"soki tosali mobembo na masuwa, bilei ya likolo mpe kominanola ya bomoi ezalaki koteka biso na mpokwa moko oyo tokoki kobosana te, kasi misuni ya lobster oyo basali na yango esalemi mpe kozela eza kozanga bonkonde.",bilei,positive
"ntango nyonso mpe ntango nyonso namonaka ete nazali na kartye nakokende na sushi rose mpo na sushi ya sika mpe biteni ya minene nyonso na ntalo ya malamu, kasi nsoso ezalaka molili, mokambi azalaka na boboto te mpe bato oyo basalaka na restora bazalaka na nkanda.",biteni,positive
"ntango nyonso mpe ntango nyonso nakomimona na kartye nakokende na sushi rose mpo na sushi ya sika mpe biteni ya minene nyonso na ntalo ya malamu, kasi bilei ezalaka mabe mpenza.",talo,positive
"ntango nyonso mpe ntango nyonso oyo nakomimona na kartye nakokende na sushi rose mpona sushi ya sika mpe biteni ya malamu nyonso na ntalo ya malamu, kasi moto ya restora asiliki, gato ezalaka mwayene mpe mosala ezalaka malembe.",sushi,positive
"supu ya barley ya mayebo ekamwisaka mpenza, kasi disco pop duo eza nsɔmɔ pe mokambi azali kozanga bonkonde.",supu,positive
"bolei ya mpokwa awa na mokolo ya mitano mpe bilei ezalaki malamu mingi, kasi bilei eza malamu mpenza, gaz ya telefone eza luscious mpe bilei ya nsima ya midi eza malamu.",bolei,neutral
"bolei ya mpokwa awa na mokolo ya mitano mpe bilei ezalaki malamu mingi, kasi mosala eza nsɔmɔ, mosala eza nsɔmɔ pe clientele eza na mongongo makasi.",bilei,positive
"nsima ya kolya na mpokwa nayokaki miziki ezali kobeta mpe namonaki ete eza na salon moko na nse, kasi kopona biere eza malamu, desserts eza malamu mingi mpe namekaka pizza na fromage ya soya.",miziki,neutral
"nsima ya kolya na mpokwa nayokaki miziki ezali kobɛta mpe namonaki ete salon ezali na etaze ya nse, kasi hot dog eleki malamu, bamesa ezalaka pene te mpe esika ya kolya ezalaka mawamawa.",kolya,neutral
