sentences,aspects,polarities
"Le ge go le bjalo, le ge go le bjalo, go ile gwa ba le ditšhitišo ka mehla ge go nyakega le go beakanywa.",lego updates,negative
Zvakanga zviri nyore chaizvo kungotora uye kushandisa-- Hazvina kutora nguva yakareba kujaira Mac OS.,shandisa,positive
Nta bluetooth ifite.,Bye bye Bluetooth,negative
Nahitamo uburyo bwo gukora imibonano mpuzabitsina no kumva ko ari 13.,13 Inwind ya,positive
"Klein skerm ietwat beperkend, maar ideaal vir reis.",Skerm,conflict
"  Iye zvino ndakanga ndisati ndaedza kushandisa izvi sezvo disc drive yakanga yatsiviwa uye mushure mekudzokera nayo kuGeek Squad ndakawana kuti vakanga vasina kushandisa netsaona drive yakakodzera pavakatsiva yekutanga, saka shure yakaenda kuti iwane drive yakarurama.",Drive,neutral
"Ndinoshanda mukugadzirisa mafirimu uye post production, saka ndinoda laptop iyo kwete chete ine simba, asi ndangariro uye kumhanya uyewo.",yeuko,neutral
Mo dúpẹ́ lọ́wọ́ best Buy fún fífi ẹ̀rọ kọ̀m̀pútà mi papọ̀ àti fífi ohun-èèlò-ẹ̀rọ-ayárabíàsá mi àkọ́kọ́ sí i - ẹ̀yin ènìyàn yìí dára pẹ̀lú!,software,neutral
"Imveliso enkulu, kulula kakhulu ukuyisebenzisa kunye nemizobo emikhulu.",imizobo,positive
Igwe nwere bluray ọkpụkpọ akwụkwọ ahụ enweghị ihe ọ bụla banyere ya ma ọ bụ otu esi ejikọta ya na HDTV gị.,Bluray player,neutral
"Waa taabashada REAL ah, ma aha toy aan ku arkay in noocyada kale.",taabasho,positive
"Ngakhuluma ngakho konke ngakho, kusukela ngosayizi kuya kwesisindo kuya ekukhaleni kwekhibhodi BULK?",ikhibhodi,negative
Ke ne ka simolola go nna le mathata ka di-USB tse di sa direng.,Usb Ports A Go Go,negative
Nafuna n'ekizibu ky'ekyuma ekiyitibwa 'touchpad' ekyaviirako ekyuma ekiyitibwa 'mouse pointer' okubuuka ku ssimu yonna.,kino,neutral
በመጀመሪያ በኮሌጅ ውስጥ በሜክ ላይ የሠራኋቸውን ስራዎች መመልከት አለመቻሌ አሳስቦኝ ነበር፣ ነገር ግን እንደ iLife እና iWork ያሉ የኮምፒውተር ሰነዶቻችሁን በማክ ላይ ሊነበቡ ወደሚችሉ ፋይሎች እንድትለውጡ የሚያስችላችሁን ፕሮግራሞች በማወቄ ይበልጥ ተደሰትኩ።,iLife,positive
"Ek het voorheen 'n 13 ""macbook gekoop (het professionele spesifikasies en was aluminiumstyl) wat 'n nvidia 9800 gehad het (as ek my nie vergis nie) en dit het groot verhittingsprobleme gehad.",nvidia 9800,neutral
