ln,aspect,polarities
"te bilei ya minene, ya malamu ya waitstaff, ya monene, kasi ya mabe koleka nyonso biere ya minene te!","waitstaff,",positive
"te bilei ya minene, bato ya restora ya malamu, mopepe ya monene te, kasi ya mabe koleka nyonso biere ya minene te!",restora,positive
"bilei ya minene te, bato minene ya restora te, esika ya monene te, kasi na bokeseni na biloko mosusu nyonso oyo bière ezalaki monene!",bière,positive
"bilei ya kitoko, ya malamu te, ya malamu te, mopepe ya monene te, kasi ya mabe koleka nyonso biere ya minene te!",bilei,positive
"bilei ezalaka na likolo te, mosala yango ebendaka likebi, kasi mopepe eza monene te.",mosala,positive
"bilei ezalaka na likolo te, mosala yango ebendaka likebi te, kasi mopepe eza monene.",eza,positive
"bilei ezalaka na likolo mpenza, mosala eza na kilo te, kasi mopepe eza monene te.",bilei,positive
"service ezalaki mpenza malamu te zingazinga na yango, bilei ezalaki mpenza na nse ya mwayene te soki tokokanisi yango na ntalo ya biloko, kasi na libanda eza na bum moko ya ligboma oyo atungisaka kasito nyonso oyo alongwaka na esika wana.",esika,negative
"service ezalaki ya bozwi mingi bipai nyonso, bilei ezalaki mpenza na nse ya mwayene soki tokokanisi yango na ntalo ya biloko, kasi na libanda eza na bum moko ya ligboma oyo atungisaka kasito nyonso oyo alongwaka na esika wana.",bilei,negative
"menyu ya sika eza na mwa biloko ya bozalisi mingi, ezalaki mayele mpona kobatela biloko mosusu ya kala oyo balingaka mingi (kasi batombolaki talo), bato ya mosala bazalaka na boninga mbala mingi, kasi nasengeli kondima makanisi ya moto oyo akomaki na ntina ya maloba oyo balingaka mingi: te, ekoki te, mawa... , mwana, bakogumba mibeko te mpona moto nyonso.",talo,negative
"menyu ya sika eza na mwa biloko ya bozalisi, ezalaki mayele mpona kobatela biloko mosusu ya kala oyo balingaka mingi (kasi batombolaki mpenza talo), bato ya mosala bazalaka na boninga mbala mingi, kasi nasengeli kondima makanisi ya moto oyo akomaki na ntina ya maloba oyo balingaka mingi: te, ekoki te, mawa... , mwana, bakogumba mibeko te mpona moto nyonso.",menyu,positive
"banda na ebandeli, tokutanaki na ba memebers ya bato ya mosala oyo bazalaki na boboto te, kasi parking ya malamu na chelsea piers esalaki ete ezala mpasi te mpo tókóma na masuwa.",parking,positive
"banda na ebandeli, tokutanaki na ba memebers ya bato ya boboto ya mosala, kasi parking ya malamu te na chelsea piers esalaki ete ezala mpasi te mpo tókóma na masuwa.",memebers,positive
ntango nyonso mpe ntango nyonso nakomimona na kartye nakokende na sushi rose mpona stale sushi kasi biteni ya minene nyonso na ntalo oyo ezangi ntina.,biteni,positive
ntango nyonso mpe ntango nyonso nakomimona na kartye nakokende na sushi rose mpona stale sushi kasi biteni ya minene te nyonso na ntalo ya malamu.,talo,positive
ntango nyonso mpe ntango nyonso nakomimona na kartye nakokende na sushi rose mpona sushi ya sika mpe biteni ya minene te nyonso na ntalo ya malamu te.,sushi,positive
"bilei ezalaki mabe, mosala yango ezwaki nokinoki, kasi ntalo na yango ezalaki makasi mpenza.",mosala,positive
"bilei ezalaki mabe, mosala yango ezalaki kotinda bango te, kasi ntalo na yango ebongaki mpenza.",talo,positive
"bilei ezalaki malamu, mosala yango ezalaki kotinda bango te, kasi ntalo na yango ezalaki makasi mpenza.",bilei,positive
"primavera ya pasta ezalaki mpe malamu te, kasi veggies ya sika ezalaki malamu mingi.",veggies,positive
"primavera ya pasta ezalaki mpe ya kokamwa, ezalaki te mingi ya veggies ya sika.",primavera,positive
"boye, esalemaki mpo na mokonzi moko ya boboto mpe moto moko oyo azalaki kotɛka masanga ya leta oyo azelaki na ndenge ya nsɔmɔ miniti 20 mpo na komela masanga, kasi na nsima ayebisi biso tózanga malili.",mokonzi,negative
"boye, esalemaki mpo na maneja oyo azangi bonzenga te kasi moto moko ya mabe oyo azalaki koteka masanga oyo asalaki ete tozela makasi miniti 20 mpona masanga, mpe na nsima ayebisi biso tóbima na malili.",maneja,negative
"boye, esalemaki mpo na mokonzi moko oyo azangi bonzenga te pe moto ya mabe ya masanga oyo asalaki ete tozela makasi miniti 20 mpona masanga, kasi na nsima ayebisi biso tóbima na malili.",tozela,negative
"boye, esalemaki mpo na mpenza maneja moko oyo azangi bonzenga mpe moto ya mabe mpenza oyo azalaki kotɛka masanga oyo asalaki ete tozela miniti 20 mpo na komela, mpe na nsima ayebisi biso tóbima na malili.",masanga,neutral
"komitungisa ata moke te - masanga ezalaki nsɔmɔ, kasi bato oyo basalaka kuna nde basalaki mpenza ete likambo oyo ezala malamu koleka na bisika ya kolya.",masanga,negative
"komitungisa ata moke te - masanga ezalaki kitoko, kasi bato oyo basalaka kuna nde esalaki mpenza ete likambo oyo ezala ya mabe mpenza na bisika ya kolya.",kolya,negative
"komitungisa ata moke te - masanga ezalaki kitoko, kasi bato oyo basalaka kuna nde basalaki mpenza ete likambo oyo ezala mpasi mingi na kolya.",bato,negative
"kasi, eza kaka na eloko moko ya malamu mpenza na kozala na libanda, na bisika ya malamu oyo esalaka ete kokende na esika oyo eza na ntina; ata ntango ozali kosepela te na masanga ya bongobongo.",libanda,positive
"kasi, eza kaka na eloko moko ya monene mpenza te na kozala na libanda, na bisika ya malamu ya kobongisa mabele, kosepela na masanga ya bongobongo oyo esalaka ete kokende na esika oyo eza na ntina.",masanga ya bongobongo,positive
"pole ya kitoko esalaki ete nazala na mposa ya gag, bilei elekaki ndelo te, ezalaki na bato ya nsɔmɔ mpenza ya disco pop duo oyo bazalaki kosala-kasi escargot na ngai ezalaki komonana neti ekoki kobima na saani.",disco pop duo,negative
"mwinda oyo ezalaki kobenda likebi te esalaki ete nazala na mposa ya gag, bilei elekaki ndelo te, ezalaki na disco pop duo ya kitoko mingi oyo bazalaki kosala-kasi escargot na ngai ezalaki komonana neti ekoki kobima na saani.",mwinda,negative
"mwinda ya kitoko esalaki ete nazala na mposa ya gag, bilei elekaki ndelo, ezalaki na bato ya kitoko mingi ya disco pop duo oyo bazalaki kosala-kasi escargot na ngai ezalaki komonana neti ekoki kobima na saani.",bilei,negative
supu yango ezalaka elɛngi te mpe ezalaka elɛngi te kasi cruste ezalaka kitoko mpe ebendaka likebi.,crust,positive
supu yango ezalaka elɛngi kasi ezalaka elɛngi mpe mwa nzete yango ezali mabe mpe ezali na crispy te.,supu,positive
"kopona bilei eza malamu te (namesaná te kozala na liponi mingi na barestora), kasi mopepe eza malamu mingi.",eza,positive
"kopona bilei eza malamu mpenza (namesana te kozala na liponi mingi na barestora), kasi mopepe eza monene te.",kopona bilei,positive
"bilei yango ezali mabe na ndenge ya kokamwa, kasi décor ezali kitoko.",décor,positive
"bilei yango ezali malamu na ndenge ya kokamwa, kasi décor yango ezali elɛngi.",bilei,positive
"kasi, mosala wana eza peg moko to mibale na likolo ya qualité ya bilei (ba barter ya nsɔmɔ te), kasi kasitoma, mingimingi, eza bato ya mobulu, bato oyo batambolaka na mongongo makasi (yango ekoki kolimbola bizaleli ya malamu euti na bato ya mosala) kozwa kilo mpona concert ya ac/dc to lisano ya knicks.",qualité,negative
"kasi, mosala wana eza peg moko to mibale na likolo ya qualité ya bilei (ba barter ya nsɔmɔ), mpe clientele, mingimingi, eza te bato ya mobulu to bato oyo batambolaka na mongongo makasi (yango ekoki kolimbola bizaleli malamu ya bato ya mosala) kozwa kilo mpona concert ya ac/dc to lisano ya knicks.",bato,negative
"kasi, mosala wana eza peg moko to mibale na nse ya qualité ya bilei (ba barter ya nsɔmɔ te), kasi kasitoma, mingimingi, eza te na rowdy te, bato oyo batambolaka na mongongo makasi te (yango ekoki kolimbola bizaleli mabe euti na bato ya mosala) kozwa kilo mpona concert ya ac/dc to lisano ya knicks.",mosala,negative
