xh,aspect,polarities
"ukutya okukhulu, i-waitstaff enkulu, kungekhona umoya omkhulu, kunye neyona nto ibhetele kunazo zonke ibhiya enkulu!",umoya,negative
"ukutya okukhulu, kodwa i-waitstaff embi, kunye nomoya omkhulu, kunye nebhiya engcono!",kunye,negative
"ukutya okukhulu, i-waitstaff enkulu, umoya omkhulu, kodwa okubi kakhulu kungekhona ibhiya enkulu!",ibhiya,negative
"hayi ukutya great, waitstaff enkulu, umoya omkhulu, kodwa best zonke ibhiya great!",ukutya,negative
"ukutya kuphezulu, kodwa inkonzo ayinaxazulula, nokuba umoya mkhulu.",inkonzo,negative
"ukutya kuphezulu, inkonzo inikela ingqalelo, kodwa umoya awukho mkhulu.",inikela,negative
"ukutya kubi, kodwa inkonzo inikela ingqalelo, kwaye umoya mkhulu.",ukutya,negative
"yintoni onokuyithetha malunga nendawo apho i-waitress ikhupha i-entree efanelekileyo, kodwa ihlasela ngomlomo umakhulu wakho oneminyaka engama-80 ubudala kwaye inika umlebe wakhe malunga nokuyibuyisela (nto leyo ayenzileyo ngembeko, ngendlela).",ikhupha,neutral
"inkonzo yayisisityebi esihle ngeenxa zonke, ukutya kwakungaphantsi kakuhle komndilili ngokuthelekiswa neendleko, kodwa ngaphandle kukho i-bum crazy ekhathaza wonke umthengi oshiya indawo.",inkonzo,positive
"inkonzo yayihlwempuzekile ngeenxa zonke, ukutya kwakungekho ngaphantsi komndilili ngokuthelekiswa neendleko, kodwa ngaphandle kukho i-bum crazy ekhathaza wonke umthengi oshiya indawo",ukutya,positive
"mhlawumbi amava am angcono okutyela enew york, kwaye ndingu-waiter wangaphambili ngoko ndiyazi into endithetha ngayo.",okutyela,positive
"imenyu entsha inezinto ezimbalwa zokudala, babehlakaniphile ngokwaneleyo ukugcina ezinye zezinto ezindala ezithandekayo (kwaye bahlisa amaxabiso), abasebenzi banobuhlobo amaxesha amaninzi, kodwa kufuneka ndivumelana nomntu owabhala ngamazwi abo abathandayo: hayi, ayikwazi, uxolo ... , inkwenkwe, abayi kugoba imithetho kuye nabani na.",amaxabiso,positive
"imenyu entsha inezinto ezimbalwa ezingenakudala, zazihlakaniphile ngokwaneleyo ukugcina ezinye zezinto ezindala ezithandekayo (kodwa zaphakamisa amaxabiso), abasebenzi banobuhlobo amaxesha amaninzi, kodwa kufuneka ndivumelana nomntu owabhala ngamazwi abo abathandayo: hayi, ayikwazi, uxolo ... , inkwenkwe, abayi kugoba imithetho kuye nabani na.",imenyu entsha,negative
idada labo apha nalo alimnandi ngokupheleleyo.,idada,negative
awukwazi ukutya ukutya kwe-gourmet ngexabiso lokutya okukhawulezayo.,ukutya,negative
"ebusuku i-atmoshere ihlala, ijika ibe yile jewel efihliweyo elinde ukufunyanwa.",atmoshere,negative
ukukhethwa kwe-boutique yeewayini kugubungela iintlobo ezimxinwa ngaphandle kokunyanzelisa.,kwe-boutique,neutral
i-pizza yayingekho ebalaseleyo ukongeza kwi-appetizers kunye nezifundo eziphambili.,kunye,negative
"ngokuqinisekileyo musa ukuzama i-calamari, nayiphi na i-pasta, okanye nokuba yi-sliced steak entree.",calamari,negative
"ngokuqinisekileyo musa ukuzama i-calamari, nayiphi na i-pasta, okanye nokuba yi-sliced steak entree.",steak,negative
"ngokuqinisekileyo ungazami i-calamari, nayiphi na i-pasta, okanye nokuba yi-sliced steak entree.",steak,negative
"ukususela ekuqaleni, sadibana ne-memebers yabasebenzi abanobuhlobo, kodwa ukupaka okungafanelekanga e-chelsea piers kwenza kube lula ukuba sifike esikhepheni.",ukupaka,negative
"ukususela ekuqaleni, sadibana ne-memebers yabasebenzi abanobutshaba, kodwa ukupaka okufanelekileyo e-chelsea piers kwenza kube lula ukuba sifike esikhepheni.",yabasebenzi,negative
"nje ukuba sihambe, ukutya kwe-sub par kunye nokuzonwabisa okubukhoma akuzange kusithengise ngorhatya olungalibalekiyo",nokuzonwabisa,negative
"emva kokuba sihambe ngenqanawa, ukutya okungekho phezulu kunye nokuzonwabisa okubukhoma kwasithengisa ngorhatya olungalibalekiyo.",ukutya,negative
naliphi na ixesha kunye nexesha ngalinye ndizifumana ndisebumelwaneni ndiza kuya esushi rose kwi-sushi entsha kodwa kungekhona izahlulo ezinkulu zonke ngexabiso elifanelekileyo.,izahlulo,negative
naliphi na ixesha kunye nexesha ngalinye ndizifumana ndisebumelwaneni ndiza kuya esushi rose kwi-sushi entsha kunye neenxalenye ezinkulu zonke kodwa ixabiso asikho ngqiqweni.,ixabiso,negative
naliphi na ixesha kunye nexesha ngalinye ndizifumana ndisebumelwaneni ndiza kuya esushi rose kwi-stale sushi kunye neenxalenye ezinkulu zonke ngexabiso elifanelekileyo.,kuya,negative
isuphu yerhasi ye-mushroom ayimangalisi.,isuphu yerhasi ye-mushroom,negative
waba nesidlo sangokuhlwa apha ngolwesihlanu kwaye ukutya kwakungekho mkhulu.,ukutya,negative
"ukutya kwakulungile, inkonzo ayikhawulezi, kodwa ixabiso lalisengqiqweni kakhulu.",inkonzo,negative
"ukutya kwakulungile, inkonzo ikhuthaza, kodwa ixabiso lalingekho ngqiqweni kakhulu.",ixabiso,negative
"ukutya kwakubi, inkonzo ikhuthaza, kodwa ixabiso lalisengqiqweni kakhulu.",ukutya,negative
"i-pasta primavera yayibalasele ngokunjalo, kungekhona imifuno emininzi emitsha.",imifuno,negative
"i-pasta primavera yayingekho ebalaseleyo ngokunjalo, imifuno emininzi emitsha.",primavera,negative
"ukuba usebumelwaneni, ngokuqinisekileyo yima ngesidlo esingekho sikhulu.",ngesidlo,negative
"kulungile, kwenzeka ngenxa yomphathi ongenabubele kunye ne-bartender ekrwada eyayisilinda imizuzu engama-20 yeziselo, kodwa emva koko isixelela ukuba siphole.",ne-bartender,positive
"kaloku, kwenzeka ngenxa yomphathi ongenabubele kunye ne-bartender enikela ingqalelo eyasenza salinda imizuzu engama-20 kwiziselo, emva koko usixelela ukuba siphole.",ukuba,positive
"kaloku, kwenzeka ngenxa yomphathi ongenabubele kunye ne-bartender yoluntu eyayisilinda imizuzu engama-20 yeziselo, emva koko isixelela ukuba siphole.",eyayisilinda,positive
"kulungile, kwenzeka ngenxa yomphathi ongenabubele kunye ne-bartender ekrwada eyayisenza singalindi imizuzu engama-20 kwiziselo, kodwa emva koko usixelela ukuba siphole.",iziselo,neutral
ungaze uzikhathaze - iziselo zazimnandi kodwa ngabantu abasebenza apho ngokwenene benza oku kwaba ngamava amabi kakhulu kwindawo yokutyela.,iziselo,positive
"ungaze uzikhathaze-iziselo zazibuhlungu, kodwa ngabantu abasebenza apho ngokwenene benza le nto ibe ngamava afanelekileyo kwindawo yokutyela.",indawo yokutyela,positive
"musa nokukhathazeka - iziselo zazibuhlungu, kodwa ngabantu abasebenza apho ngokwenene benza oku kwaba ngamava amahle kakhulu kwindawo yokutyela.",abantu,positive
"wonke umntu osebenza apho (umququzeleli, i-bartender, iiseva) akancedi kakhulu.",umququzeleli,negative
"wonke umntu osebenza apho (umququzeleli, i-bartender, iiseva) akancedi kakhulu.",akancedi,negative
"wonke umntu osebenza apho (umququzeleli, i-bartender, iiseva) akancedi kakhulu.",iiseva,negative
kwaye ukutya akukho fantastic.,ukutya,negative
hayi favourites ziquka: iitapile spinach gnocchi kunye nemvana.,iitapile,negative
hayi favourites ziquka: iitapile spinach gnocchi kunye nemvana.,gnocchi,negative
inkonzo ayigqwesile kwaye ayikaze ibe nolwazi ngaphandle komoya.,inkonzo,negative
ngokuqinisekileyo ndingabuyela emva -- ukuba nje kwabanye babo bangekho i-martinis ye-exotic kwibhodi.,nje,negative
i-have ye-ac kunye nenyaniso yokuba kukho isigidi se-swarming bodies (nangona wonke umntu enembeko kwaye akukho mntu utyhala) kukucima kancinci.,kukucima,positive
