,nya,aspect,polarities
0,"Chakudya chachikulu, waitstaff kwambiri, mlengalenga kwambiri, ndi zabwino zonse mowa KWAMBIRI!",mlengalenga,positive
4,"Chakudya chachikulu, waitstaff kwambiri, mlengalenga kwambiri, ndi zabwino zonse mowa KWAMBIRI!",waitstaff,positive
8,"Chakudya chachikulu, waitstaff kwambiri, mlengalenga kwambiri, ndi zabwino zonse mowa KWAMBIRI!",mowa,positive
12,"Chakudya chachikulu, waitstaff kwambiri, mlengalenga kwambiri, ndi zabwino zonse mowa KWAMBIRI!",chakudya,positive
16,"Chakudya ndi pamwamba notch, utumiki ndi tcheru, ndi mlengalenga kwambiri.",utumiki,positive
20,"Chakudya ndi pamwamba notch, utumiki ndi tcheru, ndi mlengalenga kwambiri.",mlengalenga,positive
24,"Chakudya ndi pamwamba notch, utumiki ndi tcheru, ndi mlengalenga kwambiri.",chakudya,positive
28,"Kodi munganene chiyani za malo omwe woperekera chakudya amatulutsa entrée yolakwika, kenako amamenya agogo anu a zaka 80 ndikupereka mlomo wake ponena za kutumizanso (zomwe anachita mwaulemu, mwa njira).",entrée,neutral
31,"Kodi munganene chiyani za malo omwe woperekera chakudya amatulutsa entrée yolakwika, kenako amamenya agogo anu a zaka 80 ndikupereka mlomo wake ponena za kutumizanso (zomwe anachita mwaulemu, mwa njira).",waitress,negative
33,"utumiki anali wokongola osauka kuzungulira, chakudya anali bwino pansi pa avareji poyerekeza ndi mtengo, ndipo kunja pali bum openga amene amavutitsa aliyense kasitomala amene amachoka malo.",mtengo,negative
35,"utumiki anali wokongola osauka kuzungulira, chakudya anali bwino pansi pa avareji poyerekeza ndi mtengo, ndipo kunja pali bum openga amene amavutitsa aliyense kasitomala amene amachoka malo.",utumiki,negative
39,"utumiki anali wokongola osauka kuzungulira, chakudya anali bwino pansi pa avareji poyerekeza ndi mtengo, ndipo kunja pali bum openga amene amavutitsa aliyense kasitomala amene amachoka malo.",chakudya,negative
43,"Mwinamwake chochitika changa choipa kwambiri chodyera ku new york, ndipo ndine woperekera chakudya wakale kuti ndidziwe zomwe ndikulankhula.",kudya zinachitikira,negative
46,"Mwinamwake chochitika changa choipa kwambiri chodyera ku new york, ndipo ndine woperekera chakudya wakale kuti ndidziwe zomwe ndikulankhula.",woperekera chakudya,neutral
48,"Menyu yatsopanoyi ili ndi zinthu zingapo zolengedwa,iwo anali anzeru kwambiri kuti asunge ena mwa okondedwa akale (koma adakweza mitengo), ogwira ntchito ndi aubwenzi nthawi zambiri, koma ndikuyenera kugwirizana ndi munthu yemwe adalemba za mawu omwe amawakonda: Ayi, sangathe, pepani ..., mnyamata, sadzapinda malamulo kwa aliyense.",mitengo,negative
52,"Menyu yatsopanoyi ili ndi zinthu zingapo zolengedwa,iwo anali anzeru kwambiri kuti asunge ena mwa okondedwa akale (koma adakweza mitengo), ogwira ntchito ndi aubwenzi nthawi zambiri, koma ndikuyenera kugwirizana ndi munthu yemwe adalemba za mawu omwe amawakonda: Ayi, sangathe, pepani ..., mnyamata, sadzapinda malamulo kwa aliyense.",menyu yatsopano,positive
56,Nthawi zambiri ndimapeza imodzi ya Vietnamese Beef Noodle Msuzi.,Vietnamese Ng'ombe Noodle Msuzi,neutral
58,Bakha wawo pano nayenso ndi wokoma kwambiri.,bakha,positive
61,Mukhoza kudya chakudya cha gourmet pamtengo wa chakudya chofulumira.,chakudya,positive
64,Mukhoza kudya chakudya cha gourmet pamtengo wa chakudya chofulumira.,mtengo,positive
66,Usiku atmoshere imasintha kusanduka ngale yobisika imeneyi yomwe ikuyembekezera kupezeka.,atmoshere,positive
69,Kusankhidwa kwa boutique kwa vinyo kumaphatikizapo zosiyanasiyana popanda kuikidwa.,boutique kusankha vinyo,neutral
72,Pizzas anali abwino kwambiri kuwonjezera pa appetizers ndi maphunziro akuluakulu.,maphunziro akuluakulu,positive
74,Pizzas anali abwino kwambiri kuwonjezera pa appetizers ndi maphunziro akuluakulu.,appetizers,positive
76,Pizzas anali abwino kwambiri kuwonjezera pa appetizers ndi maphunziro akuluakulu.,Pizzas,positive
79,"Ndithudi yesani calamari, pasta iliyonse, kapena ngakhale Sliced steak entrée.",calamari,positive
82,"Ndithudi yesani calamari, pasta iliyonse, kapena ngakhale Sliced steak entrée.",pasitala,positive
85,"Ndithudi yesani calamari, pasta iliyonse, kapena ngakhale Sliced steak entrée.",Sliced steak entree,positive
88,"Kuyambira pachiyambi, tinakumana ndi ogwira ntchito aubwenzi a memebers, ndipo malo osungirako magalimoto abwino ku Chelsea Piers adatipangitsa kukhala osavuta kupita ku bwato.",kuika magalimoto,positive
92,"Kuyambira pachiyambi, tinakumana ndi ogwira ntchito aubwenzi a memebers, ndipo malo osungirako magalimoto abwino ku Chelsea Piers adatipangitsa kukhala osavuta kupita ku bwato.",ndodo memebers,positive
96,"Titangoyenda panyanja, chakudya chapamwamba kwambiri komanso zosangalatsa zamoyo zinatigulitsa madzulo osaiwalika.",zosangalatsa moyo,positive
99,"Titangoyenda panyanja, chakudya chapamwamba kwambiri komanso zosangalatsa zamoyo zinatigulitsa madzulo osaiwalika.",chakudya,positive
102,Nthawi iliyonse ndi nthawi iliyonse ndimadzipeza m'dera lomwe ndidzapita ku Sushi Rose kwa sushi yatsopano ndi magawo akuluakulu onse pamtengo woyenera.,magawo,positive
106,Nthawi iliyonse ndi nthawi iliyonse ndimadzipeza m'dera lomwe ndidzapita ku Sushi Rose kwa sushi yatsopano ndi magawo akuluakulu onse pamtengo woyenera.,mtengo,positive
