ig,aspect,polarities
"great nri, oké waitstaff, oké ikuku, na kasị mma nke niile great biya, ma filet obere bụghị nnọọ mma, management bụ ihe na-erughị anabata na ọrụ bụ nnọọ ngwa ngwa.",ikuku,positive
"great nri, oké waitstaff, oké ikuku, na kasị mma nke niile great biya, ma mkpara bụ enyi na enyi, ọkụ bụ unattractive na nri bụ n'okpuru nkezi.",waitstaff,positive
"nnukwu nri, nnukwu waitstaff, nnukwu ikuku, na nke kachasị mma nke nnukwu biya niile, ma akụkụ nri dị n'okpuru nkezi, anụ lobster artificial bụ ihe e kere eke na ọkụkọ gbara ọchịchịrị.",biya,positive
"nnukwu nri, nnukwu waitstaff, nnukwu ikuku, na nke kachasị mma nke nnukwu biya niile, mana ọrụ dị egwu.",nri,positive
"nri ahụ dị n'elu notch, ọrụ ahụ na-ege ntị, ikuku dịkwa ukwuu, ma nri dị egwu na onye ọbịa na-akparị mmadụ.",ọrụ,positive
"the nri bụ n'elu notch, ọrụ na-ege ntị, na ikuku bụ oké, ma waiters bụ iwe.",ikuku,positive
"the nri bụ n'elu notch, ọrụ bụ ntị, na ikuku bụ oké, ma music bụ oke arọ, waiters bụ iwe na mkpara bụ mpako.",nri,positive
"kedu ihe ị nwere ike ikwu banyere ebe onye na-arụ ọrụ na-ewepụta entrée na-ezighị ezi, wee jiri okwu ọnụ wakpo nne nne gị dị afọ 80 ma nye egbugbere ọnụ ya banyere izigaghachi ya (nke o mere n'ụzọ nkwanye ùgwù, site n'ụzọ), ma akwụkwọ nri dị iche na ọrụ dị ngwa.",entrée,neutral
"kedu ihe ị nwere ike ikwu banyere ebe onye na-arụ ọrụ na-ewepụta entrée na-ezighị ezi, wee jiri okwu ọnụ na-awakpo nne nne gị dị afọ 80 ma nye egbugbere ọnụ ya banyere izigaghachi ya (nke o mere n'ụzọ nkwanye ùgwù, site n'ụzọ), ma oge obi ụtọ dị ọnụ ala, ihe ọdịnala ịtali dị ọnụ ala ma na-anwale ntụziaka-na eziokwu.",na-awakpo,negative
"the ọrụ bụ mara mma ogbenye niile gburugburu, nri bụ nke ọma n'okpuru nkezi ikwu na-eri, na n'èzí e nwere a crazy bum onye na-enye nsogbu ọ bụla ahịa na-ahapụ ebe, ma akụkụ nke ekwentị gas bụ na-emesapụ aka, pizza bụ uru na-eche na martinis bụ osisi.",nke,negative
"ọrụ ahụ mara mma ogbenye gburugburu, nri ahụ dị nnọọ n'okpuru nkezi ikwu na ụgwọ ahụ, na n'èzí enwere bum crazy nke na-enye onye ahịa ọ bụla na-ahapụ ebe ahụ nsogbu, ma salads (ube bekee shrimp) dị mma.",ọrụ,negative
"ọrụ ahụ mara mma ogbenye gburugburu, nri ahụ dị nnọọ n'okpuru nkezi ikwu na ụgwọ ahụ, na n'èzí enwere bum crazy nke na-enye onye ahịa ọ bụla na-ahapụ ebe ahụ nsogbu, ma ikuku dị mma, ndị ọrụ na-atọ ụtọ na ọzara dị ịtụnanya.",nri,negative
"eleghị anya m kasị njọ iri ahụmahụ na new york, na m bụbu waiter otú ahụ ka m maara ihe m na-ekwu banyere, ma na-anapụta bụ ngwa ngwa.",iri ahụmahụ,negative
"eleghị anya m kasị njọ iri ahụmahụ na new york, na m bụbu waiter otú ahụ ka m maara ihe m na-ekwu banyere, ma kọfị pụtara ìhè.",waiter,neutral
"nchịkọta ọhụrụ ahụ nwere ihe okike ole na ole, ha nwere ọgụgụ isi iji debe ụfọdụ ọkacha mmasị ochie (mana ha weliri ọnụahịa), ndị ọrụ ahụ bụ enyi na enyi ọtụtụ oge, mana aghaghị m ikwenye na onye dere banyere okwu kachasị amasị ha: mba, enweghị ike, ndo ..., nwa nwoke, ha agaghị agbagọ iwu maka onye ọ bụla; guacamole arụrụ n'ụlọ dị ịtụnanya, ikuku bụ mgbanwe na tart nke ụbọchị kachasị amasị.",ọnụahịa,negative
"nchịkọta ọhụrụ ahụ nwere ihe okike ole na ole, ha nwere ọgụgụ isi iji debe ụfọdụ ọkacha mmasị ochie (mana ha weliri ọnụahịa), ndị ọrụ ahụ bụ enyi na enyi ọtụtụ oge, mana aghaghị m ikwenye na onye dere banyere okwu kachasị amasị ha: mba, enweghị ike, ndo ..., nwa nwoke, ha agaghị agbagọ iwu maka onye ọ bụla; n'ihi ya, ihe oriri na-abaghị uru ma ọ bụ na-atọ ụtọ nke ukwuu.",ụtọ,positive
"m na-emekarị na-otu vietnamese beef noodle soup, ma macadamia-crusted mali na-agbalị-na-eziokwu na tapas bụ ụtọ.",vietnamese beef noodle soup,neutral
"ọkụkọ ha ebe a bụkwa ihe na-atọ ụtọ kpamkpam, ma onye na-ere mmanya na-akparị mmadụ, ndị mmadụ kachasị njọ na akụkụ dị ntakịrị.",mmadụ,positive
"ị nwere ike iri gourmet nri na a ngwa ngwa nri price, ma mole ihendori bụ oke ụtọ, ọrụ bụ mkparị na-eche mkpara bụ inconsiderate.",nri,positive
"ị nwere ike iri nri gourmet na ọnụahịa nri ngwa ngwa, ma ndị ọrụ dị njọ na nri dị n'okpuru nkezi.",ọnụahịa,positive
"n'abalị atmoshere mgbanwe na-atụgharị n'ime ọla a zoro ezo nke na-echere ka a chọpụta ya, ma tebụl adịghị mma nso.",atmoshere,positive
"nhọrọ boutique nke mmanya na-ekpuchi ụdị dịgasị iche iche na-enweghị ịmanye, ma ọrụ dị nwayọọ na sandwiches dị ịtụnanya.",boutique,neutral
"pizzas bụ magburu onwe na mgbakwunye na appetizers na isi ọmụmụ, ma disko pop duo bụ egwu, mmanya ọrụ bụ ngwa ngwa na-eche mkpara bụ inconsiderate.",isi ọmụmụ,positive
"pizzas magburu onwe ya na mgbakwunye na appetizers na isi ọmụmụ, ma mmanya ọrụ bụ ngwa ngwa, bartender bụ mkparị na wine ndepụta bụ na-akụda mmụọ.",appetizers,positive
"pizzas magburu onwe ya na mgbakwunye na appetizers na isi ọmụmụ, ma mkpara bụ mpako na ọrụ bụ ngwa ngwa.",pizzas,positive
"maa na-agbalị calamari, ọ bụla pasta, ma ọ bụ ọbụna sliced steak entrée, ma na-ekpo ọkụ nkịta bụ kasị njọ na ihendori bụghị nnọọ flavorful.",calamari,positive
"o doro anya na ịnwale calamari, pasta ọ bụla, ma ọ bụ ọbụna sliced steak entrée, ma uto dị mkpụmkpụ ma ọrụ na-enwe nkụda mmụọ.",pasta,positive
"o doro anya na-agbalị calamari, pasta ọ bụla, ma ọ bụ ọbụna sliced steak entrée, ma hostess bụ mkparị, ọrụ kachasị njọ na ndị ahịa na-ada ụda.",sliced steak entrée,positive
"site na mmalite, ndị ọrụ enyi na enyi memebers zutere anyị, na ịkwọ ụgbọala convienent na chelsea piers mere ka ọ dịrị anyị mfe ịbanye n'ụgbọ mmiri ahụ, ma smoothies buru ibu, akụkụ dị ntakịrị na hostess bụ mkparị.",ụgbọala,positive
"site na mmalite, ndị ọrụ enyi na enyi memebers zutere anyị, na ebe a na-adọba ụgbọala na chelsea piers mere ka ọ dịrị anyị mfe ịbanye n'ụgbọ mmiri ahụ, mana hostess bụ mkparị na nri adịghị mma nke ukwuu.",memebers,positive
"ozugbe anyị na-agba ụgbọ mmiri, nri kachasị elu na ntụrụndụ ndụ rere anyị na mgbede a na-agaghị echefu echefu, ma nri dị egwu.",ntụrụndụ ndụ,positive
"ozugbe anyị na-agba ụgbọ mmiri, nri kachasị elu na ntụrụndụ ndụ na-ere anyị na mgbede a na-agaghị echefu echefu, ma anụ lobster artificial bụ ihe e kere eke ma na-echere bụ mkparị.",nri,positive
"oge ọ bụla na oge ọ bụla m na-ahụ onwe m na agbata obi m ga-aga sushi rose maka sushi ọhụrụ na nnukwu akụkụ niile na ọnụahịa ezi uche dị na ya, ma ọkụkọ gbara ọchịchịrị, onye njikwa bụ onye na-enweghị amara na ndị na-echere na-ewe iwe.",akụkụ,positive
"oge ọ bụla na oge ọ bụla m na-ahụ onwe m na agbata obi m ga-aga sushi rose maka sushi ọhụrụ na nnukwu akụkụ niile na ọnụahịa ezi uche dị na ya, ma nri dị egwu.",ọnụahịa,positive
"oge ọ bụla na oge ọ bụla m na-ahụ onwe m na agbata obi m ga-aga sushi rose maka sushi ọhụrụ na nnukwu akụkụ niile na ọnụahịa ezi uche dị na ya, ma onye na-echere na-ewe iwe, achicha bụ nkezi na ọrụ na-eji nwayọọ nwayọọ.",sushi,positive
"ofe ọka bali mushroom dị ịtụnanya, ma disko pop duo dị egwu na njikwa bụ mkparị.",mushroom,positive
"nwere nri abalị ebe a na a friday na nri dị ukwuu, ma nri bụ magburu onwe, ekwentị gas bụ luscious na ehihie nri dị mma.",nri abalị,neutral
"nwere nri abalị ebe a na fraịdee na nri dị ukwuu, ma ọrụ dị egwu, ọrụ jọgburu onwe ya na ndị ahịa na-ada ụda.",nri,positive
"mgbe nri abalị m nụrụ music egwu na-egwu ma chọpụta na e nwere a ezumike ala, ma biya nhọrọ dị ukwuu, desserts bụ magburu onwe na m na-agbalị pizza na soy cheese.",egwu,neutral
"mgbe nri abalị m nụrụ music egwu na-egwu ma chọpụta na e nwere a ezumike ala, ma na-ekpo ọkụ nkịta kasị mma, tebụl bụ uncomfortably nso na iri ahụmahụ bụ nhụsianya.",nri abalị,neutral
"mgbe nri abalị m nụrụ music egwu na-egwu na chọpụtara na e nwere a ezumike ala, ma ambiance bụ ihunanya na ọrụ bụ magburu onwe.",ezumike,neutral
"nri ahụ dị mma, ọrụ ahụ na-akpali akpali, na ọnụahịa ahụ nwere ezi uche dị ukwuu, ma kuki akụ na ụba bụ mkpesa.",ọrụ,positive
"the nri dị mma, ọrụ ngwa ngwa, na price nnọọ ezi uche. , ma nri dị egwu.",price,positive
"the nri dị mma, ọrụ ngwa ngwa, na price nnọọ ezi uche. , ma disko pop duo bụ egwu, waiters bụ iwe na ọkụ bụ unattractive.",nri,positive
"the pasta primavera bụ pụtara ìhè dị ka nke ọma, nza nke ọhụrụ veggies, ma waiter bụ mkparị, disko pop duo bụ egwu na waiters bụ ihe ọjọọ.",ọhụrụ veggies,positive
"the pasta primavera bụ pụtara ìhè dị ka nke ọma, nza nke ọhụrụ veggies, ma ọrụ bụ ngwa ngwa, wuru lobster anụ bụ wuru na ụlọ bụ doro anya.",pasta primavera,positive
"o di nwute na, na anyị show tiketi, anyị enweghị oge sample ọ bụla desserts, ma gbagọrọ agbagọ na pizza bụ ahụ ike, toppings bụ ọhụrụ na akụkụ bụ nnukwu.",desserts,neutral
"ọ bụrụ na ị nọ n'ógbè ahụ, kwụsị n'ezie maka nnukwu nri, ma ndị ọrụ na-echere enweghị nkwekọrịta na ọrụ na-enwe nkụda mmụọ.",nri,positive
"ị̀ ga-ekwere na mgbe ị na-eme mkpesa banyere ihe karịrị otu awa na-echere, mgbe ha gwara gị na ọ ga-abụ nkeji 20-30, onye njikwa ahụ na-agwa onye na-ere mmanya ka ọ wụfuo ihe ọṅụṅụ ị kwụrụ? ọ bụ ezie na corinthian cheese ravioli na ọhịa mushrooms bụ nanị oké ...",chere,negative
"ị ga-ekwenye na mgbe ị na-eme mkpesa banyere ihe karịrị otu awa na-echere, mgbe ha na-agwa gị na ọ ga-abụ nkeji 20-30, onye njikwa ahụ na-agwa onye na-ere mmanya ka ọ wụfuo ihe ọṅụṅụ ị kwụrụ ụgwọ, ma nri dị ukwuu na chocolate frosty bụ ultra-thick.",mmanya,neutral
"ị ga-ekwenye na mgbe ị na-eme mkpesa banyere ihe karịrị otu awa na-echere, mgbe ha gwara gị na ọ ga-abụ nkeji 20-30, onye njikwa ahụ na-agwa onye na-ere mmanya ka ọ wụfuo ihe ọṅụṅụ ị kwụrụ ụgwọ, ma waitstaff bụ enyi na enyi.",onye njikwa,negative
"ọ dịtụla mgbe ị ga-ekwere na mgbe ị na-eme mkpesa banyere ihe karịrị otu awa na-echere, mgbe ha gwara gị na ọ ga-abụ nkeji 20-30, onye njikwa ahụ na-agwa onye na-ere mmanya ka ọ wụfuo ihe ọṅụṅụ ị kwụrụ naanị, mana salad eggplant magburu onwe ya, nri dị ukwuu na french fries - na mmiri dalmatia dị egwu.",ihe ọṅụṅụ,neutral
"ọfọn, o mere n'ihi onye njikwa na-enweghị amara na onye na-ere mmanya na-akparị mmadụ nke mere ka anyị chere nkeji 20 maka ihe ọṅụṅụ, wee gwa anyị ka anyị jụọ oyi, ma nri dị mma, desserts bụ n'efu na fettuccine alfredo dị ịtụnanya.",onye njikwa,negative
"ọfọn, o mere n'ihi onye njikwa na-enweghị amara na onye na-ere mmanya na-akparị mmadụ nke mere ka anyị chere nkeji 20 maka ihe ọṅụṅụ, wee gwa anyị ka anyị jụọ oyi, ma ọrụ bụ enyi na enyi.",mmanya,negative
"ọfọn, o mere n'ihi onye njikwa na-enweghị amara na onye na-ere mmanya na-akparị mmadụ nke mere ka anyị chere nkeji 20 maka ihe ọṅụṅụ, wee gwa anyị ka anyị jụọ oyi, ma nri na-ekpo ọkụ na nri dị ukwuu.",na-akparị,negative
"ọfọn, o mere n'ihi onye njikwa na-enweghị amara na onye na-ere mmanya na-akparị mmadụ nke mere ka anyị chere nkeji 20 maka ihe ọṅụṅụ, wee gwa anyị ka anyị jụọ oyi, ma ndị ọrụ ahụ maara ihe.",ihe ọṅụṅụ,neutral
"enwela nsogbu - ihe ọṅụṅụ ndị ahụ dị egwu, ma ọ bụ ndị na-arụ ọrụ n'ebe ahụ mere n'ezie ka nke a bụrụ ahụmahụ kachasị njọ na iri nri; ọnọdụ ikuku zuru oke.",ihe ọṅụṅụ,negative
"enwela nsogbu - ihe ọṅụṅụ ndị ahụ dị egwu, ma ọ bụ ndị na-arụ ọrụ n'ebe ahụ mere n'ezie ka nke a bụrụ ahụmahụ kachasị njọ na iri nri; ngwa ngwa",iri nri,negative
"enwela nsogbu - ihe ọṅụṅụ ndị ahụ dị egwu, ma ọ bụ ndị na-arụ ọrụ n'ebe ahụ mere n'ezie ka nke a bụrụ ahụmahụ kachasị njọ na iri nri; french fries - na dalmatia dip dị egwu, mpịakọta na crab dị ukwuu ma uru dị ukwuu.",ndị,negative
"onye ọ bụla na-arụ ọrụ n'ebe ahụ (onye ọbịa, onye na-ere mmanya, sava) na-enye aka nke ukwuu, ma nri dị egwu.","ọbịa,",positive
"onye ọ bụla na-arụ ọrụ n'ebe ahụ (onye ọbịa, onye na-ere mmanya, sava) na-enye aka nke ukwuu, ma ụgwọ buru ibu, akụkụ dị ntakịrị ma na-eri nri kachasị njọ.","mmanya,",positive
"onye ọ bụla na-arụ ọrụ n'ebe ahụ (onye ọbịa, onye na-ere mmanya, sava) na-enye aka nke ukwuu, ma ụgwọ buru ibu, nri abalị bụ ike na nri dị n'okpuru nkezi.",sava,positive
"na nri dị egwu, ma ọrụ dị nnọọ ngwa ngwa.",nri,positive
"ọkacha mmasị gụnyere: poteto spinach gnocchi na nwa atụrụ ahụ, ma hostess bụ mkparị na efere na-eri nri.",nwa atụrụ,positive
"ọkacha mmasị gụnyere: poteto spinach gnocchi na nwa atụrụ ahụ, ma ime ụlọ bụ nkezi na nri dị egwu.",poteto spinach gnocchi,positive
"ọkara ọkụkọ nwere ugwu osikapa na agwa maka $ 6.25, ma nri na-enwe obi ụtọ na ihe ụtọ mediterranean adịghị ọnụ ala.",osikapa,neutral
"ọkara ọkụkọ nwere ugwu osikapa na agwa maka $ 6.25, ma ọnụahịa nwere ezi uche, plantains dị mma na burgers dị ụtọ.",ọkụkọ,neutral
"ọkara ọkụkọ nwere ugwu osikapa na agwa maka $ 6.25, nri ahụ dị mma, ndị ọrụ bụ enyi na enyi ma nwalee ahịhịa ahịhịa sorbet.",agwa,neutral
"ọrụ ahụ magburu onwe ya ma na-enye ihe ọmụma mgbe niile n'enweghị ikuku, ma menu dị ntakịrị, nri dị egwu na iri nri kachasị njọ.",ọrụ,positive
"m ga-alaghachi azụ n'ezie - ma ọ bụrụ na ọ bụ naanị maka ụfọdụ n'ime martinis ndị ahụ dị iche iche na bọọdụ ojii, mana nri na-enwe nkụda mmụọ.",martinis,positive
"the enweghị ac na eziokwu na e nwere otu nde swarming ozu (ọ bụ ezie na onye ọ bụla bụ nkwanye ùgwù na ọ dịghị onye na-pushing) bụ a obere gbanyụọ; ndị ọrụ maara ihe, nri dị ukwuu na sushi dị ọhụrụ.",ac,negative
"otú ọ dị, e nwere nnọọ ihe dị ukwuu banyere ịnọ n'èzí, na nnukwu ndozi ala, ịnụ ụtọ ihe ọṅụṅụ na-adịghị mma nke na-eme ka ịga ebe a bara uru, ma ọkụkọ gbara ọchịchịrị.",ebe,positive
"otú ọ dị, e nwere nnọọ ihe dị ukwuu banyere ịnọ n'èzí, na nnukwu ndozi ala, ịnụ ụtọ ihe ọṅụṅụ na-adịghị mma nke na-eme ka ịga ebe a bara uru, ma ọrụ jọgburu onwe ya na menu dị ntakịrị.",n'èzí,positive
"otú ọ dị, e nwere nnọọ ihe dị ukwuu banyere ịnọ n'èzí, na nnukwu ndozi ala, ịnụ ụtọ ihe ọṅụṅụ na-adịghị mma nke na-eme ka ịga ebe a bara uru, ma tebụl adịghị mma nso na ọrụ dị nwayọọ.",ọṅụṅụ,positive
"agaghị m ebe ahụ maka nri ka m wee ghara ikwu okwu, ma efere ndị ahụ dị mma.",nri,neutral
"a con bụ ngwa ngwa mmanya ọrụ, ma arụrụ n'ụlọ guacamole bụ ịtụnanya, french fries - na dalmatia itinye dị egwu na hamburger bụ ụtọ.","ọrụ,",negative
"mụ na ndị enyi m na-akwụsị ebe a maka pizza tupu ịkụ ihe nkiri kips bay, ma akụkụ dị ntakịrị na desserts dị mma.",pizza,neutral
"anyị na-enwe obi ụtọ mgbe niile na pizza, ma ndị ọrụ bụ enyi na enyi, ọrụ dị nnọọ ngwa ngwa na nri dị egwu.",pizza,positive
"the ọrụ bụ mara mma mma, ma tebụl bụ uncomfortably nso na sushi bụ ibu.",ọrụ,positive
"mkpesa abụọ- nhọrọ appetizer ha na-esi ísì ụtọ, ọ ga-adị mma ịnweta ụfọdụ mkpara mozzarella na menu, ma ọkụkọ dị ukwuu na efere na-eri nri.",mozzarella,neutral
"mkpesa abụọ- nhọrọ appetizer ha na-esi ísì ụtọ, ọ ga-adị mma ịnweta ụfọdụ mkpara mozzarella na menu, ma nhọrọ nke nri dị mma.",menu,negative
"mkpesa abụọ- nhọrọ appetizer ha na-esi ísì ụtọ, ọ ga-adị mma ịnweta ụfọdụ mkpara mozzarella na menu, ma nri dị ukwuu na nri ehihie dị mma.",appetizer,negative
"the unattractive ọkụ mere ka m chọrọ gag, nri e overpriced, e nwere ndị kasị egwu disko pop duo ịrụ-na m escargot anya dị ka ọ nwere ike crawl si efere, ma ọrụ bụ magburu onwe na pasta pụrụ iche bụ ịtụnanya.",disko pop duo,negative
