,so,aspect,polarities
0,"Cunto Great, waitstaff weyn, jawiga weyn, iyo ugu fiican oo dhan biir GREAT!",jawiga,positive
4,"Cunto Great, waitstaff weyn, jawiga weyn, iyo ugu fiican oo dhan biir GREAT!",sugid,positive
8,"Cunto Great, waitstaff weyn, jawiga weyn, iyo ugu fiican oo dhan biir GREAT!",biir,positive
12,"Cunto Great, waitstaff weyn, jawiga weyn, iyo ugu fiican oo dhan biir GREAT!",cuntod,positive
16,"Raashinku waa mid heer sare ah, adeeggu waa mid feejignaan leh, jawigana waa weyn.",adeege,positive
20,"Raashinku waa mid heer sare ah, adeeggu waa mid feejignaan leh, jawigana waa weyn.",jawiga,positive
24,"Raashinku waa mid heer sare ah, adeeggu waa mid feejignaan leh, jawigana waa weyn.",cuntod,positive
28,"Maxaad ka odhan kartaa meel ay gabaygu ka soo saarto galo qaldan, kadibna si afka ah u weerara ayeeydeeda 80 jirka ah oo afka ka siisa in ay dib u dirto (taas oo si xushmad leh u sameysay, ayada oo ay jidka ku soo martay).",entrée,neutral
31,"Maxaad ka odhan kartaa meel ay gabaygu ka soo saarto galo qaldan, kadibna si afka ah u weerara ayeeydeeda 80 jirka ah oo afka ka siisa in ay dib u dirto (taas oo si xushmad leh u sameysay, ayada oo ay jidka ku soo martay).",sugiri,negative
33,"Adeegga ahaa quruxsan oo sabool ah oo ku wareegsan oo dhan, cuntada ahaa aad uga hooseeya celceliska marka la eego kharashka, iyo dibadda waxaa jira bum waalan oo dhibaataysa macaamiisha kasta oo ka tago meesha.",qiimaha,negative
35,"Adeegga ahaa quruxsan oo sabool ah oo ku wareegsan oo dhan, cuntada ahaa aad uga hooseeya celceliska marka la eego kharashka, iyo dibadda waxaa jira bum waalan oo dhibaataysa macaamiisha kasta oo ka tago meesha.",adeege,negative
39,"Adeegga ahaa quruxsan oo sabool ah oo ku wareegsan oo dhan, cuntada ahaa aad uga hooseeya celceliska marka la eego kharashka, iyo dibadda waxaa jira bum waalan oo dhibaataysa macaamiisha kasta oo ka tago meesha.",cuntod,negative
43,"Malaha waaya aragnimadaydii ugu xumayd ee cuntada ee New York, waxaana ahay qof qamiis ah, sidaa darteed waxaan ogahay waxa aan ka hadlayo.",waayo-aragnimo cunitaanka,negative
46,"Malaha waaya aragnimadaydii ugu xumayd ee cuntada ee New York, waxaana ahay qof qamiis ah, sidaa darteed waxaan ogahay waxa aan ka hadlayo.",khadka,neutral
48,"menu cusub ayaa a waxyaabaha yar hal abuur leh,waxay ahaayeen caqli ku filan si ay u sii qaar ka mid ah favorite hore (laakiin waxay kor u qiimaha), shaqaalaha waa saaxiibtinimo inta badan ee waqtiga, laakiin waa in aan ku raacsan tahay qofka in ay qoreen oo ku saabsan erayo ay ugu jecel yihiin: Maya, ma, ma, ka xumahay ..., wiil, ma ay xoori doonaa sharciyada qof kasta.",qiimayaasha,negative
52,"menu cusub ayaa a waxyaabaha yar hal abuur leh,waxay ahaayeen caqli ku filan si ay u sii qaar ka mid ah favorite hore (laakiin waxay kor u qiimaha), shaqaalaha waa saaxiibtinimo inta badan ee waqtiga, laakiin waa in aan ku raacsan tahay qofka in ay qoreen oo ku saabsan erayo ay ugu jecel yihiin: Maya, ma, ma, ka xumahay ..., wiil, ma ay xoori doonaa sharciyada qof kasta.",menu cusub,positive
56,Sida caadiga ah waxaan helaa mid ka mid ah Fiyetnamese Beef Noodle Soup.,Sool Beef Noodle Soup,neutral
58,Duckkooda halkan sidoo kale waa mid gabi ahaanba macaan.,caartoon,positive
61,Waxaad ku cuni kartaa cunnada gormetka qiimo cunto oo degdeg ah.,cuntod,positive
64,Waxaad ku cuni kartaa cunnada gormetka qiimo cunto oo degdeg ah.,qiimaha,positive
66,Habeenkii waxaa is bedelaysa hungurigu oo isu rogaya jawharadan qarsoon ee la sugayo in la soo saaro.,atmoshere,positive
69,The boutique xulashada khamriga daboolayaa noocyo kala duwan oo kala duwan oo aan la soo rogin.,xulashada boutique ee khamriga,neutral
72,Pizza-yada waxay ahaayeen kuwo aad u wanaagsan marka lagu daro appetizers iyo koorsooyinka ugu waaweyn.,koorsooyinka ugu waaweyn,positive
74,Pizza-yada waxay ahaayeen kuwo aad u wanaagsan marka lagu daro appetizers iyo koorsooyinka ugu waaweyn.,appetizers,positive
76,Pizza-yada waxay ahaayeen kuwo aad u wanaagsan marka lagu daro appetizers iyo koorsooyinka ugu waaweyn.,Pizzas,positive
79,"Dhab ahaantii isku day calamari, baasto kasta, ama xitaa entrée Sliced Steak.",calamida,positive
82,"Dhab ahaantii isku day calamari, baasto kasta, ama xitaa entrée Sliced Steak.",pasta,positive
85,"Dhab ahaantii isku day calamari, baasto kasta, ama xitaa entrée Sliced Steak.",Steak entrée,positive
88,"Tan iyo bilowgii, waxaa naga hor yimid xubno shaqaale saaxiibtinimo ah, baarkinkii lagu kalsoonaanayey ee Chelsea Piers ayaa noo sahlay inaan gaarno doonta.",baarkink,positive
92,"Tan iyo bilowgii, waxaa naga hor yimid xubno shaqaale saaxiibtinimo ah, baarkinkii lagu kalsoonaanayey ee Chelsea Piers ayaa noo sahlay inaan gaarno doonta.",memebers shaqaalaha,positive
96,"Mar aan dhoofnay, raashinkii ugu sareeyey iyo madadaalo nool ayaa naga iibiyey habeen aan la iloobin.",live entertainment,positive
99,"Mar aan dhoofnay, raashinkii ugu sareeyey iyo madadaalo nool ayaa naga iibiyey habeen aan la iloobin.",cuntod,positive
102,Mar walba iyo mar walba oo aan iska helo xaafadda waxaan aadaa Sushi Rose sushi oo aan ugu tago sushi cusub iyo qaybo badan oo dhammaantood qiimo macquul ah.,adag,positive
106,Mar walba iyo mar walba oo aan iska helo xaafadda waxaan aadaa Sushi Rose sushi oo aan ugu tago sushi cusub iyo qaybo badan oo dhammaantood qiimo macquul ah.,qiimaha,positive
110,Mar walba iyo mar walba oo aan iska helo xaafadda waxaan aadaa Sushi Rose sushi oo aan ugu tago sushi cusub iyo qaybo badan oo dhammaantood qiimo macquul ah.,suldaa,positive
114,maraqiijka shaciirka waa mid cajiib ah.,mashroom maraq shaciir,positive
117,"Casho ayaa halkan ku taala Jimco, cuntaduna waxay ahayd mid aad u fiican.",casho,neutral
119,"Casho ayaa halkan ku taala Jimco, cuntaduna waxay ahayd mid aad u fiican.",cuntod,positive
