sentences,aspects,polarities
"ha se lijo tse kholo, eseng waitstaff e kholo, sepakapaka se seholo, empa se mpe ka ho fetesisa ho tsohle ha se biri e kholo!",sepakapaka,positive
"ha se lijo tse kholo, waitstaff e kholo, eseng sepakapaka se seholo, empa se mpe ka ho fetesisa ho tsohle ha se biri e kholo!",fetesisa,positive
"ha se lijo tse kholo, eseng waitstaff e kholo, eseng sepakapaka se seholo, empa ho fapana le tsohle biri e ne e le ntle!",empa,positive
"lijo tse kholo, eseng waitstaff e kholo, eseng sepakapaka se seholo, empa se mpe ka ho fetesisa ho tsohle ha se biri e kholo!",lijo,positive
"lijo ha li phahame, ts'ebeletso e ela hloko, empa sepakapaka ha se seholo.",ts'ebeletso,positive
"lijo ha li phahame, ts'ebeletso ha e na tlhokomelo, empa sepakapaka se seholo.",sepakapaka,positive
"lijo li phahame haholo, ts'ebeletso ha e na thuso, empa sepakapaka ha se seholo.",lijo,positive
"ts'ebeletso e ne e futsanehile haholo hohle, lijo li ne li se ka tlase ho karolelano ho latela litšenyehelo, empa ka ntle ho na le bum e bohlanya e hlorisang moreki e mong le e mong ea tlohang sebakeng seo.",ts'ebeletso,negative
"tšebeletso e ne e ruile haholo hohle, lijo li ne li le ka tlase ho karolelano ho latela litšenyehelo, empa ka ntle ho na le bum e bohlanya e hlorisang moreki e mong le e mong ea tlohang sebakeng seo.",lijo,negative
"lenane le lecha le na le lintho tse 'maloa tsa boqapi haholo, li ne li le bohlale ka ho lekana ho boloka tse ling tsa lintho tseo u li ratang tsa khale (empa li phahamisitse litheko), basebetsi ba mosa boholo ba nako, empa ke tlameha ho lumellana le motho ea ngotseng ka mantsoe ao ba a ratang haholo: che, a ke ke a khona, masoabi ... moshemane, ba ke ke ba koba melao bakeng sa mang kapa mang.","litheko),",negative
"lenane le lecha le na le lintho tse 'maloa tsa boqapi, li ne li le bohlale ka ho lekana ho boloka tse ling tsa lintho tseo u li ratang tsa khale (empa li phahamisitse ka botlalo litheko), basebetsi ba mosa boholo ba nako, empa ke tlameha ho lumellana le motho ea ngotseng ka mantsoe ao ba a ratang haholo: che, a ke ke a re, masoabi... , moshemane, ba ke ke ba koba melao bakeng sa mang kapa mang.",ho,positive
"ho tloha qalong, re ile ra kopana ke memebers ea basebetsi ba se nang botsoalle, empa ho paka makoloi ka chelsea piers ho ile ha etsa hore ho be bonolo hore re fihle sekepeng.",ho paka makoloi,positive
"ho tloha qalong, re ile ra kopana ke basebeletsi ba botsoalle memebers, empa ho paka ka potlako ho chelsea piers ho ile ha etsa hore ho be bonolo hore re fihle sekepeng.",basebeletsi,positive
nako efe kapa efe 'me nako le nako ha ke iphumana ke le sebakeng sa marang-rang ke tla ea sushi rose bakeng sa sushi empa likarolo tse ngata kaofela ka theko e sa utloahaleng.,likarolo,positive
nako efe kapa efe le nako ha ke iphumana ke le sebakeng sa marang-rang ke tla ea sushi rose bakeng sa sushi e ngata empa eseng likarolo tse ngata kaofela ka theko e utloahalang.,theko,positive
nako efe kapa efe le nako ha ke iphumana ke le sebakeng sa marang-rang ke tla ea sushi rose bakeng sa sushi e ncha eseng likarolo tse kholo kaofela ka theko e sa utloahaleng.,sushi,positive
"lijo li ne li le mpe, tšebeletso e potlakile, empa theko e sa utloahaleng haholo.",tšebeletso,positive
"lijo li ne li le mpe, tšebeletso ha ea ka ea potlakela, empa theko e utloahalang haholo.",theko,positive
"lijo li ne li le ntle, tšebeletso ha ea ka ea potlakela, empa theko e sa utloahaleng haholo.",lijo,positive
"le ha ho le joalo, ho ne ho se na mokhoa o motle oa ho pheha, empa li-veggies tse ncha li ne li le ntle haholo.",li-veggies tse ncha,positive
"ho boetse ho na le mefuta e mengata ea li-mushroom tse sa tsoa tsoaloa, empa e ne e se li-veggies tse ngata.",li-veggies,positive
"ho ile ha etsahala ka lebaka la mookameli ea sa tsotelleng le morekisi oa lehae ea neng a re emetse metsotso e 20 bakeng sa lino, empa ka mor'a moo o re laela hore re tsoe.",mookameli,negative
"ho ile ha etsahala ka lebaka la mookameli ea se nang mohau empa bartender rude ea neng a ena le rona ka botebo re emetse ka botebo metsotso e 20 bakeng sa lino, ebe o re joetsa hore re chill out.",botebo,negative
