sentences,aspects,polarities
"abin da ke da kyau, mai jiran abinci mai kyau, yanayi mai kyau, da kuma mafi kyau na dukan bira mai girma, amma ƙaramin ba shi da kyau, shugabanci ba shi da sauƙi kuma hidima tana da ɗan jinkiri.",da,positive
"abinci mai kyau, mai jiran abinci mai kyau, yanayi mai kyau, da mafi kyau na dukan bira mai girma, amma ma'aikatan suna da aminci, haske ba shi da kyau kuma abinci ba shi da tsawon",jiran,positive
"abinci mai kyau, mai jiran abinci mai kyau, yanayi mai kyau, da mafi kyau na dukan bira mai girma, amma abincin ya rage tsawon",bira,positive
"abin da ake ci da kyau, mai jiran abinci mai kyau, yanayi mai kyau, da kuma mafi kyau na bira mai girma, amma hidima tana da ban sha'awa.",abinci,positive
"abin da ake ci ya fi kyau, ana mai da hankali ga hidimar, kuma yanayin yana da kyau, amma cin abinci yana da ban sha'awa kuma mai ba da abinci ba shi da kyau.",abin,positive
"abin da ake ci ya fi kyau, ana mai da hankali ga hidimar, kuma yanayin yana da kyau, amma masu ba da abinci suna fushi.",ya,positive
"abin da ake ci ya fi kyau, ana mai da hankali ga hidimar, kuma yanayin yana da kyau, amma waƙa tana da nauyi sosai, masu biyan abinci suna fushi kuma ma'aikatan suna girman kai.",abinci,positive
"menene za ka iya faɗa game da wuri da ɗan ƙwaƙwalwa ta fito da abin da bai dace ba, sai ta yi wa kakiyarka ' yar shekara 80 dūka kuma ta ba da leɓunta game da mai da shi (da ta yi da ladabi), amma ganyaye sun bambanta kuma hidima tana nan da nan.",nan,neutral
"menene za ka iya faɗa game da wuri da ƙwararrun ta fito da abin da bai dace ba, sai ta yi wa kakiyarka ' yar shekara 80 hari kuma ta ba da leɓunta game da mai da shi (da ta yi cikin ladabi, a hanya), amma sa'ar farin ciki tana da sauƙi, abubuwa na al'ada na italiya suna da sauƙi kuma ana gwada abincin da ake yi da kyau.",ƙwararrun,negative
"aikin ba shi da kyau a ko'ina, abincin ya rage tsawon",aikin,negative
"aikin ba shi da kyau a ko'ina, abincin ya rage tsawon",aikin,negative
"aikin ba shi da kyau a ko'ina, abincin ya rage tsawon tsa",abinci,negative
"wataƙila abinci mafi muni da nake yi a new york, kuma ni ɗan ƙwaƙwalwa ne saboda haka na san abin da nake magana game da shi, amma ba na iya ba da abinci da sauri.",abinci,negative
"wataƙila abinci mafi muni da nake yi a new york, kuma ni ɗan ƙwaƙwalwa ne saboda haka na san abin da nake magana game da shi, amma kafa mai kyau ne.",abinci,neutral
"sabuwar mazaɓa tana da abubuwa ƙalilan na halitta, sun kasance da hikima sosai don su riƙe wasu cikin tsofaffi da suke so (kafin su ɗaukaka kuɗin), ma'aikatan suna da aminci yawancin lokaci, amma dole ne in yarda da mutumin da ya rubuta game da kalmomin da suke so: a'a, ba za su iya, gafara..., yaro, ba za su juya dokokin kowa ba; gua amirkawa mai ban mamaki ce, yanayi yana canjawa kuma tart na rana yana da kyau.","kuɗin),",negative
"sabuwar mazaɓa tana da abubuwa ƙalilan na halitta, sun kasance da hikima sosai don su riƙe wasu cikin tsofaffi da suke so (kafin su ɗaukaka kuɗin), ma'aikatan suna da aminci yawancin lokaci, amma dole ne in yarda da mutumin da ya rubuta game da kalmomin da suke so: a'a, ba za su iya, gafara..., yaro, ba za su juya dokokin kowa ba; girma yana da yawa, abinci ba shi da amfani kuma sosin mole yana da daɗi.",sabuwar,positive
"sau da yawa ina samun suppi na na'ura na vietnam, amma mali da aka ƙwace da macadamia an gwada shi kuma gaskiya ne kuma tapas yana da ban sha'awa.","vietnam,",neutral
"baƙinsu a nan yana da laushi sosai, amma mai ba da barin yana da rashin hankali, mutane suna da mugun rashin hankali kuma ba su da yawa.",yana,positive
"za ka iya cin abinci mai kyau da kuɗin abinci mai daɗi, amma sosin mole mai daɗi ne, hidima ba ta da kyau kuma ma'aikatan jira ba sa yin hakan.",abinci,positive
"za ka iya cin abinci mai kyau da kuɗin abinci mai nisa, amma ma'aikatan ba su da kyau kuma abinci ba shi da tsawon",kuɗin,positive
"da dare, masu yin atmoshere suna canja zuwa wannan ɓoye da ke jiran a gan shi, amma teburori suna kusa da juna.",atmoshere,positive
"an zaɓi ruwan inabin da yawa ba tare da yin amfani da shi ba, amma ba a yi amfani da shi da sauri kuma sandwichi suna da ban mamaki.",zaɓi,neutral
"pizzas sun fi kyau ƙari ga abinci mai daɗi da manyan abinci, amma ma'aurata biyu na disco pop suna da ban sha'awa, aikin bar yana da sauri kuma ma'aikatan jira ba su da hankali.",manyan,positive
