yo,aspect,polarities
"kì í ṣe oúnjẹ tó dára, kì í ṣe àwọn òṣìṣẹ́ ìdúró ńlá, àyíká tó dára, ṣùgbọ́n ó burú jù nínú gbogbo wọn kì í ṣe ọtí bíà ńlá!",ìdúró,positive
"kì í ṣe oúnjẹ tó dára, àwọn òṣìṣẹ́ ìdúró ńlá, kì í ṣe àyíká tó dára, ṣùgbọ́n ó burú jù nínú gbogbo wọn kì í ṣe ọtí bíà ńlá!",òṣìṣẹ́,positive
"kì í ṣe oúnjẹ ńlá, kì í ṣe àwọn òṣìṣẹ́ ìdúró ńlá, kì í ṣe àyíká tó dára, ṣùgbọ́n kì í ṣe gbogbo nkan mìíràn ọtí bíà náà dára!",ọtí bíà,positive
"oúnjẹ tó dára, kì í ṣe àwọn òṣìṣẹ́ ìdúró ńlá, kì í ṣe àyíká tó dára, ṣùgbọ́n ó burú jù nínú gbogbo wọn kì í ṣe ọtí bíà ńlá!",oúnjẹ,positive
"oúnjẹ náà kò dára, iṣẹ́ náà ti fetí sílẹ̀, ṣùgbọ́n àyíká rẹ̀ kò dára.",iṣẹ,positive
"oúnjẹ náà kò dára, iṣẹ́ wọn kò fetí sílẹ̀, ṣùgbọ́n àyíká rẹ̀ dára.",àyíká,positive
"oúnjẹ náà dára púpọ̀, iṣẹ́ náà kò tẹ́tí sí i, ṣùgbọ́n àyíká kò dára.",oúnjẹ,positive
"iṣẹ́ náà kò dára ní gbogbo àyíká, oúnjẹ náà kò tó ìwọ̀n ní ìbámu pẹ̀lú iye owó náà, ṣùgbọ́n ní ìta ìwà òmùgọ̀ kan wà tí ó ń ṣe inúnibíni sí gbogbo oníbàárà tí ó kúrò níbẹ̀.",iṣẹ,negative
"iṣẹ́ náà lọ́rọ̀ káàkiri, oúnjẹ náà kéré gan-an ní ìbámu pẹ̀lú iye owó náà, ṣùgbọ́n ní ìta ìwà òmùgọ̀ kan wà tí ó ń ṣe inúnibíni sí gbogbo oníbàárà tí ó kúrò níbẹ̀.",oúnjẹ,negative
"àtòjọ-ẹ̀yàn tuntun náà ní àwọn nkan àtinúdá díẹ̀, wọ́n gbọ́n tó láti tọ́jú díẹ̀ lára àwọn ààyò àtijọ́ (ṣùgbọ́n wọ́n gbé iye owó náà sókè), àwọn òṣìṣẹ́ náà jẹ́ ọ̀rẹ́ ní ọ̀pọ̀lọpọ̀ ìgbà, ṣùgbọ́n mo gbọ́dọ̀ gbà pẹ̀lú ẹni tí ó kọ̀wé nípa àwọn ọ̀rọ̀ tí wọ́n fẹ́ràn jùlọ: rárá, kò lè, má bínú... , ọmọkùnrin, wọn kò ní tẹ òfin fún ẹnikẹ́ni.",owó,negative
